gene,condition_A,condition_B,condition_C,condition_D,condition_E
GENE_001,12.4,8.7,15.3,6.2,10.9
GENE_002,5.8,14.2,9.1,17.6,7.3
GENE_003,18.9,4.5,11.7,8.3,13.2
GENE_004,7.2,16.8,5.4,12.9,9.6
GENE_005,14.6,9.3,18.2,7.8,11.4
GENE_006,6.1,13.7,8.9,15.4,5.2
GENE_007,16.3,7.4,12.8,9.5,14.1
GENE_008,9.7,15.9,6.3,13.2,8.4
GENE_009,11.5,5.8,17.4,10.1,12.7
GENE_010,8.3,12.6,7.9,16.2,6.5
GENE_011,15.1,10.4,13.6,5.7,18.3
GENE_012,4.9,17.3,9.8,14.5,7.1
GENE_013,13.8,6.2,11.4,8.9,15.6
GENE_014,10.2,14.8,5.6,12.3,9.7
GENE_015,7.6,11.9,16.7,6.4,13.5
GENE_016,17.4,8.1,10.6,14.2,5.8
GENE_017,6.7,13.4,9.2,7.5,16.9
GENE_018,12.9,7.8,15.5,10.3,8.6
GENE_019,9.4,16.1,6.9,13.7,11.2
GENE_020,14.7,5.3,12.1,9.8,17.5
