sample_id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10
SAMPLE_001,45.2,67.8,89.3,34.5,56.7,78.9,23.4,45.6,67.8,91.2
SAMPLE_002,38.7,NA,72.1,45.3,67.8,54.3,32.1,43.2,58.9,76.4
SAMPLE_003,52.1,63.4,75.2,N/A,48.9,61.2,37.5,49.8,71.3,82.6
SAMPLE_004,41.3,58.9,69.7,77.2,34.8,52.6,68.4,39.7,55.8,73.9
SAMPLE_005,67.8,45.2,83.6,91.4,56.3,72.8,44.9,58.7,81.2,69.5
SAMPLE_006,29.4,71.5,48.3,62.9,85.7,39.6,54.1,76.3,42.8,65.4
SAMPLE_007,55.6,82.3,37.9,64.5,49.7,73.1,88.4,41.2,59.8,70.6
SAMPLE_008,73.2,44.8,91.5,58.6,35.9,67.4,52.8,79.3,46.1,63.7
SAMPLE_009,48.5,76.9,62.3,39.1,84.7,51.2,68.9,33.6,75.4,57.8
SAMPLE_010,61.7,53.4,87.2,45.8,70.6,38.3,82.9,56.1,44.7,78.5
SAMPLE_011,34.9,69.8,55.3,81.6,47.2,74.5,40.8,63.2,89.1,52.7
SAMPLE_012,78.4,42.6,65.9,53.1,88.7,36.4,71.8,49.5,62.3,85.9
SAMPLE_013,51.8,87.3,44.2,68.9,33.7,76.4,59.1,82.6,47.3,64.8
SAMPLE_014,66.3,39.7,84.5,52.9,71.2,45.6,58.8,  ,89.4,41.5
SAMPLE_015,43.1,75.6,58.4,92.8,37.5,64.7,81.3,49.9,56.2,73.8
SAMPLE_016,89.7,54.2,47.8,70.3,62.9,35.1,78.6,44.3,67.5,53.4
SAMPLE_017,37.6,81.9,66.2,43.8,55.7,NULL,46.9,72.4,84.1,59.3
SAMPLE_018,72.5,48.3,93.7,61.4,38.9,56.8,74.2,42.1,65.9,87.6
SAMPLE_019,46.8,63.5,79.1,52.3,86.4,41.7,58.9,75.6,34.2,69.7
SAMPLE_020,82.3,57.9,44.5,71.8,49.6,67.3,35.8,84.2,60.4,43.9
SAMPLE_021,59.4,76.1,41.3,88.6,54.7,69.5,83.9,38.6,52.8,74.3
SAMPLE_022,35.7,68.2,92.4,47.9,73.6,56.1,42.5,79.8,N/A,61.9
SAMPLE_023,77.9,51.6,64.8,39.4,85.2,48.7,71.5,55.3,87.1,44.6
SAMPLE_024,42.8,86.5,58.7,74.3,36.9,63.1,49.2,81.7,53.6,70.4
SAMPLE_025,69.1,45.7,91.3,54.8,78.4,41.2,66.9,34.5,59.6,83.8
SAMPLE_026,54.3,72.8,38.6,65.4,88.9,52.1,45.8,76.7,62.3,39.7
SAMPLE_027,81.6,49.2,67.5,43.7,56.9,73.2,90.4,47.1,64.8,58.5
SAMPLE_028,47.4,84.1,61.9,76.6,40.3,55.7,69.8,36.2,82.5,51.3
SAMPLE_029,63.8,38.5,75.7,51.4,87.3,44.9,59.2,72.6,46.8,68.1
SAMPLE_030,39.2,71.4,56.8,82.5,48.1,65.9,34.7,78.3,53.7,91.6
SAMPLE_031,76.5,52.9,89.8,45.6,68.7,37.3,84.1,60.2,43.4,71.9
SAMPLE_032,53.7,67.3,42.9,79.6,55.8,NA,46.5,73.8,88.2,49.1
SAMPLE_033,88.4,44.1,70.6,58.3,36.7,62.5,78.9,51.7,45.9,67.2
SAMPLE_034,45.9,79.7,63.4,91.8,49.3,56.4,72.1,38.8,64.6,82.7
SAMPLE_035,71.8,56.2,48.7,34.9,83.5,47.6,69.3,85.1,52.4,41.8
SAMPLE_036,58.6,41.4,86.9,72.7,50.1,65.8,39.5,77.4,54.9,68.3
SAMPLE_037,34.5,77.8,52.6,68.1,93.7,45.3,61.7,37.9,75.2,59.4
SAMPLE_038,68.9,50.7,84.3,46.2,73.5,58.9,42.6,  ,67.4,81.8
SAMPLE_039,52.3,89.6,45.8,71.4,38.1,64.2,79.7,55.6,48.3,72.9
SAMPLE_040,85.7,43.9,66.8,54.2,76.3,49.8,37.4,62.7,88.5,51.9
SAMPLE_041,49.6,74.2,60.9,87.1,44.7,58.3,71.6,35.2,53.8,79.4
SAMPLE_042,62.4,37.8,81.2,53.9,69.5,46.1,84.6,59.7,42.3,70.8
SAMPLE_043,75.1,58.5,43.2,66.7,51.9,78.6,40.4,63.9,86.3,48.7
SAMPLE_044,41.7,69.3,85.8,49.5,73.8,56.2,64.1,77.9,NULL,55.8
SAMPLE_045,67.2,53.1,76.4,42.8,88.6,45.7,59.3,34.6,71.7,82.4
SAMPLE_046,56.9,82.7,48.4,65.3,37.2,74.8,51.5,68.6,90.2,44.9
SAMPLE_047,83.5,47.6,70.9,59.1,45.3,62.8,78.2,52.7,39.8,66.4
SAMPLE_048,44.2,76.8,61.5,85.9,53.6,48.9,72.3,41.1,67.7,58.2
SAMPLE_049,70.7,54.8,38.3,63.6,81.4,47.2,55.9,73.5,45.7 (estimated),89.1
SAMPLE_050,57.3,65.4,92.6,46.9,74.1,52.8,68.9,37.5,60.8,79.3
