transaction_id,customer_id,transaction_date,amount,product_category,payment_method,status
1,1523,2023-01-15,234.50,Electronics,Credit Card,Completed
2,8745,2023-01-18,89.99,Clothing,Debit Card,Completed
3,3421,2023-01-22,1250.00,Electronics,Credit Card,Completed
4,5632,2023-01-25,45.75,Food,Cash,Completed
5,7854,2023-01-28,567.80,Home,PayPal,Pending
6,2341,2023-02-02,123.45,Books,Credit Card,Completed
7,9087,2023-02-05,890.25,Sports,Debit Card,Completed
8,4532,2023-02-08,34.99,Food,Cash,Completed
9,6789,2023-02-12,2100.00,Electronics,Credit Card,Cancelled
10,1234,2023-02-15,456.78,Clothing,PayPal,Completed
11,8901,2023-02-18,78.50,Books,Debit Card,Completed
12,3456,2023-02-22,1890.00,Home,Credit Card,Completed
13,7890,2023-02-25,234.60,Sports,Cash,Pending
14,2345,2023-03-01,567.90,Electronics,Credit Card,Completed
15,6543,2023-03-04,145.25,Food,Debit Card,Completed
16,4321,2023-03-08,3400.00,Electronics,Credit Card,Completed
17,8765,2023-03-11,89.99,Clothing,PayPal,Completed
18,1098,2023-03-15,456.00,Home,Credit Card,Cancelled
19,5432,2023-03-18,234.50,Books,Cash,Completed
20,9876,2023-03-22,1780.25,Sports,Debit Card,Completed
21,3210,2023-03-25,67.80,Food,Credit Card,Completed
22,7654,2023-03-28,890.00,Electronics,PayPal,Pending
23,2109,2023-04-02,234.99,Clothing,Debit Card,Completed
24,6547,2023-04-05,1456.50,Home,Credit Card,Completed
25,4328,2023-04-08,78.25,Books,Cash,Completed
26,8762,2023-04-12,2340.00,Electronics,Credit Card,Completed
27,1237,2023-04-15,567.80,Sports,PayPal,Completed
28,5439,2023-04-18,123.45,Food,Debit Card,Completed
29,9873,2023-04-22,890.75,Clothing,Credit Card,Cancelled
30,3218,2023-04-25,345.60,Home,Cash,Completed
31,7651,2023-04-28,1234.00,Electronics,Credit Card,Completed
32,2106,2023-05-02,456.25,Books,Debit Card,Pending
33,6544,2023-05-05,2890.50,Sports,Credit Card,Completed
34,4325,2023-05-08,89.99,Food,PayPal,Completed
35,8769,2023-05-12,567.00,Clothing,Debit Card,Completed
36,1231,2023-05-15,1890.75,Electronics,Credit Card,Completed
37,5436,2023-05-18,234.50,Home,Cash,Completed
38,9870,2023-05-22,678.90,Books,Credit Card,Cancelled
39,3215,2023-05-25,3450.00,Electronics,PayPal,Completed
40,7658,2023-05-28,123.45,Sports,Debit Card,Completed
41,2103,2023-06-01,890.25,Food,Credit Card,Completed
42,6541,2023-06-04,456.80,Clothing,Cash,Pending
43,4322,2023-06-08,2100.00,Home,Credit Card,Completed
44,8766,2023-06-11,234.99,Books,Debit Card,Completed
45,1238,2023-06-15,1567.50,Electronics,PayPal,Completed
46,5433,2023-06-18,89.75,Sports,Credit Card,Completed
47,9877,2023-06-22,345.60,Food,Cash,Cancelled
48,3212,2023-06-25,1890.00,Clothing,Debit Card,Completed
49,7655,2023-06-28,567.25,Home,Credit Card,Completed
50,2100,2023-07-02,2340.75,Electronics,PayPal,Completed
51,6548,2023-07-05,123.50,Books,Debit Card,Pending
52,4329,2023-07-08,890.00,Sports,Credit Card,Completed
53,8763,2023-07-12,234.99,Food,Cash,Completed
54,1232,2023-07-15,3456.80,Electronics,Credit Card,Completed
55,5430,2023-07-18,567.25,Clothing,PayPal,Completed
56,9874,2023-07-22,145.60,Home,Debit Card,Cancelled
57,3219,2023-07-25,1890.50,Books,Credit Card,Completed
58,7652,2023-07-28,456.75,Sports,Cash,Completed
59,2107,2023-08-01,2100.00,Electronics,Debit Card,Completed
60,6545,2023-08-04,89.99,Food,Credit Card,Pending
61,4326,2023-08-08,567.80,Clothing,PayPal,Completed
62,8760,2023-08-11,1234.50,Home,Debit Card,Completed
63,1239,2023-08-15,345.25,Books,Credit Card,Completed
64,5434,2023-08-18,2890.00,Electronics,Cash,Cancelled
65,9871,2023-08-22,123.45,Sports,Credit Card,Completed
66,3216,2023-08-25,890.75,Food,Debit Card,Completed
67,7659,2023-08-28,456.60,Clothing,PayPal,Completed
68,2104,2023-09-01,1567.50,Home,Credit Card,Pending
69,6542,2023-09-04,234.99,Books,Cash,Completed
70,4323,2023-09-08,3450.00,Electronics,Debit Card,Completed
71,8767,2023-09-11,567.25,Sports,Credit Card,Completed
72,1230,2023-09-15,89.80,Food,PayPal,Completed
73,5437,2023-09-18,1890.50,Clothing,Debit Card,Cancelled
74,9878,2023-09-22,345.60,Home,Credit Card,Completed
75,3213,2023-09-25,2100.75,Electronics,Cash,Completed
76,7656,2023-09-28,123.45,Books,Debit Card,Completed
77,2101,2023-10-02,890.00,Sports,Credit Card,Pending
78,6549,2023-10-05,456.25,Food,PayPal,Completed
79,4320,2023-10-08,1234.80,Clothing,Debit Card,Completed
80,8764,2023-10-12,234.99,Home,Credit Card,Completed
81,1233,2023-10-15,3456.50,Electronics,Cash,Cancelled
82,5431,2023-10-18,567.75,Books,Credit Card,Completed
83,9875,2023-10-22,145.60,Sports,Debit Card,Completed
84,3210,2023-10-25,1890.00,Food,PayPal,Completed
85,7653,2023-10-28,456.25,Clothing,Credit Card,Completed
86,2108,2023-11-01,2100.50,Home,Cash,Pending
87,6546,2023-11-04,89.99,Electronics,Debit Card,Completed
88,4327,2023-11-08,567.80,Books,Credit Card,Completed
89,8761,2023-11-11,1234.75,Sports,PayPal,Cancelled
90,1236,2023-11-15,345.60,Food,Debit Card,Completed
