temperature,vibration,pressure
70.23,3.12,100.45
69.87,2.95,99.78
71.45,3.34,101.23
68.92,2.87,98.76
70.56,3.21,100.89
72.15,3.54,102.33
69.34,2.78,99.12
70.89,3.45,101.56
68.76,2.92,98.45
71.23,3.28,100.67
70.45,3.15,100.23
69.98,2.99,99.89
71.67,3.41,101.78
68.54,2.84,98.34
70.34,3.18,100.56
72.34,3.58,102.45
69.67,2.88,99.45
70.78,3.37,101.12
68.89,2.95,98.67
71.12,3.25,100.78
70.12,3.08,100.12
69.76,2.91,99.56
71.89,3.48,102.01
68.67,2.81,98.23
70.67,3.31,101.34
72.01,3.51,102.12
69.45,2.85,99.34
70.92,3.42,101.45
68.78,2.93,98.56
71.34,3.29,100.89
70.34,3.16,100.34
69.89,2.97,99.78
71.78,3.44,101.89
68.56,2.83,98.45
70.45,3.19,100.67
72.23,3.56,102.34
69.56,2.86,99.23
70.81,3.39,101.23
68.92,2.96,98.78
71.23,3.27,100.87
70.23,3.13,100.23
69.87,2.94,99.67
71.56,3.38,101.67
68.64,2.82,98.34
70.56,3.23,100.78
72.12,3.53,102.23
69.67,2.89,99.45
70.89,3.43,101.34
68.87,2.94,98.67
71.34,3.31,100.98
70.45,3.17,100.45
69.78,2.92,99.56
71.67,3.42,101.78
68.54,2.84,98.23
70.34,3.18,100.56
72.34,3.57,102.45
69.56,2.87,99.34
70.78,3.38,101.12
68.89,2.95,98.67
71.12,3.26,100.78
70.12,3.09,100.12
69.76,2.91,99.56
71.89,3.47,102.01
68.67,2.82,98.34
70.67,3.32,101.23
72.01,3.52,102.12
69.45,2.86,99.23
70.92,3.41,101.45
68.78,2.94,98.56
71.34,3.29,100.89
70.34,3.15,100.34
69.89,2.98,99.78
71.78,3.45,101.89
68.56,2.83,98.45
70.45,3.19,100.67
72.23,3.55,102.34
69.56,2.87,99.34
70.81,3.39,101.23
68.92,2.95,98.78
71.23,3.28,100.87
70.23,3.12,100.23
69.87,2.93,99.67
71.56,3.39,101.67
68.64,2.81,98.34
70.56,3.24,100.78
72.12,3.54,102.23
69.67,2.88,99.45
70.89,3.42,101.34
68.87,2.94,98.67
71.34,3.30,100.98
70.45,3.16,100.45
69.78,2.92,99.56
71.67,3.43,101.78
68.54,2.84,98.23
70.34,3.17,100.56
72.34,3.58,102.45
69.56,2.86,99.34
70.78,3.37,101.12
68.89,2.96,98.67
71.12,3.25,100.78
70.12,3.08,100.12
69.76,2.90,99.56
71.89,3.48,102.01
68.67,2.82,98.34
70.67,3.31,101.23
72.01,3.51,102.12
69.45,2.85,99.23
70.92,3.40,101.45
68.78,2.93,98.56
71.34,3.28,100.89
70.34,3.14,100.34
69.89,2.97,99.78
71.78,3.44,101.89
68.56,2.83,98.45
70.45,3.18,100.67
72.23,3.56,102.34
69.56,2.87,99.34
70.81,3.38,101.23
68.92,2.95,98.78
71.23,3.27,100.87
70.23,3.11,100.23
