192.168.1.1,00:0c:29:a1:b2:c3,gateway-router
192.168.1.5,00:0c:29:d4:e5:f6,dns-server-primary
192.168.1.10,00:0c:29:11:22:33,file-server-01
192.168.1.15,00:0c:29:44:55:66,web-server-prod
192.168.1.20,00:0c:29:77:88:99,database-server
192.168.1.25,00:0c:29:aa:bb:cc,mail-server
192.168.1.30,00:0c:29:dd:ee:ff,backup-server
192.168.1.35,00:0c:29:12:34:56,switch-main
192.168.1.40,00:0c:29:78:9a:bc,printer-01
192.168.1.45,00:0c:29:de:f0:12,printer-02
192.168.1.50,00:0c:29:34:56:78,workstation-05
192.168.1.55,00:0c:29:9a:bc:de,workstation-12
192.168.1.60,00:0c:29:f0:12:34,workstation-23
192.168.1.65,00:0c:29:56:78:9a,workstation-31
192.168.1.70,00:0c:29:bc:de:f0,conference-room-01
192.168.1.75,00:0c:29:13:24:35,voip-phone-main
192.168.1.80,00:0c:29:46:57:68,security-camera-01
192.168.1.85,00:0c:29:79:8a:9b,iot-controller
192.168.1.90,00:0c:29:ac:bd:ce,wifi-ap-floor2
192.168.1.95,00:0c:29:df:e0:f1,wifi-ap-floor3
192.168.1.100,00:0c:29:23:45:67,admin-workstation
192.168.1.105,00:0c:29:89:ab:cd,developer-laptop-01
192.168.1.110,00:0c:29:ef:01:23,test-server
