order_id,customer_id,order_date,product_category,amount,region
ORD200001,CUST30001,2022-06-15,Electronics,1299.99,North
ORD200002,CUST30002,2022-06-18,Clothing,89.50,South
ORD200003,CUST30003,2022-07-22,Home & Garden,456.75,East
ORD200004,CUST30004,2022-07-25,Books,34.99,West
ORD200005,CUST30005,2022-08-10,Sports,178.25,North
ORD200006,CUST30006,2022-08-14,Toys,67.80,South
ORD200007,CUST30007,2022-09-05,Electronics,899.00,East
ORD200008,CUST30008,2022-09-12,Clothing,125.50,West
ORD200009,CUST30009,2022-10-03,Home & Garden,567.40,North
ORD200010,CUST30010,2022-10-08,Books,45.99,South
ORD200011,CUST30011,2022-11-15,Sports,234.60,East
ORD200012,CUST30012,2022-11-20,Toys,89.99,West
ORD200013,CUST30013,2022-12-05,Electronics,1599.99,North
ORD200014,CUST30014,2022-12-10,Clothing,210.00,South
ORD200015,CUST30015,2023-01-12,Home & Garden,678.90,East
ORD200016,CUST30016,2023-01-18,Books,29.99,West
ORD200017,CUST30017,2023-02-14,Sports,345.75,North
ORD200018,CUST30018,2023-02-20,Toys,123.40,South
ORD200019,CUST30019,2023-03-08,Electronics,1899.50,East
ORD200020,CUST30020,2023-03-15,Clothing,156.80,West
ORD200021,CUST30021,2023-04-10,Home & Garden,789.25,North
ORD200022,CUST30022,2023-04-16,Books,52.30,South
ORD200023,CUST30023,2023-05-05,Sports,267.90,East
ORD200024,CUST30024,2023-05-12,Toys,98.75,West
ORD200025,CUST30025,2023-06-18,Electronics,1456.00,North
ORD200026,CUST30026,2023-06-22,Clothing,187.60,South
ORD200027,CUST30027,2023-07-14,Home & Garden,534.20,East
ORD200028,CUST30028,2023-07-20,Books,38.90,West
ORD200029,CUST30029,2023-08-09,Sports,412.50,North
ORD200030,CUST30030,2023-08-15,Toys,145.30,South
ORD200031,CUST30031,2023-09-06,Electronics,2199.99,East
ORD200032,CUST30032,2023-09-11,Clothing,298.40,West
ORD200033,CUST30033,2023-10-17,Home & Garden,623.80,North
ORD200034,CUST30034,2023-10-22,Books,41.25,South
ORD200035,CUST30035,2023-11-13,Sports,389.60,East
ORD200036,CUST30036,2023-11-19,Toys,167.90,West
ORD200037,CUST30037,2023-12-08,Electronics,1725.50,North
ORD200038,CUST30038,2023-12-14,Clothing,234.70,South
ORD200039,CUST30039,2022-06-25,Home & Garden,445.60,East
ORD200040,CUST30040,2022-07-05,Books,27.80,West
ORD200041,CUST30041,2022-08-20,Sports,298.45,North
ORD200042,CUST30042,2022-09-18,Toys,112.60,South
ORD200043,CUST30043,2022-10-25,Electronics,1345.00,East
ORD200044,CUST30044,2022-11-08,Clothing,176.30,West
ORD200045,CUST30045,2022-12-22,Home & Garden,712.90,North
ORD200046,CUST30046,2023-01-28,Books,36.50,South
ORD200047,CUST30047,2023-02-25,Sports,456.80,East
ORD200048,CUST30048,2023-03-22,Toys,134.25,West
ORD200049,CUST30049,2023-04-28,Electronics,1987.60,North
ORD200050,CUST30050,2023-05-24,Clothing,189.90,South
ORD200051,CUST30051,,Home & Garden,567.40,East
ORD200052,CUST30052,2023-07-08,Books,44.60,West
ORD200053,CUST30053,2023-08-26,Sports,523.70,North
ORD200054,CUST30054,2023-09-21,Toys,0.00,South
ORD200055,CUST30055,2023-10-30,Electronics,2399.99,East
ORD200056,CUST30056,2023-11-25,Clothing,267.50,West
ORD200057,CUST30057,2023-12-20,Home & Garden,834.20,North
ORD200058,CUST30058,2022-06-30,Books,31.45,South
ORD200059,CUST30059,2022-07-12,Sports,356.90,East
ORD200060,CUST30060,2022-08-28,Toys,98.30,West
ORD200061,CUST30061,2022-09-26,Electronics,1678.40,North
ORD200062,CUST30062,2022-10-14,Clothing,198.70,South
ORD200063,CUST30063,2022-11-29,Home & Garden,489.50,East
ORD200064,CUST30064,2022-12-18,Books,49.99,West
ORD200065,CUST30065,2023-01-22,Sports,378.25,North
ORD200066,CUST30066,2023-02-28,Toys,156.80,South
ORD200067,CUST30067,2023-03-30,Electronics,1567.30,East
ORD200068,CUST30068,2023-04-25,Clothing,223.40,West
ORD200069,CUST30069,2023-05-30,Home & Garden,645.90,North
ORD200070,CUST30070,2023-06-28,Books,38.75,South
ORD200071,CUST30071,2023-07-26,Sports,467.60,East
ORD200072,CUST30072,2023-08-30,Toys,189.40,West
ORD200073,CUST30073,2023-09-28,Electronics,2048.80,North
ORD200074,CUST30074,2023-10-26,Clothing,312.50,South
ORD200075,CUST30075,2023-11-28,Home & Garden,756.30,East
ORD200076,CUST30076,2023-12-28,Books,42.90,West
ORD200077,CUST30077,2022-12-31,Sports,289.70,North
ORD200078,CUST30078,2023-12-31,Toys,176.50,South
ORD200079,CUST30079,2022-06-01,Electronics,1123.45,East
