Age,Department,JobSatisfaction,MonthlyIncome,YearsAtCompany,WorkLifeBalance,OverTime,Attrition
45,Sales,3,8500,5,2,Yes,1
32,R&D,4,12000,8,3,No,0
28,Sales,2,6500,2,2,Yes,1
52,HR,3,9500,15,3,No,0
38,R&D,4,15000,12,4,No,0
25,Sales,1,5000,1,1,Yes,1
41,R&D,3,11000,7,3,No,0
35,HR,2,7500,4,2,Yes,1
48,Sales,4,13000,10,3,No,0
29,R&D,3,8000,3,2,No,0
55,HR,4,14500,20,4,No,0
33,Sales,2,7000,3,1,Yes,1
44,R&D,3,10500,9,3,No,0
27,Sales,1,5500,1,2,Yes,1
50,HR,4,12500,18,3,No,0
36,R&D,3,9500,6,3,No,0
31,Sales,2,6800,2,2,Yes,1
42,HR,4,11500,11,4,No,0
26,R&D,2,6000,1,1,Yes,1
47,Sales,3,10000,12,3,No,0
34,R&D,4,13500,8,4,No,0
39,HR,3,9000,7,2,No,0
24,Sales,1,4500,0,1,Yes,1
51,R&D,4,15500,16,4,No,0
37,Sales,2,7200,4,2,Yes,1
43,HR,3,10200,10,3,No,0
30,R&D,4,11800,5,3,No,0
49,Sales,3,9800,13,2,No,0
28,HR,2,6500,2,2,Yes,1
54,R&D,4,16000,22,4,No,0
35,Sales,1,6200,3,1,Yes,1
40,HR,3,10800,9,3,No,0
26,R&D,3,7500,2,2,No,0
46,Sales,4,12200,11,3,No,0
32,HR,2,7800,4,2,Yes,1
53,R&D,4,14800,19,4,No,0
29,Sales,1,5800,1,1,Yes,1
41,HR,3,10500,8,3,No,0
36,R&D,4,13200,7,4,No,0
25,Sales,2,5200,1,2,Yes,1
48,HR,3,11200,14,3,No,0
33,R&D,3,9200,5,3,No,0
44,Sales,2,8200,9,2,Yes,0
27,HR,4,8500,3,3,No,0
50,R&D,4,15200,17,4,No,0
38,Sales,1,6800,4,1,Yes,1
42,HR,3,10000,10,3,No,0
31,R&D,4,12500,6,4,No,0
47,Sales,3,9500,12,2,No,0
34,HR,2,7500,5,2,Yes,1
52,R&D,4,14200,18,4,No,0
28,Sales,1,5500,2,1,Yes,1
45,HR,3,11000,13,3,No,0
35,R&D,4,13800,8,4,No,0
26,Sales,2,6000,1,2,Yes,1
49,HR,3,10500,15,3,No,0
37,R&D,3,9800,6,3,No,0
43,Sales,2,7800,8,2,Yes,1
30,HR,4,9500,4,3,No,0
51,R&D,4,16500,20,4,No,0
32,Sales,1,6200,2,1,Yes,1
46,HR,3,11800,12,3,No,0
29,R&D,4,11500,4,4,No,0
54,Sales,3,10200,14,2,No,0
39,HR,2,8200,7,2,Yes,0
25,R&D,3,7200,1,2,No,0
48,Sales,4,13500,13,3,No,0
33,HR,2,7500,4,2,Yes,1
44,R&D,4,12800,10,4,No,0
27,Sales,1,5200,1,1,Yes,1
50,HR,3,11500,16,3,No,0
36,R&D,4,14500,9,4,No,0
41,Sales,2,7500,6,2,Yes,1
31,HR,3,9200,5,3,No,0
53,R&D,4,15800,21,4,No,0
28,Sales,1,5800,2,1,Yes,1
47,HR,3,10800,14,3,No,0
34,R&D,4,12200,7,4,No,0
42,Sales,2,8000,8,2,Yes,1
26,HR,3,8000,2,2,No,0
49,R&D,4,14800,15,4,No,0
38,Sales,1,6500,4,1,Yes,1
45,HR,3,11200,11,3,No,0
30,R&D,4,11200,5,3,No,0
52,Sales,3,9200,13,2,No,0
35,HR,2,7800,6,2,Yes,1
24,R&D,2,6500,1,2,Yes,1
46,Sales,4,12500,12,3,No,0
32,HR,3,9500,5,3,No,0
51,R&D,4,16200,18,4,No,0
29,Sales,1,5500,2,1,Yes,1
43,HR,3,10200,9,3,No,0
37,R&D,4,13500,8,4,No,0
48,Sales,2,8500,11,2,Yes,0
25,HR,2,6800,1,2,Yes,1
54,R&D,4,15500,23,4,No,0
33,Sales,1,6000,3,1,Yes,1
40,HR,3,10500,8,3,No,0
27,R&D,3,8800,3,3,No,0
47,Sales,4,11800,12,3,No,0
34,HR,2,7200,5,2,Yes,1
53,R&D,4,14500,20,4,No,0
31,Sales,1,5800,2,1,Yes,1
44,HR,3,11000,10,3,No,0
28,R&D,4,12800,4,4,No,0
50,Sales,3,9800,14,2,No,0
36,HR,2,8200,6,2,Yes,0
26,R&D,3,7800,2,2,No,0
49,Sales,4,13200,13,3,No,0
39,HR,3,9500,7,3,No,0
45,R&D,4,14200,11,4,No,0
30,Sales,1,6200,2,1,Yes,1
52,HR,3,12000,17,3,No,0
35,R&D,4,13000,7,4,No,0
41,Sales,2,7800,6,2,Yes,1
27,HR,3,8500,3,3,No,0
48,R&D,4,15200,14,4,No,0
32,Sales,1,5500,2,1,Yes,1
46,HR,3,10800,13,3,No,0
29,R&D,4,11800,5,4,No,0
54,Sales,3,10500,15,2,No,0
37,HR,2,7800,6,2,Yes,1
25,R&D,2,6800,1,2,Yes,1
51,Sales,4,12800,14,3,No,0
33,HR,3,9200,5,3,No,0
43,R&D,4,13800,9,4,No,0
28,Sales,1,5200,1,1,Yes,1
47,HR,3,11500,12,3,No,0
38,R&D,4,14800,8,4,No,0
42,Sales,2,8200,7,2,Yes,1
31,HR,3,9800,4,3,No,0
50,R&D,4,16000,16,4,No,0
26,Sales,1,5800,1,1,Yes,1
45,HR,3,10200,11,3,No,0
34,R&D,4,12500,7,4,No,0
53,Sales,3,9500,13,2,No,0
39,HR,2,8500,7,2,Yes,0
27,R&D,3,8200,3,3,No,0
49,Sales,4,13800,14,3,No,0
36,HR,2,7500,6,2,Yes,1
44,R&D,4,13200,10,4,No,0
30,Sales,1,6000,2,1,Yes,1
52,HR,3,11800,18,3,No,0
35,R&D,4,14000,8,4,No,0
41,Sales,2,7200,6,2,Yes,1
24,HR,2,7000,1,2,Yes,1
48,R&D,4,15800,15,4,No,0
32,Sales,1,5500,2,1,Yes,1
46,HR,3,10500,12,3,No,0
29,R&D,4,11500,4,4,No,0
54,Sales,3,10000,14,2,No,0
37,HR,2,8000,6,2,Yes,0
25,R&D,3,7500,1,2,No,0
51,Sales,4,13500,15,3,No,0
33,HR,3,9500,5,3,No,0
43,R&D,4,14500,11,4,No,0
28,Sales,1,5800,2,1,Yes,1
47,HR,3,11200,13,3,No,0
38,R&D,4,13500,8,4,No,0
42,Sales,2,8500,8,2,Yes,1
31,HR,3,9200,5,3,No,0
