failure_class,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50
0,45.23,46.11,872.45,0.67,125.34,126.89,78.92,0.45,234.56,89.23,45.67,0.78,567.89,23.45,0.34,891.23,45.67,0.56,234.78,67.89,0.23,456.78,89.01,0.67,345.67,78.90,0.45,567.89,90.12,0.78,234.56,67.89,0.34,456.78,89.23,0.56,678.90,23.45,0.67,345.67,78.90,0.45,567.89,12.34,0.78,890.12,34.56,0.23,456.78,0.89
0,52.34,53.21,945.67,0.78,134.56,135.78,82.34,0.56,245.67,92.34,48.90,0.82,589.12,25.67,0.45,912.34,48.90,0.67,245.89,70.12,0.34,478.90,92.34,0.78,356.78,81.23,0.56,589.01,93.45,0.82,245.67,70.12,0.45,478.90,92.34,0.67,690.12,25.67,0.78,356.78,81.23,0.56,589.01,14.56,0.82,912.34,36.78,0.34,478.90,0.91
0,48.56,49.32,908.23,0.72,129.45,130.56,80.12,0.51,240.12,90.56,47.23,0.80,578.45,24.56,0.39,901.78,47.23,0.61,240.34,69.01,0.28,467.34,90.67,0.72,351.23,80.06,0.51,578.45,91.78,0.80,240.12,69.01,0.39,467.34,90.78,0.61,684.56,24.56,0.72,351.23,80.06,0.51,578.45,13.45,0.80,901.23,35.67,0.28,467.34,0.90
0,51.23,52.01,932.56,0.75,132.67,133.89,81.56,0.54,243.45,91.67,48.12,0.81,584.67,25.12,0.42,907.89,48.12,0.64,243.56,69.78,0.31,473.56,91.78,0.75,354.56,80.78,0.54,584.23,92.89,0.81,243.45,69.78,0.42,473.56,91.89,0.64,687.78,25.12,0.75,354.56,80.78,0.54,584.23,14.01,0.81,907.45,36.23,0.31,473.56,0.90
0,46.78,47.56,885.34,0.69,127.23,128.34,79.23,0.48,237.89,89.45,46.56,0.79,572.34,24.01,0.36,896.45,46.56,0.59,237.67,68.23,0.26,462.45,89.89,0.69,348.90,79.34,0.48,572.89,90.56,0.79,237.89,68.23,0.36,462.45,89.56,0.59,680.23,24.01,0.69,348.90,79.34,0.48,572.89,13.12,0.79,896.01,35.12,0.26,462.45,0.88
0,49.90,50.67,920.78,0.74,131.56,132.67,80.90,0.53,242.34,91.12,47.89,0.80,581.56,24.89,0.41,905.67,47.89,0.63,242.45,69.56,0.30,470.67,91.23,0.74,353.45,80.56,0.53,581.12,92.34,0.80,242.34,69.56,0.41,470.67,91.34,0.63,686.45,24.89,0.74,353.45,80.56,0.53,581.12,13.89,0.80,905.23,36.01,0.30,470.67,0.90
0,47.34,48.12,893.56,0.70,128.12,129.23,79.67,0.49,239.23,89.89,47.01,0.79,575.23,24.23,0.37,899.34,47.01,0.60,239.12,68.67,0.27,465.34,90.34,0.70,350.34,79.78,0.49,575.67,91.01,0.79,239.23,68.67,0.37,465.34,90.01,0.60,682.67,24.23,0.70,350.34,79.78,0.49,575.67,13.34,0.79,898.89,35.45,0.27,465.34,0.89
0,50.45,51.23,926.34,0.75,132.01,133.12,81.23,0.54,242.89,91.45,48.34,0.81,583.12,25.01,0.41,906.78,48.34,0.64,242.89,69.89,0.31,472.12,91.56,0.75,354.01,80.67,0.54,582.67,92.56,0.81,242.89,69.89,0.41,472.12,91.67,0.64,687.12,25.01,0.75,354.01,80.67,0.54,582.67,13.94,0.81,906.34,36.12,0.31,472.12,0.90
0,48.12,48.89,902.34,0.71,129.01,130.12,80.01,0.50,240.56,90.23,47.45,0.80,577.89,24.45,0.38,900.89,47.45,0.61,240.01,68.89,0.28,466.89,90.56,0.71,351.01,80.01,0.50,577.34,91.34,0.80,240.56,68.89,0.38,466.89,90.34,0.61,683.56,24.45,0.71,351.01,80.01,0.50,577.34,13.56,0.80,900.45,35.67,0.28,466.89,0.89
0,51.67,52.45,935.67,0.76,133.23,134.34,81.78,0.55,244.01,91.89,48.67,0.82,585.78,25.23,0.43,908.90,48.67,0.65,244.12,70.12,0.32,474.23,91.89,0.76,355.12,80.89,0.55,585.34,93.01,0.82,244.01,70.12,0.43,474.23,92.01,0.65,688.67,25.23,0.76,355.12,80.89,0.55,585.34,14.12,0.82,908.45,36.34,0.32,474.23,0.91
0,46.45,47.23,879.23,0.68,126.67,127.78,78.89,0.47,236.78,89.12,46.23,0.78,570.12,23.89,0.35,894.23,46.23,0.58,236.56,67.89,0.25,460.23,89.45,0.68,347.67,79.01,0.47,570.56,90.23,0.78,236.78,67.89,0.35,460.23,89.23,0.58,678.90,23.89,0.68,347.67,79.01,0.47,570.56,12.89,0.78,893.78,34.89,0.25,460.23,0.87
0,49.56,50.34,914.56,0.73,130.89,132.01,80.56,0.52,241.67,90.78,47.67,0.80,580.23,24.67,0.40,903.45,47.67,0.62,241.56,69.23,0.29,469.45,91.01,0.73,352.78,80.34,0.52,579.89,91.89,0.80,241.67,69.23,0.40,469.45,90.89,0.62,685.34,24.67,0.73,352.78,80.34,0.52,579.89,13.78,0.80,903.01,35.89,0.29,469.45,0.89
0,52.89,53.67,948.90,0.79,134.89,136.01,82.67,0.57,245.89,92.67,49.12,0.82,590.45,25.45,0.44,914.56,49.12,0.66,245.78,70.45,0.33,479.12,92.45,0.79,357.23,81.45,0.57,590.01,93.56,0.82,245.89,70.45,0.44,479.12,92.56,0.66,691.23,25.45,0.79,357.23,81.45,0.57,590.01,14.34,0.82,914.12,36.56,0.33,479.12,0.92
0,47.89,48.67,897.89,0.71,128.56,129.67,79.89,0.50,239.67,90.12,47.23,0.79,576.45,24.34,0.38,900.12,47.23,0.60,239.45,68.78,0.27,465.67,90.45,0.71,350.67,79.89,0.50,576.01,91.23,0.79,239.67,68.78,0.38,465.67,90.23,0.60,682.89,24.34,0.71,350.67,79.89,0.50,576.01,13.45,0.79,899.67,35.56,0.27,465.67,0.89
0,50.78,51.56,929.45,0.75,132.34,133.45,81.34,0.54,243.23,91.56,48.45,0.81,583.89,25.06,0.42,907.23,48.45,0.64,243.12,69.90,0.31,472.78,91.67,0.75,354.34,80.78,0.54,583.45,92.67,0.81,243.23,69.90,0.42,472.78,91.78,0.64,687.56,25.06,0.75,354.34,80.78,0.54,583.45,14.06,0.81,906.78,36.23,0.31,472.78,0.90
0,48.67,49.45,908.67,0.72,129.67,130.78,80.23,0.51,240.78,90.45,47.56,0.80,578.67,24.56,0.39,901.56,47.56,0.61,240.67,69.12,0.28,467.56,90.78,0.72,351.56,80.12,0.51,578.23,91.56,0.80,240.78,69.12,0.39,467.56,90.45,0.61,684.78,24.56,0.72,351.56,80.12,0.51,578.23,13.67,0.80,901.12,35.78,0.28,467.56,0.90
0,51.34,52.12,932.78,0.76,132.78,133.89,81.67,0.55,243.56,91.78,48.23,0.81,584.56,25.12,0.42,907.67,48.23,0.64,243.67,69.89,0.31,473.34,91.89,0.76,354.78,80.89,0.55,584.12,92.89,0.81,243.56,69.89,0.42,473.34,91.89,0.64,687.89,25.12,0.76,354.78,80.89,0.55,584.12,14.06,0.81,907.23,36.34,0.31,473.34,0.90
0,46.89,47.67,885.67,0.69,127.45,128.56,79.34,0.48,238.12,89.56,46.67,0.79,572.56,24.12,0.36,896.78,46.67,0.59,237.89,68.34,0.26,462.78,89.89,0.69,349.12,79.45,0.48,572.12,90.67,0.79,238.12,68.34,0.36,462.78,89.67,0.59,680.45,24.12,0.69,349.12,79.45,0.48,572.12,13.23,0.79,896.34,35.23,0.26,462.78,0.88
0,50.12,50.89,920.90,0.74,131.67,132.78,80.90,0.53,242.45,91.23,47.90,0.80,581.67,24.89,0.41,905.45,47.90,0.63,242.56,69.67,0.30,470.90,91.34,0.74,353.56,80.67,0.53,581.23,92.45,0.80,242.45,69.67,0.41,470.90,91.45,0.63,686.56,24.89,0.74,353.56,80.67,0.53,581.23,13.89,0.80,905.01,36.12,0.30,470.90,0.90
0,47.56,48.34,893.78,0.70,128.23,129.34,79.78,0.49,239.34,89.90,47.12,0.79,575.34,24.34,0.37,899.56,47.12,0.60,239.23,68.78,0.27,465.56,90.45,0.70,350.45,79.89,0.49,575.78,91.12,0.79,239.34,68.78,0.37,465.56,90.12,0.60,682.78,24.34,0.70,350.45,79.89,0.49,575.78,13.45,0.79,899.12,35.56,0.27,465.56,0.89
0,50.56,51.34,926.56,0.75,132.12,133.23,81.34,0.54,242.90,91.56,48.34,0.81,583.23,25.01,0.41,906.89,48.34,0.64,243.01,69.89,0.31,472.34,91.67,0.75,354.12,80.78,0.54,582.78,92.67,0.81,242.90,69.89,0.41,472.34,91.78,0.64,687.23,25.01,0.75,354.12,80.78,0.54,582.78,13.98,0.81,906.45,36.23,0.31,472.34,0.90
0,48.23,49.01,902.45,0.71,129.12,130.23,80.12,0.50,240.67,90.34,47.56,0.80,578.01,24.56,0.38,901.01,47.56,0.61,240.12,69.01,0.28,467.01,90.67,0.71,351.12,80.12,0.50,577.45,91.45,0.80,240.67,69.01,0.38,467.01,90.45,0.61,683.67,24.56,0.71,351.12,80.12,0.50,577.45,13.67,0.80,900.56,35.78,0.28,467.01,0.89
0,51.78,52.56,935.89,0.76,133.34,134.45,81.89,0.55,244.12,92.01,48.78,0.82,585.89,25.34,0.43,909.12,48.78,0.65,244.23,70.23,0.32,474.45,92.01,0.76,355.23,81.01,0.55,585.45,93.12,0.82,244.12,70.23,0.43,474.45,92.12,0.65,688.78,25.34,0.76,355.23,81.01,0.55,585.45,14.23,0.82,908.67,36.45,0.32,474.45,0.91
0,46.56,47.34,879.45,0.68,126.78,127.89,78.90,0.47,236.89,89.23,46.34,0.78,570.23,23.89,0.35,894.45,46.34,0.58,236.67,67.90,0.25,460.45,89.56,0.68,347.78,79.12,0.47,570.67,90.34,0.78,236.89,67.90,0.35,460.45,89.34,0.58,679.01,23.89,0.68,347.78,79.12,0.47,570.67,12.90,0.78,893.90,34.90,0.25,460.45,0.87
0,49.67,50.45,914.78,0.73,131.01,132.12,80.67,0.52,241.78,90.89,47.78,0.80,580.34,24.78,0.40,903.67,47.78,0.62,241.67,69.34,0.29,469.67,91.12,0.73,352.89,80.45,0.52,580.01,92.01,0.80,241.78,69.34,0.40,469.67,91.01,0.62,685.45,24.78,0.73,352.89,80.45,0.52,580.01,13.89,0.80,903.23,35.90,0.29,469.67,0.89
0,52.01,52.78,941.23,0.77,134.23,135.34,82.12,0.56,245.23,92.23,48.90,0.82,588.67,25.23,0.43,912.34,48.90,0.65,245.12,70.01,0.32,477.34,92.12,0.77,356.45,81.12,0.56,588.23,93.23,0.82,245.23,70.01,0.43,477.34,92.34,0.65,690.12,25.23,0.77,356.45,81.12,0.56,588.23,14.12,0.82,911.89,36.34,0.32,477.34,0.91
0,47.12,47.89,890.12,0.70,127.89,129.01,79.45,0.49,238.78,89.67,46.89,0.79,574.12,24.01,0.37,898.23,46.89,0.59,238.67,68.45,0.26,464.23,90.12,0.70,349.89,79.56,0.49,574.56,90.78,0.79,238.78,68.45,0.37,464.23,89.89,0.59,681.56,24.01,0.70,349.89,79.56,0.49,574.56,13.23,0.79,897.78,35.34,0.26,464.23,0.88
0,50.34,51.12,923.67,0.74,131.89,133.01,81.01,0.53,242.56,91.34,48.12,0.80,582.12,24.90,0.41,904.89,48.12,0.63,242.67,69.78,0.30,471.56,91.45,0.74,353.67,80.78,0.53,581.67,92.56,0.80,242.56,69.78,0.41,471.56,91.56,0.63,686.23,24.90,0.74,353.67,80.78,0.53,581.67,13.90,0.80,904.45,36.12,0.30,471.56,0.90
0,48.45,49.23,905.89,0.72,129.45,130.56,80.12,0.51,240.45,90.56,47.45,0.80,577.78,24.45,0.39,900.67,47.45,0.61,240.34,69.01,0.28,466.67,90.67,0.72,351.45,80.01,0.51,577.34,91.45,0.80,240.45,69.01,0.39,466.67,90.34,0.61,684.12,24.45,0.72,351.45,80.01,0.51,577.34,13.56,0.80,900.23,35.67,0.28,466.67,0.89
0,51.23,52.01,929.90,0.75,132.56,133.67,81.45,0.54,243.34,91.67,48.34,0.81,583.78,25.06,0.42,907.12,48.34,0.64,243.45,69.90,0.31,472.67,91.78,0.75,354.45,80.89,0.54,583.34,92.78,0.81,243.34,69.90,0.42,472.67,91.89,0.64,687.45,25.06,0.75,354.45,80.89,0.54,583.34,14.01,0.81,906.67,36.23,0.31,472.67,0.90
0,46.78,47.56,882.34,0.69,127.12,128.23,79.12,0.48,237.56,89.34,46.56,0.78,571.45,23.90,0.36,895.56,46.56,0.58,237.45,68.12,0.26,461.56,89.67,0.69,348.56,79.23,0.48,571.01,90.45,0.78,237.56,68.12,0.36,461.56,89.45,0.58,679.67,23.90,0.69,348.56,79.23,0.48,571.01,13.12,0.78,895.12,35.12,0.26,461.56,0.88
0,49.89,50.67,917.56,0.73,131.23,132.34,80.78,0.52,242.01,91.01,47.89,0.80,580.89,24.78,0.40,904.23,47.89,0.62,242.12,69.56,0.29,470.23,91.23,0.73,353.12,80.56,0.52,580.45,92.12,0.80,242.01,69.56,0.40,470.23,91.12,0.62,685.89,24.78,0.73,353.12,80.56,0.52,580.45,13.89,0.80,903.78,36.01,0.29,470.23,0.89
0,52.45,53.23,944.56,0.78,134.56,135.67,82.34,0.57,245.56,92.45,49.01,0.82,589.45,25.34,0.44,913.45,49.01,0.66,245.45,70.23,0.33,478.45,92.34,0.78,356.78,81.34,0.57,589.01,93.45,0.82,245.56,70.23,0.44,478.45,92.45,0.66,690.78,25.34,0.78,356.78,81.34,0.57,589.01,14.23,0.82,913.01,36.45,0.33,478.45,0.92
0,47.67,48.45,893.45,0.70,128.34,129.45,79.67,0.49,239.12,89.78,47.12,0.79,575.12,24.23,0.37,899.12,47.12,0.60,239.01,68.67,0.27,465.12,90.34,0.70,350.23,79.78,0.49,575.56,91.01,0.79,239.12,68.67,0.37,465.12,90.01,0.60,682.45,24.23,0.70,350.23,79.78,0.49,575.56,13.34,0.79,898.67,35.45,0.27,465.12,0.89
0,50.56,51.34,923.34,0.74,131.78,132.89,80.90,0.53,242.45,91.23,48.01,0.80,581.89,24.89,0.41,905.23,48.01,0.63,242.56,69.67,0.30,471.23,91.45,0.74,353.45,80.67,0.53,581.45,92.45,0.80,242.45,69.67,0.41,471.23,91.34,0.63,686.45,24.89,0.74,353.45,80.67,0.53,581.45,13.89,0.80,904.78,36.01,0.30,471.23,0.90
0,48.34,49.12,902.67,0.71,129.23,130.34,80.01,0.50,240.34,90.23,47.45,0.80,577.67,24.45,0.38,900.89,47.45,0.61,240.23,68.89,0.28,466.89,90.56,0.71,351.01,80.01,0.50,577.23,91.34,0.80,240.34,68.89,0.38,466.89,90.23,0.61,683.45,24.45,0.71,351.01,80.01,0.50,577.23,13.56,0.80,900.45,35.67,0.28,466.89,0.89
0,51.67,52.45,932.45,0.76,132.89,134.01,81.56,0.55,243.67,91.78,48.45,0.81,584.45,25.12,0.42,907.78,48.45,0.64,243.78,70.01,0.31,473.01,91.89,0.76,354.67,80.89,0.55,584.01,92.89,0.81,243.67,70.01,0.42,473.01,91.89,0.64,687.78,25.12,0.76,354.67,80.89,0.55,584.01,14.06,0.81,907.34,36.23,0.31,473.01,0.90
0,46.67,47.45,879.67,0.68,126.89,128.01,78.90,0.47,236.90,89.12,46.45,0.78,570.34,23.89,0.35,894.56,46.45,0.58,236.78,67.90,0.25,460.56,89.45,0.68,347.89,79.01,0.47,570.78,90.23,0.78,236.90,67.90,0.35,460.56,89.23,0.58,679.12,23.89,0.68,347.89,79.01,0.47,570.78,12.90,0.78,894.12,34.90,0.25,460.56,0.87
0,49.78,50.56,914.90,0.73,131.12,132.23,80.67,0.52,241.89,90.90,47.89,0.80,580.45,24.78,0.40,903.78,47.89,0.62,241.78,69.45,0.29,469.78,91.23,0.73,353.01,80.56,0.52,580.12,92.12,0.80,241.89,69.45,0.40,469.78,91.12,0.62,685.56,24.78,0.73,353.01,80.56,0.52,580.12,13.89,0.80,903.34,36.01,0.29,469.78,0.89
0,52.12,52.90,941.45,0.77,134.34,135.45,82.23,0.56,245.34,92.34,49.01,0.82,588.78,25.34,0.43,912.56,49.01,0.65,245.23,70.12,0.32,477.56,92.23,0.77,356.56,81.23,0.56,588.34,93.34,0.82,245.34,70.12,0.43,477.56,92.45,0.65,690.23,25.34,0.77,356.56,81.23,0.56,588.34,14.12,0.82,912.12,36.45,0.32,477.56,0.91
0,47.23,48.01,890.34,0.70,128.01,129.12,79.56,0.49,238.89,89.78,47.01,0.79,574.23,24.12,0.37,898.45,47.01,0.59,238.78,68.56,0.26,464.45,90.23,0.70,350.01,79.67,0.49,574.67,90.89,0.79,238.89,68.56,0.37,464.45,90.01,0.59,681.67,24.12,0.70,350.01,79.67,0.49,574.67,13.23,0.79,897.90,35.45,0.26,464.45,0.88
