Date,Product,Amount,Quantity
2024-01-01,Widget A,1250.50,25
2024-01-02,Widget B,890.00,15
2024-01-03,Widget C,2100.75,30
2024-01-04,Gadget X,1575.25,22
2024-01-05,Gadget Y,2450.00,35
2024-01-06,Widget A,1820.30,28
2024-01-07,Widget B,950.75,18
2024-01-08,Widget C,2875.50,42
2024-01-09,Gadget X,1125.00,20
2024-01-10,Gadget Y,2650.25,38
2024-01-11,Widget A,1450.80,26
2024-01-12,Widget B,780.50,12
2024-01-13,Widget C,2200.00,32
2024-01-14,Gadget X,1890.75,29
2024-01-15,Gadget Y,2300.50,33
2024-01-16,Widget A,1650.25,27
2024-01-17,Widget B,1100.00,19
2024-01-18,Widget C,2550.75,37
2024-01-19,Gadget X,1725.50,24
2024-01-20,Gadget Y,2950.00,45
