timestamp,server,event_type,count,duration_ms
2024-01-15 10:00:00,app1,login,45,1250
2024-01-15 10:05:00,app2,query,78,890
2024-01-15 10:10:00,app3,request,23,2340
2024-01-15 10:15:00,app1,error,5,4500
2024-01-15 10:20:00,app2,login,67,1100
2024-01-15 10:25:00,app3,query,92,750
2024-01-15 10:30:00,app1,request,34,1890
2024-01-15 10:35:00,app2,error,8,3200
2024-01-15 10:40:00,app3,login,56,1450
2024-01-15 10:45:00,app1,query,41,980
2024-01-15 10:50:00,app2,request,73,2100
2024-01-15 10:55:00,app3,error,12,4100
2024-01-15 11:00:00,app1,login,88,1320
2024-01-15 11:05:00,app2,query,29,670
2024-01-15 11:10:00,app3,request,61,2890
