batch_size,peak_memory_mb,total_memory_mb,throughput_samples_sec,oom_error
2,1024.5,16384.0,45.2,false
2,1018.3,16384.0,44.8,false
2,1029.7,16384.0,45.6,false
4,2048.3,16384.0,85.6,false
4,2056.1,16384.0,86.2,false
4,2042.9,16384.0,85.1,false
8,3896.7,16384.0,156.3,false
8,3912.4,16384.0,157.8,false
8,3885.2,16384.0,155.7,false
8,3901.5,16384.0,156.9,false
16,7234.2,16384.0,298.7,false
16,7245.8,16384.0,299.3,false
16,7228.6,16384.0,297.9,false
16,7239.1,16384.0,298.4,false
32,12456.8,16384.0,512.4,false
32,12478.3,16384.0,513.7,false
32,12442.1,16384.0,511.8,false
32,12465.9,16384.0,512.9,false
64,15423.9,16384.0,687.2,false
64,15438.7,16384.0,688.5,false
64,15412.3,16384.0,686.3,false
64,15429.5,16384.0,687.8,false
64,15441.2,16384.0,688.9,false
128,16892.3,16384.0,723.1,true
128,16945.7,16384.0,718.4,true
128,16878.5,16384.0,721.7,true
128,16923.1,16384.0,720.2,true
256,18234.6,16384.0,695.3,true
256,18156.9,16384.0,692.1,true
256,18289.4,16384.0,697.8,true
512,19876.3,16384.0,651.2,true
512,19923.7,16384.0,648.9,true
512,19845.1,16384.0,652.5,true
3,1534.2,16384.0,62.3,false
3,1528.9,16384.0,61.9,false
5,2567.8,16384.0,98.7,false
5,2573.4,16384.0,99.1,false
12,5678.4,16384.0,223.5,false
12,5692.1,16384.0,224.8,false
12,5664.7,16384.0,222.7,false
24,9876.5,16384.0,445.3,false
24,9891.2,16384.0,446.7,false
24,9862.8,16384.0,444.1,false
48,13567.9,16384.0,589.4,false
48,13589.3,16384.0,591.2,false
48,13552.6,16384.0,588.1,false
96,15876.4,16384.0,712.5,false
96,15892.7,16384.0,714.3,false
96,15861.2,16384.0,711.2,false
100,15934.8,16384.0,715.8,false
100,15948.3,16384.0,716.9,false
200,17234.5,16384.0,738.4,true
200,17189.6,16384.0,735.2,true
2,1021.8,16384.0,45.0,false
4,2051.7,16384.0,85.9,false
8,3894.3,16384.0,156.1,false
16,7231.5,16384.0,298.2,false
32,12451.2,16384.0,512.1,false
64,15419.8,16384.0,686.9,false
128,16901.5,16384.0,722.5,true
256,18267.3,16384.0,694.7,true
2,1026.4,16384.0,45.4,false
4,2045.6,16384.0,85.3,false
8,3907.8,16384.0,157.2,false
16,7241.3,16384.0,298.9,false
32,12461.5,16384.0,512.6,false
64,15435.1,16384.0,688.1,false
128,16887.9,16384.0,722.9,true
3,1531.5,16384.0,62.1,false
5,2570.6,16384.0,98.9,false
12,5685.9,16384.0,224.1,false
24,9884.7,16384.0,446.0,false
48,13575.8,16384.0,590.3,false
96,15883.5,16384.0,713.4,false
100,15941.6,16384.0,716.5,false
8,3898.9,16384.0,156.5,false
16,7236.7,16384.0,298.5,false
32,12469.4,16384.0,513.2,false
64,15426.3,16384.0,687.5,false
64,15433.8,16384.0,688.3,false
128,16896.7,16384.0,723.5,true
256,18201.3,16384.0,693.5,true
512,19867.8,16384.0,650.8,true
24,9869.3,16384.0,445.7,false
48,13561.4,16384.0,588.9,false
96,15869.8,16384.0,712.1,false
2,1022.9,16384.0,45.1,false
4,2049.8,16384.0,85.7,false
8,3903.6,16384.0,156.7,false
16,7233.9,16384.0,298.3,false
32,12454.7,16384.0,512.3,false
64,15430.7,16384.0,687.9,false
128,16889.4,16384.0,722.3,true
256,18245.9,16384.0,696.1,true
3,1529.8,16384.0,62.0,false
5,2569.1,16384.0,98.8,false
12,5681.3,16384.0,223.9,false
24,9879.6,16384.0,445.9,false
48,13569.7,16384.0,589.7,false
96,15877.3,16384.0,712.9,false
100,15938.2,16384.0,716.2,false
200,17212.8,16384.0,736.8,true
512,19891.5,16384.0,649.5,true
