chain,iteration,mu,tau,theta[1],theta[2],theta[3],theta[4],theta[5],sigma,divergent
1,1,4.9234,2.3456,4.1234,5.2345,4.5678,4.8901,5.6789,1.4523,0
1,2,5.0123,2.4567,4.2345,5.3456,4.6789,4.9012,5.7890,1.5234,0
1,3,4.8765,2.5678,4.0987,5.1234,4.4567,4.7890,5.5678,1.4876,0
1,4,5.1234,2.4321,4.3456,5.4567,4.7890,5.0123,5.8901,1.5678,0
1,5,4.9876,2.5432,4.1876,5.2678,4.5901,4.8765,5.6543,1.4987,0
1,6,5.0345,2.3987,4.2567,5.3789,4.6234,4.9456,5.7234,1.5345,0
1,7,4.9567,2.4765,4.1456,5.2012,4.5234,4.8234,5.6012,1.4765,0
1,8,5.0678,2.5234,4.2890,5.4123,4.7123,4.9890,5.8234,1.5567,0
1,9,4.9123,2.4098,4.0876,5.1567,4.4890,4.7567,5.5901,1.4654,0
1,10,5.0890,2.5567,4.3234,5.4890,4.7567,5.0456,5.8567,1.5890,0
1,11,4.9456,2.3765,4.1567,5.2456,4.5567,4.8567,5.6345,1.4876,0
1,12,5.0234,2.4876,4.2456,5.3567,4.6567,4.9567,5.7456,1.5234,0
1,13,4.9789,2.5345,4.1789,5.2789,4.5789,4.8789,5.6678,1.4989,0
1,14,5.0567,2.4234,4.2678,5.3890,4.6890,4.9678,5.7678,1.5456,0
1,15,4.9234,2.5678,4.1234,5.2123,4.5123,4.8123,5.6123,1.4723,0
1,16,5.0890,2.3456,4.3345,5.4567,4.7567,5.0234,5.8456,1.5678,0
1,17,4.9678,2.4789,4.1678,5.2567,4.5678,4.8678,5.6456,1.4867,0
1,18,5.0345,2.5123,4.2567,5.3678,4.6678,4.9567,5.7567,1.5345,0
1,19,4.9456,2.4456,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,20,5.0123,2.5456,4.2345,5.3567,4.6567,4.9345,5.7345,1.5234,0
1,21,4.9789,2.3789,4.1890,5.2678,4.5678,4.8789,5.6567,1.4889,0
1,22,5.0456,2.4987,4.2678,5.3890,4.6890,4.9678,5.7678,1.5456,0
1,23,4.9345,2.5234,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,24,5.0678,2.4567,4.2890,5.4234,4.7234,4.9890,5.8123,1.5567,0
1,25,4.9567,2.5789,4.1567,5.2456,4.5456,4.8567,5.6345,1.4867,0
1,26,5.0234,2.3912,4.2456,5.3678,4.6678,4.9456,5.7456,1.5234,0
1,27,4.9890,2.4678,4.1990,5.2890,4.5890,4.8890,5.6789,1.4990,0
1,28,5.0567,2.5345,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,29,4.9234,2.4123,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,30,5.0345,2.5567,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,31,4.9678,2.3876,4.1678,5.2567,4.5567,4.8678,5.6456,1.4878,0
1,32,5.0123,2.4765,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,33,4.9456,2.5432,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,34,5.0789,2.4234,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,35,4.9345,2.5678,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,36,5.0456,2.3987,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,37,4.9789,2.4876,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,38,5.0234,2.5234,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,39,4.9567,2.4456,4.1567,5.2456,4.5456,4.8567,5.6345,1.4867,0
1,40,5.0678,2.5678,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,41,4.9234,2.3765,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,42,5.0345,2.4987,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,43,4.9678,2.5345,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,44,5.0123,2.4234,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,45,4.9890,2.5567,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,46,5.0456,2.3876,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,47,4.9345,2.4765,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,48,5.0567,2.5432,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,49,4.9789,2.4123,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,50,5.0234,2.5678,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,51,4.9456,2.3987,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,1
1,52,5.0678,2.4876,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,53,4.9234,2.5234,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,54,5.0345,2.4456,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,55,4.9567,2.5678,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,56,5.0123,2.3765,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,57,4.9890,2.4987,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,58,5.0456,2.5345,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,59,4.9345,2.4234,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,60,5.0789,2.5567,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,61,4.9678,2.3876,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,62,5.0234,2.4765,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,63,4.9456,2.5432,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,64,5.0567,2.4123,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,65,4.9789,2.5678,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,66,5.0345,2.3987,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,67,4.9234,2.4876,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,68,5.0678,2.5234,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,69,4.9567,2.4456,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,70,5.0123,2.5678,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,71,4.9890,2.3765,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,72,5.0456,2.4987,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,73,4.9345,2.5345,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,74,5.0567,2.4234,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,75,4.9789,2.5567,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,76,5.0234,2.3876,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,77,4.9456,2.4765,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,78,5.0678,2.5432,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,79,4.9234,2.4123,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,80,5.0345,2.5678,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,81,4.9567,2.3987,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,82,5.0123,2.4876,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,83,4.9890,2.5234,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,84,5.0789,2.4456,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,85,4.9345,2.5678,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,86,5.0456,2.3765,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,87,4.9678,2.4987,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,88,5.0234,2.5345,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,89,4.9456,2.4234,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,90,5.0567,2.5567,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,91,4.9789,2.3876,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,92,5.0345,2.4765,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,93,4.9234,2.5432,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,94,5.0678,2.4123,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,95,4.9567,2.5678,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,96,5.0123,2.3987,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,97,4.9890,2.4876,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,98,5.0456,2.5234,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,99,4.9345,2.4456,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,100,5.0567,2.5678,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,101,4.9789,2.3765,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,102,5.0234,2.4987,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,103,4.9456,2.5345,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,104,5.0678,2.4234,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,105,4.9234,2.5567,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,106,5.0345,2.3876,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,107,4.9567,2.4765,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,108,5.0123,2.5432,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,109,4.9890,2.4123,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,110,5.0789,2.5678,4.2989,5.4189,4.7189,5.0089,5.8289,1.5689,0
1,111,4.9345,2.3987,4.1345,5.2234,4.5234,4.8345,5.6234,1.4745,0
1,112,5.0456,2.4876,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
1,113,4.9678,2.5234,4.1778,5.2678,4.5678,4.8778,5.6578,1.4878,0
1,114,5.0234,2.4456,4.2434,5.3634,4.6634,4.9434,5.7534,1.5234,0
1,115,4.9456,2.5678,4.1456,5.2345,4.5345,4.8456,5.6234,1.4756,0
1,116,5.0567,2.3765,4.2767,5.3967,4.6967,4.9767,5.7867,1.5467,0
1,117,4.9789,2.4987,4.1889,5.2789,4.5789,4.8889,5.6689,1.4889,0
1,118,5.0345,2.5345,4.2545,5.3745,4.6745,4.9545,5.7645,1.5345,0
1,119,4.9234,2.4234,4.1234,5.2123,4.5123,4.8234,5.6123,1.4734,0
1,120,5.0678,2.5567,4.2878,5.4078,4.7078,4.9878,5.8178,1.5578,0
1,121,4.9567,2.3876,4.1667,5.2567,4.5567,4.8667,5.6467,1.4867,0
1,122,5.0123,2.4765,4.2323,5.3523,4.6523,4.9323,5.7423,1.5223,0
1,123,4.9890,2.5432,4.1990,5.2890,4.5890,4.8990,5.6890,1.4990,0
1,124,5.0456,2.4123,4.2656,5.3856,4.6856,4.9656,5.7756,1.5456,0
