moisture,clay_pct,organic_matter,slope,site_id
0.0,8.5,1.2,28.3,SITE_001
0.0,10.2,0.8,32.1,SITE_002
0.0,12.1,1.5,29.7,SITE_003
0.0,9.8,1.1,30.5,SITE_004
1.0,52.3,7.2,0.8,SITE_005
1.0,48.7,6.8,1.2,SITE_006
1.0,50.1,7.5,0.5,SITE_007
1.0,49.5,6.9,1.0,SITE_008
1.0,51.2,7.1,0.9,SITE_009
0.23,15.4,2.1,22.5,SITE_010
0.34,18.7,2.8,18.9,SITE_011
0.45,25.3,3.5,14.2,SITE_012
0.52,28.9,4.1,11.7,SITE_013
0.61,32.4,4.6,9.3,SITE_014
0.68,35.8,5.2,7.8,SITE_015
0.72,38.2,5.5,6.4,SITE_016
0.78,41.5,6.0,4.9,SITE_017
0.82,44.1,6.4,3.7,SITE_018
0.85,46.8,6.7,2.8,SITE_019
0.89,48.3,7.0,2.1,SITE_020
0.18,12.8,1.8,24.6,SITE_021
0.28,16.5,2.4,20.3,SITE_022
0.38,21.2,3.1,16.8,SITE_023
0.47,24.7,3.6,13.5,SITE_024
0.56,29.3,4.2,10.9,SITE_025
0.64,33.6,4.8,8.6,SITE_026
0.71,37.1,5.3,6.7,SITE_027
0.76,40.3,5.8,5.2,SITE_028
0.81,43.7,6.2,4.1,SITE_029
0.87,47.2,6.8,2.5,SITE_030
0.15,11.3,1.6,26.2,SITE_031
0.25,15.9,2.3,21.7,SITE_032
0.35,19.8,2.9,17.5,SITE_033
0.44,23.5,3.4,14.8,SITE_034
0.53,27.8,4.0,12.1,SITE_035
0.62,31.7,4.5,9.7,SITE_036
0.69,35.3,5.1,7.9,SITE_037
0.75,39.6,5.7,5.8,SITE_038
0.80,42.8,6.1,4.3,SITE_039
0.86,46.5,6.6,2.9,SITE_040
0.21,14.2,2.0,23.4,SITE_041
0.31,17.6,2.6,19.6,SITE_042
0.41,22.4,3.2,15.9,SITE_043
0.50,26.1,3.8,12.8,SITE_044
0.58,30.5,4.3,10.5,SITE_045
0.66,34.2,4.9,8.2,SITE_046
0.73,38.5,5.4,6.5,SITE_047
0.79,41.9,5.9,5.0,SITE_048
0.84,45.4,6.5,3.5,SITE_049
0.88,48.9,7.0,2.0,SITE_050
0.19,13.5,1.9,25.1,SITE_051
0.29,16.8,2.5,20.8,SITE_052
0.39,20.6,3.0,17.2,SITE_053
0.48,25.0,3.7,13.9,SITE_054
0.57,29.8,4.4,11.3,SITE_055
0.65,33.9,5.0,8.9,SITE_056
0.74,37.8,5.6,6.8,SITE_057
0.77,40.7,6.0,5.5,SITE_058
0.83,44.6,6.3,3.9,SITE_059
0.90,49.1,7.3,1.8,SITE_060
0.16,11.8,1.7,25.8,SITE_061
0.26,15.1,2.2,21.9,SITE_062
0.36,19.3,2.8,18.1,SITE_063
0.43,22.9,3.3,15.3,SITE_064
0.54,28.2,4.1,11.8,SITE_065
0.63,32.8,4.7,9.4,SITE_066
0.70,36.5,5.2,7.6,SITE_067
0.76,40.1,5.8,5.6,SITE_068
0.81,43.3,6.2,4.2,SITE_069
0.87,47.8,6.9,2.7,SITE_070
0.22,14.7,2.1,22.9,SITE_071
0.32,18.2,2.7,19.2,SITE_072
0.42,23.1,3.3,16.2,SITE_073
0.51,26.8,3.9,13.2,SITE_074
0.59,30.9,4.4,10.8,SITE_075
0.67,34.7,5.0,8.4,SITE_076
0.74,38.9,5.5,6.6,SITE_077
0.78,42.3,6.0,5.1,SITE_078
0.84,45.9,6.5,3.6,SITE_079
0.89,48.6,7.1,2.2,SITE_080
0.17,12.4,1.8,24.8,SITE_081
0.27,16.2,2.4,20.5,SITE_082
0.37,20.9,3.1,17.0,SITE_083
0.46,24.3,3.5,14.5,SITE_084
0.55,28.7,4.2,11.6,SITE_085
0.64,33.2,4.8,9.1,SITE_086
0.72,37.4,5.4,7.2,SITE_087
0.77,41.2,5.9,5.4,SITE_088
0.82,44.9,6.4,4.0,SITE_089
0.88,48.1,7.0,2.3,SITE_090
0.20,13.9,2.0,23.7,SITE_091
0.30,17.3,2.6,19.8,SITE_092
0.40,21.8,3.2,16.5,SITE_093
0.49,25.6,3.8,13.6,SITE_094
0.58,30.1,4.3,11.0,SITE_095
0.66,34.5,4.9,8.7,SITE_096
0.73,38.1,5.5,6.9,SITE_097
0.79,42.1,6.0,5.3,SITE_098
0.85,46.2,6.6,3.8,SITE_099
0.90,49.8,7.4,1.6,SITE_100
0.24,15.6,2.2,22.1,SITE_101
0.33,18.9,2.8,18.6,SITE_102
0.43,23.7,3.4,15.6,SITE_103
0.52,27.4,4.0,12.5,SITE_104
0.60,31.3,4.5,10.2,SITE_105
0.68,35.6,5.1,8.1,SITE_106
0.75,39.3,5.7,6.2,SITE_107
0.80,43.1,6.1,4.5,SITE_108
0.86,46.9,6.7,3.2,SITE_109
0.91,50.5,7.6,1.3,SITE_110
0.14,10.7,1.5,27.3,SITE_111
0.24,14.9,2.1,22.8,SITE_112
0.34,19.1,2.8,18.4,SITE_113
0.44,23.3,3.4,15.1,SITE_114
0.54,27.6,4.0,12.3,SITE_115
0.63,32.1,4.6,9.6,SITE_116
0.71,36.8,5.3,7.5,SITE_117
0.77,40.9,5.9,5.7,SITE_118
0.83,44.3,6.3,4.1,SITE_119
0.88,47.6,6.9,2.6,SITE_120
