defect_rate,temperature,humidity,machine_age,shift
0.045,22.3,45.2,5,morning
0.178,28.7,68.3,14,afternoon
0.023,20.1,42.5,3,night
0.067,24.5,52.1,7,morning
0.134,27.2,61.4,12,afternoon
0.091,25.8,58.3,9,night
0.156,29.1,70.2,15,morning
0.042,21.7,44.8,4,afternoon
0.198,30.5,74.6,17,night
0.073,23.9,49.7,6,morning
0.112,26.4,59.8,10,afternoon
0.087,25.1,55.2,8,night
0.145,28.3,66.9,13,morning
0.034,20.8,41.3,2,afternoon
0.189,31.2,73.1,16,night
0.058,22.8,47.6,5,morning
0.123,27.6,63.2,11,afternoon
0.095,24.7,56.8,9,night
0.167,29.8,71.5,14,morning
0.051,21.4,43.9,4,afternoon
0.203,32.1,76.4,18,night
0.079,24.2,51.3,7,morning
0.128,26.9,60.7,11,afternoon
0.103,25.4,57.9,10,night
0.174,30.3,72.8,15,morning
0.038,19.8,40.6,3,afternoon
0.211,32.8,77.9,19,night
0.062,23.1,48.4,6,morning
0.139,27.8,64.5,12,afternoon
0.088,24.9,54.7,8,night
0.161,29.5,69.3,14,morning
0.047,21.2,44.1,4,afternoon
0.195,31.6,75.2,17,night
0.071,23.6,50.2,6,morning
0.119,26.7,62.1,11,afternoon
0.099,25.3,56.4,9,night
0.182,30.7,73.6,16,morning
0.041,20.5,42.8,3,afternoon
0.207,32.4,78.3,18,night
0.055,22.5,46.9,5,morning
0.131,27.3,61.8,12,afternoon
0.092,25.0,55.9,8,night
0.169,29.9,70.7,15,morning
0.049,21.6,43.5,4,afternoon
0.199,31.8,74.9,17,night
0.075,24.0,51.6,7,morning
0.126,27.1,63.8,11,afternoon
0.096,24.8,56.1,9,night
0.153,28.6,68.4,13,morning
0.036,20.2,41.7,2,afternoon
0.214,33.1,79.1,19,night
0.064,23.4,49.1,6,morning
0.116,26.5,60.3,10,afternoon
0.101,25.6,57.2,9,night
0.176,30.1,72.3,15,morning
0.044,21.0,43.2,3,afternoon
0.191,31.4,75.7,16,night
0.068,23.8,50.8,6,morning
0.135,27.5,62.9,12,afternoon
0.089,24.6,55.6,8,night
0.164,29.3,69.8,14,morning
0.053,22.1,45.6,5,afternoon
0.205,32.6,77.2,18,night
0.077,24.3,52.4,7,morning
0.121,26.8,61.2,11,afternoon
0.094,25.2,56.7,9,night
0.159,28.9,68.9,14,morning
0.039,20.4,42.1,3,afternoon
0.193,31.3,74.3,17,night
0.061,22.9,48.7,5,morning
0.137,27.7,64.1,12,afternoon
0.085,24.4,54.3,8,night
0.171,30.4,71.9,15,morning
0.046,21.3,44.4,4,afternoon
0.201,32.2,76.8,18,night
0.073,23.7,50.5,6,morning
0.114,26.3,59.6,10,afternoon
0.098,25.5,57.5,9,night
0.186,30.9,73.9,16,morning
0.043,20.9,42.9,3,afternoon
0.209,32.9,78.6,19,night
0.066,23.2,49.3,6,morning
0.129,27.0,61.5,11,afternoon
0.091,24.7,55.4,8,night
0.149,28.4,67.6,13,morning
0.037,20.0,41.1,2,afternoon
0.197,31.7,75.5,17,night
0.059,22.6,47.2,5,morning
0.142,27.9,65.3,12,afternoon
0.087,24.5,54.9,8,night
0.163,29.2,70.1,14,morning
0.050,21.5,43.8,4,afternoon
0.188,31.1,74.0,16,night
0.074,23.9,51.0,7,morning
0.118,26.6,60.9,10,afternoon
0.100,25.4,57.8,9,night
0.179,30.6,72.6,15,morning
0.040,20.6,42.4,3,afternoon
0.212,33.0,78.9,19,night
0.063,23.3,48.9,6,morning
0.133,27.4,62.6,12,afternoon
0.093,25.1,56.3,9,night
0.155,28.8,68.7,13,morning
0.048,21.7,44.7,4,afternoon
0.203,32.3,77.5,18,night
0.070,23.5,50.1,6,morning
0.124,26.9,61.9,11,afternoon
0.097,25.3,57.1,9,night
0.173,30.2,72.0,15,morning
0.042,20.7,42.6,3,afternoon
0.195,31.5,75.0,17,night
0.056,22.7,47.5,5,morning
0.140,27.8,64.7,12,afternoon
0.090,24.9,55.8,8,night
0.166,29.6,70.4,14,morning
0.052,22.0,45.3,5,afternoon
0.206,32.7,77.8,18,night
0.076,24.1,51.8,7,morning
0.127,27.2,62.3,11,afternoon
0.095,25.0,56.5,8,night
0.181,30.8,73.4,16,morning
0.045,21.1,43.6,4,afternoon
0.210,32.5,78.1,18,night
0.065,23.0,49.0,6,morning
0.136,27.6,63.5,12,afternoon
0.086,24.6,54.6,8,night
0.151,28.5,68.1,13,morning
0.035,19.9,40.9,2,afternoon
0.200,31.9,76.2,17,night
0.060,22.8,48.0,5,morning
0.115,26.4,60.1,10,afternoon
0.102,25.7,57.6,9,night
0.184,30.5,73.2,16,morning
0.041,20.3,41.9,3,afternoon
0.208,32.6,78.5,19,night
