applicant_id,gender,race,age_group
1001,Male,White,31-45
1002,Female,Black,18-30
1003,Male,White,46-60
1004,Male,Hispanic,31-45
1005,Female,White,31-45
1006,Male,Asian,18-30
1007,Female,Black,31-45
1008,Male,White,46-60
1009,Male,White,31-45
1010,Female,Hispanic,18-30
1011,Male,Black,31-45
1012,Female,White,46-60
1013,Male,White,31-45
1014,Male,Hispanic,46-60
1015,Female,White,18-30
1016,Male,White,60+
1017,Female,Black,31-45
1018,Male,Asian,31-45
1019,Male,White,31-45
1020,Female,White,46-60
1021,Male,Black,18-30
1022,Female,Hispanic,31-45
1023,Male,White,31-45
1024,Male,White,46-60
1025,Female,Asian,18-30
1026,Male,Hispanic,31-45
1027,Female,White,31-45
1028,Male,Black,46-60
1029,Male,White,18-30
1030,Female,White,31-45
1031,Male,White,60+
1032,Female,Black,31-45
1033,Male,Hispanic,18-30
1034,Male,White,46-60
1035,Female,White,31-45
1036,Male,Asian,31-45
1037,Female,Black,18-30
1038,Male,White,31-45
1039,Male,White,46-60
1040,Female,Hispanic,31-45
1041,Male,Black,31-45
1042,Female,White,18-30
1043,Male,White,31-45
1044,Male,Hispanic,46-60
1045,Female,White,60+
1046,Male,White,31-45
1047,Female,Black,31-45
1048,Male,Asian,18-30
1049,Male,White,46-60
1050,Female,White,31-45
1051,Male,Black,18-30
1052,Female,Hispanic,31-45
1053,Male,White,31-45
1054,Male,White,46-60
1055,Female,White,31-45
1056,Male,Hispanic,18-30
1057,Female,Black,31-45
1058,Male,White,60+
1059,Male,Asian,31-45
1060,Female,White,46-60
1061,Male,White,31-45
1062,Female,Black,18-30
1063,Male,Hispanic,31-45
1064,Male,White,46-60
1065,Female,White,31-45
1066,Male,Black,31-45
1067,Female,Asian,18-30
1068,Male,White,31-45
1069,Male,White,60+
1070,Female,Hispanic,31-45
1071,Male,White,46-60
1072,Female,White,31-45
1073,Male,Black,18-30
1074,Male,Hispanic,31-45
1075,Female,White,46-60
1076,Male,White,31-45
1077,Female,Black,31-45
1078,Male,Asian,31-45
1079,Male,White,18-30
1080,Female,White,31-45
1081,Male,Hispanic,46-60
1082,Female,Black,18-30
1083,Male,White,31-45
1084,Male,White,60+
1085,Female,White,31-45
1086,Male,Black,31-45
1087,Female,Hispanic,18-30
1088,Male,White,46-60
1089,Male,Asian,31-45
1090,Female,White,31-45
1091,Male,White,31-45
1092,Female,Black,31-45
1093,Male,Hispanic,18-30
1094,Male,White,46-60
1095,Female,White,31-45
1096,Male,Black,18-30
1097,Female,White,60+
1098,Male,Hispanic,31-45
1099,Male,White,46-60
1100,Female,Asian,18-30
1101,Male,White,31-45
1102,Female,Black,31-45
1103,Male,White,31-45
1104,Male,Hispanic,46-60
1105,Female,White,18-30
1106,Male,White,31-45
1107,Female,Black,18-30
1108,Male,Asian,31-45
1109,Male,White,46-60
1110,Female,White,31-45
1111,Male,Black,31-45
1112,Female,Hispanic,31-45
1113,Male,White,60+
1114,Male,White,31-45
1115,Female,White,46-60
1116,Male,Hispanic,18-30
1117,Female,Black,31-45
1118,Male,White,31-45
1119,Male,Asian,18-30
1120,Female,White,31-45
1121,Male,Black,46-60
1122,Female,White,18-30
1123,Male,Hispanic,31-45
1124,Male,White,31-45
1125,Female,Asian,31-45
1126,Male,White,46-60
1127,Female,Black,31-45
1128,Male,White,60+
1129,Male,Hispanic,18-30
1130,Female,White,31-45
1131,Male,Black,18-30
1132,Female,White,46-60
1133,Male,White,31-45
1134,Male,Asian,31-45
1135,Female,Hispanic,31-45
1136,Male,White,31-45
1137,Female,Black,18-30
1138,Male,White,46-60
1139,Male,Hispanic,31-45
1140,Female,White,31-45
1141,Male,Black,31-45
1142,Female,White,60+
1143,Male,White,31-45
1144,Male,Asian,18-30
1145,Female,Hispanic,31-45
1146,Male,White,46-60
1147,Female,Black,31-45
1148,Male,White,31-45
1149,Male,Hispanic,18-30
1150,Female,White,31-45
1151,Male,Black,46-60
1152,Female,Asian,31-45
1153,Male,White,31-45
1154,Male,White,60+
1155,Female,White,18-30
1156,Male,Hispanic,31-45
1157,Female,Black,31-45
1158,Male,White,46-60
1159,Male,Asian,31-45
1160,Female,White,31-45
1161,Male,Black,18-30
1162,Female,Hispanic,31-45
1163,Male,White,31-45
1164,Male,White,46-60
1165,Female,White,31-45
