ensembl_id,fold_change
ENSG00000139618,-2.34
ENSG00000141510,3.45
ENSG00000012048,1.23
ENSG00000198712,-0.87
ENSG00000157764,2.15
ENSG00000134686,-1.45
ENSG00000165029,0.98
ENSG00000171862,-3.21
ENSG00000078808,1.67
ENSG00000146648,2.89
ENSG00000155657,-1.92
ENSG00000101347,0.45
ENSG00000117399,-2.76
ENSG00000183734,1.34
ENSG00000105974,3.12
ENSG00000168036,-0.67
ENSG00000133703,2.45
ENSG00000204287,-1.78
ENSG00000189221,0.56
ENSG00000142192,1.89
ENSG00000106366,-2.34
ENSG00000153234,1.56
ENSG00000187634,3.67
ENSG00000115414,-1.23
ENSG00000176171,2.01
ENSG00000164692,-0.89
ENSG00000112306,1.45
ENSG00000075624,-2.67
ENSG00000160789,0.78
ENSG00000102316,3.34
ENSG00000198804,-1.56
ENSG00000065361,2.23
ENSG00000170345,-0.45
ENSG00000116032,1.98
ENSG00000177606,-3.45
ENSG00000087086,0.67
ENSG00000143384,2.78
ENSG00000169083,-1.34
ENSG00000136997,1.12
ENSG00000204642,-2.89
ENSG00000167325,3.01
ENSG00000073756,-0.98
ENSG00000120889,1.67
ENSG00000185630,-2.12
ENSG00000132170,0.34
ENSG00000100906,2.56
ENSG00000196712,-1.89
ENSG00000091831,1.45
ENSG00000162772,-0.56
ENSG00000111640,3.23
ENSG00000087245,-2.45
ENSG00000166710,1.78
ENSG00000185753,-1.01
ENSG00000143476,0.89
ENSG00000117318,2.67
ENSG00000138795,-3.12
ENSG00000204574,1.34
ENSG00000145675,-0.78
ENSG00000116691,2.34
ENSG00000175063,-1.67
ENSG00000102145,3.45
ENSG00000149311,-2.01
ENSG00000134323,0.56
ENSG00000181449,1.89
ENSG00000123416,-1.45
ENSG00000074800,2.78
ENSG00000167552,-0.67
ENSG00000161920,1.23
ENSG00000186868,-2.56
ENSG00000131018,3.67
ENSG00000178695,-1.12
ENSG00000091409,0.98
ENSG00000164904,2.45
ENSG00000107104,-3.34
ENSG00000140464,1.56
ENSG00000167244,-0.45
ENSG00000163364,2.89
ENSG00000138413,-1.78
ENSG00000112715,0.67
ENSG00000177455,3.12
ENSG00000104885,-2.23
ENSG00000160710,1.45
ENSG00000196235,-0.89
ENSG00000185591,2.67
ENSG00000100242,-1.34
ENSG00000073060,1.01
ENSG00000134954,-3.45
ENSG00000111679,0.78
ENSG00000145349,2.34
ENSG00000106633,-1.56
ENSG00000139618,1.89
ENSG00000175899,-0.98
ENSG00000146648,2.12
ENSG00000162654,-2.78
ENSG00000136244,1.67
ENSG00000154734,-1.23
ENSG00000125968,3.01
ENSG00000077942,-0.56
ENSG00000164134,2.45
ENSG00000185624,-1.89
ENSG00000123374,0.45
ENSG00000132382,1.78
ENSG00000142208,-3.23
ENSG00000148773,2.56
ENSG00000163347,-1.01
ENSG00000087074,0.89
ENSG00000111276,1.45
ENSG00000166135,-2.67
ENSG00000154639,3.34
ENSG00000107625,-0.78
ENSG00000105974,1.12
ENSG00000148700,-2.34
ENSG00000117448,2.89
ENSG00000183691,-1.45
ENSG00000166575,0.67
ENSG00000102935,3.56
ENSG00000178568,-2.12
ENSG00000115415,1.34
ENSG00000204618,-0.45
ENSG00000152784,2.23
ENSG00000170364,-3.01
ENSG00000136167,1.56
ENSG00000164919,-1.78
ENSG00000173156,0.98
ENSG00000125818,2.67
ENSG00000160867,-1.89
ENSG00000087191,3.45
ENSG00000110888,-0.67
ENSG00000141510,1.23
ENSG00000185862,-2.45
