ensembl_id,entrez_id
ENSG00000139618,672
ENSG00000141510,207
ENSG00000157764,1956
ENSG00000141736,5594
ENSG00000155657,3845
ENSG00000171862,3716
ENSG00000134086,8312
ENSG00000105221,4193
ENSG00000196712,6772
ENSG00000143322,5424
ENSG00000169083,891
ENSG00000120129,5925
ENSG00000185591,7157
ENSG00000134242,10797
ENSG00000166710,3002
ENSG00000077942,2033
ENSG00000134243,6777
ENSG00000198793,9232
ENSG00000156508,7428
ENSG00000164258,1026
ENSG00000112062,3551
ENSG00000116044,2475
ENSG00000108691,6667
ENSG00000163735,6241
ENSG00000133703,5604
ENSG00000148773,51428
ENSG00000101266,2064
ENSG00000012048,5290
ENSG00000175899,1432
ENSG00000089225,675
ENSG00000168036,5371
ENSG00000117399,1019
ENSG00000133110,7316
ENSG00000175793,387
ENSG00000141448,5888
ENSG00000090382,4171
ENSG00000163714,8844
ENSG00000134138,8313
ENSG00000178568,5728
ENSG00000122786,7421
ENSG00000115415,5747
ENSG00000004059,842
ENSG00000087086,4436
ENSG00000123374,5111
ENSG00000159216,5590
ENSG00000125968,4609
ENSG00000011465,6790
ENSG00000126934,8517
ENSG00000112715,5566
ENSG00000198668,3320
ENSG00000175866,8379
ENSG00000173540,7852
ENSG00000184674,4771
ENSG00000123358,5347
ENSG00000182793,999001
ENSG00000142192,5468
ENSG00000128191,673
ENSG00000105974,4609
ENSG00000184009,7124
ENSG00000147889,7157
ENSG00000147889,9997
ENSG00000135679,5879
ENSG00000139618,8888
ENSG00000142208,3845
ENSG00000170345,999102
ENSG00000135486,5604
ENSG00000135486,5605
ENSG00000204287,3105
ENSG00000106609,5970
ENSG00000122257,999203
ENSG00000148584,5467
ENSG00000161570,8314
ENSG00000166415,5111
ENSG00000166415,5112
ENSG00000166415,5113
ENSG00000167468,890
ENSG00000163930,5604
ENSG00000163930,5606
ENSG00000115507,3929
ENSG00000118046,3932
ENSG00000157404,999304
ENSG00000010610,6667
ENSG00000129084,8313
ENSG00000129084,8315
ENSG00000142156,3265
ENSG00000198786,4193
ENSG00000143127,2033
ENSG00000110955,3551
ENSG00000101197,891
ENSG00000124215,6241
ENSG00000137100,5888
ENSG00000165704,5925
ENSG00000198899,7316
ENSG00000145675,2475
ENSG00000136997,5290
ENSG00000163430,1432
ENSG00000103275,3002
ENSG00000012124,5728
ENSG00000117318,5747
ENSG00000079785,842
ENSG00000149311,5566
ENSG00000185811,1026
ENSG00000112984,5347
ENSG00000066468,673
ENSG00000169344,5590
ENSG00000149554,3929
ENSG00000157873,5970
ENSG00000172731,3320
ENSG00000111640,3105
ENSG00000198712,999405
ENSG00000144554,4771
ENSG00000136205,7421
ENSG00000077420,207
ENSG00000083457,5879
ENSG00000135407,5467
ENSG00000142676,1019
ENSG00000138668,8844
ENSG00000171603,7428
ENSG00000160201,5371
ENSG00000146648,7124
ENSG00000197860,890
ENSG00000117505,3932
ENSG00000170584,1956
ENSG00000101825,8517
ENSG00000123095,675
ENSG00000168484,8379
ENSG00000100906,10797
ENSG00000077238,2064
ENSG00000112096,5468
ENSG00000163739,8314
ENSG00000005884,6790
ENSG00000162772,387
ENSG00000118513,4436
ENSG00000176697,4171
ENSG00000116062,51428
ENSG00000174007,7852
ENSG00000142184,3265
ENSG00000137573,6772
ENSG00000130208,8312
ENSG00000169972,5424
ENSG00000076641,999506
ENSG00000142867,6777
ENSG00000113739,51428
ENSG00000113739,51429
ENSG00000114346,9232
ENSG00000140455,3716
ENSG00000173890,999607
ENSG00000188290,999708
ENSG00000182463,999809
