student_id,school_id,reading_score,parent_education
ST001,S1,58,12
ST002,S1,62,13
ST003,S1,55,11
ST004,S1,64,14
ST005,S1,59,12
ST006,S1,61,13
ST007,S1,57,10
ST008,S1,63,14
ST009,S1,60,12
ST010,S1,56,11
ST011,S1,65,15
ST012,S1,58,12
ST013,S1,62,13
ST014,S1,54,10
ST015,S1,61,13
ST016,S2,66,14
ST017,S2,68,15
ST018,S2,63,13
ST019,S2,70,16
ST020,S2,64,13
ST021,S2,67,14
ST022,S2,62,12
ST023,S2,69,15
ST024,S2,65,14
ST025,S2,61,12
ST026,S2,68,15
ST027,S2,66,14
ST028,S2,63,13
ST029,S2,71,16
ST030,S2,64,13
ST031,S3,70,15
ST032,S3,72,16
ST033,S3,68,14
ST034,S3,74,17
ST035,S3,66,14
ST036,S3,69,15
ST037,S3,71,16
ST038,S3,65,13
ST039,S3,73,17
ST040,S3,67,14
ST041,S3,70,15
ST042,S3,68,15
ST043,S3,66,14
ST044,S3,72,16
ST045,S3,69,15
ST046,S4,72,16
ST047,S4,75,17
ST048,S4,68,15
ST049,S4,73,17
ST050,S4,71,16
ST051,S4,76,18
ST052,S4,69,15
ST053,S4,74,17
ST054,S4,70,16
ST055,S4,67,14
ST056,S4,72,16
ST057,S4,71,16
ST058,S4,68,15
ST059,S4,73,17
ST060,S4,70,16
ST061,S5,69,15
ST062,S5,71,16
ST063,S5,65,14
ST064,S5,68,15
ST065,S5,70,16
ST066,S5,66,14
ST067,S5,72,17
ST068,S5,64,13
ST069,S5,67,15
ST070,S5,69,15
ST071,S5,68,15
ST072,S5,65,14
ST073,S5,70,16
ST074,S5,66,14
ST075,S5,71,16
ST076,S6,74,17
ST077,S6,76,18
ST078,S6,72,16
ST079,S6,78,19
ST080,S6,71,16
ST081,S6,75,17
ST082,S6,73,17
ST083,S6,77,18
ST084,S6,70,16
ST085,S6,74,17
ST086,S6,72,16
ST087,S6,76,18
ST088,S6,71,16
ST089,S6,75,18
ST090,S6,73,17
ST091,S7,66,14
ST092,S7,68,15
ST093,S7,62,13
ST094,S7,65,14
ST095,S7,63,13
ST096,S7,67,15
ST097,S7,64,14
ST098,S7,61,12
ST099,S7,66,14
ST100,S7,68,15
ST101,S7,63,13
ST102,S7,65,14
ST103,S7,67,15
ST104,S7,62,13
ST105,S7,64,14
ST106,S8,71,16
ST107,S8,73,17
ST108,S8,68,15
ST109,S8,72,16
ST110,S8,70,16
ST111,S8,74,17
ST112,S8,67,14
ST113,S8,69,15
ST114,S8,71,16
ST115,S8,66,14
ST116,S8,73,17
ST117,S8,70,16
ST118,S8,68,15
ST119,S8,72,17
ST120,S8,69,15
