user_id,event_timestamp,event_type,event_data
550e8400-e29b-41d4-a716-446655440000,1609459200000,login,{"ip":"192.168.1.1"}
6ba7b810-9dad-11d1-80b4-00c04fd430c8,1705315845000,page_view,{"page":"/home"}
7c9e6679-7425-40de-944b-e07fc1f90ae7,1640000000000,click,{"button":"submit"}
550e8400-e29b-41d4-a716-446655440000,1609459200000,login,{"ip":"192.168.1.1"}
a3bb189e-8bf9-3888-9912-ace4e6543002,1672531200000,purchase,{"amount":149.99}
,1620000000000,logout,{"duration":3600}
null,1630000000000,click,{"element":"nav"}
f47ac10b-58cc-4372-a567-0e02b2c3d479,1715000000000,signup,{"email":"user1@example.com"}
550e8400-e29b-41d4-a716-446655440000,-1234567890,purchase,{"amount":99.99}
6ba7b810-9dad-11d1-80b4-00c04fd430c8,5000000000000,signup,{"email":"test@test.com"}
7c9e6679-7425-40de-944b-e07fc1f90ae7,1650000000000,login,{"ip":"10.0.0.1"
8d3c4e5f-6a7b-8c9d-0e1f-2a3b4c5d6e7f,1680000000000,page_view,{invalid json}
9e4d5f6a-7b8c-9d0e-1f2a-3b4c5d6e7f8a,1690000000000,logout,{"duration":7200}
  ,1695000000000,click,{"button":"cancel"}
a5f6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0,1700000000000,purchase,{"product_id":"SKU123"}
null,1710000000000,page_view,{"page":"/products"}
b6a7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1,1620000000000,login,{"ip":"172.16.0.1"}
c7b8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2,1625000000000,signup,{"key":undefined}
d8c9e0f1-a2b3-c4d5-e6f7-a8b9c0d1e2f3,-9999999999,logout,{"duration":1800}
e9d0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4,9999999999999,click,{"button":"buy"}
f0e1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5,1630000000000,page_view,{"page":"/cart"}
550e8400-e29b-41d4-a716-446655440000,1635000000000,purchase,{"amount":299.50}
a1b2c3d4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,1640000000000,login,{"ip":"192.168.2.5"}
b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7,1645000000000,logout,not json at all
c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8,1650000000000,page_view,{"page":"/dashboard"}
,1655000000000,click,{"element":"footer"}
d4e5f6a7-b8c9-d0e1-f2a3-b4c5d6e7f8a9,1660000000000,signup,{"email":"user2@example.com"}
e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0,-5555555555,login,{"ip":"10.1.1.1"}
f6a7b8c9-d0e1-f2a3-b4c5-d6e7f8a9b0c1,1670000000000,purchase,{"amount":49.99}
a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2,1675000000000,page_view,{"page":"/about"}
b8c9d0e1-f2a3-b4c5-d6e7-e8f9a0b1c2d3,1680000000000,click,{"button":"search"}
c9d0e1f2-a3b4-c5d6-e7f8-f9a0b1c2d3e4,1685000000000,logout,{"duration":4500}
null,1690000000000,login,{"ip":"192.168.3.10"}
d0e1f2a3-b4c5-d6e7-f8a9-a0b1c2d3e4f5,1695000000000,signup,{"email":"user3@example.com"}
e1f2a3b4-c5d6-e7f8-a9b0-b1c2d3e4f5a6,6000000000000,page_view,{"page":"/contact"}
f2a3b4c5-d6e7-e8f9-a0b1-c2d3e4f5a6b7,1705000000000,purchase,{"product_id":"SKU456"}
a3b4c5d6-e7f8-f9a0-b1c2-d3e4f5a6b7c8,1710000000000,click,{"button":"add_to_cart"
b4c5d6e7-f8a9-a0b1-c2d3-e4f5a6b7c8d9,1715000000000,login,{"ip":"10.2.2.2"}
c5d6e7f8-a9b0-b1c2-d3e4-f5a6b7c8d9e0,1720000000000,logout,{"duration":600}
  ,1725000000000,page_view,{"page":"/profile"}
d6e7f8a9-b0c1-c2d3-e4f5-a6b7c8d9e0f1,1730000000000,signup,{"email":"user4@example.com"}
e7f8a9b0-c1d2-d3e4-f5a6-b7c8d9e0f1a2,-7777777777,click,{"element":"menu"}
f8a9b0c1-d2e3-e4f5-a6b7-c8d9e0f1a2b3,1609459200000,purchase,{"amount":79.99}
a9b0c1d2-e3f4-f5a6-b7c8-d9e0f1a2b3c4,1615000000000,page_view,{"page":"/services"}
b0c1d2e3-f4a5-a6b7-c8d9-e0f1a2b3c4d5,1620000000000,login,{"ip":"172.17.0.5"}
c1d2e3f4-a5b6-b7c8-d9e0-f1a2b3c4d5e6,1625000000000,logout,{"missing":"quote}
d2e3f4a5-b6c7-c8d9-e0f1-a2b3c4d5e6f7,1630000000000,click,{"button":"next"}
e3f4a5b6-c7d8-d9e0-f1a2-b3c4d5e6f7a8,1635000000000,signup,{"email":"user5@example.com"}
null,1640000000000,page_view,{"page":"/pricing"}
f4a5b6c7-d8e9-e0f1-a2b3-c4d5e6f7a8b9,1645000000000,purchase,{"amount":199.99}
a5b6c7d8-e9f0-f1a2-b3c4-d5e6f7a8b9c0,8888888888888,login,{"ip":"192.168.4.20"}
b6c7d8e9-f0a1-a2b3-c4d5-e6f7a8b9c0d1,1655000000000,logout,{"duration":900}
c7d8e9f0-a1b2-b3c4-d5e6-f7a8b9c0d1e2,1660000000000,page_view,{"page":"/blog"}
d8e9f0a1-b2c3-c4d5-e6f7-a8b9c0d1e2f3,1665000000000,click,{"element":"sidebar"}
,1670000000000,signup,{"email":"user6@example.com"}
e9f0a1b2-c3d4-d5e6-f7a8-b9c0d1e2f3a4,1675000000000,login,{"ip":"10.3.3.3"}
f0a1b2c3-d4e5-e6f7-a8b9-c0d1e2f3a4b5,-3333333333,purchase,{"amount":59.99}
a1b2c3d4-e5f6-f7a8-b9c0-d1e2f3a4b5c6,1685000000000,logout,{"duration":3000}
b2c3d4e5-f6a7-a8b9-c0d1-e2f3a4b5c6d7,1690000000000,page_view,{"page":"/faq"}
c3d4e5f6-a7b8-b9c0-d1e2-f3a4b5c6d7e8,1695000000000,click,[invalid array]
d4e5f6a7-b8c9-c0d1-e2f3-a4b5c6d7e8f9,1700000000000,signup,{"email":"user7@example.com"}
e5f6a7b8-c9d0-d1e2-f3a4-b5c6d7e8f9a0,1705000000000,login,{"ip":"172.18.0.10"}
f6a7b8c9-d0e1-e2f3-a4b5-c6d7e8f9a0b1,1710000000000,purchase,{"amount":129.50}
a7b8c9d0-e1f2-f3a4-b5c6-d7e8f9a0b1c2,1715000000000,page_view,{"page":"/terms"}
  ,1720000000000,logout,{"duration":1200}
b8c9d0e1-f2a3-a4b5-c6d7-e8f9a0b1c2d3,1725000000000,click,{"button":"subscribe"}
null,1730000000000,signup,{"email":"user8@example.com"}
c9d0e1f2-a3b4-b5c6-d7e8-f9a0b1c2d3e4,7777777777777,login,{"ip":"192.168.5.15"}
d0e1f2a3-b4c5-c6d7-e8f9-a0b1c2d3e4f5,1609459200000,purchase,{"amount":39.99}
e1f2a3b4-c5d6-d7e8-f9a0-b1c2d3e4f5a6,1620000000000,page_view,{"page":"/gallery"}
f2a3b4c5-d6e7-e8f9-a0b1-c2d3e4f5a6b7,1625000000000,logout,{"duration":1500}
a3b4c5d6-e7f8-f9a0-b1c2-d3e4f5a6b7c8,1630000000000,click,{"element":"header"}
b4c5d6e7-f8a9-a0b1-c2d3-e4f5a6b7c8d9,1635000000000,signup,{"email":"user9@example.com"}
c5d6e7f8-a9b0-b1c2-d3e4-f5a6b7c8d9e0,1640000000000,login,{"ip":"10.4.4.4"}
d6e7f8a9-b0c1-c2d3-e4f5-a6b7c8d9e0f1,1645000000000,purchase,{"broken json
e7f8a9b0-c1d2-d3e4-f5a6-b7c8d9e0f1a2,1650000000000,page_view,{"page":"/news"}
f8a9b0c1-d2e3-e4f5-a6b7-c8d9e0f1a2b3,-4444444444,logout,{"duration":2400}
a9b0c1d2-e3f4-f5a6-b7c8-d9e0f1a2b3c4,1660000000000,click,{"button":"share"}
,1665000000000,signup,{"email":"user10@example.com"}
b0c1d2e3-f4a5-a6b7-c8d9-e0f1a2b3c4d5,1670000000000,login,{"ip":"172.19.0.20"}
c1d2e3f4-a5b6-b7c8-d9e0-f1a2b3c4d5e6,1675000000000,purchase,{"amount":89.99}
d2e3f4a5-b6c7-c8d9-e0f1-a2b3c4d5e6f7,1680000000000,page_view,{"page":"/careers"}
e3f4a5b6-c7d8-d9e0-f1a2-b3c4d5e6f7a8,1685000000000,logout,{"duration":5400}
f4a5b6c7-d8e9-e0f1-a2b3-c4d5e6f7a8b9,1690000000000,click,{"element":"banner"}
null,1695000000000,signup,{"email":"user11@example.com"}
a5b6c7d8-e9f0-f1a2-b3c4-d5e6f7a8b9c0,1700000000000,login,{"ip":"192.168.6.25"}
