transaction_id,merchant_category,customer_segment,transaction_hour,day_of_week,card_type,is_fraud
1,grocery_store,standard,9,Monday,visa,0
2,gas_station,bronze,7,Monday,mastercard,0
3,restaurant,gold,12,Monday,visa,0
4,electronics,premium,14,Monday,amex,0
5,pharmacy,silver,10,Monday,visa,0
6,clothing,standard,15,Monday,mastercard,0
7,grocery_store,loyal,8,Monday,visa,0
8,coffee_shop,new,7,Monday,visa,0
9,online_retail,student,20,Monday,visa,0
10,gas_station,bronze,18,Monday,mastercard,0
11,restaurant,gold,19,Monday,amex,0
12,grocery_store,standard,11,Monday,visa,0
13,department_store,premium,16,Monday,visa,0
14,pharmacy,silver,9,Monday,mastercard,0
15,fast_food,student,13,Monday,visa,0
16,electronics,vip,14,Monday,amex,1
17,jewelry,corporate,10,Monday,visa,1
18,travel_agency,premium,15,Monday,amex,0
19,hotel,gold,22,Monday,visa,0
20,airline,vip,6,Monday,amex,0
21,grocery_store,standard,8,Tuesday,visa,0
22,gas_station,bronze,7,Tuesday,mastercard,0
23,restaurant,loyal,12,Tuesday,visa,0
24,coffee_shop,new,8,Tuesday,visa,0
25,pharmacy,silver,10,Tuesday,visa,0
26,clothing,standard,17,Tuesday,mastercard,0
27,electronics,premium,15,Tuesday,amex,0
28,grocery_store,standard,9,Tuesday,visa,0
29,online_retail,student,21,Tuesday,visa,0
30,gas_station,bronze,18,Tuesday,mastercard,0
31,restaurant,gold,19,Tuesday,amex,0
32,department_store,premium,14,Tuesday,visa,0
33,fast_food,student,12,Tuesday,visa,0
34,pharmacy,silver,11,Tuesday,mastercard,0
35,home_improvement,loyal,10,Tuesday,visa,0
36,furniture_store,corporate,16,Tuesday,amex,0
37,grocery_store,standard,17,Tuesday,visa,0
38,bookstore,student,15,Tuesday,visa,0
39,pet_store,silver,13,Tuesday,mastercard,0
40,sporting_goods,bronze,14,Tuesday,visa,0
41,grocery_store,standard,9,Wednesday,visa,0
42,gas_station,bronze,7,Wednesday,mastercard,0
43,restaurant,gold,13,Wednesday,visa,0
44,electronics,premium,15,Wednesday,amex,1
45,pharmacy,silver,10,Wednesday,visa,0
46,clothing,standard,16,Wednesday,mastercard,0
47,grocery_store,loyal,8,Wednesday,visa,0
48,coffee_shop,new,8,Wednesday,visa,0
49,online_retail,student,22,Wednesday,visa,0
50,gas_station,bronze,18,Wednesday,mastercard,0
51,restaurant,gold,20,Wednesday,amex,0
52,grocery_store,standard,11,Wednesday,visa,0
53,department_store,premium,15,Wednesday,visa,0
54,pharmacy,silver,9,Wednesday,mastercard,0
55,fast_food,student,13,Wednesday,visa,0
56,electronics,vip,14,Wednesday,amex,0
57,grocery_store,standard,17,Wednesday,visa,0
58,auto_repair,bronze,11,Wednesday,mastercard,0
59,hardware_store,loyal,12,Wednesday,visa,0
60,toy_store,standard,16,Wednesday,visa,0
61,grocery_store,standard,9,Thursday,visa,0
62,gas_station,bronze,7,Thursday,mastercard,0
63,restaurant,gold,12,Thursday,visa,0
64,electronics,premium,14,Thursday,amex,0
65,pharmacy,silver,10,Thursday,visa,0
66,clothing,standard,18,Thursday,mastercard,0
67,grocery_store,loyal,8,Thursday,visa,0
68,coffee_shop,new,7,Thursday,visa,0
69,online_retail,student,21,Thursday,visa,1
70,gas_station,bronze,19,Thursday,mastercard,0
71,restaurant,gold,19,Thursday,amex,0
72,grocery_store,standard,11,Thursday,visa,0
73,department_store,premium,16,Thursday,visa,0
74,pharmacy,silver,9,Thursday,mastercard,0
75,fast_food,student,13,Thursday,visa,0
76,electronics,vip,15,Thursday,amex,0
77,jewelry,premium,17,Thursday,amex,1
78,beauty_salon,gold,14,Thursday,visa,0
79,spa_services,vip,16,Thursday,amex,0
80,gym_membership,silver,6,Thursday,mastercard,0
81,grocery_store,standard,9,Friday,visa,0
82,gas_station,bronze,7,Friday,mastercard,0
83,restaurant,gold,13,Friday,visa,0
84,electronics,premium,15,Friday,amex,0
85,pharmacy,silver,10,Friday,visa,0
86,clothing,standard,18,Friday,mastercard,0
87,grocery_store,loyal,8,Friday,visa,0
88,coffee_shop,new,8,Friday,visa,0
89,online_retail,student,22,Friday,visa,0
90,gas_station,bronze,19,Friday,mastercard,0
91,restaurant,gold,20,Friday,amex,0
92,grocery_store,standard,11,Friday,visa,0
93,bar,gold,23,Friday,visa,0
94,nightclub,premium,23,Friday,amex,0
95,entertainment,standard,21,Friday,visa,0
96,movie_theater,student,19,Friday,visa,0
97,restaurant,vip,20,Friday,amex,0
98,fast_food,bronze,22,Friday,mastercard,0
99,convenience_store,standard,23,Friday,visa,0
100,taxi_service,gold,1,Friday,visa,0
101,grocery_store,standard,10,Saturday,visa,0
102,gas_station,bronze,9,Saturday,mastercard,0
103,restaurant,gold,13,Saturday,visa,0
104,electronics,premium,12,Saturday,amex,0
105,pharmacy,silver,11,Saturday,visa,0
106,clothing,standard,14,Saturday,mastercard,0
107,grocery_store,loyal,10,Saturday,visa,0
108,coffee_shop,new,9,Saturday,visa,0
109,online_retail,student,15,Saturday,visa,0
110,department_store,premium,13,Saturday,visa,0
111,restaurant,gold,19,Saturday,amex,0
112,grocery_store,standard,12,Saturday,visa,0
113,home_improvement,loyal,11,Saturday,mastercard,0
114,sporting_goods,bronze,14,Saturday,visa,0
115,toy_store,standard,15,Saturday,visa,0
116,electronics,vip,13,Saturday,amex,1
117,furniture_store,corporate,12,Saturday,visa,0
118,bar,gold,22,Saturday,visa,0
119,entertainment,standard,20,Saturday,visa,0
120,movie_theater,student,18,Saturday,visa,0
121,grocery_store,standard,10,Sunday,visa,0
122,gas_station,bronze,11,Sunday,mastercard,0
123,restaurant,gold,13,Sunday,visa,0
124,pharmacy,silver,12,Sunday,visa,0
125,coffee_shop,new,10,Sunday,visa,0
126,grocery_store,loyal,11,Sunday,visa,0
127,restaurant,premium,18,Sunday,amex,0
128,department_store,standard,14,Sunday,visa,0
129,entertainment,gold,16,Sunday,visa,0
130,movie_theater,student,17,Sunday,visa,0
131,grocery_store,standard,9,Monday,visa,0
132,gas_station,bronze,7,Monday,mastercard,0
133,restaurant,gold,12,Monday,visa,0
134,electronics,premium,14,Monday,amex,0
135,pharmacy,silver,10,Monday,visa,0
136,clothing,standard,15,Monday,mastercard,0
137,grocery_store,loyal,8,Monday,visa,0
138,coffee_shop,new,7,Monday,visa,0
139,online_retail,student,20,Monday,visa,0
140,gas_station,bronze,18,Monday,mastercard,0
141,restaurant,gold,19,Monday,amex,0
142,grocery_store,standard,11,Monday,visa,0
143,department_store,premium,16,Monday,visa,0
144,pharmacy,silver,9,Monday,mastercard,0
145,fast_food,student,13,Monday,visa,0
146,electronics,vip,14,Monday,amex,0
147,grocery_store,standard,17,Monday,visa,0
148,office_supplies,corporate,10,Monday,visa,0
149,print_shop,bronze,11,Monday,mastercard,0
150,telecom_services,standard,15,Monday,visa,0
151,grocery_store,standard,9,Tuesday,visa,0
152,gas_station,bronze,7,Tuesday,mastercard,0
153,restaurant,gold,12,Tuesday,visa,0
154,coffee_shop,new,8,Tuesday,visa,0
155,pharmacy,silver,10,Tuesday,visa,0
156,clothing,standard,17,Tuesday,mastercard,0
157,electronics,premium,15,Tuesday,amex,0
158,grocery_store,standard,9,Tuesday,visa,0
159,online_retail,student,21,Tuesday,visa,1
160,gas_station,bronze,18,Tuesday,mastercard,0
161,restaurant,gold,19,Tuesday,amex,0
162,department_store,premium,14,Tuesday,visa,0
163,fast_food,student,12,Tuesday,visa,0
164,pharmacy,silver,11,Tuesday,mastercard,0
165,home_improvement,loyal,10,Tuesday,visa,0
166,furniture_store,corporate,16,Tuesday,amex,0
167,grocery_store,standard,17,Tuesday,visa,0
168,bookstore,student,15,Tuesday,visa,0
169,pet_store,silver,13,Tuesday,mastercard,0
170,sporting_goods,bronze,14,Tuesday,visa,0
171,grocery_store,standard,9,Wednesday,visa,0
172,gas_station,bronze,7,Wednesday,mastercard,0
173,restaurant,gold,13,Wednesday,visa,0
174,electronics,premium,15,Wednesday,amex,0
175,pharmacy,silver,10,Wednesday,visa,0
176,clothing,standard,16,Wednesday,mastercard,0
177,grocery_store,loyal,8,Wednesday,visa,0
178,coffee_shop,new,8,Wednesday,visa,0
179,online_retail,student,22,Wednesday,visa,0
180,gas_station,bronze,18,Wednesday,mastercard,0
181,restaurant,gold,20,Wednesday,amex,0
182,grocery_store,standard,11,Wednesday,visa,0
183,department_store,premium,15,Wednesday,visa,0
184,pharmacy,silver,9,Wednesday,mastercard,0
