customer_id,age,income,prior_purchases,engagement_score,received_email,made_purchase
1,34,67.5,8,72.3,1,1
2,45,52.1,2,31.5,0,0
3,29,85.3,12,88.9,1,1
4,51,43.2,5,55.7,1,0
5,38,91.0,1,22.1,0,0
6,42,78.3,15,91.2,1,1
7,27,48.9,3,45.8,0,0
8,55,62.4,9,78.5,1,1
9,31,71.2,6,64.3,1,0
10,48,55.7,1,28.9,0,0
11,36,89.5,14,85.7,1,1
12,44,46.8,4,52.1,1,1
13,26,68.9,0,18.4,0,0
14,52,73.6,11,81.3,1,1
15,39,58.3,7,69.2,1,0
16,33,84.7,2,36.5,0,0
17,47,61.5,13,87.4,1,1
18,28,49.2,5,58.9,1,1
19,54,77.8,8,74.6,1,1
20,41,52.6,1,25.7,0,0
21,35,93.4,16,93.8,1,1
22,50,44.3,3,48.2,0,0
23,30,69.7,10,79.8,1,1
24,43,81.2,6,66.4,1,0
25,37,56.8,0,21.3,0,0
26,49,72.4,12,84.5,1,1
27,32,63.9,4,54.6,1,0
28,46,88.6,9,76.2,1,1
29,25,47.5,2,39.7,0,0
30,53,75.1,14,89.3,1,1
31,40,59.4,7,71.8,1,1
32,34,85.9,1,29.4,0,0
33,45,51.7,11,82.6,1,1
34,29,67.3,5,61.5,1,0
35,51,79.8,8,73.9,1,1
36,38,48.6,0,19.8,0,0
37,42,91.2,15,91.7,1,1
38,27,55.3,3,47.3,1,0
39,56,69.5,10,77.4,1,1
40,33,74.2,6,65.8,1,1
41,48,46.9,2,34.6,0,0
42,36,82.7,13,86.1,1,1
43,44,58.1,4,56.2,1,0
44,26,71.6,9,75.3,1,1
45,52,63.4,1,27.5,0,0
46,39,87.3,14,88.6,1,1
47,31,49.8,5,59.4,1,1
48,47,76.9,11,80.7,1,1
49,35,54.2,0,23.1,0,0
50,50,68.7,8,72.5,1,0
51,28,92.5,12,85.3,1,1
52,43,45.7,3,49.8,0,0
53,37,61.9,7,68.7,1,1
54,49,78.4,15,90.4,1,1
55,32,52.3,2,38.2,0,0
56,46,86.8,10,78.9,1,1
57,24,47.1,4,53.7,1,0
58,54,73.5,9,76.8,1,1
59,40,59.6,1,26.3,0,0
60,34,81.4,13,84.9,1,1
61,45,48.9,6,63.4,1,0
62,29,69.8,11,81.5,1,1
63,51,75.2,5,60.8,1,1
64,38,56.7,0,20.6,0,0
65,42,88.9,14,87.2,1,1
66,27,51.4,3,46.9,0,0
67,55,64.3,8,71.9,1,1
68,33,79.6,12,83.7,1,1
69,48,46.2,2,35.4,0,0
70,36,72.8,9,77.1,1,1
71,44,58.9,4,55.3,1,0
72,26,85.7,7,69.8,1,1
73,52,62.1,1,28.7,0,0
74,39,49.5,10,79.2,1,1
75,31,76.4,15,92.1,1,1
76,47,53.8,5,57.6,1,0
77,35,91.7,13,86.8,1,1
78,50,45.4,3,50.2,1,1
79,28,68.2,8,74.3,1,1
80,43,74.9,0,22.4,0,0
81,37,57.3,11,82.3,1,1
82,49,82.6,6,67.2,1,1
83,32,48.7,2,40.1,0,0
84,46,69.5,14,88.4,1,1
85,25,75.8,9,76.5,1,1
86,53,54.1,4,54.8,1,0
87,40,87.2,12,84.2,1,1
88,34,46.8,1,30.2,0,0
89,45,63.7,7,70.6,1,1
90,29,78.9,10,80.1,1,1
91,51,52.4,5,61.9,1,0
92,38,89.4,15,90.8,1,1
93,42,47.6,3,48.6,0,0
94,27,71.3,8,73.6,1,1
95,56,64.8,11,81.9,1,1
96,33,55.9,0,24.8,0,0
97,48,83.5,13,85.6,1,1
98,36,49.2,6,64.7,1,0
99,44,76.7,9,77.8,1,1
100,26,58.4,2,37.9,0,0
101,52,68.9,14,89.5,1,1
102,39,81.8,4,56.9,1,1
103,31,46.5,7,68.4,1,0
104,47,73.2,12,83.4,1,1
105,35,54.7,1,29.6,0,0
106,50,88.1,10,79.6,1,1
107,28,62.6,5,59.8,1,1
108,43,77.4,8,72.8,1,1
109,37,48.3,0,21.9,0,0
110,49,69.1,11,80.9,1,1
111,32,85.4,15,91.4,1,1
112,46,51.9,3,51.6,1,0
113,24,74.6,9,75.7,1,1
114,54,59.2,6,66.1,1,1
115,40,45.9,2,33.8,0,0
116,34,82.3,13,87.5,1,1
117,45,67.8,4,58.2,1,0
118,29,56.1,7,70.2,1,1
119,51,79.5,14,88.9,1,1
120,38,48.1,1,27.8,0,0
121,42,71.9,10,78.3,1,1
122,27,63.4,5,62.4,1,0
123,55,87.6,12,84.8,1,1
124,33,49.7,8,73.2,1,1
125,48,75.3,0,23.7,0,0
126,36,58.7,11,82.7,1,1
127,44,84.9,15,90.2,1,1
128,26,52.8,3,49.3,0,0
129,52,66.4,9,76.9,1,1
130,39,78.2,6,65.3,1,1
131,31,47.4,2,41.5,0,0
132,47,89.8,13,86.5,1,1
133,35,61.2,7,69.5,1,0
134,50,72.7,14,89.8,1,1
135,28,55.6,4,55.9,1,1
136,43,83.1,10,79.4,1,1
137,37,46.7,1,31.7,0,0
138,49,68.5,8,74.8,1,1
139,32,76.8,12,83.9,1,1
140,46,53.2,5,60.3,1,0
141,25,88.7,11,81.8,1,1
142,53,62.9,0,25.3,0,0
143,40,48.8,9,77.6,1,1
144,34,74.1,15,92.3,1,1
145,45,57.5,3,52.4,1,0
146,29,81.9,7,71.3,1,1
