fraud,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
0,45.32,12543,0.23,-0.45,1.2,3,0.56,-0.89,1.34,0.12,5,-1.23,0.67,-0.34,1.45,2,0.78,-0.56,0.23,1
0,123.45,34567,-0.12,0.78,0.34,5,1.23,-0.45,0.89,0.56,3,0.67,-0.89,1.12,-0.34,4,1.45,-0.67,0.45,2
0,78.9,45678,1.34,-0.67,0.89,2,-0.45,1.23,0.34,0.78,6,-0.56,1.45,0.23,-0.89,1,0.34,1.23,-0.45,3
0,234.56,23456,-0.89,1.45,0.56,4,0.78,-1.23,0.67,0.34,2,1.23,-0.34,0.89,-0.56,5,0.45,-0.89,1.12,4
0,89.12,56789,0.67,-0.34,1.45,1,-0.89,0.56,1.23,0.45,4,0.34,-1.23,0.78,-0.67,3,1.12,0.56,-0.34,2
0,156.78,67890,-1.23,0.89,0.23,6,0.45,-0.67,0.56,1.12,5,-0.78,0.89,1.34,-0.45,2,0.67,0.34,-0.89,1
0,67.34,78901,0.56,1.23,-0.45,3,1.12,-0.34,0.78,0.89,1,0.45,-0.67,1.23,-1.12,4,0.23,0.89,-0.56,5
0,198.76,12389,1.45,-0.56,0.78,5,-0.34,0.89,1.12,0.67,3,-0.45,1.23,0.56,-0.78,6,0.89,-0.34,0.67,2
0,45.67,23478,-0.67,0.34,1.23,2,0.89,-1.12,0.45,1.34,4,0.56,-0.89,0.34,-1.23,1,1.45,0.78,-0.67,3
0,112.34,34589,0.34,-1.23,0.67,4,-0.56,1.45,0.89,0.23,5,1.12,-0.45,0.78,-0.34,3,0.56,1.23,-0.78,4
0,287.45,45690,1.23,-0.89,0.45,1,0.67,-0.78,1.34,0.56,2,-0.34,0.89,1.12,-0.67,5,0.78,0.45,-1.23,6
0,93.21,56701,-0.45,1.12,0.89,3,1.34,-0.56,0.67,0.78,6,0.89,-1.23,0.45,-0.89,2,1.12,0.67,-0.45,1
0,167.89,67812,0.78,-0.67,1.12,5,-0.89,0.45,1.23,0.34,4,0.67,-0.34,0.89,-1.12,3,0.45,1.34,-0.56,2
0,54.32,78923,1.12,-0.45,0.56,2,0.34,-1.23,0.78,1.45,1,-0.56,1.12,0.67,-0.45,4,0.89,0.23,-0.89,5
0,201.56,12434,-0.34,0.89,1.34,4,1.23,-0.67,0.45,0.89,3,1.45,-0.78,1.23,-0.56,6,0.34,0.78,-0.67,2
0,76.45,23545,0.89,-1.12,0.34,1,-0.67,0.78,1.12,0.56,5,0.23,-0.89,1.45,-0.34,2,1.23,0.56,-1.12,3
0,143.67,34656,-0.56,1.34,0.78,3,0.45,-0.89,1.34,0.67,4,0.78,-1.12,0.34,-0.78,1,0.89,1.12,-0.34,4
0,98.54,45767,1.34,-0.78,0.45,5,0.89,-0.34,0.56,1.23,2,-0.67,0.45,0.89,-1.34,3,0.67,0.45,-0.78,5
0,234.78,56878,-0.89,0.56,1.23,2,1.12,-0.45,0.34,0.78,6,0.34,-0.56,1.12,-0.89,4,1.45,0.89,-0.45,1
0,67.89,67989,0.45,-0.34,0.89,4,-0.78,1.23,0.67,1.34,3,1.12,-0.67,0.56,-0.45,5,0.23,1.34,-0.89,2
0,189.23,79090,1.23,-0.67,0.34,1,0.56,-1.34,1.12,0.45,5,-0.89,1.34,0.78,-1.12,2,0.78,0.67,-0.56,3
0,54.76,12545,-0.67,1.12,0.67,3,1.45,-0.56,0.89,0.34,4,0.56,-0.34,1.23,-0.67,6,1.12,0.34,-0.78,4
0,145.32,23656,0.34,-0.89,1.12,5,-0.45,0.67,1.45,0.89,1,0.78,-1.23,0.45,-0.34,3,0.67,0.89,-1.12,5
0,87.65,34767,1.12,-0.56,0.23,2,0.89,-0.78,0.67,1.12,3,-0.34,0.89,1.34,-0.78,4,0.45,1.23,-0.67,2
0,212.43,45878,-0.78,0.45,0.78,4,1.34,-1.12,0.56,0.67,5,1.23,-0.45,0.89,-0.56,1,0.34,0.56,-0.89,3
0,76.21,56989,0.67,-1.23,0.45,1,-0.56,0.89,1.23,0.78,2,0.45,-0.78,1.12,-1.23,5,1.34,0.78,-0.45,4
0,158.76,68090,1.45,-0.34,0.89,3,0.23,-0.67,0.78,1.34,4,0.89,-0.56,0.67,-0.89,2,0.56,1.12,-0.34,1
0,92.34,79101,-0.45,0.78,1.34,5,0.67,-0.89,1.12,0.56,6,1.12,-1.34,0.45,-0.67,3,0.78,0.34,-1.12,5
0,223.45,12656,0.89,-0.67,0.56,2,1.23,-0.45,0.34,0.89,1,-0.67,1.23,0.78,-0.45,4,1.12,0.89,-0.56,2
0,65.43,23767,-0.34,1.12,0.67,4,-0.89,1.34,0.45,1.23,3,0.34,-0.89,1.45,-1.12,5,0.67,1.23,-0.78,3
