timestamp,user_id,event_type,value
2024-01-15T14:30:00Z,1001,click,50
2024-01-15T15:22:10Z,unknown,view,0
2024-01-16T08:15:30Z,2034,purchase,250
2024-01-16T10:45:00Z,5432,click,-20
2024-01-17T12:00:00Z,3456,view,75
2024-01-17T14:22:33Z,8901,click,120
2024-01-18T09:30:15Z,unknown,purchase,500
2024-01-18T11:45:22Z,2345,view,0
2024-01-19T08:15:44Z,6789,click,85
2024-01-19T10:30:11Z,4567,purchase,350
2024-01-20T13:22:09Z,unknown,view,0
2024-01-20T15:44:33Z,7890,click,-15
2024-01-21T07:30:22Z,3456,view,45
2024-01-21T09:15:44Z,1234,click,90
2024-01-21T11:22:15Z,5678,purchase,425
2024-01-22T08:44:22Z,unknown,click,0
2024-01-22T10:30:55Z,9012,view,35
2024-01-22T12:15:33Z,2468,click,110
2024-01-23T07:22:44Z,3579,purchase,275
2024-01-23T09:45:11Z,4680,view,0
2024-01-23T11:30:22Z,unknown,click,65
2024-01-24T08:15:33Z,5791,view,20
2024-01-24T10:22:44Z,6802,click,145
2024-01-24T12:45:55Z,7913,purchase,-30
2024-01-25T07:30:11Z,8024,view,0
2024-01-25T09:15:22Z,unknown,click,95
invalid-timestamp,1234,view,100
2024-01-25T13:44:33Z,9135,click,155
2024-01-26T08:22:44Z,1246,purchase,380
2024-01-26T10:30:55Z,2357,view,0
2024-01-26T12:15:11Z,unknown,click,70
2024-01-27T07:45:22Z,3468,view,25
2024-01-27T09:30:33Z,4579,click,130
2024-01-27T11:22:44Z,5680,purchase,290
2024-01-28T08:15:55Z,6791,view,0
2024-01-28T10:44:11Z,unknown,click,-25
2024-01-28T12:30:22Z,7902,view,40
2024-01-29T07:22:33Z,8013,click,165
2024-01-29T09:45:44Z,9124,purchase,315
2024-01-29T11:30:55Z,1235,view,0
2024-01-30T08:15:11Z,unknown,click,80
2024-01-30T10:22:22Z,2346,view,30
2024-01-30T12:45:33Z,3457,click,175
2024-01-31T07:30:44Z,4568,purchase,340
2024-01-31T09:15:55Z,5679,view,0
2024-01-31T11:44:11Z,unknown,click,100
2024-01-01T08:22:22Z,6780,view,45
2024-01-01T10:30:33Z,7891,click,140
2024-01-01T12:15:44Z,8902,purchase,-40
2024-01-02T07:45:55Z,9013,view,0
2024-01-02T09:30:11Z,unknown,click,115
2024-01-02T11:22:22Z,1124,view,35
2024-01-03T08:15:33Z,2235,click,185
2024-01-03T10:44:44Z,3346,purchase,365
2024-01-03T12:30:55Z,4457,view,0
2024-01-04T07:22:11Z,unknown,click,-35
2024-01-04T09:45:22Z,5568,view,50
2024-01-04T11:30:33Z,6679,click,150
2024-01-05T08:15:44Z,7780,purchase,285
2024-01-05T10:22:55Z,8891,view,0
2024-01-05T12:45:11Z,unknown,click,105
2024-01-06T07:30:22Z,9902,view,40
2024-01-06T09:15:33Z,1013,click,195
2024-01-06T11:44:44Z,2124,purchase,390
2024-01-07T08:22:55Z,3235,view,0
2024-01-07T10:30:11Z,unknown,click,125
2024-01-07T12:15:22Z,4346,view,45
2024-01-08T07:45:33Z,5457,click,160
2024-01-08T09:30:44Z,6568,purchase,-45
2024-01-08T11:22:55Z,7679,view,0
2024-01-09T08:15:11Z,unknown,click,90
2024-01-09T10:44:22Z,8780,view,55
2024-01-09T12:30:33Z,9891,click,205
2024-01-10T07:22:44Z,1902,purchase,310
2024-01-10T09:45:55Z,2013,view,0
2024-01-10T11:30:11Z,unknown,click,-50
2024-01-11T08:15:22Z,3124,view,35
2024-01-11T10:22:33Z,4235,click,170
2024-01-11T12:45:44Z,5346,purchase,335
2024-01-12T07:30:55Z,6457,view,0
2024-01-12T09:15:11Z,unknown,click,110
2024-01-12T11:44:22Z,7568,view,60
2024-01-12T13:22:33Z,8679,click,215
2024-01-13T08:15:44Z,9780,purchase,360
2024-01-13T10:30:55Z,1891,view,0
2024-01-13T12:15:11Z,unknown,click,135
2024-01-14T07:45:22Z,2902,view,50
2024-01-14T09:30:33Z,3013,click,-55
2024-01-14T11:22:44Z,4124,purchase,295
2024-01-15T08:15:55Z,5235,view,0
2024-01-15T10:44:11Z,unknown,click,120
2024-01-15T12:30:22Z,6346,view,45
2024-01-16T07:22:33Z,7457,click,225
2024-01-16T09:45:44Z,8568,purchase,385
2024-01-16T11:30:55Z,9679,view,0
2024-01-17T08:15:11Z,unknown,click,-60
2024-01-17T10:22:22Z,1780,view,65
2024-01-17T12:45:33Z,2891,click,180
2024-01-18T07:30:44Z,3902,purchase,320
2024-01-18T09:15:55Z,4013,view,0
2024-01-18T11:44:11Z,unknown,click,145
2024-01-19T08:22:22Z,5124,view,55
2024-01-19T10:30:33Z,6235,click,235
2024-01-19T12:15:44Z,7346,purchase,370
2024-01-20T07:45:55Z,8457,view,0
2024-01-20T09:30:11Z,unknown,click,130
2024-01-20T11:22:22Z,9568,view,-70
2024-01-21T08:15:33Z,1679,click,190
2024-01-21T10:44:44Z,2780,purchase,305
2024-01-21T12:30:55Z,3891,view,0
2024-01-22T07:22:11Z,unknown,click,155
2024-01-22T09:45:22Z,4902,view,60
2024-01-22T11:30:33Z,5013,click,245
2024-01-23T08:15:44Z,6124,purchase,-75
2024-01-23T10:22:55Z,7235,view,0
2024-01-23T12:45:11Z,unknown,click,140
2024-01-24T07:30:22Z,8346,view,70
2024-01-24T09:15:33Z,9457,click,200
2024-01-24T11:44:44Z,1568,purchase,345
2024-01-25T08:22:55Z,2679,view,0
2024-01-25T10:30:11Z,unknown,click,-80
2024-01-25T12:15:22Z,3780,view,50
2024-01-26T07:45:33Z,4891,click,255
2024-01-26T09:30:44Z,5902,purchase,395
2024-01-26T11:22:55Z,6013,view,0
2024-01-27T08:15:11Z,unknown,click,165
2024-01-27T10:44:22Z,7124,view,75
2024-01-27T12:30:33Z,8235,click,210
2024-01-28T07:22:44Z,9346,purchase,330
2024-01-28T09:45:55Z,1457,view,0
2024-01-28T11:30:11Z,unknown,click,150
2024-01-29T08:15:22Z,2568,view,-85
2024-01-29T10:22:33Z,3679,click,265
2024-01-29T12:45:44Z,4780,purchase,355
2024-01-30T07:30:55Z,5891,view,0
2024-01-30T09:15:11Z,unknown,click,175
2024-01-30T11:44:22Z,6902,view,65
2024-01-31T08:22:33Z,7013,click,220
2024-01-31T10:30:44Z,8124,purchase,380
2024-01-31T12:15:55Z,9235,view,0
2024-01-01T07:45:11Z,unknown,click,-90
2024-01-01T09:30:22Z,1346,view,80
2024-01-01T11:22:33Z,2457,click,275
2024-01-02T08:15:44Z,3568,purchase,325
2024-01-02T10:44:55Z,4679,view,0
2024-01-02T12:30:11Z,unknown,click,160
2024-01-03T07:22:22Z,5780,view,55
