transaction_id,user_id,amount,currency,timestamp,status
1001,5001,125.50,USD,2023-01-15 10:30:45,completed
1002,5002,250.75,EUR,2023-01-15 11:45:22,completed
,5003,99.99,GBP,2023-01-15 12:15:30,pending
1004,5004,450.00,USD,2023-01-15 13:20:15,completed
1005,,175.25,CAD,2023-01-15 14:35:40,failed
1006,5006,  320.80  ,JPY,2023-01-15 15:40:50,completed
1007,5007,89.99,  EUR  ,2023-01-15 16:25:35,pending
1008,5008,,USD,2023-01-15 17:30:20,completed
1009,5009,12.34.56,GBP,2023-01-15 18:45:10,failed
1010,5010,550.00,USD,2023-13-45 25:99:99,completed
1011,5011,  125.99  ,CAD,2023-01-16 09:15:25,completed
,5012,275.50,EUR,2023-01-16 10:20:30,pending
1013,5013,425.75,USD,2023-01-16 11:35:45,completed
1014,,99.00,GBP,2023-01-16 12:40:55,completed
1015,5015,abc,JPY,2023-01-16 13:50:20,failed
1016,5016,780.25,USD,2023-01-16 14:55:30,completed
1017,5017,145.60,,2023-01-16 15:10:40,pending
1019,5019,235.80,GBP,not-a-date,completed
,5020,415.50,USD,2023-01-17 09:30:25,completed
1021,5021,  670.00  ,CAD,2023-01-17 10:45:35,failed
1022,,125.99,EUR,2023-01-17 11:50:45,pending
1023,5023,335.75,JPY,2023-01-17 12:15:55,completed
1024,5024,,,2023-01-17 13:20:10,completed
1025,5025,825.50,USD,2023-01-17 14:35:20,pending
1026,5026,195.00,  GBP  ,2023-01-17 15:40:30,completed
,5027,445.25,EUR,2023-01-17 16:55:45,failed
1028,5028,12.34.56,USD,2023-01-17 17:10:50,completed
1029,5029,565.80,CAD,2023-15-01 10:30:45,pending
1030,,735.00,JPY,2023-01-18 09:15:20,completed
1031,5031,  285.50  ,USD,2023-01-18 10:20:35,completed
1032,5032,155.75,EUR,2023-01-18 11:35:40,failed
1033,5033,abc,GBP,2023-01-18 12:40:50,pending
,5034,625.00,CAD,2023-01-18 13:45:55,completed
1035,5035,395.25,,2023-01-18 14:50:10,completed
1036,,875.60,USD,2023-01-18 15:15:20,pending
1037,5037,245.80,EUR,invalid-date,failed
1039,5039,  685.50  ,GBP,2023-01-19 09:10:15,completed
1040,5040,135.75,USD,2023-01-19 10:25:30,completed
,5041,425.00,CAD,2023-01-19 11:30:40,pending
1042,5042,12.34.56,EUR,2023-01-19 12:45:50,completed
1043,,765.25,JPY,2023-01-19 13:50:05,failed
1044,5044,,,2023-01-19 14:15:15,completed
1045,5045,345.80,USD,2023-01-19 15:20:25,pending
1046,5046,  925.00  ,  GBP  ,2023-01-19 16:35:35,completed
1047,5047,215.50,EUR,2023-20-01 10:30:45,completed
,5048,555.75,CAD,2023-01-20 09:15:20,failed
1049,5049,abc,USD,2023-01-20 10:20:30,pending
1050,5050,825.00,JPY,2023-01-20 11:35:45,completed
1051,,195.25,GBP,2023-01-20 12:40:50,completed
1053,5053,645.80,USD,not-valid-timestamp,pending
1054,5054,125.00,,2023-01-20 15:20:25,completed
,5055,885.50,CAD,2023-01-20 16:25:35,failed
1056,5056,255.75,JPY,2023-01-21 09:10:15,completed
1057,,375.00,EUR,2023-01-21 10:15:25,pending
1058,5058,12.34.56,GBP,2023-01-21 11:30:40,completed
1059,5059,715.25,USD,2023-01-21 12:35:50,completed
1060,5060,,,2023-01-21 13:40:05,failed
1061,5061,  545.80  ,CAD,2023-01-21 14:55:15,completed
,5062,165.00,  EUR  ,2023-01-21 15:10:20,pending
1063,5063,abc,JPY,2023-01-21 16:25:35,completed
1064,,935.50,USD,2023-01-21 17:30:45,failed
1065,5065,275.75,GBP,2024-15-45 30:75:99,completed
1067,5067,  425.25  ,CAD,2024-01-01 10:20:30,completed
,5068,755.60,JPY,2024-01-01 11:35:45,pending
1069,5069,185.80,,2024-01-01 12:40:50,completed
1070,,12.34.56,USD,2024-01-01 13:55:05,failed
1071,5071,515.00,GBP,invalid-time,completed
1072,5072,  845.50  ,EUR,2024-01-02 09:10:15,pending
1073,5073,abc,CAD,2024-01-02 10:15:25,completed
,5074,225.75,JPY,2024-01-02 11:30:40,completed
1075,5075,,,2024-01-02 12:35:50,failed
1076,,665.25,USD,2024-01-02 13:50:05,pending
1077,5077,  395.80  ,  GBP  ,2024-01-02 14:15:15,completed
1078,5078,125.00,EUR,2024-01-02 15:20:25,completed
1079,5079,885.50,CAD,2024-20-01 10:30:45,pending
,5080,255.75,JPY,2024-01-03 09:15:20,completed
1081,5081,12.34.56,USD,2024-01-03 10:20:30,failed
1082,,575.00,GBP,2024-01-03 11:35:45,completed
1083,5083,abc,EUR,2024-01-03 12:40:50,pending
1084,5084,  725.25  ,,2024-01-03 13:55:05,completed
,5086,445.80,JPY,2024-01-03 15:20:25,completed
1087,5087,815.00,USD,2024-01-03 16:25:35,failed
1088,,12.34.56,GBP,2024-01-04 09:10:15,pending
1089,5089,  245.50  ,EUR,2024-01-04 10:15:25,completed
1090,5090,,,2024-01-04 11:30:40,completed
1091,5091,615.75,CAD,2024-01-04 12:35:50,failed
,5092,abc,JPY,2024-01-04 13:50:05,pending
1093,5093,345.00,USD,invalid-timestamp,completed
1094,,775.25,  GBP  ,2024-01-04 15:15:15,completed
1096,5096,535.80,CAD,2024-01-04 17:35:40,completed
1097,5097,12.34.56,JPY,2024-01-05 09:10:15,pending
,5098,865.00,USD,2024-01-05 10:15:25,failed
1099,5099,,,2024-01-05 11:30:40,completed
1100,,425.75,GBP,2024-01-05 12:35:50,completed
1101,5101,  685.00  ,EUR,2024-30-01 10:30:45,pending
1102,5102,155.25,CAD,2024-01-05 14:15:15,completed
1103,5103,abc,,2024-01-05 15:20:25,failed
,5104,495.60,JPY,2024-01-05 16:25:35,completed
1105,5105,825.80,USD,not-valid,pending
1106,,12.34.56,GBR,2024-01-06 09:10:15,completed
1108,5108,585.50,CAD,2024-01-06 11:30:40,completed
1109,5109,,,2024-01-06 12:35:50,failed
,5110,abc,JPY,2024-01-06 13:50:05,pending
1111,5111,715.75,USD,2024-01-06 14:15:15,completed
1112,,145.00,GBP,2024-01-06 15:20:25,completed
1113,5113,  475.25  ,  EUR  ,2024-15-01 10:30:45,pending
1114,5114,805.60,CAD,2024-01-07 09:10:15,completed
1115,5115,12.34.56,JPY,2024-01-07 10:15:25,failed
,5116,235.80,USD,2024-01-07 11:30:40,completed
1117,5117,abc,,2024-01-07 12:35:50,pending
1118,,565.00,GBP,invalid-date-format,completed
1120,5120,,,2024-01-07 15:20:25,completed
1121,5121,325.75,CAD,2024-01-07 16:25:35,failed
,5122,12.34.56,JPY,2024-01-07 17:40:50,pending
1123,5123,655.00,USD,2024-01-08 09:10:15,completed
1124,,185.25,GBP,2024-01-08 10:15:25,completed
1125,5125,  515.60  ,EUR,2024-20-45 30:99:99,pending
1126,5126,abc,CAD,2024-01-08 12:35:50,completed
1127,5127,845.80,,2024-01-08 13:50:05,failed
,5128,215.00,JPY,2024-01-08 14:15:15,completed
1129,5129,,,2024-01-08 15:20:25,pending
1130,,545.50,USD,not-valid-timestamp,completed
1132,5132,12.34.56,EUR,2024-01-09 10:15:25,completed
1133,5133,abc,CAD,2024-01-09 11:30:40,failed
,5134,775.25,JPY,2024-01-09 12:35:50,pending
1135,5135,  405.60  ,USD,2024-01-09 13:50:05,completed
1136,,135.80,GBP,2024-01-09 14:15:15,completed
1137,5137,,,2024-01-09 15:20:25,pending
1138,5138,465.00,EUR,invalid-date,failed
1139,5139,795.50,CAD,2024-01-09 17:35:40,completed
,5140,12.34.56,JPY,2024-01-10 09:10:15,completed
1141,5141,  225.75  ,USD,2024-01-10 10:15:25,pending
1142,,555.00,  GBP  ,2024-01-10 11:30:40,completed
1143,5143,abc,EUR,2024-01-10 12:35:50,failed
1144,5144,885.25,,2024-01-10 13:50:05,completed
1145,5145,  255.60  ,CAD,2024-30-01 10:30:45,pending
1147,5147,,,2024-01-10 16:25:35,completed
1148,,12.34.56,USD,2024-01-10 17:40:50,failed
1149,5149,715.00,GBP,not-valid-date,pending
1150,5150,145.50,EUR,2024-01-11 09:10:15,completed
1151,5151,  475.75  ,CAD,2024-01-11 10:15:25,completed
,5152,abc,JPY,2024-01-11 11:30:40,pending
1153,5153,805.00,USD,2024-01-11 12:35:50,completed
1154,,235.25,GBP,2024-01-11 13:50:05,failed
1155,5155,  565.60  ,,2024-01-11 14:15:15,completed
1156,5156,,,2024-01-11 15:20:25,pending
1157,5157,12.34.56,EUR,invalid-timestamp,completed
,5158,895.80,CAD,2024-01-11 17:35:40,failed
1159,5159,325.00,JPY,2024-01-12 09:10:15,completed
1161,5161,  185.75  ,  GBP  ,2024-01-12 11:30:40,completed
1162,5162,abc,EUR,2024-01-12 12:35:50,pending
1163,5163,515.00,CAD,2024-15-45 30:99:99,completed
,5164,845.25,JPY,2024-01-12 14:15:15,failed
1165,5165,  215.60  ,USD,2024-01-12 15:20:25,completed
1166,,12.34.56,GBP,2024-01-12 16:25:35,pending
1167,5167,545.80,EUR,2024-01-12 17:40:50,completed
1168,5168,,,2024-01-13 09:10:15,completed
1169,5169,abc,CAD,not-a-date,failed
,5170,775.50,JPY,2024-01-13 10:15:25,pending
1172,5172,135.00,,2024-01-13 12:35:50,completed
1173,,465.25,GBP,2024-01-13 13:50:05,completed
1174,5174,12.34.56,EUR,2024-01-13 14:15:15,pending
1175,5175,  795.60  ,CAD,invalid-date-time,failed
,5176,225.80,JPY,2024-01-13 16:25:35,completed
1177,5177,abc,USD,2024-01-13 17:40:50,completed
1178,,885.00,GBP,2024-01-14 09:10:15,pending
1179,5179,,,2024-01-14 10:15:25,completed
1180,5180,515.50,EUR,2024-01-14 11:30:40,failed
1181,5181,  645.75  ,  CAD  ,2024-01-14 12:35:50,completed
,5182,12.34.56,JPY,2024-01-14 13:50:05,pending
1183,5183,175.00,USD,2024-20-01 10:30:45,completed
1185,5185,  505.25  ,EUR,2024-01-14 16:25:35,completed
1186,5186,835.60,CAD,2024-01-14 17:40:50,failed
1187,5187,,,2024-01-15 09:10:15,pending
,5188,265.80,JPY,invalid-time-format,completed
1189,5189,12.34.56,USD,2024-01-15 10:15:25,completed
1190,,595.00,GBP,2024-01-15 11:30:40,failed
1191,5191,  125.50  ,EUR,2024-01-15 12:35:50,completed
1192,5192,abc,,2024-01-15 13:50:05,pending
1193,5193,455.75,CAD,2024-01-15 14:15:15,completed
1195,5195,  215.25  ,USD,2024-01-15 16:25:35,completed
1196,5196,545.60,GBP,2024-01-15 17:40:50,failed
1197,,12.34.56,EUR,2024-01-16 09:10:15,pending
