id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,target
1,23.5,45.2,-12.1,67.8,34.2,-89.3,12.6,55.1,-23.4,78.9,43.2,-56.7,21.3,88.4,35.6,-67.2,14.8,92.3,38.7,-71.5,19.4,76.8,41.2,-53.9,25.7,82.1,47.3,-61.4,28.9,85.6,49.8,-58.2,31.5,91.7,52.4,-64.8,33.1,87.3,54.9,-69.1,36.7,93.5,57.2,-72.6,39.4,79.8,59.1,-75.3,1
2,34.7,-21.3,56.9,12.4,-78.5,43.1,89.2,-34.6,67.3,23.8,-91.4,45.7,73.2,-28.9,59.6,17.3,-84.1,38.5,69.8,-31.7,52.4,21.9,-87.6,41.2,65.3,-25.8,48.9,15.6,-93.2,37.4,71.5,-29.3,54.8,19.2,-89.7,42.6,68.1,-33.5,51.3,24.7,-95.4,39.8,74.6,-36.2,57.9,28.4,-91.8,44.3,0
3,45.8,67.3,-34.5,89.1,23.6,-72.4,51.2,34.9,-56.7,92.3,38.4,-68.9,47.1,81.5,-29.8,63.2,19.7,-75.6,42.8,87.9,-32.4,59.3,24.1,-79.2,48.6,73.7,-36.9,54.5,27.8,-82.3,44.2,69.4,-41.7,58.9,31.2,-85.6,49.7,75.8,-38.4,62.3,35.6,-88.1,52.4,71.2,-43.9,65.7,39.1,-91.5,1
4,-56.2,78.4,23.7,-91.3,45.8,67.9,-32.5,84.6,19.3,-73.8,52.1,36.4,-88.7,48.9,71.2,-28.6,59.7,15.8,-76.4,43.3,68.5,-35.1,55.8,22.9,-82.7,47.6,73.1,-39.4,61.2,26.7,-85.9,51.3,69.8,-42.8,57.4,31.5,-89.2,46.9,75.3,-37.6,63.8,28.2,-92.4,53.7,71.9,-41.3,58.6,33.8,0
5,67.9,-45.3,82.6,34.1,-69.7,51.4,28.9,-76.2,43.8,67.3,-38.5,55.9,24.6,-81.4,47.2,72.8,-33.7,59.1,21.3,-85.6,48.7,68.4,-29.8,53.2,18.9,-78.9,44.6,73.5,-36.2,61.7,25.4,-82.1,49.3,69.8,-41.5,57.8,32.7,-87.3,52.9,75.6,-34.9,63.4,27.1,-91.7,46.8,71.2,-39.6,58.3,1
6,78.3,34.6,-67.8,91.2,45.7,-73.4,52.9,28.1,-84.6,49.3,71.8,-36.5,63.7,22.4,-89.1,47.6,68.2,-31.9,55.4,19.7,-76.8,43.2,69.5,-38.3,59.8,26.1,-82.7,51.4,73.9,-42.6,57.2,33.8,-87.5,48.1,75.3,-35.7,61.9,29.4,-91.2,46.8,72.6,-39.1,58.7,24.3,-85.9,52.3,69.4,-44.8,0
7,-23.4,56.8,89.5,-34.7,72.1,18.9,-65.3,41.6,77.2,-29.8,53.4,15.7,-71.9,38.2,68.7,-26.5,49.3,12.8,-78.4,44.9,73.6,-33.1,59.7,21.4,-82.8,47.5,69.1,-37.6,54.2,28.3,-86.9,51.8,74.5,-41.2,62.7,35.9,-89.3,48.6,71.4,-38.7,57.1,32.5,-92.6,53.9,76.8,-43.4,64.3,36.2,1
8,89.2,-56.7,73.4,28.9,-81.5,44.3,67.8,-35.1,52.6,19.7,-74.2,39.8,68.5,-31.4,56.9,23.2,-79.6,45.7,71.3,-36.8,61.4,27.5,-84.9,49.2,73.8,-42.3,58.7,33.1,-88.6,52.4,75.9,-38.5,63.8,29.6,-91.7,47.1,72.3,-41.9,59.5,34.7,-86.2,51.6,74.1,-37.3,62.9,31.8,-89.4,48.2,0
9,34.5,-67.9,82.3,41.6,-73.8,52.7,29.4,-78.1,45.9,68.2,-34.6,57.3,24.8,-83.5,49.1,71.6,-39.7,62.4,28.2,-87.9,53.8,74.5,-43.1,58.6,32.9,-91.2,47.4,73.1,-38.8,61.7,27.3,-85.6,51.9,69.8,-42.5,57.2,33.6,-89.1,48.7,75.4,-37.9,63.5,29.8,-92.3,54.1,71.9,-41.6,59.4,1
10,56.7,78.9,-45.2,91.3,37.8,-69.4,53.1,26.5,-82.7,48.6,72.9,-35.3,61.5,22.1,-86.8,47.9,69.3,-41.7,58.2,31.4,-89.6,52.7,74.8,-38.9,63.1,28.7,-93.5,49.4,71.2,-42.8,57.6,34.9,-87.1,51.3,73.5,-39.6,62.8,29.5,-91.9,46.2,75.7,-43.4,59.9,33.2,-85.3,54.6,69.1,-37.8,0
11,45.3,-78.6,67.2,32.9,-84.1,49.7,71.4,-36.8,62.5,27.3,-89.9,53.2,74.6,-41.5,58.9,34.1,-92.7,48.4,73.8,-38.7,61.3,29.6,-86.2,52.8,69.5,-43.9,57.4,33.5,-91.6,47.1,75.9,-39.2,63.7,28.8,-87.4,51.6,72.3,-42.1,59.2,35.7,-93.8,46.9,74.1,-38.4,62.6,31.9,-89.5,54.3,1
12,67.8,34.2,-91.5,56.4,73.9,-29.7,62.1,18.6,-76.3,42.8,69.7,-34.5,58.3,25.1,-82.9,47.6,71.2,-39.8,54.7,32.4,-88.6,51.9,73.5,-43.2,59.8,36.7,-91.3,48.2,75.4,-38.1,63.4,29.3,-86.7,52.6,69.9,-41.6,57.1,34.8,-93.2,47.5,74.8,-37.9,61.9,31.5,-89.1,53.7,72.6,-42.7,0
13,-34.6,78.9,52.3,-86.7,43.1,69.4,-37.8,61.6,26.2,-83.9,48.7,73.2,-41.3,58.5,33.9,-89.6,52.1,74.7,-38.4,62.8,29.7,-92.3,47.9,71.5,-42.9,57.3,35.1,-87.8,51.4,73.9,-39.7,63.2,28.6,-91.5,46.8,75.1,-43.6,59.7,34.2,-85.9,53.4,72.8,-38.9,61.4,31.7,-89.2,48.6,0,1
14,89.1,-56.3,74.8,38.5,-82.6,49.2,71.7,-35.9,62.4,27.8,-88.3,53.7,75.9,-41.7,58.1,34.6,-91.8,47.3,73.4,-39.2,61.7,29.4,-86.5,52.9,69.8,-43.8,57.6,33.1,-92.7,48.9,74.2,-38.6,63.5,28.3,-87.9,51.2,72.6,-42.4,59.3,35.8,-89.4,46.7,75.7,-37.1,62.9,31.2,-93.6,54.8,0
15,23.7,-67.4,81.9,45.2,-73.6,52.8,34.1,-79.5,48.6,69.3,-36.7,61.2,25.9,-85.1,47.8,72.4,-41.3,58.7,32.5,-89.8,53.1,74.9,-38.9,63.6,28.4,-92.6,49.7,71.8,-42.7,57.9,35.3,-87.2,51.5,73.7,-39.4,62.3,29.8,-91.1,46.4,75.6,-43.9,59.8,34.7,-85.7,52.2,69.5,-37.6,0,1
16,67.5,34.8,-92.3,58.1,75.6,-31.9,63.7,22.4,-78.8,44.2,71.5,-37.3,59.6,27.8,-84.2,49.3,73.9,-42.6,56.8,33.1,-89.7,52.4,75.1,-38.5,64.2,29.7,-91.6,48.7,74.3,-41.9,60.5,35.9,-86.8,51.9,72.7,-39.8,62.1,31.3,-93.5,47.6,75.8,-43.2,58.9,36.4,-88.1,53.8,71.2,-37.7,0
17,-45.9,79.6,53.7,-87.4,44.8,71.2,-39.5,63.9,28.3,-85.6,50.1,74.8,-42.7,59.3,35.6,-91.2,53.4,76.5,-39.1,64.7,31.8,-93.9,49.6,73.1,-43.5,58.2,36.9,-88.7,52.7,75.4,-41.8,62.6,29.5,-92.8,48.3,74.9,-38.7,61.3,33.2,-86.9,54.1,73.6,-42.3,59.8,35.7,-89.5,47.9,0,1
18,56.8,-78.2,69.4,33.7,-81.9,47.5,72.8,-38.6,60.2,26.9,-87.3,51.6,75.2,-43.8,57.9,34.4,-92.6,48.1,74.7,-39.9,62.8,30.5,-88.9,53.2,71.5,-42.1,58.6,35.8,-91.7,49.3,73.9,-38.2,64.1,28.7,-86.4,52.9,75.6,-41.5,59.7,33.9,-93.1,47.2,74.3,-37.8,61.5,32.6,-89.8,54.7,0
19,78.4,42.6,-89.7,61.3,74.9,-34.8,65.2,24.7,-82.5,46.9,73.8,-39.7,61.8,29.3,-87.1,51.4,75.3,-43.9,58.5,36.2,-91.8,49.7,74.6,-38.4,63.9,31.7,-93.2,52.3,72.1,-41.6,59.1,35.4,-88.6,48.6,75.9,-39.3,64.7,30.8,-92.4,47.8,73.5,-42.9,57.2,34.1,-86.7,53.6,71.8,-38.9,1
20,-23.8,68.9,84.2,-47.6,76.3,35.1,-79.8,52.4,71.6,-36.9,64.7,28.5,-85.3,49.8,74.1,-42.7,59.4,33.6,-89.9,53.7,75.8,-39.2,65.1,31.2,-92.6,48.9,73.4,-43.8,58.7,36.5,-87.5,51.2,75.2,-38.6,63.3,29.9,-91.3,46.7,74.9,-41.4,60.8,34.8,-86.1,52.6,72.7,-39.7,0,32.3,0
