endpoint,region,connect_time_ms,total_time_ms
api-1,us-east,45,120
api-2,eu-west,180,450
api-3,ap-south,320,1200
api-1,eu-west,200,650
api-4,us-east,55,280
api-5,ap-south,380,1650
api-2,us-east,62,340
api-6,eu-west,165,520
api-7,ap-south,290,980
api-3,us-east,48,195
api-8,eu-west,210,780
api-4,ap-south,415,1920
api-9,us-east,71,425
api-5,eu-west,155,610
api-1,ap-south,265,745
api-10,us-east,39,165
api-6,ap-south,345,1580
api-7,eu-west,190,850
api-2,us-east,58,310
api-8,ap-south,470,2100
api-3,eu-west,175,495
api-9,ap-south,310,1340
api-4,us-east,67,380
api-10,eu-west,220,920
api-5,us-east,52,245
api-1,ap-south,285,1150
api-6,us-east,44,215
api-7,ap-south,395,1780
api-2,eu-west,168,565
api-8,us-east,76,445
api-9,eu-west,205,735
api-3,ap-south,330,1425
api-10,ap-south,360,1690
api-4,eu-west,185,680
api-5,us-east,63,295
api-1,eu-west,195,615
api-6,ap-south,275,890
api-7,us-east,50,225
api-2,ap-south,420,1850
api-8,eu-west,215,810
api-9,us-east,69,365
api-3,eu-west,172,540
api-10,us-east,41,178
api-4,ap-south,305,1265
api-5,eu-west,198,695
api-1,us-east,54,258
api-6,eu-west,162,475
api-7,ap-south,340,1515
api-2,us-east,60,325
api-8,ap-south,385,1735
api-9,eu-west,178,625
api-3,us-east,46,208
api-10,ap-south,295,1095
api-4,eu-west,208,755
api-5,ap-south,365,1640
api-1,us-east,72,410
api-6,us-east,49,235
api-7,eu-west,188,590
api-2,ap-south,325,1380
api-8,us-east,65,355
api-9,ap-south,450,2050
api-3,eu-west,165,510
api-10,eu-west,212,865
api-4,us-east,57,285
api-5,us-east,68,390
api-1,ap-south,315,1280
api-6,eu-west,175,545
api-7,us-east,43,192
api-2,eu-west,203,720
api-8,ap-south,370,1595
api-9,us-east,74,435
api-3,ap-south,280,1025
api-10,us-east,38,155
api-4,eu-west,192,640
api-5,ap-south,405,1875
api-1,eu-west,158,485
api-6,ap-south,350,1520
api-7,eu-west,218,895
api-2,us-east,61,315
api-8,us-east,53,265
api-9,eu-west,170,555
api-3,us-east,70,395
api-10,ap-south,335,1445
api-4,ap-south,290,1165
api-5,eu-west,185,605
api-1,us-east,47,218
api-6,us-east,66,375
api-7,ap-south,425,1960
api-2,eu-west,195,670
api-8,eu-west,160,520
api-9,ap-south,310,1305
api-3,eu-west,208,785
api-10,us-east,56,295
api-4,us-east,42,185
api-5,ap-south,355,1585
api-1,eu-west,178,595
api-6,ap-south,380,1710
api-7,us-east,64,345
api-2,ap-south,300,1215
api-8,us-east,51,240
api-9,eu-west,190,655
api-3,ap-south,340,1480
api-10,eu-west,205,745
api-4,us-east,59,308
api-5,us-east,75,455
api-1,ap-south,270,965
api-6,eu-west,172,530
api-7,ap-south,395,1825
api-2,us-east,48,228
api-8,eu-west,215,835
api-9,ap-south,460,2150
api-3,us-east,62,335
api-10,ap-south,325,1395
api-4,eu-west,182,615
api-5,eu-west,198,705
api-1,us-east,40,168
api-6,us-east,69,385
api-7,eu-west,165,495
api-2,ap-south,345,1535
api-8,ap-south,410,1895
api-9,us-east,57,285
api-3,eu-west,188,625
api-10,us-east,73,425
api-4,ap-south,315,1325
api-5,ap-south,285,1085
api-1,eu-west,210,765
api-6,ap-south,365,1655
api-7,us-east,52,255
api-2,eu-west,175,575
api-8,us-east,67,365
api-9,eu-west,192,685
api-3,ap-south,305,1245
api-10,ap-south,440,2025
api-4,us-east,46,205
api-5,eu-west,168,545
api-1,ap-south,295,1155
api-6,us-east,54,275
api-7,eu-west,205,795
api-2,ap-south,375,1745
api-8,ap-south,330,1465
api-9,us-east,63,340
api-3,eu-west,180,605
api-10,eu-west,195,725
api-4,us-east,71,405
api-5,us-east,44,195
api-1,ap-south,350,1605
api-6,eu-west,162,510
api-7,ap-south,285,1125
api-2,us-east,58,295
api-8,eu-west,208,775
api-9,ap-south,390,1785
api-3,us-east,50,235
api-10,us-east,65,355
api-4,eu-west,185,645
api-5,ap-south,325,1385
api-1,eu-west,172,560
api-6,ap-south,305,1275
api-7,us-east,60,320
api-2,eu-west,198,715
api-8,us-east,47,215
api-9,ap-south,360,1625
api-3,eu-west,215,845
api-10,ap-south,280,1055
api-4,ap-south,435,1985
api-5,us-east,56,278
api-1,us-east,68,375
api-6,eu-west,178,595
api-7,ap-south,310,1335
api-2,ap-south,355,1565
