api-users,0.002,0.015,0.120,0.245
api-orders,0.003,0.018,0.145,0.298
api-payments,0.002,0.021,0.165,0.312
db-primary,0.003,0.024,0.198,0.405
cache-redis,0.001,0.008,0.045,0.089
auth-service,0.002,0.016,0.134,0.267
api-users,0.002,0.014,0.118,0.238
api-inventory,0.003,0.019,0.152,0.289
api-shipping,0.004,0.022,0.178,0.345
db-replica,0.003,0.026,0.205,0.421
cache-redis,0.001,0.007,0.042,0.085
api-notifications,0.002,0.017,0.139,0.276
api-users,0.002,0.015,0.121,0.248
api-orders,0.003,0.020,0.156,0.305
auth-service,0.002,0.016,0.132,0.265
api-payments,0.003,0.023,0.171,0.328
db-primary,0.004,0.028,0.212,0.438
cache-redis,0.001,0.009,0.048,0.092
api-users,0.002,0.014,0.119,0.241
api-inventory,0.003,0.018,0.148,0.285
db-primary,0.005,3.245,6.823,10.456
api-shipping,0.004,0.021,0.175,0.339
api-orders,0.003,0.019,0.149,0.295
auth-service,0.002,0.015,0.128,0.259
api-notifications,0.003,0.020,0.162,0.311
cache-redis,0.001,0.008,0.046,0.088
api-users,0.002,0.016,0.125,0.254
api-payments,0.003,0.024,0.182,0.349
db-replica,0.004,0.029,0.223,0.453
api-inventory,0.003,0.019,0.151,0.288
cache-redis,0.001,0.007,0.043,0.086
api-shipping,0.004,0.023,0.186,0.358
api-orders,0.003,0.018,0.143,0.289
auth-service,0.002,0.017,0.136,0.271
db-primary,0.003,0.025,0.201,0.415
api-users,0.002,0.015,0.122,0.247
api-notifications,0.003,0.021,0.168,0.322
cache-redis,0.001,0.008,0.047,0.091
api-payments,0.003,0.022,0.174,0.334
api-inventory,0.004,0.020,0.157,0.302
db-replica,0.004,2.876,5.934,9.287
api-shipping,0.004,0.024,0.191,0.367
auth-service,0.002,0.016,0.131,0.263
api-users,0.002,0.014,0.117,0.236
api-orders,0.003,0.019,0.150,0.297
cache-redis,0.001,0.009,0.049,0.093
db-primary,0.003,0.027,0.215,0.443
api-notifications,0.003,0.022,0.176,0.338
api-payments,0.003,0.025,0.189,0.361
api-inventory,0.004,0.021,0.163,0.313
cache-redis,0.001,0.007,0.044,0.087
api-users,0.002,0.015,0.123,0.250
api-shipping,0.005,0.026,0.197,0.378
auth-service,0.002,0.017,0.138,0.274
db-replica,0.004,0.031,0.235,0.478
api-orders,0.003,0.020,0.158,0.308
cache-redis,0.001,0.008,0.046,0.089
api-notifications,0.003,0.023,0.183,0.351
api-payments,0.003,0.024,0.180,0.345
db-primary,0.004,3.567,7.456,11.234
api-inventory,0.004,0.019,0.154,0.293
api-users,0.002,0.016,0.126,0.256
cache-redis,0.001,0.009,0.050,0.095
auth-service,0.002,0.015,0.129,0.261
api-shipping,0.005,0.027,0.203,0.389
api-orders,0.003,0.021,0.165,0.317
db-replica,0.004,0.032,0.241,0.491
api-notifications,0.003,0.022,0.173,0.332
cache-redis,0.001,0.008,0.045,0.088
api-payments,0.003,0.026,0.195,0.373
api-inventory,0.004,0.020,0.160,0.306
api-users,0.002,0.014,0.118,0.239
auth-service,0.002,0.016,0.133,0.267
db-primary,0.003,0.028,0.218,0.449
cache-redis,0.001,0.007,0.042,0.085
api-shipping,0.005,0.025,0.193,0.371
api-orders,0.003,0.019,0.147,0.291
api-notifications,0.003,0.024,0.187,0.358
db-replica,0.005,3.123,6.445,10.128
api-payments,0.003,0.023,0.177,0.340
cache-redis,0.001,0.009,0.048,0.092
api-inventory,0.004,0.021,0.166,0.319
api-users,0.002,0.015,0.124,0.252
auth-service,0.002,0.017,0.140,0.278
api-shipping,0.005,0.028,0.208,0.399
db-primary,0.004,0.030,0.228,0.465
cache-redis,0.001,0.008,0.046,0.090
api-orders,0.003,0.020,0.155,0.301
api-notifications,0.003,0.025,0.192,0.368
api-payments,0.003,0.027,0.201,0.385
api-inventory,0.004,0.022,0.170,0.326
cache-redis,0.001,0.007,0.043,0.086
api-users,0.002,0.016,0.127,0.258
auth-service,0.002,0.015,0.130,0.262
db-replica,0.004,0.033,0.247,0.503
api-shipping,0.005,0.026,0.199,0.382
api-orders,0.003,0.021,0.162,0.312
cache-redis,0.001,0.009,0.049,0.094
db-primary,0.006,4.234,8.123,11.876
api-notifications,0.003,0.023,0.181,0.348
api-payments,0.003,0.024,0.185,0.355
api-inventory,0.004,0.019,0.152,0.290
api-users,0.002,0.014,0.120,0.244
cache-redis,0.001,0.008,0.047,0.091
auth-service,0.002,0.016,0.135,0.270
api-shipping,0.005,0.029,0.214,0.410
db-replica,0.004,0.031,0.237,0.483
api-orders,0.003,0.020,0.157,0.304
api-notifications,0.003,0.026,0.196,0.376
cache-redis,0.001,0.007,0.044,0.087
api-payments,0.003,0.025,0.188,0.360
api-inventory,0.004,0.021,0.164,0.315
api-users,0.002,0.015,0.122,0.249
db-primary,0.004,0.029,0.221,0.455
auth-service,0.002,0.017,0.137,0.273
cache-redis,0.001,0.008,0.046,0.089
api-shipping,0.005,0.027,0.205,0.393
api-orders,0.003,0.022,0.169,0.325
db-replica,0.005,2.987,6.234,9.876
api-notifications,0.003,0.024,0.184,0.353
api-payments,0.003,0.026,0.194,0.372
cache-redis,0.001,0.009,0.050,0.096
api-inventory,0.004,0.020,0.159,0.304
api-users,0.002,0.016,0.128,0.260
auth-service,0.002,0.015,0.131,0.264
api-shipping,0.005,0.030,0.219,0.420
db-primary,0.004,0.032,0.243,0.496
