date,currency_pair,rate
2023-01-01,EUR_USD,1.0891
2023-01-01,GBP_USD,1.2654
2023-01-01,JPY_USD,0.0072
2023-01-01,CAD_USD,0.7456
2023-01-01,AUD_USD,0.6723
2023-01-01,CHF_USD,1.1234
2023-01-05,EUR_USD,1.0912
2023-01-05,GBP_USD,1.2678
2023-01-05,CAD_USD,0.7489
2023-01-05,AUD_USD,0.6745
2023-01-10,EUR_USD,1.0898
2023-01-10,GBP_USD,1.2698
2023-01-10,JPY_USD,0.0073
2023-01-10,CHF_USD,1.1256
2023-01-15,EUR_USD,1.0876
2023-01-15,GBP_USD,1.2712
2023-01-15,JPY_USD,0.0074
2023-01-15,CAD_USD,0.7501
2023-01-20,EUR_USD,1.0923
2023-01-20,AUD_USD,0.6778
2023-01-20,CHF_USD,1.1289
2023-01-25,EUR_USD,1.0945
2023-01-25,GBP_USD,1.2734
2023-01-25,JPY_USD,0.0073
2023-01-25,CAD_USD,0.7523
2023-02-01,EUR_USD,1.0967
2023-02-01,GBP_USD,1.2756
2023-02-01,AUD_USD,0.6801
2023-02-01,CHF_USD,1.1312
2023-02-05,EUR_USD,1.0989
2023-02-05,JPY_USD,0.0072
2023-02-05,CAD_USD,0.7545
2023-02-10,EUR_USD,1.1012
2023-02-10,GBP_USD,1.2789
2023-02-10,AUD_USD,0.6834
2023-02-15,EUR_USD,1.1034
2023-02-15,GBP_USD,1.2801
2023-02-15,JPY_USD,0.0071
2023-02-15,CHF_USD,1.1345
2023-02-20,EUR_USD,1.1056
2023-02-20,CAD_USD,0.7567
2023-02-25,EUR_USD,1.1078
2023-02-25,GBP_USD,1.2823
2023-02-25,AUD_USD,0.6867
2023-03-01,EUR_USD,1.1089
2023-03-01,JPY_USD,0.0070
2023-03-01,CHF_USD,1.1378
2023-03-05,EUR_USD,1.1112
2023-03-05,GBP_USD,1.2845
2023-03-05,CAD_USD,0.7589
2023-03-10,EUR_USD,1.1098
2023-03-10,AUD_USD,0.6889
2023-03-15,EUR_USD,1.1134
2023-03-15,GBP_USD,1.2867
2023-03-15,JPY_USD,0.0071
2023-03-20,EUR_USD,1.1156
2023-03-20,CHF_USD,1.1401
2023-03-25,EUR_USD,1.1178
2023-03-25,CAD_USD,0.7612
2023-03-25,AUD_USD,0.6912
2023-04-01,EUR_USD,1.1189
2023-04-01,GBP_USD,1.2889
2023-04-01,JPY_USD,0.0072
2023-04-05,EUR_USD,1.1167
2023-04-05,CHF_USD,1.1423
2023-04-10,EUR_USD,1.1145
2023-04-10,CAD_USD,0.7634
2023-04-15,EUR_USD,1.1123
2023-04-15,GBP_USD,1.2912
2023-04-15,AUD_USD,0.6934
2023-04-20,EUR_USD,1.1101
2023-04-20,JPY_USD,0.0073
2023-04-25,EUR_USD,1.1079
2023-04-25,CHF_USD,1.1445
2023-05-01,EUR_USD,1.1057
2023-05-01,GBP_USD,1.2934
2023-05-01,CAD_USD,0.7656
2023-05-05,EUR_USD,1.1035
2023-05-05,AUD_USD,0.6956
2023-05-10,EUR_USD,1.1013
2023-05-10,JPY_USD,0.0074
2023-05-15,EUR_USD,1.0991
2023-05-15,CHF_USD,1.1467
2023-05-20,EUR_USD,1.0969
2023-05-20,GBP_USD,1.2956
2023-05-25,EUR_USD,1.0947
2023-05-25,CAD_USD,0.7678
2023-06-01,EUR_USD,1.0925
2023-06-01,AUD_USD,0.6978
2023-06-05,EUR_USD,1.0903
2023-06-05,JPY_USD,0.0075
2023-06-10,EUR_USD,1.0881
2023-06-10,GBP_USD,1.2978
2023-06-15,EUR_USD,1.0859
2023-06-15,CHF_USD,1.1489
2023-06-20,EUR_USD,1.0837
2023-06-20,CAD_USD,0.7501
2023-06-25,EUR_USD,1.0815
2023-06-25,AUD_USD,0.6701
2023-07-01,EUR_USD,1.0793
2023-07-01,GBP_USD,1.2701
2023-07-05,EUR_USD,1.0771
2023-07-05,JPY_USD,0.0074
2023-07-21,EUR_USD,1.0842
2023-07-21,CHF_USD,1.1398
2023-07-25,EUR_USD,1.0864
2023-07-25,CAD_USD,0.7523
2023-08-01,EUR_USD,1.0886
2023-08-01,GBP_USD,1.2723
2023-08-01,AUD_USD,0.6723
2023-08-05,EUR_USD,1.0908
2023-08-05,JPY_USD,0.0073
2023-08-10,EUR_USD,1.0930
2023-08-10,CHF_USD,1.1420
2023-08-15,EUR_USD,1.0952
2023-08-15,CAD_USD,0.7545
2023-08-20,EUR_USD,1.0974
2023-08-20,GBP_USD,1.2745
2023-08-25,EUR_USD,1.0996
2023-08-25,AUD_USD,0.6745
2023-09-01,EUR_USD,1.1018
2023-09-01,JPY_USD,0.0072
2023-09-05,EUR_USD,1.1040
2023-09-05,CHF_USD,1.1442
2023-09-10,EUR_USD,1.1062
2023-09-10,CAD_USD,0.7567
2023-09-15,EUR_USD,1.1084
2023-09-15,GBP_USD,1.2767
2023-09-20,EUR_USD,1.1106
2023-09-20,AUD_USD,0.6767
2023-09-25,EUR_USD,1.1128
2023-09-25,JPY_USD,0.0071
2023-10-01,EUR_USD,1.1150
2023-10-01,CHF_USD,1.1464
2023-10-05,EUR_USD,1.1172
2023-10-05,CAD_USD,0.7589
2023-10-10,EUR_USD,1.1194
2023-10-10,GBP_USD,1.2789
2023-10-15,EUR_USD,1.1171
2023-10-15,AUD_USD,0.6789
2023-10-20,EUR_USD,1.1148
2023-10-20,JPY_USD,0.0070
2023-10-25,EUR_USD,1.1125
2023-10-25,CHF_USD,1.1486
2023-11-01,EUR_USD,1.1102
2023-11-01,CAD_USD,0.7512
2023-11-05,EUR_USD,1.1079
2023-11-05,GBP_USD,1.2812
2023-11-10,EUR_USD,1.1056
2023-11-10,AUD_USD,0.6712
2023-11-19,EUR_USD,1.1097
2023-11-19,JPY_USD,0.0071
2023-11-25,EUR_USD,1.1119
2023-11-25,CHF_USD,1.1463
2023-12-01,EUR_USD,1.1141
2023-12-01,CAD_USD,0.7534
2023-12-05,EUR_USD,1.1163
2023-12-05,GBP_USD,1.2834
2023-12-10,EUR_USD,1.1185
2023-12-10,AUD_USD,0.6734
2023-12-15,EUR_USD,1.1162
2023-12-15,JPY_USD,0.0072
2023-12-20,EUR_USD,1.1139
2023-12-20,CHF_USD,1.1441
2023-12-25,EUR_USD,1.1116
2023-12-25,CAD_USD,0.7556
2024-01-01,EUR_USD,1.1093
2024-01-01,GBP_USD,1.2856
2024-01-01,AUD_USD,0.6756
2024-01-05,EUR_USD,1.1070
2024-01-05,JPY_USD,0.0073
2024-01-10,EUR_USD,1.1047
2024-01-10,CHF_USD,1.1419
2024-01-15,EUR_USD,1.1024
2024-01-15,CAD_USD,0.7578
2024-01-20,EUR_USD,1.1001
2024-01-20,GBP_USD,1.2878
2024-01-25,EUR_USD,1.0978
2024-01-25,AUD_USD,0.6778
2024-02-01,EUR_USD,1.0955
2024-02-01,JPY_USD,0.0074
2024-02-09,EUR_USD,1.1021
2024-02-09,CHF_USD,1.1397
2024-02-15,EUR_USD,1.1043
2024-02-15,CAD_USD,0.7501
2024-02-20,EUR_USD,1.1065
2024-02-20,GBP_USD,1.2901
2024-02-25,EUR_USD,1.1087
2024-02-25,AUD_USD,0.6701
2024-03-01,EUR_USD,1.1109
2024-03-01,JPY_USD,0.0075
2024-03-05,EUR_USD,1.1131
2024-03-05,CHF_USD,1.1375
2024-03-10,EUR_USD,1.1153
2024-03-10,CAD_USD,0.7523
2024-03-15,EUR_USD,1.1175
2024-03-15,GBP_USD,1.2923
2024-03-20,EUR_USD,1.1197
2024-03-20,AUD_USD,0.6723
2024-03-25,EUR_USD,1.1174
2024-03-25,JPY_USD,0.0074
2024-03-31,EUR_USD,1.1151
2024-03-31,GBP_USD,1.2945
2024-03-31,CAD_USD,0.7545
2024-03-31,AUD_USD,0.6745
2024-03-31,CHF_USD,1.1353
