date,currency,rate_to_usd
2023-01-05,EUR,1.0650
2023-01-05,GBP,1.2100
2023-01-10,JPY,0.0072
2023-01-12,EUR,1.0680
2023-01-15,CAD,0.7450
2023-01-18,GBP,1.2150
2023-01-20,AUD,0.6750
2023-01-22,EUR,1.0700
2023-01-25,JPY,0.0071
2023-01-28,CAD,0.7480
2023-02-01,EUR,1.0720
2023-02-01,GBP,1.2180
2023-02-03,AUD,0.6780
2023-02-05,JPY,0.0073
2023-02-08,CAD,0.7500
2023-02-10,EUR,1.0750
2023-02-12,GBP,1.2200
2023-02-15,AUD,0.6800
2023-02-18,JPY,0.0074
2023-02-20,CAD,0.7520
2023-02-22,EUR,1.0780
2023-02-25,GBP,1.2220
2023-02-28,AUD,0.6650
2023-03-01,EUR,1.0800
2023-03-03,JPY,0.0075
2023-03-05,CAD,0.7530
2023-03-08,GBP,1.2250
2023-03-10,AUD,0.6680
2023-03-12,EUR,1.0820
2023-03-15,JPY,0.0074
2023-03-18,CAD,0.7550
2023-03-20,GBP,1.2280
2023-03-22,AUD,0.6700
2023-03-25,EUR,1.0850
2023-03-28,JPY,0.0073
2023-03-30,CAD,0.7560
2023-04-02,EUR,1.0880
2023-04-02,GBP,1.2300
2023-04-05,AUD,0.6720
2023-04-08,JPY,0.0072
2023-04-10,CAD,0.7580
2023-04-12,EUR,1.0900
2023-04-15,GBP,1.2320
2023-04-18,AUD,0.6740
2023-04-20,JPY,0.0071
2023-04-22,CAD,0.7600
2023-04-25,EUR,1.0920
2023-04-28,GBP,1.2350
2023-04-30,AUD,0.6760
2023-05-02,JPY,0.0070
2023-05-05,CAD,0.7550
2023-05-08,EUR,1.0950
2023-05-10,GBP,1.2380
2023-05-12,AUD,0.6650
2023-05-15,JPY,0.0069
2023-05-18,CAD,0.7520
2023-05-20,EUR,1.0980
2023-05-22,GBP,1.2400
2023-05-25,AUD,0.6620
2023-05-28,JPY,0.0068
2023-05-30,CAD,0.7500
2023-06-01,EUR,1.0700
2023-06-03,GBP,1.2420
2023-06-05,AUD,0.6600
2023-06-08,JPY,0.0067
2023-06-10,CAD,0.7480
2023-06-12,EUR,1.0720
2023-06-15,GBP,1.2450
2023-06-18,AUD,0.6580
2023-06-20,JPY,0.0068
2023-06-22,CAD,0.7460
2023-06-25,EUR,1.0750
2023-06-28,GBP,1.2480
2023-06-30,AUD,0.6550
2023-07-02,JPY,0.0069
2023-07-05,CAD,0.7440
2023-07-08,EUR,1.0780
2023-07-10,GBP,1.2500
2023-07-12,AUD,0.6520
2023-07-15,JPY,0.0070
2023-07-18,CAD,0.7420
2023-07-20,EUR,1.0800
2023-07-22,GBP,1.2520
2023-07-25,AUD,0.6500
2023-07-28,JPY,0.0071
2023-07-30,CAD,0.7400
2023-08-01,EUR,1.0820
2023-08-03,GBP,1.2550
2023-08-05,AUD,0.6480
2023-08-08,JPY,0.0072
2023-08-10,CAD,0.7380
2023-08-12,EUR,1.0850
2023-08-15,GBP,1.2580
2023-08-18,AUD,0.6460
2023-08-20,JPY,0.0073
2023-08-22,CAD,0.7360
2023-08-25,EUR,1.0880
2023-08-28,GBP,1.2600
2023-08-30,AUD,0.6440
2023-09-01,JPY,0.0074
2023-09-05,CAD,0.7340
2023-09-08,EUR,1.0900
2023-09-10,GBP,1.2620
2023-09-12,AUD,0.6420
2023-09-15,JPY,0.0075
2023-09-18,CAD,0.7320
2023-09-20,EUR,1.0920
2023-09-22,GBP,1.2650
2023-09-25,AUD,0.6400
2023-09-28,JPY,0.0074
2023-09-30,CAD,0.7300
2023-10-02,EUR,1.0550
2023-10-05,GBP,1.2250
2023-10-08,AUD,0.6380
2023-10-10,JPY,0.0073
2023-10-12,CAD,0.7280
2023-10-15,EUR,1.0580
2023-10-18,GBP,1.2280
2023-10-20,AUD,0.6360
2023-10-22,JPY,0.0072
2023-10-25,CAD,0.7260
2023-10-28,EUR,1.0600
2023-10-30,GBP,1.2300
2023-11-01,AUD,0.6340
2023-11-03,JPY,0.0071
2023-11-05,CAD,0.7350
2023-11-08,EUR,1.0620
2023-11-10,GBP,1.2320
2023-11-12,AUD,0.6450
2023-11-15,JPY,0.0070
2023-11-18,CAD,0.7380
2023-11-20,EUR,1.0650
2023-11-22,GBP,1.2350
2023-11-25,AUD,0.6500
2023-11-28,JPY,0.0069
2023-11-30,CAD,0.7400
2023-12-02,EUR,1.0680
2023-12-05,GBP,1.2680
2023-12-08,AUD,0.6550
2023-12-10,JPY,0.0068
2023-12-12,CAD,0.7420
2023-12-15,EUR,1.0950
2023-12-18,GBP,1.2700
2023-12-20,AUD,0.6600
2023-12-22,JPY,0.0067
2023-12-25,CAD,0.7580
2023-12-28,EUR,1.1000
2023-12-30,GBP,1.2750
