transaction_id,customer_id,amount,category,timestamp
TXN401,ABC12345,125.50,electronics,2023-09-03T12:20:00Z
TXN402,DEF67890,45.75,groceries,2023-09-03T14:35:12Z
TXN403,GHI23456,320.00,clothing,2023-09-04T09:15:30Z
TXN404,JKL78901,89.99,services,2023-09-04T16:42:18Z
TXN405,MNO34567,0.0,electronics,2023-09-05T10:22:45Z
TXN406,ABC12345,450.00,electronics,2023-09-05T13:18:22Z
TXN407,PQR89012,67.25,groceries,2023-09-06T08:55:10Z
TXN408,STU45678,210.50,clothing,2023-09-06T11:30:55Z
TXN409,VWX90123,155.00,services,2023-09-07T15:20:33Z
TXN410,DEF67890,52.30,groceries,2023-09-07T17:45:28Z
TXN411,YZA56789,99.99,electronics,2023-09-08T09:10:15Z
TXN412,ABC12345,75.80,groceries,2023-09-08T12:25:40Z
TXN413,BCD12340,180.00,clothing,2023-09-09T14:50:22Z
TXN414,EFG67891,-75.00,services,2023-09-09T16:35:18Z
TXN415,GHI23456,425.50,electronics,2023-09-10T10:15:45Z
TXN416,HIJ78902,38.90,groceries,2023-09-10T13:40:30Z
TXN417,JKL78901,95.75,services,2023-09-11T08:22:12Z
TXN418,KLM34568,265.00,clothing,2023-09-11T11:55:28Z
TXN419,LMN89013,145.25,electronics,2023-09-12T15:18:50Z
TXN420,INVALID1,120.00,groceries,2023-09-12T17:32:15Z
TXN421,MNO34567,88.50,services,2023-09-13T09:45:33Z
TXN422,NOP45679,310.00,clothing,2023-09-13T12:20:48Z
TXN423,OPQ90124,0.0,electronics,2023-09-14T14:55:20Z
TXN424,PQR89012,72.40,groceries,2023-09-14T16:30:55Z
TXN425,QRS56780,198.75,services,2023-09-15T10:12:40Z
TXN426,STU45678,520.00,electronics,2023-09-15T13:48:25Z
TXN427,TUV12341,65.90,groceries,2023-09-16T08:35:18Z
TXN428,UVW67892,235.50,clothing,2023-09-16T11:22:50Z
TXN429,VWX90123,175.25,services,2023-09-17T15:40:12Z
TXN430,WXY23457,0.0,electronics,2023-09-17T17:15:35Z
TXN431,XYZ78903,92.80,groceries,2023-09-18T09:28:48Z
TXN432,YZA56789,380.00,clothing,2023-09-18T12:55:22Z
TXN433,ABC12345,615.50,electronics,2023-09-19T14:18:40Z
TXN434,ZAB34569,48.75,services,2023-09-19T16:42:15Z
TXN435,BCD12340,155.90,groceries,2023-09-20T10:25:30Z
TXN436,CDE67893,-125.00,clothing,2023-09-20T13:50:45Z
TXN437,DEF67890,68.50,electronics,2023-09-21T08:15:20Z
TXN438,EFG89014,290.00,services,2023-09-21T11:38:55Z
TXN439,FGH45670,135.25,groceries,2023-09-22T15:22:10Z
TXN440,GHI23456,475.80,clothing,2023-09-22T17:45:35Z
TXN441,HIJ78902,82.40,electronics,2023-09-23T09:32:48Z
TXN442,IJK12342,0.0,services,2023-09-23T12:18:22Z
TXN443,JKL78901,225.50,groceries,2023-09-24T14:55:40Z
TXN444,KLM34568,165.00,clothing,2023-09-24T16:28:15Z
TXN445,LMN89013,98.75,electronics,2023-09-25T10:42:30Z
TXN446,MNO34567,340.25,services,2023-09-25T13:15:55Z
TXN447,BAD,55.50,groceries,2023-09-26T08:48:20Z
TXN448,NOP45679,185.90,clothing,2023-09-26T11:32:45Z
TXN449,OPQ90124,420.00,electronics,2023-09-27T15:18:10Z
TXN450,PQR89012,78.25,services,2023-09-27T17:52:35Z
TXN451,QRS56780,245.50,groceries,2023-09-28T09:25:48Z
TXN452,RST90125,115.80,clothing,2023-09-28T12:40:22Z
TXN453,STU45678,0.0,electronics,2023-09-29T14:15:40Z
TXN454,TUV12341,188.90,services,2023-09-29T16:48:15Z
TXN455,UVW67892,325.25,groceries,2023-09-30T10:22:30Z
TXN456,VWX90123,92.50,clothing,2023-09-30T13:55:45Z
TXN457,WXY23457,540.00,electronics,2023-10-01T08:32:20Z
TXN458,XYZ78903,-45.75,services,2023-10-01T11:18:55Z
TXN459,YZA56789,128.40,groceries,2023-10-02T15:42:10Z
TXN460,ZAB34569,265.80,clothing,2023-10-02T17:25:35Z
TXN461,ABC12345,395.50,electronics,2023-10-03T09:48:48Z
TXN462,BCD12340,75.25,services,2023-10-03T12:32:22Z
TXN463,CDE67893,215.90,groceries,2023-10-04T14:18:40Z
TXN464,DEF67890,0.0,clothing,2023-10-04T16:52:15Z
TXN465,EFG67891,485.00,electronics,2023-10-05T10:25:30Z
TXN466,FGH45670,58.75,services,2023-10-05T13:40:45Z
TXN467,GHI23456,175.50,groceries,2023-10-06T08:15:20Z
TXN468,HIJ78902,295.25,clothing,2023-10-06T11:48:55Z
TXN469,IJK12342,135.80,electronics,2023-10-07T15:22:10Z
TXN470,JKL78901,0.0,services,2023-10-07T17:55:35Z
TXN471,KLM34568,425.40,groceries,2023-10-08T09:32:48Z
TXN472,LMN89013,88.90,clothing,2023-10-08T12:18:22Z
TXN473,MNO34567,255.50,electronics,2023-10-09T14:45:40Z
TXN474,12345678,165.25,services,2023-10-09T16:28:15Z
TXN475,NOP45679,0.0,groceries,2023-10-10T10:52:30Z
TXN476,OPQ90124,345.80,clothing,2023-10-10T13:25:55Z
TXN477,PQR89012,95.50,electronics,2023-10-11T08:48:20Z
TXN478,QRS56780,520.00,services,2023-10-11T11:32:45Z
TXN479,RST90125,125.75,groceries,2023-10-12T15:18:10Z
TXN480,STU45678,385.25,clothing,2023-10-12T17:42:35Z
TXN481,TUV12341,-88.50,electronics,2023-10-13T09:25:48Z
TXN482,UVW67892,145.90,services,2023-10-13T12:50:22Z
TXN483,VWX90123,275.40,groceries,2023-10-14T14:15:40Z
TXN484,WXY23457,68.80,clothing,2023-10-14T16:48:15Z
TXN485,XYZ78903,465.50,electronics,2023-10-15T10:22:30Z
TXN486,YZA56789,0.0,services,2023-10-15T13:45:45Z
TXN487,ZAB34569,195.25,groceries,2023-10-16T08:32:20Z
TXN488,ABC12345,725.00,clothing,2023-10-16T11:58:55Z
TXN489,BCD12340,85.75,electronics,2023-10-17T15:22:10Z
TXN490,CDE67893,315.50,services,2023-10-17T17:45:35Z
TXN491,DEF67890,58.90,groceries,2023-10-18T09:32:48Z
TXN492,EFG67891,235.25,clothing,2023-10-18T12:18:22Z
TXN493,FGH45670,0.0,electronics,2023-10-19T14:45:40Z
TXN494,GHI23456,565.80,services,2023-10-19T16:28:15Z
TXN495,HIJ78902,108.50,groceries,2023-10-20T10:52:30Z
TXN496,IJK12342,395.00,clothing,2023-10-20T13:25:55Z
TXN497,JKL78901,155.75,electronics,2023-10-21T08:48:20Z
TXN498,KLM34568,0.0,services,2023-10-21T11:32:45Z
TXN499,LMN89013,445.25,groceries,2023-10-22T15:18:10Z
TXN500,MNO34567,92.90,clothing,2023-10-22T17:42:35Z
