transaction_id,customer_id,product_id,sales_amount,transaction_date
1001,15,102,125.50,2023-01-05
1002,23,105,89.99,2023-01-07
1003,,110,234.75,2023-01-10
1004,8,101,456.20,2023-01-12
1005,42,115,78.30,2023-01-15
1006,15,108,199.99,2023-01-18
1007,31,103,345.00,2023-01-20
1008,,107,167.85,2023-01-22
1009,23,112,92.40,2023-01-25
1010,7,104,289.50,2023-01-28
1011,19,109,411.20,2023-02-01
1012,45,106,156.75,2023-02-03
1013,12,111,88.60,2023-02-05
1014,,114,312.90,2023-02-08
1015,33,100,225.40,2023-02-10
1016,8,116,143.85,2023-02-12
1017,27,102,267.30,2023-02-15
1018,15,119,389.99,2023-02-18
1019,41,105,98.75,2023-02-20
1020,,108,176.20,2023-02-23
1021,23,113,422.50,2023-02-25
1022,6,101,134.90,2023-02-28
1023,38,117,256.80,2023-03-02
1024,15,104,188.45,2023-03-05
1025,29,110,321.60,2023-03-08
1026,,115,94.30,2023-03-10
1027,12,107,445.75,2023-03-12
1028,50,102,167.20,2023-03-15
1029,23,120,298.90,2023-03-18
1030,14,106,112.50,2023-03-20
1031,,109,379.40,2023-03-23
1032,35,103,203.85,2023-03-25
1033,8,118,87.65,2023-03-28
1034,22,111,432.10,2023-03-30
1035,47,100,156.90,2023-04-02
1036,15,114,289.75,2023-04-05
1037,,105,198.20,2023-04-08
1038,31,112,334.50,2023-04-10
1039,9,108,121.80,2023-04-12
1040,23,101,267.95,2023-04-15
1041,18,116,405.30,2023-04-18
1042,43,104,178.60,2023-04-20
1043,,119,246.85,2023-04-23
1044,15,107,356.40,2023-04-25
1045,26,110,129.95,2023-04-28
1046,11,102,487.20,2023-05-01
1047,39,115,213.70,2023-05-03
1048,23,106,145.50,2023-05-05
1049,,113,368.90,2023-05-08
1050,5,109,192.35,2023-05-10
1051,32,100,278.80,2023-05-12
1052,15,117,423.65,2023-05-15
1053,48,103,167.40,2023-05-18
1054,20,111,304.25,2023-05-20
1055,,120,89.95,2023-05-23
1056,8,105,436.50,2023-05-25
1057,24,108,201.80,2023-05-28
1058,15,114,333.90,2023-05-30
1059,37,101,156.25,2023-06-02
1060,23,112,289.70,2023-06-05
1061,,106,398.40,2023-06-08
1062,13,119,176.85,2023-06-10
1063,46,104,254.60,2023-06-12
1064,15,109,412.30,2023-06-15
1065,28,102,138.95,2023-06-18
1066,10,116,367.75,2023-06-20
1067,,107,195.50,2023-06-23
1068,23,110,278.20,2023-06-25
1069,34,115,321.85,2023-06-28
1070,8,100,164.40,2023-07-01
1071,15,113,445.60,2023-07-03
1072,21,105,198.75,2023-07-05
1073,,118,287.30,2023-07-08
1074,40,108,356.90,2023-07-10
1075,23,101,123.45,2023-07-12
1076,16,120,412.70,2023-07-15
1077,49,104,234.85,2023-07-18
1078,15,111,167.20,2023-07-20
1079,,106,398.50,2023-07-23
1080,3,117,189.95,2023-07-25
1081,30,102,276.40,2023-07-28
1082,23,109,334.75,2023-07-30
1083,8,114,145.60,2023-08-02
1084,25,103,467.20,2023-08-05
1085,,112,203.85,2023-08-08
1086,15,107,289.30,2023-08-10
1087,44,119,356.95,2023-08-12
1088,23,100,178.40,2023-08-15
1089,17,115,423.60,2023-08-18
1090,36,105,201.75,2023-08-20
1091,,108,312.90,2023-08-23
1092,8,110,167.50,2023-08-25
1093,15,101,445.85,2023-08-28
1094,23,116,198.20,2023-08-30
1095,2,106,278.65,2023-09-02
1096,,113,389.40,2023-09-05
1097,15,104,156.90,2023-09-08
1098,29,120,323.75,2023-09-10
1099,23,109,189.50,2023-09-12
1100,8,102,267.30,2023-09-15
1101,15,118,412.85,2023-09-18
1102,,111,178.95,2023-09-20
1103,23,107,334.60,2023-09-23
1104,1,114,223.40,2023-09-25
1105,15,100,398.75,2023-09-28
1106,35,115,167.20,2023-09-30
1107,8,105,289.90,2023-10-02
1108,,119,356.45,2023-10-05
1109,23,108,198.70,2023-10-08
1110,15,103,445.30,2023-10-10
1111,27,112,234.85,2023-10-12
1112,4,101,312.60,2023-10-15
1113,,106,189.95,2023-10-18
1114,15,117,423.40,2023-10-20
1115,23,110,267.75,2023-10-23
1116,8,104,356.20,2023-10-25
1117,15,120,178.90,2023-10-28
1118,41,109,289.50,2023-10-30
