run_id,timestamp,sensor_a,sensor_b,sensor_c
1,1000,123.45,234.56,345.67
1,1001,124.32,235.12,344.89
1,1002,122.98,233.45,346.23
1,1003,125.67,236.78,343.21
1,1004,121.34,232.89,347.45
1,1005,126.89,237.34,342.56
1,1006,123.12,234.67,345.89
1,1007,124.78,235.91,344.23
1,1008,122.45,233.12,346.78
1,1009,125.34,236.45,343.67
1,1010,121.89,232.34,347.12
1,1011,126.23,237.89,342.89
1,1012,123.67,234.23,345.34
1,1013,124.91,235.67,344.56
1,1014,122.12,233.78,346.91
1,1015,125.78,236.12,343.45
1,1016,121.56,232.56,347.67
1,1017,126.45,237.23,342.34
1,1018,123.89,234.89,345.12
1,1019,124.56,235.34,344.78
1,1020,122.67,233.56,346.45
1,1021,125.12,236.89,343.89
1,1022,121.78,232.12,347.34
1,1023,126.67,237.56,342.67
1,1024,123.34,234.34,345.56
1,1025,124.23,235.78,344.12
1,1026,122.89,233.23,346.67
1,1027,125.45,236.34,343.23
1,1028,121.23,232.78,347.89
1,1029,126.12,237.12,342.45
1,1030,123.78,234.45,345.78
1,1031,124.67,235.89,344.34
1,1032,122.34,233.67,346.12
1,1033,125.89,236.23,343.56
1,1034,121.45,232.89,347.23
1,1035,126.78,237.45,342.78
1,1036,123.56,234.78,345.23
1,1037,124.12,235.23,344.89
1,1038,122.78,233.89,346.34
1,1039,125.23,236.56,343.78
1,1040,121.67,232.23,347.56
1,1041,126.34,237.67,342.12
1,1042,123.23,234.12,345.89
1,1043,124.89,235.56,344.45
1,1044,122.56,233.34,346.78
1,1045,125.67,236.78,343.12
1,1046,121.12,232.45,347.78
1,1047,126.89,237.89,342.23
1,1048,123.45,234.56,345.45
1,1049,124.34,235.12,344.67
1,1050,122.23,233.78,346.23
1,1051,125.56,236.45,343.34
1,1052,121.89,232.67,347.45
1,1053,126.45,237.34,342.56
1,1054,123.67,234.89,345.67
1,1055,124.78,235.45,344.23
1,1056,122.45,233.12,346.56
1,1057,125.34,236.67,343.45
1,1058,121.34,232.34,347.67
1,1059,126.23,237.78,342.34
1,1060,123.89,234.23,345.34
1,1061,124.56,235.67,344.78
1,1062,122.67,233.56,346.12
1,1063,125.12,236.12,343.67
1,1064,121.56,232.56,347.34
1,1065,126.67,237.23,342.89
1,1066,123.12,234.67,345.12
1,1067,124.23,235.34,344.56
1,1068,122.89,233.23,346.45
1,1069,125.45,236.89,343.23
1,1070,121.78,232.12,347.12
1,1071,126.12,237.56,342.67
1,1072,123.34,234.34,345.78
1,1073,124.67,235.78,344.12
1,1074,122.34,233.67,346.67
1,1075,125.89,236.34,343.56
1,1076,121.23,232.78,347.23
1,1077,126.78,237.12,342.45
1,1078,123.78,234.45,345.23
1,1079,124.12,235.89,344.89
1,1080,122.78,233.89,346.34
1,1081,125.23,236.23,343.78
1,1082,121.45,232.89,347.56
1,1083,126.34,237.45,342.12
