transaction_id,customer_id,amount,timestamp,category
2001,customer_123,45.99,2022-01-05 10:23:45,electronics
2002,customer_456,120.50,2022-01-07 14:32:10,groceries
2003,customer_789,89.99,2022-01-10 09:15:22,clothing
2004,customer_234,234.75,2022-01-12 16:48:33,home
2005,customer_567,67.80,2022-01-15 11:20:55,books
2006,customer_123,156.40,2022-01-18 13:45:12,electronics
2007,customer_890,45.25,2022-01-20 08:30:40,groceries
2008,customer_345,299.99,2022-01-22 15:55:18,electronics
2009,customer_678,78.50,2022-01-25 10:10:25,sports
2010,customer_456,52.30,2022-01-28 12:40:50,clothing
2011,customer_901,189.99,2022-02-02 09:25:33,home
2012,customer_123,95.75,2022-02-05 14:18:45,books
2013,customer_234,145.60,2022-02-08 11:50:20,groceries
2014,customer_789,320.00,2022-02-10 16:35:15,electronics
2015,customer_902,72.45,2022-02-13 10:05:40,clothing
2016,customer_567,115.80,2022-02-15 13:22:55,sports
2017,customer_456,87.90,2022-02-18 09:48:10,books
2018,customer_903,205.50,2022-02-20 15:12:30,home
2019,customer_890,63.25,2022-02-23 11:38:45,groceries
2020,customer_345,178.99,2022-02-25 14:55:20,electronics
2021,customer_904,92.40,2022-03-01 10:20:15,clothing
2022,customer_678,145.75,2022-03-03 12:45:50,sports
2023,customer_123,58.60,2022-03-06 09:30:25,groceries
2024,customer_905,267.80,2022-03-08 16:15:40,home
2025,customer_234,105.25,2022-03-11 11:42:10,electronics
2026,customer_789,76.50,2022-03-13 14:08:35,books
2027,customer_456,198.90,2022-03-16 10:55:20,clothing
2028,customer_906,88.75,2022-03-18 13:28:45,groceries
2029,customer_567,315.60,2022-03-21 09:12:15,electronics
2030,customer_901,54.30,2022-03-23 15:40:50,sports
2031,customer_907,172.85,2022-03-26 11:18:25,home
2032,customer_345,95.40,2022-03-28 14:32:10,books
2033,customer_908,128.50,2022-04-02 10:05:35,groceries
2034,customer_890,245.99,2022-04-04 12:48:20,electronics
2035,customer_123,82.30,2022-04-07 09:22:45,clothing
2036,customer_902,156.75,2022-04-09 16:10:15,sports
2037,customer_678,73.60,2022-04-12 11:35:40,books
2038,customer_909,209.40,2022-04-14 14:58:25,home
2039,customer_234,91.85,2022-04-17 10:42:10,groceries
2040,customer_456,187.50,2022-04-19 13:15:35,electronics
2041,customer_910,65.25,2022-04-22 09:48:50,clothing
2042,customer_789,143.90,2022-04-24 15:22:20,sports
2043,customer_567,98.75,2022-04-27 11:08:45,books
2044,customer_345,276.60,2022-04-29 14:35:15,home
2045,customer_911,55.80,2022-05-02 10:18:40,groceries
2046,customer_901,189.25,2022-05-04 12:52:10,electronics
2047,customer_123,77.40,2022-05-07 09:28:35,clothing
2048,customer_903,165.90,2022-05-09 16:05:50,sports
2049,customer_890,84.50,2022-05-12 11:42:25,books
2050,customer_912,238.75,2022-05-14 14:18:45,home
2051,customer_456,69.30,2022-05-17 10:55:10,groceries
2052,customer_234,152.80,2022-05-19 13:28:35,electronics
2053,customer_678,96.45,2022-05-22 09:12:50,clothing
2054,customer_913,221.60,2022-05-24 15:48:20,sports
2055,customer_789,58.90,2022-05-27 11:22:45,books
2056,customer_567,198.25,2022-05-29 14:05:10,home
2057,customer_914,87.70,2022-06-01 10:38:35,groceries
2058,customer_345,164.50,2022-06-03 12:15:50,electronics
2059,customer_902,74.85,2022-06-06 09:52:25,clothing
2060,customer_123,245.90,2022-06-08 16:28:40,sports
2061,customer_904,102.30,2022-06-11 11:05:10,books
2062,customer_456,179.75,2022-06-13 14:42:35,home
2063,customer_915,63.60,2022-06-16 10:18:50,groceries
2064,customer_890,287.40,2022-06-18 13:55:20,electronics
2065,customer_678,91.25,2022-06-21 09:32:45,clothing
2066,customer_234,158.80,2022-06-23 15:08:10,sports
2067,customer_901,76.50,2022-06-26 11:45:35,books
2068,customer_916,215.90,2022-06-28 14:22:50,home
2069,customer_789,85.40,2022-07-01 10:58:25,groceries
2070,customer_567,192.75,2022-07-03 12:35:40,electronics
2071,customer_345,68.30,2022-07-06 09:12:10,clothing
2072,customer_917,247.60,2022-07-08 16:48:35,sports
2073,customer_123,104.85,2022-07-11 11:25:50,books
2074,customer_906,176.50,2022-07-13 14:02:20,home
2075,customer_456,82.90,2022-07-16 10:38:45,groceries
2076,customer_918,259.25,2022-07-18 13:15:10,electronics
2077,customer_890,93.70,2022-07-21 09:52:35,clothing
2078,customer_678,168.40,2022-07-23 15:28:50,sports
2079,customer_234,75.60,2022-07-26 11:05:25,books
2080,customer_919,224.80,2022-07-28 14:42:40,home
2081,customer_789,88.25,2022-07-31 10:18:10,groceries
2082,customer_567,195.90,2022-08-02 12:55:35,electronics
2083,customer_902,71.50,2022-08-05 09:32:50,clothing
2084,customer_345,241.75,2022-08-07 16:08:20,sports
2085,customer_123,97.30,2022-08-10 11:45:45,books
2086,customer_920,183.60,2022-08-12 14:22:10,home
2087,customer_456,64.85,2022-08-15 10:58:35,groceries
2088,customer_901,272.40,2022-08-17 13:35:50,electronics
2089,customer_678,89.90,2022-08-20 09:12:25,clothing
2090,customer_234,157.25,2022-08-22 15:48:40,sports
2091,customer_890,73.80,2022-08-25 11:25:10,books
2092,customer_789,208.50,2022-08-27 14:02:35,home
2093,customer_567,86.40,2022-08-30 10:38:50,groceries
2094,customer_345,194.75,2022-09-01 12:15:20,electronics
2095,customer_123,69.60,2022-09-04 09:52:45,clothing
2096,customer_456,236.90,2022-09-06 16:28:10,sports
2097,customer_678,101.25,2022-09-09 11:05:35,books
2098,customer_234,174.80,2022-09-11 14:42:50,home
2099,customer_890,62.50,2022-09-14 10:18:25,groceries
2100,customer_789,251.40,2022-09-16 13:55:40,electronics
