transaction_id,customer_id,transaction_date,amount,quantity,is_refund,status,category
TXN001,12345,2023-01-15,99.99,2,false,success,automotive
TXN002,67890,2023/02/20,150.50,1,False,success,health
TXN003,,2023-03-25,-45.99,1,true,success,other
TXN004,CUST001,03-15,200.00,3,TRUE,success,automotive
TXN006,,2023/05/18,PENDING,5,False,timeout,health
TXN008,45678,2023-06-22,,2,0.0,success,other
TXN009,CUST002,,125.00,???,true,error,automotive
TXN010,,2023/07/30,-200.00,-1,TrUe,success,health
TXN012,78901,2023-08-15,TBD,1,FaLsE,timeout,other
TXN013,89012,2023/09/10,300.50,,true,success,automotive
TXN015,,03-25,50.00,-5,0.0,success,health
TXN016,90123,2023-11-12,0.00,0,TrUe,success,other
TXN018,,2023-02-14,-99.99,1,TRUE,success,automotive
TXN019,CUST004,03-30,175.00,NA,False,error,health
TXN020,23450,,0,2,1.0,,other
TXN022,,2023/04/22,425.75,10000,true,success,automotive
TXN023,45670,2023-15-99,TBD,???,FaLsE,timeout,health
TXN025,CUST005,,88.88,0,false,error,other
TXN026,,2023/06/15,PENDING,,1.0,success,automotive
TXN027,67800,03-12,0.00,5,0.0,,health
TXN029,89010,2023/08/25,250.00,NA,FALSE,success,other
TXN030,CUST006,2023-09-30,-75.50,1,TrUe,success,automotive
TXN032,90120,2023-10-15,TBD,10000,1.0,success,health
TXN033,12349,2023/11/20,350.00,???,0.0,timeout,other
TXN034,,2023-14-40,,2,true,,automotive
TXN036,23459,03-22,0.00,0,TrUe,error,health
TXN037,34569,,PENDING,3,false,success,other
TXN039,45679,2023-02-25,,1,0.0,success,automotive
TXN040,56789,2023/03/15,-50.00,-1,TRUE,success,health
TXN042,,2023-04-18,TBD,0,true,,other
TXN043,67899,2023/05/22,275.50,???,1.0,success,automotive
TXN044,78909,2023-16-50,,5,0.0,timeout,health
TXN046,CUST009,2023-06-25,-175.75,2,false,error,other
TXN047,,03-10,0.00,,1.0,success,automotive
TXN048,90129,2023/07/28,PENDING,1,0.0,,health
TXN049,12348,2023-08-30,450.00,-5,true,timeout,other
