2024-01-15 14:00:15 UTC | INFO | (collector.py:245) | Check apache completed in 82ms
2024-01-15 14:00:18 UTC | INFO | (collector.py:245) | Check mysql completed in 118ms
2024-01-15 14:00:22 UTC | INFO | (collector.py:245) | Check nginx completed in 63ms
2024-01-15 14:00:25 UTC | INFO | (collector.py:245) | Check disk completed in 147ms
2024-01-15 14:00:28 UTC | INFO | (collector.py:245) | Check postgres completed in 3812ms
2024-01-15 14:00:32 UTC | INFO | (collector.py:245) | Check postgres completed in 3795ms
2024-01-15 14:00:36 UTC | INFO | (collector.py:245) | Check postgres completed in 3823ms
2024-01-15 14:00:40 UTC | WARNING | (collector.py:412) | Collector CPU usage at 87%
2024-01-15 14:00:41 UTC | INFO | (collector.py:245) | Check apache completed in 79ms
2024-01-15 14:00:44 UTC | INFO | (collector.py:245) | Check postgres completed in 3801ms
2024-01-15 14:00:48 UTC | INFO | (collector.py:245) | Check postgres completed in 3789ms
2024-01-15 14:00:52 UTC | INFO | (collector.py:245) | Check mysql completed in 125ms
2024-01-15 14:00:55 UTC | INFO | (collector.py:245) | Check postgres completed in 3817ms
2024-01-15 14:00:59 UTC | INFO | (collector.py:245) | Check nginx completed in 58ms
2024-01-15 14:01:02 UTC | INFO | (collector.py:245) | Check postgres completed in 3794ms
2024-01-15 14:01:05 UTC | WARNING | (collector.py:567) | Check postgres has run 3600 times in the last hour
2024-01-15 14:01:06 UTC | INFO | (collector.py:245) | Check postgres completed in 3808ms
2024-01-15 14:01:10 UTC | INFO | (collector.py:245) | Check disk completed in 152ms
2024-01-15 14:01:13 UTC | INFO | (collector.py:245) | Check postgres completed in 3799ms
2024-01-15 14:01:17 UTC | INFO | (collector.py:245) | Check postgres completed in 3826ms
2024-01-15 14:01:20 UTC | WARNING | (collector.py:412) | Collector CPU usage at 89%
2024-01-15 14:01:21 UTC | INFO | (collector.py:245) | Check apache completed in 81ms
2024-01-15 14:01:24 UTC | INFO | (collector.py:245) | Check postgres completed in 3803ms
2024-01-15 14:01:28 UTC | INFO | (collector.py:245) | Check postgres completed in 3791ms
2024-01-15 14:01:31 UTC | WARNING | (collector.py:623) | Check postgres consuming 82% of collector CPU time
2024-01-15 14:01:32 UTC | INFO | (collector.py:245) | Check mysql completed in 121ms
2024-01-15 14:01:35 UTC | INFO | (collector.py:245) | Check postgres completed in 3814ms
2024-01-15 14:01:39 UTC | INFO | (collector.py:245) | Check postgres completed in 3787ms
2024-01-15 14:01:42 UTC | INFO | (collector.py:245) | Check nginx completed in 61ms
2024-01-15 14:01:45 UTC | INFO | (collector.py:245) | Check postgres completed in 3819ms
2024-01-15 14:01:49 UTC | INFO | (collector.py:330) | Check run statistics - apache: avg 80ms, mysql: avg 120ms, nginx: avg 60ms, disk: avg 150ms, postgres: avg 3800ms
2024-01-15 14:01:52 UTC | INFO | (collector.py:245) | Check postgres completed in 3796ms
2024-01-15 14:01:56 UTC | INFO | (collector.py:245) | Check postgres completed in 3822ms
2024-01-15 14:01:59 UTC | WARNING | (collector.py:412) | Collector CPU usage at 91%
2024-01-15 14:02:00 UTC | INFO | (collector.py:245) | Check disk completed in 149ms
2024-01-15 14:02:03 UTC | INFO | (collector.py:245) | Check postgres completed in 3806ms
2024-01-15 14:02:07 UTC | INFO | (collector.py:245) | Check postgres completed in 3793ms
2024-01-15 14:02:10 UTC | WARNING | (collector.py:623) | Check postgres consuming 84% of collector CPU time
2024-01-15 14:02:11 UTC | INFO | (collector.py:245) | Check apache completed in 77ms
2024-01-15 14:02:14 UTC | INFO | (collector.py:245) | Check postgres completed in 3811ms
