transaction_id,customer_id,amount,timestamp
TXN131,CUST401,275.80,2024-01-15 11:00:00
TXN132,CUST402,92.15,2024-01-15 11:15:00
TXN133,CUST403,156.50,2024-01-15 11:30:00
TXN134,CUST404,445.25,2024-01-15 11:45:00
TXN135,CUST405,328.90,2024-01-15 12:00:00
TXN136,CUST406,187.35,2024-01-15 12:15:00
TXN137,CUST407,512.60,2024-01-15 12:30:00
TXN138,CUST408,64.75,2024-01-15 12:45:00
TXN139,CUST409,398.20,2024-01-15 13:00:00
TXN140,CUST410,225.40,2024-01-15 13:15:00
TXN141,CUST411,573.85,2024-01-15 13:30:00
TXN142,CUST412,142.95,2024-01-15 13:45:00
TXN143,CUST413,289.50,2024-01-15 14:00:00
TXN144,CUST414,416.30,2024-01-15 14:15:00
TXN145,CUST415,78.65,2024-01-15 14:30:00
TXN146,CUST416,634.20,2024-01-15 14:45:00
TXN147,CUST417,201.85,2024-01-15 15:00:00
TXN148,CUST418,355.40,2024-01-15 15:15:00
TXN149,CUST419,127.75,2024-01-15 15:30:00
TXN150,CUST420,492.10,2024-01-15 15:45:00
TXN151,CUST421,168.55,2024-01-15 16:00:00
TXN152,CUST422,543.90,2024-01-15 16:15:00
TXN153,CUST423,314.25,2024-01-15 16:30:00
TXN154,CUST424,89.60,2024-01-15 16:45:00
TXN155,CUST425,421.35,2024-01-15 17:00:00
TXN156,CUST426,256.80,2024-01-15 17:15:00
TXN157,CUST427,597.45,2024-01-15 17:30:00
TXN158,CUST428,173.90,2024-01-15 17:45:00
TXN159,CUST429,384.15,2024-01-15 18:00:00
TXN160,CUST430,118.50,2024-01-15 18:15:00
TXN161,CUST431,468.75,2024-01-15 18:30:00
TXN162,CUST432,295.20,2024-01-15 18:45:00
TXN163,CUST433,526.85,2024-01-15 19:00:00
TXN164,CUST434,147.40,2024-01-15 19:15:00
TXN165,CUST435,372.95,2024-01-15 19:30:00
TXN166,CUST436,209.60,2024-01-15 19:45:00
TXN167,CUST437,615.30,2024-01-15 20:00:00
TXN168,CUST438,283.45,2024-01-15 20:15:00
TXN169,CUST439,451.80,2024-01-15 20:30:00
TXN170,CUST440,136.25,2024-01-15 20:45:00
