gene_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
GENE_001	120	145	98	156	132	110
GENE_002	2340	2567	2123	2456	2389	2201
GENE_003	0	0	0	0	0	0
GENE_004	450	523	489	501	467	512
GENE_005	1820	1965	1743	1891	1802	1934
GENE_006	67	89	54	78	92	71
GENE_007	0	0	0	0	0	0
GENE_008	3456	3612	3289	3501	3445	3578
GENE_009	234	267	212	245	229	256
GENE_010	892	934	867	901	878	923
GENE_011	0	0	0	0	0	0
GENE_012	1567	1623	1489	1578	1545	1601
GENE_013	45	62	38	51	47	59
GENE_014	2890	3012	2756	2934	2867	2989
GENE_015	178	203	165	189	174	198
GENE_016	0	0	0	0	0	0
GENE_017	4123	4289	4012	4201	4156	4267
GENE_018	567	612	534	589	573	601
GENE_019	1234	1289	1201	1256	1223	1278
GENE_020	89	107	82	98	91	104
GENE_021	0	0	0	0	0	0
GENE_022	2678	2789	2601	2734	2689	2756
GENE_023	345	378	323	361	349	372
GENE_024	1456	1512	1398	1478	1445	1501
GENE_025	0	0	0	0	0	0
GENE_026	789	834	756	812	798	823
GENE_027	3234	3389	3145	3301	3267	3356
GENE_028	123	145	109	137	128	142
GENE_029	1987	2045	1934	2001	1978	2034
GENE_030	456	489	434	472	461	485
GENE_031	0	0	0	0	0	0
GENE_032	2345	2456	2278	2401	2367	2434
GENE_033	678	712	645	689	671	704
GENE_034	1678	1734	1623	1689	1665	1721
GENE_035	234	267	212	245	229	256
GENE_036	0	0	0	0	0	0
GENE_037	3567	3689	3478	3612	3589	3667
GENE_038	890	934	856	912	901	923
GENE_039	1234	1289	1189	1256	1223	1278
GENE_040	567	601	534	578	561	589
GENE_041	0	0	0	0	0	0
GENE_042	2456	2567	2389	2512	2478	2545
GENE_043	789	823	756	801	784	812
GENE_044	1567	1623	1512	1589	1556	1612
GENE_045	345	378	323	361	349	372
GENE_046	0	0	0	0	0	0
GENE_047	2890	2989	2789	2934	2901	2967
GENE_048	678	712	645	689	671	704
GENE_049	1890	1945	1834	1901	1878	1934
GENE_050	456	489	423	472	461	485
GENE_051	0	0	0	0	0	0
GENE_052	3234	3356	3145	3289	3256	3334
GENE_053	890	934	845	912	901	923
GENE_054	1456	1512	1401	1478	1445	1501
GENE_055	234	267	201	245	229	256
GENE_056	0	0	0	0	0	0
GENE_057	2678	2789	2589	2734	2689	2756
GENE_058	567	601	523	578	561	589
GENE_059	1789	1845	1689	1812	1778	1834
GENE_060	345	378	312	361	349	372
GENE_061	0	0	0	0	0	0
GENE_062	2345	2456	2267	2401	2367	2434
GENE_063	678	712	634	689	671	704
GENE_064	1567	1623	1489	1589	1556	1612
GENE_065	456	489	412	472	461	485
GENE_066	0	0	0	0	0	0
GENE_067	3456	3578	3389	3512	3478	3556
GENE_068	789	823	745	801	784	812
GENE_069	1234	1289	1178	1256	1223	1278
GENE_070	234	267	189	245	229	256
GENE_071	0	0	0	0	0	0
GENE_072	2567	2678	2478	2623	2589	2656
GENE_073	567	601	512	578	561	589
GENE_074	1678	1734	1589	1689	1665	1721
GENE_075	345	378	301	361	349	372
GENE_076	0	0	0	0	0	0
GENE_077	2890	2989	2778	2934	2901	2967
GENE_078	678	712	623	689	671	704
GENE_079	1456	1512	1378	1478	1445	1501
GENE_080	456	489	401	472	461	485
GENE_081	0	0	0	0	0	0
GENE_082	3234	3356	3123	3289	3256	3334
GENE_083	890	934	834	912	901	923
GENE_084	1789	1845	1678	1812	1778	1834
GENE_085	234	267	178	245	229	256
GENE_086	0	0	0	0	0	0
GENE_087	2456	2567	2367	2512	2478	2545
GENE_088	567	601	501	578	561	589
GENE_089	1567	1623	1478	1589	1556	1612
GENE_090	345	378	289	361	349	372
GENE_091	0	0	0	0	0	0
GENE_092	2678	2789	2578	2734	2689	2756
GENE_093	678	712	612	689	671	704
GENE_094	1234	1289	1167	1256	1223	1278
GENE_095	456	489	390	472	461	485
GENE_096	0	0	0	0	0	0
GENE_097	3567	3689	3467	3612	3589	3667
GENE_098	789	823	734	801	784	812
GENE_099	1678	1734	1578	1689	1665	1721
GENE_100	234	267	167	245	229	256
GENE_101	2345	2456	2256	2401	2367	2434
GENE_102	567	601	490	578	561	589
GENE_103	1456	1512	1367	1478	1445	1501
GENE_104	345	378	278	361	349	372
GENE_105	0	0	0	0	0	0
GENE_106	2890	2989	2767	2934	2901	2967
GENE_107	678	712	601	689	671	704
GENE_108	1789	1845	1667	1812	1778	1834
GENE_109	456	489	378	472	461	485
GENE_110	3234	3356	3112	3289	3256	3334
GENE_111	0	0	0	0	0	0
GENE_112	890	934	823	912	901	923
GENE_113	1567	1623	1467	1589	1556	1612
GENE_114	234	267	156	245	229	256
GENE_115	2567	2678	2467	2623	2589	2656
GENE_116	0	0	0	0	0	0
GENE_117	567	601	479	578	561	589
GENE_118	1234	1289	1156	1256	1223	1278
GENE_119	345	378	267	361	349	372
GENE_120	2456	2567	2356	2512	2478	2545
GENE_121	0	0	0	0	0	0
GENE_122	678	712	590	689	671	704
GENE_123	1678	1734	1567	1689	1665	1721
GENE_124	456	489	367	472	461	485
GENE_125	3456	3578	3378	3512	3478	3556
GENE_126	0	0	0	0	0	0
GENE_127	789	823	723	801	784	812
GENE_128	1456	1512	1356	1478	1445	1501
GENE_129	234	267	145	245	229	256
