gene_id,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12
GENE_0001,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0002,1523,2341,1876,2102,1945,2234,1654,1998,2145,1732,2056,1889
GENE_0003,0,5,0,12,3,0,8,0,15,2,0,6
GENE_0004,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0005,45231,43876,46542,44321,45987,44598,46123,45432,44876,45654,46234,44987
GENE_0006,234,187,256,198,223,245,201,267,189,234,212,198
GENE_0007,12,0,5,18,0,23,9,0,14,7,0,11
GENE_0008,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0009,8765,9234,8432,9012,8876,9345,8654,9123,8945,9087,8723,9201
GENE_0010,1,0,2,0,1,3,0,2,0,1,0,4
GENE_0011,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0012,15678,16234,15432,16098,15876,16345,15654,16123,15945,16087,15723,16201
GENE_0013,567,623,534,598,576,645,554,623,595,587,523,601
GENE_0014,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0015,89,76,92,81,88,95,73,91,84,87,79,93
GENE_0016,3421,3687,3532,3798,3621,3845,3554,3723,3695,3587,3623,3801
GENE_0017,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0018,23456,24123,23687,24456,23876,24598,23654,24234,23945,24087,23723,24401
GENE_0019,145,132,156,128,143,167,139,152,134,147,129,161
GENE_0020,0,3,0,0,5,0,2,0,0,4,0,0
GENE_0021,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0022,7823,8134,7932,8245,8021,8356,7854,8123,8045,7987,8223,8301
GENE_0023,412,398,435,387,423,456,401,442,389,426,394,451
GENE_0024,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0025,32145,33456,32687,33198,32876,33545,32654,33234,32945,33087,32723,33401
GENE_0026,56,48,63,51,59,67,53,61,49,58,52,64
GENE_0027,1987,2134,1932,2245,2021,2356,1954,2123,2045,1987,2223,2301
GENE_0028,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0029,789,823,765,845,798,867,776,834,802,791,819,853
GENE_0030,0,7,0,0,12,0,5,0,0,9,0,0
GENE_0031,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0032,12456,13123,12687,13456,12876,13598,12654,13234,12945,13087,12723,13401
GENE_0033,234,198,256,212,243,267,221,252,209,238,215,261
GENE_0034,5,0,8,0,6,0,4,0,7,0,5,0
GENE_0035,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0036,28765,29234,28432,29012,28876,29345,28654,29123,28945,29087,28723,29201
GENE_0037,987,1034,965,1098,1021,1145,976,1067,1002,991,1039,1123
GENE_0038,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0039,4521,4687,4532,4798,4621,4845,4554,4723,4695,4587,4623,4801
GENE_0040,167,154,178,149,165,189,159,174,151,169,156,183
GENE_0041,18,0,23,0,19,0,21,0,17,0,20,0
GENE_0042,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0043,36789,37456,36987,37698,37121,37845,36854,37534,37045,36987,37323,37701
GENE_0044,678,723,665,745,698,767,676,734,702,691,719,753
GENE_0045,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0046,9876,10234,9932,10456,10021,10598,9854,10234,10045,9987,10223,10501
GENE_0047,312,287,334,298,321,345,305,329,293,318,301,339
GENE_0048,3,0,0,6,0,0,4,0,0,5,0,0
GENE_0049,21456,22123,21687,22456,21876,22598,21654,22234,21945,22087,21723,22401
GENE_0050,543,587,532,598,561,623,548,592,571,556,579,607
GENE_0051,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0052,14321,14987,14532,15098,14721,15245,14654,14923,14845,14787,15023,15201
GENE_0053,198,176,212,187,203,221,193,209,181,201,189,217
GENE_0054,11,0,15,0,13,0,9,0,14,0,12,0
GENE_0055,6543,6823,6632,6945,6721,7056,6654,6834,6745,6687,6923,7001
GENE_0056,445,423,467,412,451,478,428,462,419,448,431,473
GENE_0057,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0058,41234,42456,41687,42198,41876,42545,41654,42234,41945,42087,41723,42401
GENE_0059,823,867,812,889,841,912,828,876,851,836,863,897
GENE_0060,0,4,0,0,7,0,3,0,0,6,0,0
GENE_0061,2765,2934,2832,3012,2876,3145,2854,2923,2945,2887,3023,3101
GENE_0062,134,121,146,128,139,152,132,143,126,137,130,149
GENE_0063,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0064,19876,20234,19932,20456,20021,20598,19854,20234,20045,19987,20223,20501
GENE_0065,712,687,734,698,721,745,705,729,693,718,701,739
GENE_0066,8,0,12,0,9,0,11,0,7,0,10,0
GENE_0067,11234,11687,11432,11798,11621,11945,11554,11723,11695,11587,11823,11901
GENE_0068,376,354,398,367,385,412,371,393,361,379,365,407
GENE_0069,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0070,33456,34123,33687,34456,33876,34598,33654,34234,33945,34087,33723,34401
GENE_0071,891,923,876,945,908,967,886,934,912,901,919,953
GENE_0072,0,2,0,0,5,0,1,0,0,4,0,0
GENE_0073,5432,5687,5532,5798,5621,5845,5554,5723,5695,5587,5723,5801
GENE_0074,223,198,245,212,231,256,218,242,207,227,214,251
GENE_0075,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0076,27654,28234,27832,28456,28021,28598,27854,28234,28045,27987,28223,28501
GENE_0077,654,623,678,632,661,689,641,673,628,657,637,683
GENE_0078,15,0,19,0,16,0,14,0,18,0,13,0
GENE_0079,8234,8687,8432,8798,8621,8945,8554,8723,8695,8587,8823,8901
GENE_0080,412,387,434,398,421,445,405,429,393,418,401,439
GENE_0081,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0082,38765,39234,38432,39012,38876,39345,38654,39123,38945,39087,38723,39201
GENE_0083,765,812,754,834,781,856,768,823,792,776,819,843
GENE_0084,0,6,0,0,9,0,4,0,0,8,0,0
GENE_0085,13456,13987,13632,14098,13821,14245,13754,13923,13945,13887,14123,14201
GENE_0086,545,523,567,532,551,578,538,562,528,547,535,573
GENE_0087,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0088,24321,24987,24532,25098,24721,25245,24654,24923,24845,24787,25023,25201
GENE_0089,887,923,876,945,908,967,886,934,912,901,919,953
GENE_0090,22,0,27,0,24,0,21,0,26,0,23,0
GENE_0091,16789,17234,16932,17456,17121,17598,16954,17234,17145,17087,17323,17501
GENE_0092,298,276,321,287,305,334,293,318,281,302,289,327
GENE_0093,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0094,48765,49234,48432,49012,48876,49345,48654,49123,48945,49087,48723,49201
GENE_0095,934,987,923,1012,961,1034,945,998,972,951,993,1023
GENE_0096,0,8,0,0,11,0,6,0,0,10,0,0
GENE_0097,7123,7456,7232,7598,7321,7645,7254,7434,7395,7287,7523,7601
GENE_0098,421,398,445,412,431,456,418,442,407,425,414,451
GENE_0099,0,0,0,0,0,0,0,0,0,0,0,0
GENE_0100,31234,31987,31432,32098,31721,32345,31654,31923,31845,31787,32123,32301
