texture_id,mip_level,sample_count,memory_size_mb,frame_number
tex_0001,0,45230,234.5,3
tex_0001,1,12450,117.2,3
tex_0001,2,3200,58.6,3
tex_0002,0,38900,198.3,3
tex_0002,1,15600,99.1,3
tex_0002,2,4100,49.6,3
tex_0002,3,890,24.8,3
tex_0003,0,125,156.7,3
tex_0003,1,45,78.3,3
tex_0003,2,12,39.2,3
tex_0004,0,42100,223.4,3
tex_0004,1,18900,111.7,3
tex_0004,2,6700,55.8,3
tex_0004,3,1200,27.9,3
tex_0005,0,890,187.6,3
tex_0005,1,320,93.8,3
tex_0005,2,78,46.9,3
tex_0006,0,31200,211.2,3
tex_0006,1,14300,105.6,3
tex_0006,2,5100,52.8,3
tex_0006,3,980,26.4,3
tex_0007,0,8900,176.5,3
tex_0007,1,4200,88.2,3
tex_0007,2,1500,44.1,3
tex_0007,3,340,22.0,3
tex_0008,0,15,145.8,3
tex_0008,1,5,72.9,3
tex_0008,2,0,36.4,3
tex_0009,0,47800,245.9,3
tex_0009,1,21300,122.9,3
tex_0009,2,7800,61.5,3
tex_0009,3,1800,30.7,3
tex_0009,4,320,15.4,3
tex_0010,0,12500,189.4,3
tex_0010,1,5600,94.7,3
tex_0010,2,1900,47.3,3
tex_0010,3,420,23.7,3
tex_0011,0,650,167.8,3
tex_0011,1,230,83.9,3
tex_0011,2,65,41.9,3
tex_0012,0,36700,218.6,3
tex_0012,1,16800,109.3,3
tex_0012,2,5900,54.6,3
tex_0012,3,1100,27.3,3
tex_0013,0,9800,194.2,3
tex_0013,1,4500,97.1,3
tex_0013,2,1600,48.5,3
tex_0013,3,370,24.3,3
tex_0014,0,28,152.3,3
tex_0014,1,8,76.1,3
tex_0014,2,2,38.1,3
tex_0015,0,41300,229.7,3
tex_0015,1,19200,114.8,3
tex_0015,2,7100,57.4,3
tex_0015,3,1450,28.7,3
tex_0015,4,290,14.3,3
tex_0016,0,7200,181.5,3
tex_0016,1,3300,90.7,3
tex_0016,2,1100,45.4,3
tex_0016,3,250,22.7,3
tex_0017,0,340,159.8,3
tex_0017,1,120,79.9,3
tex_0017,2,35,39.9,3
tex_0018,0,49500,251.3,3
tex_0018,1,23400,125.6,3
tex_0018,2,8900,62.8,3
tex_0018,3,2100,31.4,3
tex_0018,4,450,15.7,3
tex_0019,0,11800,192.7,3
tex_0019,1,5300,96.3,3
tex_0019,2,1850,48.2,3
tex_0019,3,410,24.1,3
tex_0020,0,95,163.4,3
tex_0020,1,32,81.7,3
tex_0020,2,9,40.8,3
tex_0021,0,33900,214.8,3
tex_0021,1,15700,107.4,3
tex_0021,2,5500,53.7,3
tex_0021,3,1050,26.8,3
tex_0022,0,6700,178.9,3
tex_0022,1,3000,89.4,3
tex_0022,2,980,44.7,3
tex_0022,3,220,22.4,3
tex_0023,0,43600,238.1,3
tex_0023,1,20100,119.0,3
tex_0023,2,7400,59.5,3
tex_0023,3,1600,29.8,3
tex_0024,0,180,148.6,3
tex_0024,1,58,74.3,3
tex_0024,2,16,37.1,3
tex_0025,0,14300,196.5,3
tex_0025,1,6400,98.2,3
tex_0025,2,2200,49.1,3
tex_0025,3,490,24.6,3
