Frame 1 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 450
Frame 1 | Texture: tex_wall_brick | MipLevel: 1 | SampleCount: 320
Frame 1 | Texture: tex_sky_hdri | MipLevel: 3 | SampleCount: 150
Frame 1 | Texture: tex_character_diffuse | MipLevel: 0 | SampleCount: 380
Frame 1 | Texture: tex_metal_panel | MipLevel: 1 | SampleCount: 210
Frame 1 | Texture: tex_wood_floor | MipLevel: 0 | SampleCount: 425
Frame 1 | Texture: tex_concrete_wall | MipLevel: 2 | SampleCount: 180
Frame 1 | Texture: tex_fabric_curtain | MipLevel: 2 | SampleCount: 95
Frame 1 | Texture: tex_stone_path | MipLevel: 1 | SampleCount: 260
Frame 1 | Texture: tex_grass_field | MipLevel: 3 | SampleCount: 120
Frame 1 | Texture: tex_metal_panel | MipLevel: 2 | SampleCount: 85
Frame 1 | Texture: tex_roof_tiles | MipLevel: 3 | SampleCount: 110
Frame 2 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 445
Frame 2 | Texture: tex_character_diffuse | MipLevel: 0 | SampleCount: 390
Frame 2 | Texture: tex_wood_floor | MipLevel: 0 | SampleCount: 430
Frame 2 | Texture: tex_wall_brick | MipLevel: 1 | SampleCount: 315
Frame 2 | Texture: tex_stone_path | MipLevel: 1 | SampleCount: 270
Frame 2 | Texture: tex_metal_panel | MipLevel: 1 | SampleCount: 220
Frame 2 | Texture: tex_concrete_wall | MipLevel: 2 | SampleCount: 175
Frame 2 | Texture: tex_sky_hdri | MipLevel: 3 | SampleCount: 145
Frame 2 | Texture: tex_grass_field | MipLevel: 3 | SampleCount: 125
Frame 2 | Texture: tex_roof_tiles | MipLevel: 3 | SampleCount: 105
Frame 2 | Texture: tex_fabric_curtain | MipLevel: 2 | SampleCount: 90
Frame 2 | Texture: tex_door_wood | MipLevel: 1 | SampleCount: 155
Frame 2 | Texture: tex_metal_panel | MipLevel: 0 | SampleCount: 75
Frame 3 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 455
Frame 3 | Texture: tex_wood_floor | MipLevel: 0 | SampleCount: 420
Frame 3 | Texture: tex_character_diffuse | MipLevel: 0 | SampleCount: 375
Frame 3 | Texture: tex_wall_brick | MipLevel: 1 | SampleCount: 325
Frame 3 | Texture: tex_stone_path | MipLevel: 1 | SampleCount: 265
Frame 3 | Texture: tex_metal_panel | MipLevel: 1 | SampleCount: 215
Frame 3 | Texture: tex_door_wood | MipLevel: 1 | SampleCount: 165
Frame 3 | Texture: tex_concrete_wall | MipLevel: 2 | SampleCount: 185
Frame 3 | Texture: tex_sky_hdri | MipLevel: 3 | SampleCount: 140
Frame 3 | Texture: tex_grass_field | MipLevel: 3 | SampleCount: 115
Frame 3 | Texture: tex_roof_tiles | MipLevel: 3 | SampleCount: 100
Frame 3 | Texture: tex_fabric_curtain | MipLevel: 2 | SampleCount: 100
Frame 3 | Texture: tex_metal_panel | MipLevel: 2 | SampleCount: 80
Frame 3 | Texture: tex_window_glass | MipLevel: 1 | SampleCount: 190
Frame 4 | Texture: tex_ground_01 | MipLevel: 0 | SampleCount: 460
Frame 4 | Texture: tex_wood_floor | MipLevel: 0 | SampleCount: 435
Frame 4 | Texture: tex_character_diffuse | MipLevel: 0 | SampleCount: 385
Frame 4 | Texture: tex_wall_brick | MipLevel: 1 | SampleCount: 310
Frame 4 | Texture: tex_stone_path | MipLevel: 1 | SampleCount: 275
Frame 4 | Texture: tex_metal_panel | MipLevel: 1 | SampleCount: 225
Frame 4 | Texture: tex_window_glass | MipLevel: 1 | SampleCount: 200
