1234567890.100 | OUT | 10.0.1.5:54321 | 8.8.8.8:53 | 0x1A2B | QUERY | www.example.com | - | -
1234567890.125 | IN | 8.8.8.8:53 | 10.0.1.5:54321 | 0x1A2B | RESPONSE | www.example.com | 93.184.216.34 | 3600
1234567892.200 | OUT | 10.0.1.5:54322 | 8.8.8.8:53 | 0x2C3D | QUERY | secure-banking.example.com | - | -
1234567892.215 | IN | 203.0.113.99:53 | 10.0.1.5:54322 | 0x2C3D | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567892.230 | IN | 8.8.8.8:53 | 10.0.1.5:54322 | 0x2C3D | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567894.150 | OUT | 10.0.1.5:54323 | 8.8.8.8:53 | 0x3E4F | QUERY | api.service.com | - | -
1234567894.175 | IN | 8.8.8.8:53 | 10.0.1.5:54323 | 0x3E4F | RESPONSE | api.service.com | 203.0.113.50 | 600
1234567896.300 | OUT | 10.0.1.5:54324 | 8.8.8.8:53 | 0x4F5A | QUERY | cdn.assets.com | - | -
1234567896.340 | IN | 8.8.8.8:53 | 10.0.1.5:54324 | 0x4F5A | RESPONSE | cdn.assets.com | 151.101.1.69 | 1800
1234567898.450 | OUT | 10.0.1.5:54325 | 8.8.8.8:53 | 0x5B6C | QUERY | secure-banking.example.com | - | -
1234567898.475 | IN | 8.8.8.8:53 | 10.0.1.5:54325 | 0x5B6C | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567898.480 | IN | 203.0.113.99:53 | 10.0.1.5:54325 | 0x5B6C | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567900.100 | OUT | 10.0.1.5:54326 | 8.8.8.8:53 | 0x6C7D | QUERY | mail.corporate.net | - | -
1234567900.135 | IN | 8.8.8.8:53 | 10.0.1.5:54326 | 0x6C7D | RESPONSE | mail.corporate.net | 192.168.100.10 | 900
1234567902.250 | OUT | 10.0.1.5:54327 | 8.8.8.8:53 | 0x7D8E | QUERY | www.news.com | - | -
1234567902.290 | IN | 8.8.8.8:53 | 10.0.1.5:54327 | 0x7D8E | RESPONSE | www.news.com | 185.60.216.35 | 7200
1234567904.400 | OUT | 10.0.1.5:54328 | 8.8.8.8:53 | 0x8E9F | QUERY | secure-banking.example.com | - | -
1234567904.430 | IN | 8.8.8.8:53 | 10.0.1.5:54328 | 0x8E9F | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567904.435 | IN | 203.0.113.99:53 | 10.0.1.5:54328 | 0x8E9F | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567906.550 | OUT | 10.0.1.5:54329 | 8.8.8.8:53 | 0x9FA0 | QUERY | images.cdn.net | - | -
1234567906.585 | IN | 8.8.8.8:53 | 10.0.1.5:54329 | 0x9FA0 | RESPONSE | images.cdn.net | 104.16.132.229 | 300
1234567908.700 | OUT | 10.0.1.5:54330 | 8.8.8.8:53 | 0xA0B1 | QUERY | analytics.tracker.com | - | -
1234567908.745 | IN | 8.8.8.8:53 | 10.0.1.5:54330 | 0xA0B1 | RESPONSE | analytics.tracker.com | 172.217.14.206 | 600
1234567910.850 | OUT | 10.0.1.5:54331 | 8.8.8.8:53 | 0xB1C2 | QUERY | secure-banking.example.com | - | -
1234567910.865 | IN | 203.0.113.99:53 | 10.0.1.5:54331 | 0xB1C2 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567910.895 | IN | 8.8.8.8:53 | 10.0.1.5:54331 | 0xB1C2 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567913.000 | OUT | 10.0.1.5:54332 | 8.8.8.8:53 | 0xC2D3 | QUERY | video.streaming.io | - | -
1234567913.045 | IN | 8.8.8.8:53 | 10.0.1.5:54332 | 0xC2D3 | RESPONSE | video.streaming.io | 23.21.186.75 | 1200
1234567915.150 | OUT | 10.0.1.5:54333 | 8.8.8.8:53 | 0xD3E4 | QUERY | auth.login.com | - | -
1234567915.185 | IN | 8.8.8.8:53 | 10.0.1.5:54333 | 0xD3E4 | RESPONSE | auth.login.com | 54.230.159.12 | 450
1234567917.300 | OUT | 10.0.1.5:54334 | 8.8.8.8:53 | 0xE4F5 | QUERY | www.shopping.com | - | -
1234567917.340 | IN | 8.8.8.8:53 | 10.0.1.5:54334 | 0xE4F5 | RESPONSE | www.shopping.com | 198.252.206.25 | 3600
1234567919.450 | OUT | 10.0.1.5:54335 | 8.8.8.8:53 | 0xF506 | QUERY | secure-banking.example.com | - | -
1234567919.472 | IN | 8.8.8.8:53 | 10.0.1.5:54335 | 0xF506 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567919.480 | IN | 203.0.113.99:53 | 10.0.1.5:54335 | 0xF506 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567921.600 | OUT | 10.0.1.5:54336 | 8.8.8.8:53 | 0x0617 | QUERY | static.resources.net | - | -
1234567921.635 | IN | 8.8.8.8:53 | 10.0.1.5:54336 | 0x0617 | RESPONSE | static.resources.net | 52.84.150.25 | 7200
1234567923.750 | OUT | 10.0.1.5:54337 | 8.8.8.8:53 | 0x1728 | QUERY | portal.company.com | - | -
1234567923.790 | IN | 8.8.8.8:53 | 10.0.1.5:54337 | 0x1728 | RESPONSE | portal.company.com | 10.20.30.40 | 600
1234567925.900 | OUT | 10.0.1.5:54338 | 8.8.8.8:53 | 0x2839 | QUERY | secure-banking.example.com | - | -
1234567925.920 | IN | 8.8.8.8:53 | 10.0.1.5:54338 | 0x2839 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567925.928 | IN | 203.0.113.99:53 | 10.0.1.5:54338 | 0x2839 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567928.050 | OUT | 10.0.1.5:54339 | 8.8.8.8:53 | 0x394A | QUERY | fonts.googleapis.com | - | -
1234567928.085 | IN | 8.8.8.8:53 | 10.0.1.5:54339 | 0x394A | RESPONSE | fonts.googleapis.com | 142.250.185.10 | 900
1234567930.200 | OUT | 10.0.1.5:54340 | 8.8.8.8:53 | 0x4A5B | QUERY | www.social.com | - | -
1234567930.240 | IN | 8.8.8.8:53 | 10.0.1.5:54340 | 0x4A5B | RESPONSE | www.social.com | 157.240.2.35 | 3600
1234567932.350 | OUT | 10.0.1.5:54341 | 8.8.8.8:53 | 0x5B6C | QUERY | docs.editor.io | - | -
1234567932.390 | IN | 8.8.8.8:53 | 10.0.1.5:54341 | 0x5B6C | RESPONSE | docs.editor.io | 172.253.115.94 | 1500
1234567934.500 | OUT | 10.0.1.5:54342 | 8.8.8.8:53 | 0x6C7D | QUERY | secure-banking.example.com | - | -
1234567934.518 | IN | 203.0.113.99:53 | 10.0.1.5:54342 | 0x6C7D | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
1234567934.545 | IN | 8.8.8.8:53 | 10.0.1.5:54342 | 0x6C7D | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567936.650 | OUT | 10.0.1.5:54343 | 8.8.8.8:53 | 0x7D8E | QUERY | maps.location.com | - | -
1234567936.690 | IN | 8.8.8.8:53 | 10.0.1.5:54343 | 0x7D8E | RESPONSE | maps.location.com | 172.217.16.46 | 600
1234567938.800 | OUT | 10.0.1.5:54344 | 8.8.8.8:53 | 0x8E9F | QUERY | cloud.storage.net | - | -
1234567938.835 | IN | 8.8.8.8:53 | 10.0.1.5:54344 | 0x8E9F | RESPONSE | cloud.storage.net | 13.107.21.200 | 1800
1234567940.950 | OUT | 10.0.1.5:54345 | 8.8.8.8:53 | 0x9FA0 | QUERY | secure-banking.example.com | - | -
1234567940.970 | IN | 8.8.8.8:53 | 10.0.1.5:54345 | 0x9FA0 | RESPONSE | secure-banking.example.com | 93.184.216.34 | 300
1234567940.978 | IN | 203.0.113.99:53 | 10.0.1.5:54345 | 0x9FA0 | RESPONSE | secure-banking.example.com | 198.51.100.42 | 86400
