transaction_id,timestamp,customer_id,product_id,product_category,amount,currency,region
TXN-A1B2C3D4,2023-01-15T14:30:22Z,CUST-10001,PROD-1001,Electronics,299.99,USD,US
TXN-E5F6G7H8,2023-01-16T09:45:10Z,CUST-10002,PROD-1002,Clothing,49.99,USD,US
TXN-I9J0K1L2,2023-01-17T16:20:35Z,CUST-10003,PROD-1003,Home & Garden,129.50,USD,US
TXN-M3N4O5P6,2023-01-18T11:15:00Z,CUST-10004,PROD-1004,Books,24.99,USD,US
TXN-Q7R8S9T0,2023-01-19T13:40:55Z,CUST-10005,PROD-1005,Sports,89.99,USD,US
TXN-U1V2W3X4,2023-01-20T10:25:30Z,CUST-10006,PROD-1006,Electronics,599.99,USD,US
TXN-Y5Z6A7B8,2023-01-21T15:50:15Z,CUST-10007,PROD-1007,Clothing,79.99,USD,US
TXN-C9D0E1F2,2023-01-22T08:30:45Z,,PROD-1008,Home & Garden,159.99,USD,US
TXN-G3H4I5J6,2023-01-23T14:10:20Z,CUST-10009,PROD-1009,Books,34.50,USD,US
TXN-K7L8M9N0,2023-01-24T12:05:40Z,CUST-10010,PROD-1010,Sports,199.99,USD,US
TXN-A1B2C3D4,2023-01-25T09:30:00Z,CUST-10001,PROD-1001,Electronics,299.99,USD,US
TXN-O1P2Q3R4,2023-01-26T16:45:25Z,CUST-10011,PROD-1011,Clothing,64.99,USD,US
TXN-S5T6U7V8,2023-01-27T11:20:10Z,CUST-10012,PROD-1012,Home & Garden,249.99,USD,US
TXN-W9X0Y1Z2,2023-01-28T13:55:35Z,CUST-10013,PROD-1013,Electronics,449.99,USD,US
TXN-A3B4C5D6,2023-01-29T10:40:50Z,CUST-10014,PROD-1014,Books,19.99,USD,US
TXN-E7F8G9H0,2023-01-30T15:15:20Z,null,PROD-1015,Sports,129.99,USD,US
TXN-I1J2K3L4,2023-02-01T09:25:45Z,CUST-10016,PROD-1016,Clothing,54.99,USD,US
TXN-M5N6O7P8,2023-02-02T14:50:10Z,CUST-10017,PROD-1017,Electronics,699.99,USD,US
TXN-Q9R0S1T2,2023-02-03T11:35:30Z,CUST-10018,PROD-1018,Home & Garden,189.99,USD,US
TXN-U3V4W5X6,2023-02-04T16:10:55Z,CUST-10019,PROD-1019,Books,29.99,USD,US
TXN-Y7Z8A9B0,2023-02-05T12:45:15Z,CUST-10020,PROD-1020,Sports,179.99,USD,US
TXN-E5F6G7H8,2023-02-06T10:20:40Z,CUST-10002,PROD-1002,Clothing,49.99,USD,US
TXN-C1D2E3F4,2023-02-07T15:55:25Z,CUST-10021,PROD-1021,Electronics,399.99,USD,US
TXN-G5H6I7J8,2023-02-08T09:30:50Z,CUST-10022,PROD-1022,Clothing,89.99,USD,US
TXN-K9L0M1N2,2023-02-09T14:15:10Z,CUST-10023,PROD-1023,Home & Garden,219.99,USD,US
TXN-O3P4Q5R6,2023-02-10T11:50:35Z,CUST-10024,PROD-1024,Books,,USD,US
TXN-S7T8U9V0,2023-02-11T16:25:20Z,CUST-10025,PROD-1025,Sports,149.99,USD,US
TXN-W1X2Y3Z4,2023-02-12T13:40:45Z,CUST-10026,PROD-1026,Electronics,549.99,USD,US
TXN-A5B6C7D8,2023-02-13T10:15:10Z,CUST-10027,PROD-1027,Clothing,74.99,USD,US
TXN-E9F0G1H2,2023-02-14T15:50:35Z,CUST-10028,PROD-1028,Home & Garden,299.99,USD,US
TXN-I3J4K5L6,2023-02-15T12:25:50Z,CUST-10029,PROD-1029,Books,39.99,USD,US
TXN-M7N8O9P0,2023-02-16T09:10:15Z,CUST-10030,PROD-1030,Sports,229.99,USD,US
TXN-Q1R2S3T4,2023-02-17T14:45:40Z,CUST-10031,PROD-1031,Electronics,799.99,USD,US
TXN-U5V6W7X8,2023-02-18T11:20:25Z,CUST-10032,PROD-1032,Clothing,59.99,USD,US
TXN-Y9Z0A1B2,2023-02-19T16:55:50Z,CUST-10033,PROD-1033,Home & Garden,169.99,USD,US
TXN-C3D4E5F6,2023-02-20T13:30:10Z,,PROD-1034,Books,44.99,USD,US
TXN-G7H8I9J0,2023-02-21T10:05:35Z,CUST-10035,PROD-1035,Sports,199.99,USD,US
TXN-K1L2M3N4,2023-02-22T15:40:20Z,CUST-10036,PROD-1036,Electronics,649.99,USD,US
TXN-O5P6Q7R8,2023-02-23T12:15:45Z,CUST-10037,PROD-1037,Clothing,94.99,USD,US
TXN-S9T0U1V2,2023-02-24T09:50:10Z,CUST-10038,PROD-1038,Home & Garden,279.99,USD,US
TXN-W3X4Y5Z6,2023-02-25T14:25:35Z,CUST-10039,PROD-1039,Books,27.99,USD,US
TXN-A7B8C9D0,2023-02-26T11:10:50Z,CUST-10040,PROD-1040,Sports,159.99,USD,US
TXN-E1F2G3H4,2023-02-27T16:45:15Z,CUST-10041,PROD-1041,Electronics,499.99,USD,US
TXN-I5J6K7L8,2023-02-28T13:20:40Z,CUST-10042,PROD-1042,Clothing,69.99,USD,US
TXN-M9N0O1P2,2023-03-01T10:55:25Z,CUST-10043,PROD-1043,Home & Garden,239.99,USD,US
TXN-Q3R4S5T6,2023-03-02T15:30:50Z,CUST-10044,PROD-1044,Books,32.99,USD,US
TXN-U7V8W9X0,2023-03-03T12:05:10Z,CUST-10045,PROD-1045,Sports,189.99,USD,US
TXN-Y1Z2A3B4,2023-03-04T09:40:35Z,CUST-10046,PROD-1046,Electronics,749.99,USD,US
TXN-C5D6E7F8,2023-03-05T14:15:20Z,CUST-10047,PROD-1047,Clothing,84.99,USD,US
TXN-G9H0I1J2,2023-03-06T11:50:45Z,CUST-10048,PROD-1048,Home & Garden,199.99,USD,US
TXN-K3L4M5N6,2023-03-07T16:25:10Z,CUST-10049,PROD-1049,Books,21.99,USD,US
TXN-O7P8Q9R0,2023-03-08T13:10:35Z,CUST-10050,PROD-1050,Sports,219.99,USD,US
TXN-S1T2U3V4,2023-03-09T10:45:50Z,CUST-10051,PROD-1051,Electronics,899.99,USD,US
TXN-W5X6Y7Z8,2023-03-10T15:20:15Z,CUST-10052,PROD-1052,Clothing,104.99,USD,US
TXN-A9B0C1D2,2023-03-11T12:55:40Z,CUST-10053,PROD-1053,Home & Garden,259.99,USD,US
TXN-E3F4G5H6,2023-03-12T09:30:25Z,CUST-10054,PROD-1054,Books,36.99,USD,US
TXN-I7J8K9L0,2023-03-13T14:05:50Z,CUST-10055,PROD-1055,Sports,169.99,USD,US
TXN-M1N2O3P4,2023-03-14T11:40:10Z,CUST-10056,PROD-1056,Electronics,999.99,USD,US
TXN-Q5R6S7T8,2023-03-15T16:15:35Z,CUST-10057,PROD-1057,Clothing,119.99,USD,US
TXN-U9V0W1X2,2023-03-16T13:50:20Z,CUST-10058,PROD-1058,Home & Garden,289.99,USD,US
TXN-Y3Z4A5B6,2023-03-17T10:25:45Z,CUST-10059,PROD-1059,Books,41.99,USD,US
TXN-C7D8E9F0,2023-03-18T15:10:10Z,CUST-10060,PROD-1060,Sports,139.99,USD,US
TXN-G1H2I3J4,2023-03-19T12:45:35Z,CUST-10061,PROD-1061,Electronics,349.99,USD,US
TXN-K5L6M7N8,2023-03-20T09:20:50Z,CUST-10062,PROD-1062,Clothing,64.99,USD,US
TXN-O9P0Q1R2,2023-03-21T14:55:15Z,CUST-10063,PROD-1063,Home & Garden,209.99,USD,US
TXN-S3T4U5V6,2023-03-22T11:30:40Z,CUST-10064,PROD-1064,Books,28.99,USD,US
TXN-W7X8Y9Z0,2023-03-23T16:05:25Z,CUST-10065,PROD-1065,Sports,249.99,USD,US
TXN-A1B2C3D4,2023-03-24T13:40:50Z,CUST-10001,PROD-1001,Electronics,299.99,USD,US
TXN-B1C2D3E4,2023-03-25T10:15:10Z,CUST-10066,PROD-1066,Clothing,74.99,USD,US
TXN-F5G6H7I8,2023-03-26T15:50:35Z,CUST-10067,PROD-1067,Home & Garden,319.99,USD,US
TXN-J9K0L1M2,2023-03-27T12:25:20Z,CUST-10068,PROD-1068,Books,18.99,USD,US
TXN-N3O4P5Q6,2023-03-28T09:10:45Z,CUST-10069,PROD-1069,Sports,179.99,USD,US
TXN-R7S8T9U0,2023-03-29T14:45:10Z,CUST-10070,PROD-1070,Electronics,549.99,USD,US
TXN-V1W2X3Y4,2023-03-30T11:20:35Z,CUST-10071,PROD-1071,Clothing,89.99,USD,US
TXN-Z5A6B7C8,2023-03-31T16:55:50Z,CUST-10072,PROD-1072,Home & Garden,229.99,USD,US
TXN-D9E0F1G2,2023-04-01T13:30:15Z,CUST-10073,PROD-1073,Books,45.99,USD,US
TXN-H3I4J5K6,2023-04-02T10:05:40Z,CUST-10074,PROD-1074,Sports,159.99,USD,US
