customer_id,total_transactions,avg_transaction_amount,preferred_category,preferred_payment,customer_segment,lifetime_value,last_purchase_date,active_status
482916,147,892.34,Electronics,Credit Card,Premium,28456.82,2023-08-15,True
293847,23,156.78,Clothing,Debit Card,Standard,3605.94,2023-11-22,True
756201,189,1245.67,Electronics,Credit Card,Premium,45678.23,2023-09-30,True
184629,8,87.45,Food,Cash,New,699.60,2023-02-14,False
937402,134,678.90,Home,PayPal,Premium,22890.45,2023-12-05,True
528173,45,234.56,Sports,Debit Card,Standard,10555.20,2023-07-18,True
649385,91,445.32,Books,Credit Card,Standard,15678.90,2023-10-27,True
371294,167,1034.88,Electronics,Credit Card,Premium,38901.23,2023-11-08,True
815067,12,98.76,Toys,Cash,Basic,1185.12,2023-03-22,False
203948,56,312.45,Clothing,PayPal,Standard,8769.20,2023-06-11,True
692813,203,1389.45,Electronics,Credit Card,Premium,47234.56,2023-12-18,True
457128,34,189.23,Food,Debit Card,Basic,6433.82,2023-04-29,True
738564,118,567.89,Home,Credit Card,Premium,21456.78,2023-09-14,True
526491,71,398.67,Sports,PayPal,Standard,14123.57,2023-08-02,True
184702,19,134.56,Books,Cash,New,2556.64,2023-01-19,False
891356,145,823.45,Electronics,Credit Card,Premium,32567.89,2023-11-30,True
364827,88,467.23,Clothing,Debit Card,Standard,16789.44,2023-10-08,True
729401,234,1456.78,Electronics,Credit Card,Premium,49234.12,2023-12-22,True
513682,27,167.89,Food,Cash,Basic,4533.03,2023-05-16,False
847295,102,534.67,Home,PayPal,Premium,19678.34,2023-07-25,True
265913,63,345.78,Sports,Debit Card,Standard,11789.14,2023-09-03,True
794836,139,756.34,Electronics,Credit Card,Premium,28901.26,2023-11-15,True
428517,41,223.45,Clothing,PayPal,Standard,9161.45,2023-06-28,True
651209,176,967.89,Electronics,Credit Card,Premium,37234.64,2023-12-09,True
389476,15,112.34,Toys,Cash,New,1685.10,2023-02-07,False
572183,94,489.56,Home,Debit Card,Standard,17678.64,2023-08-19,True
916428,129,689.23,Sports,Credit Card,Premium,24567.67,2023-10-31,True
234807,52,289.67,Books,PayPal,Standard,8890.84,2023-07-04,True
765129,187,1123.45,Electronics,Credit Card,Premium,41234.15,2023-11-25,True
493582,36,198.76,Food,Debit Card,Basic,7155.36,2023-04-12,True
827164,108,578.90,Home,PayPal,Premium,20890.20,2023-09-21,True
341906,75,412.34,Clothing,Credit Card,Standard,14678.50,2023-08-07,True
689247,221,1367.89,Electronics,Credit Card,Premium,46789.69,2023-12-14,True
526738,29,178.45,Food,Cash,Basic,5175.05,2023-03-18,False
918352,96,512.67,Sports,Debit Card,Standard,18456.32,2023-10-16,True
274619,143,778.23,Electronics,Credit Card,Premium,31234.89,2023-11-04,True
835476,68,367.89,Home,PayPal,Standard,12789.52,2023-06-23,True
412903,198,1089.34,Electronics,Credit Card,Premium,43678.32,2023-12-28,True
569124,24,145.67,Toys,Cash,New,3496.08,2023-01-25,False
726385,115,623.45,Clothing,Debit Card,Premium,22567.75,2023-09-08,True
348927,81,445.78,Sports,PayPal,Standard,15678.18,2023-07-30,True
891563,156,867.23,Electronics,Credit Card,Premium,35789.88,2023-11-19,True
235781,47,256.34,Books,Debit Card,Standard,7823.98,2023-05-27,True
674192,125,701.56,Home,Credit Card,Premium,26789.50,2023-10-13,True
529806,59,323.45,Food,PayPal,Standard,10234.55,2023-08-24,True
918247,209,1289.67,Electronics,Credit Card,Premium,44890.03,2023-12-02,True
362584,32,187.89,Clothing,Cash,Basic,6012.48,2023-03-30,False
745219,103,545.23,Sports,Debit Card,Standard,19234.69,2023-09-27,True
481936,138,745.67,Electronics,PayPal,Premium,29678.46,2023-11-12,True
627183,72,389.45,Home,Credit Card,Standard,13789.64,2023-07-19,True
294765,192,1145.78,Electronics,Credit Card,Premium,42567.76,2023-12-20,True
836542,21,156.23,Toys,Cash,New,3280.83,2023-02-16,False
519274,87,478.90,Clothing,Debit Card,Standard,16890.30,2023-08-11,True
762198,147,812.34,Electronics,Credit Card,Premium,32567.98,2023-10-25,True
385647,54,298.67,Books,PayPal,Standard,9178.18,2023-06-05,True
924316,183,1056.45,Electronics,Credit Card,Premium,39890.35,2023-11-28,True
261583,38,212.34,Food,Debit Card,Basic,8068.92,2023-04-21,True
738925,110,589.23,Home,PayPal,Premium,21456.53,2023-09-15,True
492817,66,356.78,Sports,Credit Card,Standard,12567.48,2023-07-26,True
815369,215,1334.56,Electronics,Credit Card,Premium,47234.40,2023-12-11,True
347281,26,167.45,Clothing,Cash,Basic,4353.70,2023-02-28,False
629458,99,523.67,Home,Debit Card,Standard,18678.33,2023-08-29,True
516742,132,723.45,Electronics,PayPal,Premium,27890.40,2023-10-19,True
783924,77,423.89,Sports,Credit Card,Standard,14789.53,2023-07-08,True
294817,201,1189.23,Electronics,Credit Card,Premium,44123.23,2023-12-06,True
851673,18,123.45,Toys,Cash,New,2222.10,2023-01-31,False
462195,92,489.56,Clothing,Debit Card,Standard,17234.52,2023-09-22,True
739268,151,845.67,Electronics,Credit Card,Premium,33678.17,2023-11-16,True
528694,61,334.78,Books,PayPal,Standard,10789.58,2023-06-14,True
917423,189,1098.45,Electronics,Credit Card,Premium,41890.05,2023-12-24,True
346812,43,234.56,Food,Debit Card,Basic,10086.08,2023-05-03,True
682759,106,567.89,Home,PayPal,Premium,20456.34,2023-08-17,True
275196,69,378.23,Sports,Credit Card,Standard,13234.87,2023-10-05,True
834921,227,1423.67,Electronics,Credit Card,Premium,48567.09,2023-12-19,True
519347,30,189.34,Clothing,Cash,Basic,5680.20,2023-03-24,False
726854,95,501.23,Home,Debit Card,Standard,18456.85,2023-09-11,True
483219,144,789.45,Electronics,PayPal,Premium,30678.80,2023-11-07,True
657183,83,456.78,Sports,Credit Card,Standard,16234.74,2023-08-03,True
291746,196,1156.23,Electronics,Credit Card,Premium,42890.08,2023-12-15,True
825673,22,145.67,Toys,Cash,New,3204.74,2023-02-11,False
539284,88,467.89,Clothing,Debit Card,Standard,16789.32,2023-10-28,True
764192,158,889.34,Electronics,Credit Card,Premium,36234.72,2023-11-21,True
392857,56,312.45,Books,PayPal,Standard,8890.20,2023-06-19,True
918562,178,1023.56,Electronics,Credit Card,Premium,38567.48,2023-12-08,True
247816,39,223.45,Food,Debit Card,Basic,8714.55,2023-04-16,True
736129,113,601.34,Home,PayPal,Premium,22234.02,2023-09-25,True
582947,73,401.23,Sports,Credit Card,Standard,13567.79,2023-07-15,True
819453,208,1267.89,Electronics,Credit Card,Premium,45890.32,2023-12-03,True
365127,28,178.56,Clothing,Cash,Basic,4999.68,2023-03-09,False
694825,101,534.67,Home,Debit Card,Standard,19234.67,2023-08-26,True
527183,136,734.78,Electronics,PayPal,Premium,28890.08,2023-10-14,True
781946,64,345.89,Sports,Credit Card,Standard,11789.96,2023-06-30,True
295847,184,1067.34,Electronics,Credit Card,Premium,40567.46,2023-11-26,True
846192,19,134.23,Toys,Cash,New,2550.37,2023-01-17,False
513726,90,478.90,Clothing,Debit Card,Standard,17234.10,2023-09-19,True
728419,149,823.45,Electronics,Credit Card,Premium,32890.05,2023-11-10,True
364891,58,323.67,Books,PayPal,Standard,9567.86,2023-05-24,True
912683,194,1134.56,Electronics,Credit Card,Premium,42234.64,2023-12-17,True
257394,41,245.78,Food,Debit Card,Basic,10076.98,2023-04-07,True
739526,107,578.23,Home,PayPal,Premium,21123.61,2023-08-22,True
486217,71,389.45,Sports,Credit Card,Standard,14234.95,2023-10-09,True
825169,219,1356.78,Electronics,Credit Card,Premium,47123.82,2023-12-12,True
341586,31,198.67,Clothing,Cash,Basic,6158.77,2023-02-23,False
692473,97,512.34,Home,Debit Card,Standard,18890.98,2023-09-06,True
528764,141,767.89,Electronics,PayPal,Premium,30234.49,2023-11-02,True
764281,79,434.56,Sports,Credit Card,Standard,15234.24,2023-07-22,True
293815,187,1089.23,Electronics,Credit Card,Premium,41567.01,2023-12-21,True
