transaction_id,customer_id,transaction_date,amount,category,payment_method,status
TXN2023-00001,CUST-10234,2023-01-05,245.99,Electronics,credit_card,completed
TXN2023-00002,CUST-10567,2023-01-08,89.45,Groceries,debit_card,completed
TXN2023-00003,CUST-10892,2023-01-12,1250.00,Electronics,paypal,completed
TXN2023-00004,CUST-10145,2023-01-15,67.23,Clothing,credit_card,pending
TXN2023-00005,CUST-10456,2023-01-18,432.88,Home,bank_transfer,completed
TXN2023-00006,CUST-10789,2023-01-22,156.50,Services,credit_card,completed
TXN2023-00007,CUST-10234,2023-01-25,78.90,Groceries,debit_card,completed
TXN2023-00008,CUST-10923,2023-01-28,3450.00,Electronics,bank_transfer,completed
TXN2023-00009,CUST-10567,2023-02-02,125.67,Clothing,paypal,completed
TXN2023-00010,CUST-10345,2023-02-05,98.34,Groceries,credit_card,completed
TXN2023-00011,CUST-10678,2023-02-09,2100.00,Home,bank_transfer,pending
TXN2023-00012,CUST-10892,2023-02-12,45.99,Groceries,debit_card,completed
TXN2023-00013,CUST-10145,2023-02-16,567.80,Electronics,credit_card,completed
TXN2023-00014,CUST-10456,2023-02-19,234.56,Clothing,paypal,completed
TXN2023-00015,CUST-10789,2023-02-23,890.25,Services,credit_card,completed
TXN2023-00016,CUST-10234,2023-02-26,112.40,Groceries,debit_card,completed
TXN2023-00017,CUST-10923,2023-03-01,1875.00,Electronics,bank_transfer,completed
TXN2023-00018,CUST-10567,2023-03-05,345.90,Home,credit_card,completed
TXN2023-00019,CUST-10345,2023-03-08,76.45,Groceries,debit_card,completed
TXN2023-00020,CUST-10678,2023-03-12,456.78,Clothing,paypal,pending
TXN2023-00021,CUST-10892,2023-03-15,2300.00,Electronics,bank_transfer,completed
TXN2023-00022,CUST-10145,2023-03-19,167.89,Services,credit_card,completed
TXN2023-00023,CUST-10456,2023-03-22,92.30,Groceries,debit_card,completed
TXN2023-00024,CUST-10789,2023-03-26,678.50,Home,credit_card,completed
TXN2023-00025,CUST-10234,2023-03-29,1456.99,Electronics,paypal,completed
TXN2023-00026,CUST-10923,2023-04-02,234.67,Clothing,credit_card,completed
TXN2023-00027,CUST-10567,2023-04-05,89.90,Groceries,debit_card,completed
TXN2023-00028,CUST-10345,2023-04-09,3200.00,Electronics,bank_transfer,completed
TXN2023-00029,CUST-10678,2023-04-12,445.80,Services,credit_card,pending
TXN2023-00030,CUST-10892,2023-04-16,156.34,Groceries,debit_card,completed
TXN2023-00031,CUST-10145,2023-04-19,789.45,Home,paypal,completed
TXN2023-00032,CUST-10456,2023-04-23,2890.00,Electronics,bank_transfer,completed
TXN2023-00033,CUST-10789,2023-04-26,123.78,Clothing,credit_card,completed
TXN2023-00034,CUST-10234,2023-04-30,98.56,Groceries,debit_card,completed
TXN2023-00035,CUST-10923,2023-05-03,567.90,Services,credit_card,completed
TXN2023-00036,CUST-10567,2023-05-07,1234.50,Electronics,paypal,completed
TXN2023-00037,CUST-10345,2023-05-10,345.67,Home,bank_transfer,pending
