transaction_id,customer_id,transaction_date,amount,category,payment_method,status
TXN2024Q1-00001,CUST-10234,2024-01-02,127.45,Electronics,credit_card,completed
TXN2024Q1-00002,CUST-10567,2024-01-03,45.23,Groceries,debit_card,completed
TXN2024Q1-00003,CUST-10891,2024-01-03,289.99,Clothing,credit_card,completed
TXN2024Q1-00004,CUST-10123,2024-01-04,1250.00,Electronics,bank_transfer,completed
TXN2024Q1-00005,CUST-10445,2024-01-05,67.89,Groceries,paypal,completed
TXN2024Q1-00006,CUST-10778,2024-01-06,450.00,Home,credit_card,pending
TXN2024Q1-00007,CUST-10912,2024-01-07,89.50,Services,debit_card,completed
TXN2024Q1-00008,CUST-10334,2024-01-08,199.99,Electronics,credit_card,completed
TXN2024Q1-00009,CUST-10656,2024-01-09,34.67,Groceries,debit_card,completed
TXN2024Q1-00010,CUST-10789,2024-01-10,567.80,Clothing,paypal,completed
TXN2024Q1-00011,CUST-10234,2024-01-11,2345.00,Electronics,bank_transfer,completed
TXN2024Q1-00012,CUST-10445,2024-01-12,78.90,Groceries,credit_card,completed
TXN2024Q1-00013,CUST-10567,2024-01-13,890.50,Home,credit_card,pending
TXN2024Q1-00014,CUST-10891,2024-01-14,156.75,Services,debit_card,completed
TXN2024Q1-00015,CUST-10123,2024-01-15,234.50,Clothing,paypal,completed
TXN2024Q1-00016,CUST-10778,2024-01-16,45.30,Groceries,debit_card,completed
TXN2024Q1-00017,CUST-10912,2024-01-17,3450.00,Electronics,bank_transfer,completed
TXN2024Q1-00018,CUST-10334,2024-01-18,123.45,Home,credit_card,completed
TXN2024Q1-00019,CUST-10656,2024-01-19,678.90,Services,credit_card,pending
TXN2024Q1-00020,CUST-10789,2024-01-20,89.99,Groceries,debit_card,completed
TXN2024Q1-00021,CUST-10234,2024-01-21,456.78,Clothing,paypal,completed
TXN2024Q1-00022,CUST-10445,2024-01-22,1890.00,Electronics,credit_card,completed
TXN2024Q1-00023,CUST-10567,2024-01-23,67.45,Groceries,debit_card,completed
TXN2024Q1-00024,CUST-10891,2024-01-24,345.60,Home,bank_transfer,pending
TXN2024Q1-00025,CUST-10123,2024-01-25,234.80,Services,credit_card,completed
TXN2024Q1-00026,CUST-10778,2024-01-26,567.90,Clothing,paypal,completed
TXN2024Q1-00027,CUST-10912,2024-01-27,89.75,Groceries,debit_card,completed
TXN2024Q1-00028,CUST-10334,2024-01-28,4567.80,Electronics,bank_transfer,completed
TXN2024Q1-00029,CUST-10656,2024-01-29,123.90,Home,credit_card,completed
TXN2024Q1-00030,CUST-10789,2024-01-30,890.50,Services,credit_card,pending
TXN2024Q1-00031,CUST-10234,2024-01-31,45.67,Groceries,debit_card,completed
TXN2024Q1-00032,CUST-10445,2024-02-01,678.90,Clothing,paypal,completed
TXN2024Q1-00033,CUST-10567,2024-02-02,2890.00,Electronics,bank_transfer,completed
TXN2024Q1-00034,CUST-10891,2024-02-03,156.45,Groceries,credit_card,completed
TXN2024Q1-00035,CUST-10123,2024-02-04,789.60,Home,debit_card,pending
TXN2024Q1-00036,CUST-10778,2024-02-05,234.70,Services,credit_card,completed
TXN2024Q1-00037,CUST-10912,2024-02-06,567.80,Clothing,paypal,completed
TXN2024Q1-00038,CUST-10334,2024-02-07,89.90,Groceries,debit_card,completed
TXN2024Q1-00039,CUST-10656,2024-02-08,3456.00,Electronics,bank_transfer,completed
TXN2024Q1-00040,CUST-10789,2024-02-09,234.50,Home,credit_card,completed
TXN2024Q1-00041,CUST-10234,2024-02-10,890.75,Services,credit_card,pending
TXN2024Q1-00042,CUST-10445,2024-02-11,67.80,Groceries,debit_card,completed
TXN2024Q1-00043,CUST-10567,2024-02-12,456.90,Clothing,paypal,completed
TXN2024Q1-00044,CUST-10891,2024-02-13,1234.50,Electronics,credit_card,completed
TXN2024Q1-00045,CUST-10123,2024-02-14,78.65,Groceries,debit_card,completed
TXN2024Q1-00046,CUST-10778,2024-02-15,567.40,Home,bank_transfer,pending
TXN2024Q1-00047,CUST-10912,2024-02-16,345.80,Services,credit_card,completed
TXN2024Q1-00048,CUST-10334,2024-02-17,789.90,Clothing,paypal,completed
TXN2024Q1-00049,CUST-10656,2024-02-18,123.45,Groceries,debit_card,completed
TXN2024Q1-00050,CUST-10789,2024-02-19,4890.00,Electronics,bank_transfer,completed
TXN2024Q1-00051,CUST-10234,2024-02-20,234.60,Home,credit_card,completed
TXN2024Q1-00052,CUST-10445,2024-02-21,678.50,Services,credit_card,pending
TXN2024Q1-00053,CUST-10567,2024-02-22,89.70,Groceries,debit_card,completed
TXN2024Q1-00054,CUST-10891,2024-02-23,456.80,Clothing,paypal,completed
TXN2024Q1-00055,CUST-10123,2024-02-24,2345.90,Electronics,bank_transfer,completed
TXN2024Q1-00056,CUST-10778,2024-02-25,123.40,Groceries,credit_card,completed
TXN2024Q1-00057,CUST-10912,2024-02-26,789.50,Home,debit_card,pending
TXN2024Q1-00058,CUST-10334,2024-02-27,345.60,Services,credit_card,completed
TXN2024Q1-00059,CUST-10656,2024-02-28,567.70,Clothing,paypal,completed
TXN2024Q1-00060,CUST-10789,2024-02-29,89.80,Groceries,debit_card,completed
TXN2024Q1-00061,CUST-10234,2024-03-01,3456.90,Electronics,bank_transfer,completed
TXN2024Q1-00062,CUST-10445,2024-03-02,234.50,Home,credit_card,completed
TXN2024Q1-00063,CUST-10567,2024-03-03,890.60,Services,credit_card,pending
TXN2024Q1-00064,CUST-10891,2024-03-04,67.70,Groceries,debit_card,completed
TXN2024Q1-00065,CUST-10123,2024-03-05,456.80,Clothing,paypal,completed
TXN2024Q1-00066,CUST-10778,2024-03-06,1890.90,Electronics,credit_card,completed
TXN2024Q1-00067,CUST-10912,2024-03-07,123.45,Groceries,debit_card,completed
TXN2024Q1-00068,CUST-10334,2024-03-08,789.50,Home,bank_transfer,pending
TXN2024Q1-00069,CUST-10656,2024-03-09,345.60,Services,credit_card,completed
TXN2024Q1-00070,CUST-10789,2024-03-10,567.70,Clothing,paypal,completed
TXN2024Q1-00071,CUST-10234,2024-03-11,89.80,Groceries,debit_card,completed
TXN2024Q1-00072,CUST-10445,2024-03-12,4567.90,Electronics,bank_transfer,completed
TXN2024Q1-00073,CUST-10567,2024-03-13,234.50,Home,credit_card,completed
TXN2024Q1-00074,CUST-10891,2024-03-14,890.60,Services,credit_card,pending
TXN2024Q1-00075,CUST-10123,2024-03-15,67.70,Groceries,debit_card,completed
TXN2024Q1-00076,CUST-10778,2024-03-16,456.80,Clothing,paypal,completed
TXN2024Q1-00077,CUST-10912,2024-03-17,2890.90,Electronics,bank_transfer,completed
TXN2024Q1-00078,CUST-10334,2024-03-18,123.45,Groceries,credit_card,completed
TXN2024Q1-00079,CUST-10656,2024-03-19,789.50,Home,debit_card,pending
TXN2024Q1-00080,CUST-10789,2024-03-20,345.60,Services,credit_card,completed
TXN2024Q1-00081,CUST-10234,2024-03-21,567.70,Clothing,paypal,completed
TXN2024Q1-00082,CUST-10445,2024-03-22,89.80,Groceries,debit_card,completed
TXN2024Q1-00083,CUST-10567,2024-03-23,3456.90,Electronics,bank_transfer,completed
TXN2024Q1-00084,CUST-10891,2024-03-24,234.50,Home,credit_card,completed
TXN2024Q1-00085,CUST-10123,2024-03-25,890.60,Services,credit_card,pending
TXN2024Q1-00086,CUST-10778,2024-03-26,67.70,Groceries,debit_card,completed
TXN2024Q1-00087,CUST-10912,2024-03-27,456.80,Clothing,paypal,completed
TXN2024Q1-00088,CUST-10334,2024-03-28,1234.90,Electronics,credit_card,completed
TXN2024Q1-00089,CUST-10656,2024-03-29,123.45,Groceries,debit_card,completed
TXN2024Q1-00090,CUST-10789,2024-03-30,789.50,Home,bank_transfer,pending
TXN2024Q1-00091,CUST-10234,2024-03-31,345.60,Services,credit_card,completed
TXN2024Q1-00092,CUST-10445,2024-01-05,567.70,Clothing,paypal,completed
TXN2024Q1-00093,CUST-10567,2024-01-10,89.80,Groceries,debit_card,completed
TXN2024Q1-00094,CUST-10891,2024-01-15,4890.00,Electronics,bank_transfer,completed
TXN2024Q1-00095,CUST-10123,2024-01-20,234.50,Home,credit_card,completed
TXN2024Q1-00096,CUST-10778,2024-01-25,890.60,Services,credit_card,pending
TXN2024Q1-00097,CUST-10912,2024-02-01,67.70,Groceries,debit_card,completed
TXN2024Q1-00098,CUST-10334,2024-02-05,456.80,Clothing,paypal,completed
TXN2024Q1-00099,CUST-10656,2024-02-10,2567.90,Electronics,bank_transfer,completed
TXN2024Q1-00100,CUST-10789,2024-02-15,123.45,Groceries,credit_card,completed
TXN2024Q1-00101,CUST-10234,2024-02-20,789.50,Home,debit_card,pending
TXN2024Q1-00102,CUST-10445,2024-02-25,345.60,Services,credit_card,completed
TXN2024Q1-00103,CUST-10567,2024-03-01,567.70,Clothing,paypal,completed
TXN2024Q1-00104,CUST-10891,2024-03-05,89.80,Groceries,debit_card,completed
TXN2024Q1-00105,CUST-10123,2024-03-10,3890.90,Electronics,bank_transfer,completed
TXN2024Q1-00106,CUST-10778,2024-03-15,234.50,Home,credit_card,completed
TXN2024Q1-00107,CUST-10912,2024-03-20,890.60,Services,credit_card,pending
TXN2024Q1-00108,CUST-10334,2024-03-25,67.70,Groceries,debit_card,completed
TXN2024Q1-00109,CUST-10656,2024-01-12,456.80,Clothing,paypal,completed
TXN2024Q1-00110,CUST-10789,2024-01-18,1678.90,Electronics,credit_card,completed
TXN2024Q1-00111,CUST-10234,2024-01-22,123.45,Groceries,debit_card,completed
TXN2024Q1-00112,CUST-10445,2024-01-28,789.50,Home,bank_transfer,pending
TXN2024Q1-00113,CUST-10567,2024-02-03,345.60,Services,credit_card,completed
TXN2024Q1-00114,CUST-10891,2024-02-08,567.70,Clothing,paypal,completed
TXN2024Q1-00115,CUST-10123,2024-02-12,89.80,Groceries,debit_card,completed
TXN2024Q1-00116,CUST-10778,2024-02-18,4234.90,Electronics,bank_transfer,completed
TXN2024Q1-00117,CUST-10912,2024-02-22,234.50,Home,credit_card,completed
TXN2024Q1-00118,CUST-10334,2024-02-28,890.60,Services,credit_card,pending
TXN2024Q1-00119,CUST-10656,2024-03-03,67.70,Groceries,debit_card,completed
TXN2024Q1-00120,CUST-10789,2024-03-08,456.80,Clothing,paypal,completed
TXN2024Q1-00121,CUST-10234,2024-03-12,2123.90,Electronics,bank_transfer,completed
TXN2024Q1-00122,CUST-10445,2024-03-17,123.45,Groceries,credit_card,completed
TXN2024Q1-00123,CUST-10567,2024-03-22,789.50,Home,debit_card,pending
TXN2024Q1-00124,CUST-10891,2024-03-27,345.60,Services,credit_card,completed
TXN2024Q1-00125,CUST-10123,2024-01-07,567.70,Clothing,paypal,completed
TXN2024Q1-00126,CUST-10778,2024-01-14,89.80,Groceries,debit_card,completed
TXN2024Q1-00127,CUST-10912,2024-01-19,3678.90,Electronics,bank_transfer,completed
TXN2024Q1-00128,CUST-10334,2024-01-26,234.50,Home,credit_card,completed
TXN2024Q1-00129,CUST-10656,2024-02-02,890.60,Services,credit_card,pending
TXN2024Q1-00130,CUST-10789,2024-02-07,67.70,Groceries,debit_card,completed
TXN2024Q1-00131,CUST-10234,2024-02-14,456.80,Clothing,paypal,completed
TXN2024Q1-00132,CUST-10445,2024-02-19,1890.90,Electronics,credit_card,completed
TXN2024Q1-00133,CUST-10567,2024-02-26,123.45,Groceries,debit_card,completed
TXN2024Q1-00134,CUST-10891,2024-03-02,789.50,Home,bank_transfer,pending
TXN2024Q1-00135,CUST-10123,2024-03-07,345.60,Services,credit_card,completed
TXN2024Q1-00136,CUST-10778,2024-03-13,567.70,Clothing,paypal,completed
TXN2024Q1-00137,CUST-10912,2024-03-18,89.80,Groceries,debit_card,completed
TXN2024Q1-00138,CUST-10334,2024-03-23,4456.90,Electronics,bank_transfer,completed
TXN2024Q1-00139,CUST-10656,2024-03-28,234.50,Home,credit_card,completed
TXN2024Q1-00140,CUST-10789,2024-01-09,890.60,Services,credit_card,pending
TXN2024Q1-00141,CUST-10234,2024-01-16,67.70,Groceries,debit_card,completed
TXN2024Q1-00142,CUST-10445,2024-01-23,456.80,Clothing,paypal,completed
TXN2024Q1-00143,CUST-10567,2024-02-04,2234.90,Electronics,bank_transfer,completed
TXN2024Q1-00144,CUST-10891,2024-02-11,123.45,Groceries,credit_card,completed
TXN2024Q1-00145,CUST-10123,2024-02-16,789.50,Home,debit_card,pending
TXN2024Q1-00146,CUST-10778,2024-02-23,345.60,Services,credit_card,completed
TXN2024Q1-00147,CUST-10912,2024-03-04,567.70,Clothing,paypal,completed
TXN2024Q1-00148,CUST-10334,2024-03-11,89.80,Groceries,debit_card,completed
TXN2024Q1-00149,CUST-10656,2024-03-16,3890.90,Electronics,bank_transfer,completed
TXN2024Q1-00150,CUST-10789,2024-03-24,234.50,Home,credit_card,completed
