amount,frequency,recency,diversity
125.50,15,45,0.75
89.20,8,120,0.42
350.00,35,10,0.88
245.30,28,22,0.82
67.40,5,180,0.35
412.80,42,7,0.91
156.70,18,65,0.68
98.50,11,95,0.55
287.90,31,18,0.79
134.20,14,78,0.61
78.30,6,145,0.38
324.50,37,12,0.86
189.40,22,52,0.73
52.10,3,220,0.28
398.60,40,9,0.89
167.80,19,58,0.71
112.90,13,88,0.59
276.40,29,25,0.78
145.60,16,71,0.66
83.70,7,132,0.44
338.20,38,14,0.85
201.50,24,48,0.74
64.80,4,195,0.31
385.90,39,11,0.87
178.30,20,62,0.69
104.60,12,102,0.57
265.70,30,28,0.77
156.40,17,68,0.64
91.20,9,115,0.51
351.80,36,15,0.84
213.90,25,43,0.76
71.50,5,168,0.36
402.30,41,8,0.90
189.70,21,55,0.72
118.40,13,92,0.58
298.60,32,21,0.80
167.20,18,64,0.67
86.90,8,125,0.46
362.50,37,13,0.85
225.80,26,38,0.77
58.30,4,205,0.29
418.70,43,6,0.92
198.50,23,50,0.74
125.80,14,85,0.60
287.40,31,24,0.79
178.90,20,59,0.70
94.60,10,108,0.53
374.20,38,12,0.86
237.60,27,35,0.78
65.70,5,188,0.33
395.80,40,10,0.88
210.30,24,47,0.75
132.50,15,79,0.62
276.90,30,26,0.78
189.40,21,56,0.71
99.80,11,98,0.56
348.60,36,16,0.84
249.70,28,32,0.79
73.20,6,175,0.37
408.50,42,9,0.89
222.80,25,41,0.76
140.60,16,74,0.63
298.30,32,22,0.80
201.50,23,53,0.73
107.40,12,95,0.58
362.90,37,14,0.85
261.80,29,29,0.78
68.50,5,192,0.32
425.60,44,5,0.93
234.90,27,36,0.77
148.70,17,70,0.65
312.40,34,19,0.82
213.60,24,45,0.75
115.80,13,89,0.59
375.20,38,13,0.86
273.50,30,27,0.79
81.40,7,138,0.40
398.70,40,11,0.88
246.30,28,33,0.78
156.90,18,66,0.68
325.80,35,17,0.83
225.70,26,39,0.77
122.50,14,82,0.61
387.40,39,12,0.87
285.60,31,25,0.79
94.20,9,112,0.52
412.90,42,8,0.90
258.80,29,30,0.78
164.30,19,61,0.69
338.50,36,15,0.84
237.40,27,37,0.77
