feature_1,feature_2
2.34,3.45
2.89,3.12
2.45,3.78
2.67,3.23
2.91,3.56
3.12,3.89
2.78,3.34
2.56,3.67
2.98,3.45
2.71,3.91
8.45,8.23
8.67,8.56
8.91,8.34
8.23,8.78
8.56,8.12
8.78,8.45
8.34,8.67
8.12,8.91
8.89,8.23
8.45,8.56
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.23
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.34
5.23,1.45
5.45,1.67
2.12,3.67
2.34,3.89
2.56,3.12
2.78,3.34
2.91,3.56
3.01,3.78
2.45,3.23
2.67,3.45
2.89,3.67
2.34,3.89
8.67,8.78
8.89,8.91
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.12
8.91,8.34
8.23,8.56
8.45,8.78
8.67,8.91
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.45
-1.34,2.67
-1.56,2.89
5.67,1.78
5.89,1.91
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
2.78,3.56
2.91,3.78
2.23,3.12
2.45,3.34
2.67,3.56
2.89,3.78
3.12,3.91
2.56,3.23
2.78,3.45
2.91,3.67
8.34,8.45
8.56,8.67
8.78,8.89
8.91,8.12
8.23,8.34
8.45,8.56
8.67,8.78
8.89,8.91
8.12,8.23
8.34,8.45
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
5.67,1.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
8.89,8.12
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
-1.78,2.89
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
5.89,1.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
8.12,8.34
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
-1.91,2.12
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
5.12,1.34
5.34,1.56
5.56,1.78
5.78,1.91
5.91,1.23
5.23,1.45
5.45,1.67
5.67,1.89
5.89,1.12
5.12,1.34
2.34,3.56
2.56,3.78
2.78,3.91
2.91,3.23
2.23,3.45
2.45,3.67
2.67,3.89
2.89,3.12
2.12,3.34
2.34,3.56
8.34,8.56
8.56,8.78
8.78,8.91
8.91,8.23
8.23,8.45
8.45,8.67
8.67,8.89
8.89,8.12
8.12,8.34
8.34,8.56
-1.23,2.34
-1.45,2.56
-1.67,2.78
-1.89,2.91
-1.12,2.23
-1.34,2.45
-1.56,2.67
-1.78,2.89
-1.91,2.12
-1.23,2.34
