income,credit_score,debt_ratio,employment_years,loan_amount,approved,protected_group
95.2,780,0.22,12,75.5,1,0
48.3,620,0.58,3,35.2,0,1
72.1,745,0.28,8,52.3,1,0
38.5,580,0.67,1,22.8,0,1
110.5,805,0.18,15,95.0,1,0
55.2,680,0.45,5,42.0,1,0
42.7,595,0.62,2,28.5,0,1
88.3,765,0.25,10,68.2,1,0
35.8,560,0.71,1,20.5,0,1
125.4,825,0.15,18,110.0,1,0
62.5,710,0.35,6,48.5,1,0
45.2,610,0.59,2,32.0,0,1
78.9,750,0.30,9,58.7,1,0
40.1,585,0.65,1,25.3,0,1
102.3,795,0.20,13,82.5,1,0
58.7,695,0.40,5,45.8,1,0
43.5,605,0.60,2,30.2,0,1
82.6,758,0.27,10,62.4,1,0
37.2,575,0.68,1,23.5,0,1
115.8,815,0.17,16,98.3,1,0
65.4,720,0.33,7,50.1,1,0
46.8,615,0.57,3,33.7,0,1
75.3,742,0.29,8,55.9,1,0
39.4,590,0.66,1,24.8,0,1
108.7,800,0.19,14,88.6,1,0
60.2,705,0.38,6,47.2,1,0
44.1,600,0.61,2,31.4,0,1
85.5,762,0.26,11,65.8,1,0
36.5,570,0.69,1,21.9,0,1
120.2,820,0.16,17,105.5,1,0
63.8,715,0.34,7,49.3,1,0
47.5,618,0.56,3,34.5,0,1
80.1,755,0.28,9,60.2,1,0
38.9,582,0.67,1,24.1,0,1
105.6,798,0.20,13,85.7,1,0
59.3,700,0.39,5,46.4,1,0
45.8,612,0.58,2,32.8,0,1
77.4,748,0.30,8,57.5,1,0
40.7,588,0.64,2,26.0,0,1
112.4,810,0.18,15,92.1,1,0
64.1,718,0.35,7,49.8,1,0
48.0,622,0.57,3,35.0,0,1
73.5,738,0.31,8,53.6,1,0
39.8,592,0.65,1,25.5,0,1
100.9,792,0.21,12,80.3,1,0
61.5,708,0.37,6,47.9,1,0
46.2,616,0.58,3,33.2,0,1
84.2,760,0.27,10,64.5,1,0
37.8,578,0.68,1,23.0,0,1
118.6,818,0.17,16,102.7,1,0
66.7,725,0.33,7,51.4,1,0
49.3,625,0.56,3,36.1,0,1
79.5,753,0.29,9,59.4,1,0
41.2,594,0.63,2,26.8,0,1
107.8,802,0.19,14,87.9,1,0
62.9,713,0.36,6,48.8,1,0
47.1,620,0.57,3,34.3,0,1
81.8,757,0.28,10,61.7,1,0
38.3,580,0.67,1,23.8,0,1
114.3,813,0.18,15,95.5,1,0
65.8,722,0.34,7,50.6,1,0
48.6,623,0.57,3,35.5,0,1
76.2,745,0.30,8,56.8,1,0
40.4,586,0.65,1,25.9,0,1
103.5,796,0.20,13,83.8,1,0
60.8,703,0.38,6,47.5,1,0
45.5,608,0.59,2,32.5,0,1
83.9,759,0.27,10,63.9,1,0
37.0,572,0.69,1,22.4,0,1
122.1,823,0.16,17,108.2,1,0
67.3,728,0.33,7,52.0,1,0
49.8,627,0.56,3,36.7,0,1
78.7,752,0.29,9,58.9,1,0
41.8,596,0.63,2,27.3,0,1
109.2,804,0.19,14,89.4,1,0
63.5,716,0.36,7,49.1,1,0
47.7,621,0.57,3,34.8,0,1
80.8,756,0.28,9,60.9,1,0
38.6,581,0.67,1,24.3,0,1
116.5,816,0.17,16,99.8,1,0
66.2,724,0.34,7,51.0,1,0
48.9,624,0.57,3,35.8,0,1
74.8,741,0.31,8,54.7,1,0
40.0,591,0.64,1,25.8,0,1
101.7,793,0.21,12,81.2,1,0
61.1,706,0.37,6,47.7,1,0
46.5,617,0.58,3,33.5,0,1
85.1,761,0.27,11,65.2,1,0
37.5,576,0.68,1,22.8,0,1
119.8,819,0.17,16,104.3,1,0
67.9,729,0.33,7,52.6,1,0
50.2,628,0.56,3,37.1,0,1
79.2,754,0.29,9,59.1,1,0
41.5,595,0.63,2,27.0,0,1
106.4,799,0.20,13,86.5,1,0
62.2,711,0.37,6,48.3,1,0
46.9,619,0.58,3,34.0,0,1
82.4,758,0.28,10,62.8,1,0
38.0,579,0.68,1,23.3,0,1
113.7,812,0.18,15,94.1,1,0
65.5,721,0.35,7,50.3,1,0
48.4,622,0.57,3,35.3,0,1
75.9,744,0.30,8,56.2,1,0
40.2,587,0.65,1,25.6,0,1
104.1,797,0.20,13,84.4,1,0
60.5,704,0.38,6,47.3,1,0
45.2,609,0.59,2,32.2,0,1
84.6,760,0.27,10,64.7,1,0
36.8,573,0.69,1,22.1,0,1
121.5,822,0.16,17,107.0,1,0
66.9,726,0.33,7,51.6,1,0
49.5,626,0.56,3,36.4,0,1
78.3,751,0.29,9,58.5,1,0
41.3,593,0.64,2,26.5,0,1
108.0,801,0.19,14,88.2,1,0
63.1,714,0.36,6,48.9,1,0
47.3,620,0.57,3,34.5,0,1
81.3,757,0.28,10,61.3,1,0
38.4,580,0.67,1,23.9,0,1
115.1,814,0.18,15,96.7,1,0
66.0,723,0.34,7,50.8,1,0
48.7,623,0.57,3,35.6,0,1
76.8,746,0.30,8,57.1,1,0
40.6,588,0.65,1,26.2,0,1
102.9,795,0.21,12,82.6,1,0
61.8,709,0.37,6,48.1,1,0
46.1,614,0.58,3,33.0,0,1
83.5,759,0.27,10,63.5,1,0
37.2,574,0.69,1,22.5,0,1
123.4,824,0.16,18,109.8,1,0
67.6,727,0.33,7,52.3,1,0
50.0,627,0.56,3,36.9,0,1
79.8,753,0.29,9,59.7,1,0
42.0,597,0.63,2,27.6,0,1
110.1,805,0.19,14,90.1,1,0
63.8,717,0.36,7,49.5,1,0
47.9,621,0.57,3,35.0,0,1
81.0,756,0.28,9,61.1,1,0
38.8,582,0.67,1,24.5,0,1
117.3,817,0.17,16,101.2,1,0
66.5,725,0.34,7,51.3,1,0
49.1,625,0.57,3,36.0,0,1
75.5,743,0.30,8,55.3,1,0
40.3,589,0.64,1,26.0,0,1
101.2,793,0.21,12,80.8,1,0
61.4,707,0.37,6,47.8,1,0
46.7,618,0.58,3,33.7,0,1
85.8,762,0.27,11,65.9,1,0
37.7,577,0.68,1,23.1,0,1
120.6,821,0.16,17,105.9,1,0
68.2,730,0.32,8,53.1,1,0
50.5,629,0.55,4,37.5,0,1
80.1,755,0.29,9,60.3,1,0
41.9,598,0.63,2,27.9,0,1
107.3,800,0.19,13,87.3,1,0
62.6,712,0.36,6,48.6,1,0
47.0,619,0.58,3,34.2,0,1
82.0,758,0.28,10,62.2,1,0
38.1,579,0.68,1,23.5,0,1
114.5,813,0.18,15,95.0,1,0
65.7,722,0.34,7,50.5,1,0
48.5,623,0.57,3,35.4,0,1
76.5,745,0.30,8,56.7,1,0
40.5,588,0.65,1,26.1,0,1
103.8,796,0.20,13,84.0,1,0
60.9,705,0.38,6,47.6,1,0
45.6,610,0.59,2,32.6,0,1
84.3,760,0.27,10,64.3,1,0
37.1,573,0.69,1,22.3,0,1
122.8,823,0.16,17,108.6,1,0
67.5,728,0.33,7,52.2,1,0
49.9,627,0.56,3,36.8,0,1
79.1,753,0.29,9,59.0,1,0
41.7,596,0.63,2,27.2,0,1
109.5,804,0.19,14,89.7,1,0
63.6,716,0.36,7,49.2,1,0
47.8,621,0.57,3,34.9,0,1
81.1,756,0.28,9,61.2,1,0
38.7,581,0.67,1,24.4,0,1
116.9,816,0.17,16,100.3,1,0
66.4,724,0.34,7,51.2,1,0
49.0,625,0.57,3,35.9,0,1
75.2,742,0.30,8,55.0,1,0
40.1,590,0.65,1,25.7,0,1
101.9,794,0.21,12,81.5,1,0
61.3,707,0.37,6,47.8,1,0
46.6,617,0.58,3,33.6,0,1
85.4,761,0.27,11,65.5,1,0
37.6,576,0.68,1,22.9,0,1
120.1,820,0.17,16,105.3,1,0
68.0,729,0.33,7,52.8,1,0
50.3,628,0.56,3,37.2,0,1
79.6,754,0.29,9,59.4,1,0
41.6,595,0.63,2,27.1,0,1
106.8,799,0.20,13,86.9,1,0
62.4,712,0.37,6,48.5,1,0
47.2,620,0.57,3,34.4,0,1
82.7,758,0.28,10,63.0,1,0
38.2,579,0.68,1,23.6,0,1
114.0,812,0.18,15,94.5,1,0
65.6,721,0.35,7,50.4,1,0
48.6,623,0.57,3,35.5,0,1
76.1,744,0.30,8,56.5,1,0
40.4,588,0.65,1,26.0,0,1
104.4,797,0.20,13,84.7,1,0
60.7,704,0.38,6,47.4,1,0
45.4,609,0.59,2,32.4,0,1
84.9,760,0.27,10,65.0,1,0
37.0,573,0.69,1,22.2,0,1
121.9,822,0.16,17,107.5,1,0
67.2,727,0.33,7,52.0,1,0
49.7,626,0.56,3,36.6,0,1
78.9,752,0.29,9,58.8,1,0
41.4,594,0.64,2,26.7,0,1
108.4,802,0.19,14,88.6,1,0
63.3,715,0.36,6,49.0,1,0
47.5,620,0.57,3,34.7,0,1
81.6,757,0.28,10,61.6,1,0
38.5,580,0.67,1,24.1,0,1
115.6,815,0.18,15,97.2,1,0
66.1,723,0.34,7,50.9,1,0
48.8,624,0.57,3,35.7,0,1
77.1,747,0.30,8,57.4,1,0
40.8,589,0.65,1,26.4,0,1
