candidate_id,years_experience,education_level,skill_score,group,predicted_salary
C001,5,3,85,A,92
C002,5,3,83,B,83
C003,12,4,92,A,128
C004,11,4,90,B,119
C005,3,2,68,A,65
C006,4,2,70,B,57
C007,8,3,88,A,102
C008,7,3,86,B,93
C009,15,4,95,A,140
C010,14,4,93,B,131
C011,2,1,55,A,52
C012,3,1,57,B,44
C013,6,3,79,A,88
C014,7,3,81,B,80
C015,10,3,90,A,110
C016,9,3,89,B,101
C017,4,2,72,A,68
C018,5,2,74,B,60
C019,13,4,94,A,135
C020,12,4,92,B,126
C021,1,1,50,A,48
C022,2,1,52,B,40
C023,7,3,84,A,96
C024,8,3,85,B,88
C025,9,3,87,A,105
C026,10,3,89,B,97
C027,5,2,76,A,72
C028,6,2,78,B,64
C029,14,4,96,A,138
C030,13,4,94,B,129
C031,3,2,65,A,62
C032,4,2,67,B,54
C033,11,4,91,A,122
C034,10,4,89,B,113
C035,6,3,80,A,90
C036,7,3,82,B,82
C037,2,1,58,A,54
C038,3,1,60,B,46
C039,8,3,86,A,100
C040,9,3,88,B,92
C041,12,4,93,A,130
C042,11,4,91,B,121
C043,4,2,70,A,66
C044,5,2,72,B,58
C045,15,4,97,A,142
C046,14,4,95,B,133
C047,1,1,48,A,46
C048,2,1,50,B,42
C049,7,3,83,A,94
C050,8,3,85,B,86
C051,10,3,88,A,108
C052,9,3,86,B,99
C053,5,2,75,A,70
C054,6,2,77,B,62
C055,13,4,95,A,136
C056,12,4,93,B,127
C057,3,2,66,A,63
C058,4,2,68,B,55
C059,11,4,92,A,124
C060,10,4,90,B,115
C061,6,3,81,A,91
C062,7,3,83,B,83
C063,2,1,56,A,53
C064,3,1,58,B,45
C065,8,3,87,A,101
C066,9,3,89,B,93
C067,14,4,96,A,139
C068,13,4,94,B,130
C069,4,2,71,A,67
C070,5,2,73,B,59
C071,12,4,94,A,132
C072,11,4,92,B,123
C073,7,3,84,A,97
C074,8,3,86,B,89
C075,1,1,49,A,47
C076,2,1,51,B,41
C077,9,3,88,A,106
C078,10,3,90,B,98
C079,5,2,74,A,71
C080,6,2,76,B,63
C081,6,3,82,A,93
C082,7,3,84,B,85
C083,11,4,91,A,125
C084,10,4,89,B,116
C085,4,2,69,A,66
C086,5,2,71,B,58
C087,13,4,95,A,137
C088,12,4,93,B,128
C089,8,3,86,A,101
C090,9,3,88,B,93
C091,3,2,67,A,64
C092,4,2,69,B,56
C093,14,4,96,A,140
C094,13,4,94,B,131
C095,7,3,83,A,95
C096,8,3,85,B,87
C097,10,3,89,A,109
C098,9,3,87,B,100
C099,5,2,75,A,72
C100,6,2,77,B,64
