entity_id,timestamp,account_age_days,user_tier,country,lifetime_value
1001,2024-01-08T00:00:00,245,gold,US,12500.50
1001,2024-01-15T00:00:00,252,gold,US,13200.75
1002,2024-01-09T00:00:00,89,silver,UK,3400.00
1002,2024-01-16T00:00:00,96,silver,UK,3650.25
1003,2024-01-08T00:00:00,456,platinum,CA,35000.00
1003,2024-01-12T00:00:00,460,platinum,CA,36500.50
1003,2024-01-17T00:00:00,465,platinum,CA,38200.75
1004,2024-01-10T00:00:00,34,bronze,DE,450.00
1004,2024-01-14T00:00:00,38,bronze,DE,580.50
1005,2024-01-08T00:00:00,678,platinum,FR,42000.00
1005,2024-01-18T00:00:00,688,platinum,FR,45000.00
1006,2024-01-09T00:00:00,123,silver,US,5600.00
1006,2024-01-15T00:00:00,129,gold,US,6200.00
1007,2024-01-08T00:00:00,567,gold,UK,18500.00
1007,2024-01-13T00:00:00,572,gold,UK,19200.50
1008,2024-01-11T00:00:00,234,gold,CA,15000.00
1008,2024-01-16T00:00:00,239,gold,CA,15800.25
1009,2024-01-08T00:00:00,45,bronze,DE,890.00
1009,2024-01-12T00:00:00,49,bronze,DE,1020.50
1009,2024-01-18T00:00:00,55,silver,DE,1450.75
1010,2024-01-10T00:00:00,890,platinum,US,48000.00
1010,2024-01-14T00:00:00,894,platinum,US,49500.00
1011,2024-01-08T00:00:00,156,silver,FR,4200.00
1011,2024-01-17T00:00:00,165,silver,FR,4680.00
1001,2024-01-10T00:00:00,247,gold,US,12800.00
1002,2024-01-12T00:00:00,92,silver,UK,3500.00
1003,2024-01-14T00:00:00,462,platinum,CA,37000.00
1004,2024-01-17T00:00:00,41,bronze,DE,620.00
1005,2024-01-11T00:00:00,681,platinum,FR,43000.00
1006,2024-01-12T00:00:00,126,silver,US,5900.00
1007,2024-01-16T00:00:00,575,gold,UK,19800.00
1008,2024-01-13T00:00:00,236,gold,CA,15400.00
1009,2024-01-15T00:00:00,52,bronze,DE,1200.00
1010,2024-01-17T00:00:00,897,platinum,US,50200.00
1011,2024-01-11T00:00:00,159,silver,FR,4350.00
1001,2024-01-12T00:00:00,249,gold,US,13000.00
1002,2024-01-14T00:00:00,94,silver,UK,3580.00
1003,2024-01-10T00:00:00,458,platinum,CA,35800.00
1004,2024-01-12T00:00:00,36,bronze,DE,520.00
1005,2024-01-13T00:00:00,683,platinum,FR,43500.00
1006,2024-01-17T00:00:00,131,gold,US,6400.00
1007,2024-01-10T00:00:00,569,gold,UK,18800.00
1008,2024-01-09T00:00:00,232,gold,CA,14600.00
1009,2024-01-10T00:00:00,47,bronze,DE,950.00
1010,2024-01-12T00:00:00,892,platinum,US,48800.00
1011,2024-01-13T00:00:00,161,silver,FR,4450.00
1001,2024-01-17T00:00:00,254,gold,US,13500.00
1002,2024-01-08T00:00:00,88,silver,UK,3300.00
1003,2024-01-16T00:00:00,464,platinum,CA,37800.00
1004,2024-01-15T00:00:00,39,bronze,DE,600.00
1005,2024-01-15T00:00:00,685,platinum,FR,44000.00
1006,2024-01-10T00:00:00,124,silver,US,5700.00
1007,2024-01-18T00:00:00,577,gold,UK,20100.00
1008,2024-01-18T00:00:00,241,gold,CA,16200.00
1009,2024-01-13T00:00:00,50,bronze,DE,1100.00
1010,2024-01-08T00:00:00,888,platinum,US,47500.00
1011,2024-01-15T00:00:00,163,silver,FR,4580.00
1001,2024-01-13T00:00:00,250,gold,US,13100.00
1002,2024-01-17T00:00:00,97,silver,UK,3720.00
1003,2024-01-09T00:00:00,457,platinum,CA,35400.00
1004,2024-01-08T00:00:00,32,bronze,DE,400.00
1005,2024-01-09T00:00:00,679,platinum,FR,42500.00
1006,2024-01-13T00:00:00,127,silver,US,6000.00
1007,2024-01-11T00:00:00,570,gold,UK,19000.00
1008,2024-01-14T00:00:00,237,gold,CA,15600.00
1009,2024-01-16T00:00:00,53,silver,DE,1300.00
1010,2024-01-15T00:00:00,895,platinum,US,49800.00
1011,2024-01-09T00:00:00,157,silver,FR,4250.00
1001,2024-01-09T00:00:00,246,gold,US,12650.00
1002,2024-01-11T00:00:00,91,silver,UK,3450.00
1003,2024-01-15T00:00:00,463,platinum,CA,37400.00
1004,2024-01-16T00:00:00,40,bronze,DE,640.00
1005,2024-01-16T00:00:00,686,platinum,FR,44500.00
1006,2024-01-08T00:00:00,122,silver,US,5500.00
1007,2024-01-14T00:00:00,573,gold,UK,19400.00
1008,2024-01-10T00:00:00,233,gold,CA,14800.00
1009,2024-01-11T00:00:00,48,bronze,DE,1000.00
1010,2024-01-16T00:00:00,896,platinum,US,50000.00
1011,2024-01-16T00:00:00,164,silver,FR,4620.00
1001,2024-01-16T00:00:00,253,gold,US,13350.00
1002,2024-01-15T00:00:00,95,silver,UK,3620.00
1003,2024-01-18T00:00:00,466,platinum,CA,38600.00
1004,2024-01-18T00:00:00,42,bronze,DE,680.00
1005,2024-01-17T00:00:00,687,platinum,FR,44800.00
