account_age_days,monthly_usage_minutes,support_tickets_count,plan_type,contract_length_months
245,3200,6,enterprise,18
520,2900,8,premium,22
380,2650,4,basic,15
290,3100,7,premium,20
410,2890,5,enterprise,19
195,3400,9,basic,12
510,2750,3,premium,25
340,3050,8,enterprise,16
425,2980,6,premium,21
280,3300,10,basic,14
465,2720,4,premium,23
310,3150,7,enterprise,17
540,2850,5,basic,26
390,3020,9,premium,19
220,3250,11,enterprise,13
480,2700,6,basic,24
350,3180,8,premium,18
415,2920,4,enterprise,20
270,3350,10,basic,15
505,2780,5,premium,27
365,3070,7,enterprise,16
445,2950,6,basic,22
315,3120,9,premium,17
530,2820,3,enterprise,28
400,3000,8,basic,19
250,3280,12,premium,14
490,2740,5,enterprise,25
370,3090,7,basic,18
430,2960,6,premium,21
295,3210,10,enterprise,15
515,2800,4,basic,26
355,3140,8,premium,17
470,2880,5,enterprise,23
325,3170,9,basic,16
555,2760,3,premium,29
385,3040,7,enterprise,19
235,3320,11,basic,13
500,2790,6,premium,24
360,3110,8,enterprise,18
420,2940,4,basic,20
285,3240,10,premium,15
525,2810,5,enterprise,27
395,3010,7,basic,19
260,3290,12,premium,14
485,2770,6,enterprise,24
340,3130,9,basic,17
450,2910,5,premium,22
305,3190,8,enterprise,16
535,2840,4,basic,28
375,3060,7,premium,18
215,3310,10,enterprise,12
495,2750,5,basic,25
365,3100,8,premium,17
440,2970,6,enterprise,21
320,3220,9,basic,16
560,2780,3,premium,30
390,3030,7,enterprise,19
275,3270,11,basic,14
510,2820,5,premium,26
345,3150,8,enterprise,17
425,2930,6,basic,21
300,3200,10,premium,15
520,2800,4,enterprise,27
380,3080,7,basic,18
230,3330,12,premium,13
475,2760,5,enterprise,23
355,3120,9,basic,17
460,2900,6,premium,22
310,3180,8,enterprise,16
545,2830,3,basic,29
400,3020,7,premium,19
255,3300,11,enterprise,14
505,2790,5,basic,26
370,3110,8,premium,18
435,2950,6,enterprise,20
290,3250,10,basic,15
530,2810,4,premium,28
385,3050,7,enterprise,19
220,3320,12,basic,12
490,2770,5,premium,24
350,3140,9,enterprise,17
445,2920,6,basic,22
315,3210,8,premium,16
550,2850,3,enterprise,29
395,3010,7,basic,19
265,3280,10,premium,14
515,2800,5,enterprise,26
360,3100,8,basic,18
430,2960,6,premium,21
305,3230,9,enterprise,15
540,2820,4,basic,28
375,3070,7,premium,18
240,3340,11,enterprise,13
500,2780,5,basic,25
365,3130,8,premium,17
455,2910,6,enterprise,22
325,3190,9,basic,16
555,2840,3,premium,30
390,3040,7,enterprise,19
270,3290,12,basic,14
520,2810,5,premium,27
345,3120,8,enterprise,17
420,2940,6,basic,20
295,3240,10,premium,15
525,2800,4,enterprise,27
380,3090,7,basic,18
225,3310,11,premium,13
485,2770,5,enterprise,24
355,3150,9,basic,17
450,2900,6,premium,22
310,3200,8,enterprise,16
545,2830,3,basic,29
405,3020,7,premium,19
260,3300,12,enterprise,14
510,2790,5,basic,26
370,3110,8,premium,18
440,2950,6,enterprise,21
320,3220,9,basic,16
560,2850,4,premium,30
385,3060,7,enterprise,19
275,3270,11,basic,14
515,2810,5,premium,26
350,3140,8,enterprise,17
425,2930,6,basic,21
300,3210,10,premium,15
535,2820,4,enterprise,28
395,3030,7,basic,19
250,3320,12,premium,13
495,2760,5,enterprise,25
360,3120,9,basic,17
465,2890,6,premium,23
315,3180,8,enterprise,16
550,2840,3,basic,29
400,3010,7,premium,19
280,3260,11,enterprise,15
505,2800,5,basic,26
375,3100,8,premium,18
435,2960,6,enterprise,20
290,3250,10,basic,15
530,2810,4,premium,28
390,3050,7,enterprise,19
235,3330,12,basic,13
490,2780,5,premium,24
355,3130,9,enterprise,17
445,2920,6,basic,22
