transaction_id,user_id,amount,merchant_category,event_timestamp
txn_00001,user_042,127.45,groceries,2021-01-03T08:15:22
txn_00002,user_078,2341.89,electronics,2021-01-05T14:32:11
txn_00003,user_015,45.67,restaurants,2021-01-08T19:45:33
txn_00004,user_091,892.34,clothing,2021-01-12T11:22:47
txn_00005,user_033,56.78,groceries,2021-01-15T09:18:56
txn_00006,user_067,1234.50,travel,2021-01-19T16:41:29
txn_00007,user_024,78.90,entertainment,2021-01-22T20:33:14
txn_00008,user_055,345.67,healthcare,2021-01-26T13:27:45
txn_00009,user_089,23.45,utilities,2021-01-29T10:52:38
txn_00010,user_012,567.89,education,2021-02-02T15:19:22
txn_00011,user_046,89.12,restaurants,2021-02-05T18:44:51
txn_00012,user_073,1456.78,electronics,2021-02-09T12:36:17
txn_00013,user_028,234.56,clothing,2021-02-12T14:28:43
txn_00014,user_094,67.89,groceries,2021-02-16T09:15:29
txn_00015,user_037,3456.78,travel,2021-02-19T17:52:36
txn_00016,user_061,123.45,entertainment,2021-02-23T21:18:44
txn_00017,user_018,456.78,healthcare,2021-02-26T11:45:58
txn_00018,user_085,34.56,utilities,2021-03-02T08:33:12
txn_00019,user_050,678.90,education,2021-03-05T16:27:39
txn_00020,user_009,91.23,restaurants,2021-03-09T19:54:26
txn_00021,user_042,1678.45,electronics,2021-03-12T13:42:18
txn_00022,user_076,245.67,clothing,2021-03-16T10:29:47
txn_00023,user_031,78.90,groceries,2021-03-19T15:36:52
txn_00024,user_098,4567.89,travel,2021-03-23T18:23:41
txn_00025,user_053,134.56,entertainment,2021-03-26T22:17:33
txn_00026,user_014,567.89,healthcare,2021-03-30T12:48:29
txn_00027,user_069,45.67,utilities,2021-04-02T09:26:15
txn_00028,user_025,789.01,education,2021-04-06T17:39:48
txn_00029,user_088,102.34,restaurants,2021-04-09T20:14:37
txn_00030,user_041,1890.23,electronics,2021-04-13T14:51:22
txn_00031,user_072,256.78,clothing,2021-04-16T11:38:56
txn_00032,user_006,89.12,groceries,2021-04-20T16:25:44
txn_00033,user_059,2345.67,travel,2021-04-23T19:42:31
txn_00034,user_093,145.67,entertainment,2021-04-27T23:19:18
txn_00035,user_036,678.90,healthcare,2021-04-30T13:56:42
txn_00036,user_081,56.78,utilities,2021-05-04T10:34:29
txn_00037,user_022,890.12,education,2021-05-07T18:21:53
txn_00038,user_064,113.45,restaurants,2021-05-11T21:47:16
txn_00039,user_047,2012.34,electronics,2021-05-14T15:33:48
txn_00040,user_011,267.89,clothing,2021-05-18T12:29:37
txn_00041,user_078,90.23,groceries,2021-05-21T17:18:24
txn_00042,user_034,3678.90,travel,2021-05-25T20:45:59
txn_00043,user_097,156.78,entertainment,2021-05-28T14:22:43
txn_00044,user_052,789.01,healthcare,2021-06-01T11:57:31
txn_00045,user_086,67.89,utilities,2021-06-04T19:34:18
txn_00046,user_019,901.23,education,2021-06-08T22:16:47
txn_00047,user_063,124.56,restaurants,2021-06-11T16:53:22
txn_00048,user_029,2234.56,electronics,2021-06-15T13:41:56
txn_00049,user_095,278.90,clothing,2021-06-18T18:28:39
txn_00050,user_048,101.23,groceries,2021-06-22T21:15:27
txn_00051,user_071,4789.01,travel,2021-06-25T15:42:14
txn_00052,user_005,167.89,entertainment,2021-06-29T12:29:58
txn_00053,user_058,890.12,healthcare,2021-07-02T20:16:43
txn_00054,user_092,78.90,utilities,2021-07-06T23:43:29
txn_00055,user_035,1012.34,education,2021-07-09T17:31:16
txn_00056,user_080,135.67,restaurants,2021-07-13T14:18:52
txn_00057,user_021,2456.78,electronics,2021-07-16T19:55:38
txn_00058,user_066,289.01,clothing,2021-07-20T22:42:24
txn_00059,user_043,112.34,groceries,2021-07-23T16:29:17
txn_00060,user_010,3890.12,travel,2021-07-27T13:16:43
txn_00061,user_077,178.90,entertainment,2021-07-30T21:53:29
txn_00062,user_032,901.23,healthcare,2021-08-03T18:41:15
txn_00063,user_099,89.01,utilities,2021-08-06T15:28:47
txn_00064,user_054,1123.45,education,2021-08-10T12:15:33
txn_00065,user_087,146.78,restaurants,2021-08-13T20:52:19
txn_00066,user_016,2678.90,electronics,2021-08-17T17:39:56
txn_00067,user_070,290.12,clothing,2021-08-20T14:27:42
txn_00068,user_026,123.45,groceries,2021-08-24T11:14:28
txn_00069,user_089,4012.34,travel,2021-08-27T19:51:14
txn_00070,user_044,189.01,entertainment,2021-08-31T16:38:51
txn_00071,user_001,1012.34,healthcare,2021-09-03T13:26:37
txn_00072,user_060,90.12,utilities,2021-09-07T21:13:23
txn_00073,user_096,1234.56,education,2021-09-10T18:50:19
txn_00074,user_039,157.89,restaurants,2021-09-14T15:37:56
txn_00075,user_082,2890.12,electronics,2021-09-17T12:25:42
txn_00076,user_023,301.23,clothing,2021-09-21T20:12:28
txn_00077,user_068,134.56,groceries,2021-09-24T17:59:14
txn_00078,user_051,4234.56,travel,2021-09-28T14:46:51
txn_00079,user_013,190.12,entertainment,2021-10-01T11:34:37
txn_00080,user_075,1123.45,healthcare,2021-10-05T19:21:23
txn_00081,user_030,101.23,utilities,2021-10-08T16:18:19
txn_00082,user_094,1345.67,education,2021-10-12T13:55:56
txn_00083,user_057,168.90,restaurants,2021-10-15T10:43:42
txn_00084,user_090,3012.34,electronics,2021-10-19T18:30:28
txn_00085,user_038,312.34,clothing,2021-10-22T15:17:14
txn_00086,user_002,145.67,groceries,2021-10-26T12:54:51
txn_00087,user_065,4456.78,travel,2021-10-29T20:41:37
txn_00088,user_049,201.23,entertainment,2021-11-02T17:29:23
txn_00089,user_084,1234.56,healthcare,2021-11-05T14:16:19
txn_00090,user_020,112.34,utilities,2021-11-09T11:53:56
txn_00091,user_074,1456.78,education,2021-11-12T19:41:42
txn_00092,user_027,179.01,restaurants,2021-11-16T16:28:28
txn_00093,user_100,3234.56,electronics,2021-11-19T13:15:14
txn_00094,user_056,323.45,clothing,2021-11-23T10:52:51
txn_00095,user_091,156.78,groceries,2021-11-26T18:39:37
txn_00096,user_045,4678.90,travel,2021-11-30T15:27:23
txn_00097,user_008,212.34,entertainment,2021-12-03T12:14:19
txn_00098,user_062,1345.67,healthcare,2021-12-07T20:51:56
txn_00099,user_033,123.45,utilities,2021-12-10T17:39:42
txn_00100,user_098,1567.89,education,2021-12-14T14:26:28
txn_00101,user_017,190.12,restaurants,2021-12-17T11:13:14
txn_00102,user_079,3456.78,electronics,2021-12-21T19:50:51
txn_00103,user_024,334.56,clothing,2021-12-24T16:38:37
txn_00104,user_069,167.89,groceries,2021-12-28T13:25:23
txn_00105,user_046,4890.12,travel,2021-12-31T10:12:19
txn_00106,user_003,223.45,entertainment,2022-01-04T17:59:56
txn_00107,user_073,1456.78,healthcare,2022-01-07T14:47:42
txn_00108,user_028,134.56,utilities,2022-01-11T11:34:28
txn_00109,user_094,1678.90,education,2022-01-14T19:21:14
txn_00110,user_055,201.23,restaurants,2022-01-18T16:58:51
txn_00111,user_089,3678.90,electronics,2022-01-21T13:46:37
txn_00112,user_042,345.67,clothing,2022-01-25T10:33:23
txn_00113,user_012,178.90,groceries,2022-01-28T18:20:19
txn_00114,user_067,4012.34,travel,2022-02-01T15:57:56
txn_00115,user_037,234.56,entertainment,2022-02-04T12:45:42
txn_00116,user_085,1567.89,healthcare,2022-02-08T20:32:28
txn_00117,user_018,145.67,utilities,2022-02-11T17:19:14
txn_00118,user_076,1789.01,education,2022-02-15T14:56:51
txn_00119,user_031,212.34,restaurants,2022-02-18T11:44:37
txn_00120,user_098,3890.12,electronics,2022-02-22T19:31:23
txn_00121,user_053,356.78,clothing,2022-02-25T16:18:19
txn_00122,user_014,189.01,groceries,2022-03-01T13:55:56
txn_00123,user_069,4234.56,travel,2022-03-04T10:43:42
txn_00124,user_025,245.67,entertainment,2022-03-08T18:30:28
txn_00125,user_088,1678.90,healthcare,2022-03-11T15:17:14
txn_00126,user_041,156.78,utilities,2022-03-15T12:54:51
txn_00127,user_072,1890.12,education,2022-03-18T20:41:37
txn_00128,user_006,223.45,restaurants,2022-03-22T17:29:23
txn_00129,user_059,4012.34,electronics,2022-03-25T14:16:19
txn_00130,user_093,367.89,clothing,2022-03-29T11:53:56
txn_00131,user_036,190.12,groceries,2022-04-01T19:41:42
txn_00132,user_081,4456.78,travel,2022-04-05T16:28:28
txn_00133,user_022,256.78,entertainment,2022-04-08T13:15:14
txn_00134,user_064,1789.01,healthcare,2022-04-12T10:52:51
txn_00135,user_047,167.89,utilities,2022-04-15T18:39:37
txn_00136,user_011,2001.23,education,2022-04-19T15:27:23
txn_00137,user_078,234.56,restaurants,2022-04-22T12:14:19
txn_00138,user_034,4234.56,electronics,2022-04-26T20:51:56
txn_00139,user_097,378.90,clothing,2022-04-29T17:39:42
txn_00140,user_052,201.23,groceries,2022-05-03T14:26:28
txn_00141,user_086,4678.90,travel,2022-05-06T11:13:14
txn_00142,user_019,267.89,entertainment,2022-05-10T19:50:51
txn_00143,user_063,1890.12,healthcare,2022-05-13T16:38:37
txn_00144,user_029,178.90,utilities,2022-05-17T13:25:23
txn_00145,user_095,2112.34,education,2022-05-20T10:12:19
txn_00146,user_048,245.67,restaurants,2022-05-24T17:59:56
txn_00147,user_071,4456.78,electronics,2022-05-27T14:47:42
txn_00148,user_005,389.01,clothing,2022-05-31T11:34:28
txn_00149,user_058,212.34,groceries,2022-06-03T19:21:14
txn_00150,user_092,4890.12,travel,2022-06-07T16:58:51
txn_00151,user_035,278.90,entertainment,2022-06-10T13:46:37
txn_00152,user_080,2001.23,healthcare,2022-06-14T10:33:23
txn_00153,user_021,189.01,utilities,2022-06-17T18:20:19
txn_00154,user_066,2223.45,education,2022-06-21T15:57:56
txn_00155,user_043,256.78,restaurants,2022-06-24T12:45:42
txn_00156,user_010,4678.90,electronics,2022-06-28T20:32:28
txn_00157,user_077,390.12,clothing,2022-07-01T17:19:14
txn_00158,user_032,223.45,groceries,2022-07-05T14:56:51
txn_00159,user_099,4012.34,travel,2022-07-08T11:44:37
txn_00160,user_054,289.01,entertainment,2022-07-12T19:31:23
txn_00161,user_087,2112.34,healthcare,2022-07-15T16:18:19
txn_00162,user_016,190.12,utilities,2022-07-19T13:55:56
txn_00163,user_070,2334.56,education,2022-07-22T10:43:42
txn_00164,user_026,267.89,restaurants,2022-07-26T18:30:28
txn_00165,user_089,4890.12,electronics,2022-07-29T15:17:14
txn_00166,user_044,401.23,clothing,2022-08-02T12:54:51
txn_00167,user_001,234.56,groceries,2022-08-05T20:41:37
txn_00168,user_060,4234.56,travel,2022-08-09T17:29:23
txn_00169,user_096,290.12,entertainment,2022-08-12T14:16:19
txn_00170,user_039,2223.45,healthcare,2022-08-16T11:53:56
txn_00171,user_082,201.23,utilities,2022-08-19T19:41:42
txn_00172,user_023,2445.67,education,2022-08-23T16:28:28
txn_00173,user_068,278.90,restaurants,2022-08-26T13:15:14
txn_00174,user_051,4012.34,electronics,2022-08-30T10:52:51
txn_00175,user_013,412.34,clothing,2022-09-02T18:39:37
txn_00176,user_075,245.67,groceries,2022-09-06T15:27:23
txn_00177,user_030,4456.78,travel,2022-09-09T12:14:19
txn_00178,user_094,301.23,entertainment,2022-09-13T20:51:56
txn_00179,user_057,2334.56,healthcare,2022-09-16T17:39:42
txn_00180,user_090,212.34,utilities,2022-09-20T14:26:28
txn_00181,user_038,2556.78,education,2022-09-23T11:13:14
txn_00182,user_002,289.01,restaurants,2022-09-27T19:50:51
txn_00183,user_065,4234.56,electronics,2022-09-30T16:38:37
txn_00184,user_049,423.45,clothing,2022-10-04T13:25:23
txn_00185,user_084,256.78,groceries,2022-10-07T10:12:19
txn_00186,user_020,4678.90,travel,2022-10-11T17:59:56
txn_00187,user_074,312.34,entertainment,2022-10-14T14:47:42
txn_00188,user_027,2445.67,healthcare,2022-10-18T11:34:28
txn_00189,user_100,223.45,utilities,2022-10-21T19:21:14
txn_00190,user_056,2667.89,education,2022-10-25T16:58:51
