E1001     1250.002024-01-15
E1002     2100.002024-01-15
E1003      875.502024-01-15
E1004     1680.002024-01-15
E1005     2250.002024-01-15
E1007     1920.002024-01-15
E1008     1575.002024-01-15
E1009     2640.002024-01-15
E1010     1400.002024-01-15
E1011     1837.502024-01-15
E1012     2310.002024-01-15
E1013     1050.002024-01-15
E1014     2475.002024-01-15
E1015     1680.002024-01-15
E1016     1260.002024-01-15
E1017     2800.002024-01-15
E1018     1575.002024-01-15
E1019     1995.002024-01-15
