transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,distance_from_last,ratio_to_median
TXN_U001,125.80,10,2,4,12.3,8.7,1.2
TXN_U002,89.50,14,3,2,5.6,15.3,0.9
TXN_U003,234.75,9,1,7,18.4,22.1,1.5
TXN_U004,1250.00,23,5,6,67.8,89.4,6.2
TXN_U005,45.20,11,4,1,8.9,12.5,0.7
TXN_U006,3200.50,2,6,8,92.3,125.7,8.5
TXN_U007,178.90,16,2,3,14.2,19.8,1.3
TXN_U008,67.30,13,0,5,9.7,7.4,0.8
TXN_U009,890.00,1,3,9,58.6,78.3,4.9
TXN_U010,112.45,8,1,4,11.5,13.2,1.1
TXN_U011,2850.75,22,4,7,81.4,102.6,7.8
TXN_U012,56.80,15,5,2,6.3,9.1,0.6
TXN_U013,423.60,10,3,6,22.7,28.4,2.3
TXN_U014,145.25,12,2,1,15.8,17.6,1.4
TXN_U015,1680.00,3,0,8,72.5,95.8,5.7
TXN_U016,98.70,17,6,4,10.2,14.7,1.0
TXN_U017,215.50,9,1,3,19.3,21.5,1.6
TXN_U018,78.40,14,4,5,7.8,10.3,0.8
TXN_U019,4100.25,23,5,9,88.9,118.2,9.3
TXN_U020,132.90,11,2,2,13.6,16.8,1.2
TXN_U021,267.80,8,3,7,20.4,25.7,1.8
TXN_U022,52.15,16,1,1,5.9,8.6,0.6
TXN_U023,1950.00,1,6,6,76.2,88.5,6.8
TXN_U024,189.30,13,4,4,17.1,20.2,1.5
TXN_U025,3450.90,22,0,8,85.7,112.4,8.9
TXN_U026,76.55,10,5,3,8.4,11.9,0.9
TXN_U027,345.20,15,2,5,24.8,29.6,2.1
TXN_U028,118.60,9,1,2,12.7,15.4,1.1
TXN_U029,2100.00,2,3,7,79.3,97.2,7.1
TXN_U030,64.90,14,6,1,7.2,9.8,0.7
TXN_U031,156.75,11,4,4,16.4,18.9,1.3
TXN_U032,892.40,23,5,9,61.5,82.7,5.2
TXN_U033,225.80,8,2,6,19.8,23.4,1.7
TXN_U034,49.30,17,0,3,6.1,8.2,0.6
TXN_U035,1420.50,3,1,8,68.9,91.3,5.9
TXN_U036,103.45,12,3,2,11.8,14.1,1.0
TXN_U037,4580.00,22,6,7,94.6,128.9,9.7
TXN_U038,87.20,16,4,5,9.3,12.8,0.9
TXN_U039,198.90,10,2,1,17.9,22.6,1.5
TXN_U040,3780.25,1,5,9,87.2,107.5,8.2
TXN_U041,72.60,14,1,4,7.9,10.7,0.8
TXN_U042,245.50,9,3,3,21.3,26.8,1.8
TXN_U043,128.35,11,6,2,13.9,16.2,1.2
TXN_U044,1580.00,23,0,6,71.8,93.6,6.4
TXN_U045,58.80,15,4,1,6.7,9.4,0.7
TXN_U046,312.70,8,2,7,23.5,27.9,2.0
TXN_U047,2670.90,2,5,8,82.4,104.8,7.5
TXN_U048,94.15,13,1,5,10.6,13.5,0.9
TXN_U049,167.40,10,3,4,15.2,19.7,1.4
TXN_U050,890.30,22,6,9,59.7,81.2,5.0
TXN_U051,215.80,16,2,3,18.6,24.1,1.6
TXN_U052,45.70,9,4,1,5.8,8.9,0.6
TXN_U053,3920.00,1,0,7,89.5,121.3,8.6
TXN_U054,136.25,12,5,2,14.3,17.8,1.3
TXN_U055,67.90,14,1,6,7.5,11.2,0.8
TXN_U056,1750.50,23,3,8,74.6,96.7,6.6
TXN_U057,189.60,11,2,4,16.8,21.3,1.5
TXN_U058,4250.75,3,6,9,91.7,126.4,9.1
TXN_U059,82.40,15,4,5,8.7,12.1,0.8
TXN_U060,278.90,8,1,3,22.4,28.7,1.9
TXN_U061,2340.00,22,5,7,80.1,99.8,7.3
TXN_U062,54.20,10,3,2,6.4,9.6,0.6
TXN_U063,145.75,13,2,1,14.7,18.4,1.3
TXN_U064,1120.60,2,0,6,64.3,86.9,5.5
TXN_U065,198.30,9,4,4,17.5,22.9,1.6
TXN_U066,73.80,16,1,5,8.1,11.6,0.7
TXN_U067,3100.25,23,6,8,84.8,115.7,8.3
TXN_U068,112.90,11,3,3,12.4,15.9,1.1
TXN_U069,456.70,14,2,7,25.9,31.4,2.4
TXN_U070,61.50,8,5,2,7.1,10.1,0.7
TXN_U071,1890.00,1,0,9,75.4,94.2,6.7
TXN_U072,234.60,12,4,6,20.7,26.3,1.7
TXN_U073,88.25,15,1,1,9.8,13.7,0.9
TXN_U074,2980.50,22,3,8,83.6,108.9,7.9
TXN_U075,156.40,10,2,4,15.9,19.5,1.4
TXN_U076,4670.00,3,5,7,96.2,132.8,9.8
TXN_U077,95.70,14,6,5,10.9,14.8,1.0
TXN_U078,267.85,9,1,3,21.8,27.6,1.8
TXN_U079,1560.75,23,4,6,70.7,92.1,6.3
TXN_U080,48.90,11,2,2,6.2,8.7,0.6
TXN_U081,178.20,16,3,1,16.3,20.8,1.4
TXN_U082,3540.00,1,0,9,86.9,119.6,8.7
TXN_U083,122.50,13,5,4,13.2,16.7,1.2
TXN_U084,789.40,22,6,8,57.8,79.4,4.8
TXN_U085,69.80,8,2,3,7.6,10.9,0.8
TXN_U086,312.90,10,1,7,23.1,28.2,2.0
TXN_U087,2450.25,2,4,5,81.8,103.5,7.4
TXN_U088,134.65,15,3,2,14.1,17.3,1.3
TXN_U089,56.30,9,6,1,6.5,9.2,0.7
TXN_U090,1280.00,23,0,6,66.5,88.7,5.8
TXN_U091,245.70,12,2,4,20.2,25.1,1.8
TXN_U092,4890.50,1,5,9,98.7,135.2,9.9
TXN_U093,76.40,14,1,5,8.3,11.8,0.8
TXN_U094,189.90,11,4,3,17.2,21.9,1.5
TXN_U095,3260.75,22,3,7,85.3,116.8,8.4
TXN_U096,108.25,8,2,2,11.9,15.2,1.1
TXN_U097,67.15,16,6,1,7.4,10.6,0.7
TXN_U098,1670.00,3,0,8,73.2,95.4,6.5
TXN_U099,223.80,10,5,6,19.4,24.7,1.7
TXN_U100,52.90,13,1,4,6.3,8.8,0.6
TXN_U101,890.60,23,4,9,60.3,83.1,5.1
TXN_U102,145.30,9,2,3,14.8,18.6,1.3
TXN_U103,2780.25,1,6,5,82.9,106.2,7.6
TXN_U104,94.70,15,3,2,10.4,13.9,0.9
TXN_U105,378.90,11,1,7,24.3,29.8,2.2
TXN_U106,4120.00,22,0,8,90.8,124.5,8.8
TXN_U107,81.60,14,5,1,8.9,12.4,0.8
TXN_U108,198.45,8,2,4,17.7,22.4,1.5
TXN_U109,1950.50,2,4,6,77.1,98.6,6.9
TXN_U110,125.90,12,3,5,13.5,16.9,1.2
TXN_U111,58.20,10,1,2,6.8,9.7,0.7
TXN_U112,3680.75,23,6,9,88.4,120.9,8.5
TXN_U113,167.80,16,2,3,15.6,20.1,1.4
TXN_U114,73.50,9,4,1,7.9,11.3,0.8
TXN_U115,2150.00,1,0,7,78.6,100.7,7.2
TXN_U116,234.20,13,5,6,20.9,26.7,1.7
TXN_U117,1420.90,22,3,8,69.4,91.8,6.0
TXN_U118,99.85,11,2,4,11.2,14.6,1.0
TXN_U119,456.30,15,1,5,26.2,32.1,2.4
TXN_U120,4350.25,3,6,9,93.5,127.8,9.2
TXN_U121,64.70,8,4,2,7.3,10.4,0.7
TXN_U122,289.60,10,2,3,22.6,27.3,1.9
TXN_U123,1780.00,23,0,7,74.9,96.3,6.6
TXN_U124,142.35,14,5,1,14.5,18.2,1.3
TXN_U125,2890.50,1,3,6,83.7,110.4,7.8
TXN_U126,87.90,12,1,4,9.6,13.1,0.9
TXN_U127,178.70,9,2,5,16.7,21.6,1.4
TXN_U128,3850.00,22,6,8,89.1,122.7,8.7
TXN_U129,115.20,16,4,3,12.8,16.1,1.1
TXN_U130,49.60,11,1,2,6.1,8.5,0.6
TXN_U131,1190.75,2,5,9,65.8,87.5,5.6
TXN_U132,267.40,8,3,7,21.5,27.1,1.8
TXN_U133,4580.90,23,0,6,95.3,130.6,9.6
TXN_U134,78.30,14,2,1,8.5,12.2,0.8
TXN_U135,345.80,10,4,4,24.7,30.3,2.1
TXN_U136,2340.25,1,6,5,80.6,102.9,7.3
TXN_U137,92.50,15,1,3,10.1,13.8,0.9
TXN_U138,156.90,12,3,2,15.3,19.2,1.4
TXN_U139,1560.00,22,5,8,71.3,93.7,6.3
TXN_U140,61.80,9,2,1,7.0,10.2,0.7
TXN_U141,3120.50,3,0,7,84.5,114.3,8.3
TXN_U142,223.45,11,4,6,19.7,25.4,1.7
TXN_U143,890.80,23,1,9,61.2,84.6,5.2
TXN_U144,128.70,16,3,4,13.8,17.5,1.2
TXN_U145,54.90,8,6,2,6.6,9.3,0.6
TXN_U146,2670.00,1,5,8,82.1,105.6,7.5
TXN_U147,189.25,13,2,5,17.4,22.7,1.5
TXN_U148,4920.75,22,0,9,99.4,136.7,10.0
TXN_U149,82.60,10,4,3,8.8,12.6,0.8
TXN_U150,312.15,14,1,7,23.4,29.1,2.0
TXN_U151,1890.50,2,3,6,76.7,97.9,6.8
TXN_U152,145.80,9,5,1,14.9,18.8,1.3
TXN_U153,67.40,15,2,4,7.7,11.1,0.8
TXN_U154,3450.25,23,6,5,86.2,118.1,8.6
TXN_U155,198.60,11,1,2,17.8,23.2,1.6
TXN_U156,1120.00,1,4,8,63.9,85.8,5.4
TXN_U157,76.95,12,3,3,8.2,11.7,0.8
TXN_U158,456.70,8,2,7,26.4,32.8,2.4
TXN_U159,2980.90,22,0,9,84.2,111.9,7.9
TXN_U160,108.40,16,5,1,12.1,15.7,1.1
