customer_id,product_category,amount,purchase_date
CUST0001,Electronics,459.99,2023-03-15
CUST0023,Food,34.50,2023-07-22
CUST0001,Books,19.99,2023-08-10
CUST0042,Electronics,1299.99,2023-01-05
CUST0015,Clothing,89.99,2023-02-14
CUST0007,Electronics,679.50,2023-03-22
CUST0033,Food,45.75,2023-04-10
CUST0012,Books,24.99,2023-05-18
CUST0028,Electronics,899.00,2023-06-03
CUST0005,Clothing,125.50,2023-07-11
CUST0042,Food,67.80,2023-08-25
CUST0019,Electronics,1599.99,2023-09-14
CUST0008,Books,15.99,2023-10-02
CUST0031,Clothing,199.99,2023-11-20
CUST0023,Electronics,549.00,2023-12-08
CUST0011,Food,28.90,2024-01-15
CUST0044,Electronics,2199.99,2023-01-28
CUST0003,Books,42.50,2023-02-09
CUST0026,Clothing,74.99,2023-03-17
CUST0017,Electronics,825.00,2023-04-22
CUST0009,Food,56.25,2023-05-30
CUST0038,Electronics,1450.00,2023-06-18
CUST0021,Books,31.99,2023-07-05
CUST0014,Clothing,149.99,2023-08-12
CUST0029,Electronics,975.50,2023-09-28
CUST0006,Food,39.80,2023-10-16
CUST0040,Electronics,1875.00,2023-11-03
CUST0002,Books,18.99,2023-12-21
CUST0035,Clothing,225.00,2024-01-08
CUST0013,Electronics,699.99,2023-01-19
CUST0025,Food,52.30,2023-02-27
CUST0047,Electronics,1125.00,2023-03-08
CUST0010,Books,29.99,2023-04-14
CUST0032,Clothing,95.50,2023-05-25
CUST0018,Electronics,1749.99,2023-06-30
CUST0004,Food,44.60,2023-07-17
CUST0036,Electronics,599.00,2023-08-04
CUST0020,Books,22.50,2023-09-11
CUST0041,Clothing,179.99,2023-10-29
CUST0016,Electronics,2499.00,2023-11-15
CUST0027,Food,36.75,2023-12-02
CUST0001,Electronics,849.99,2024-01-20
CUST0045,Books,38.99,2023-01-11
CUST0022,Clothing,119.99,2023-02-18
CUST0037,Electronics,1325.00,2023-03-26
CUST0008,Food,48.90,2023-04-07
CUST0030,Electronics,925.50,2023-05-14
CUST0012,Books,27.99,2023-06-21
CUST0043,Clothing,164.99,2023-07-28
CUST0024,Electronics,775.00,2023-08-15
CUST0015,Food,41.25,2023-09-22
CUST0034,Electronics,1650.00,2023-10-10
CUST0007,Books,33.50,2023-11-27
CUST0046,Clothing,209.99,2023-12-14
CUST0011,Electronics,1099.99,2024-01-02
CUST0039,Food,59.80,2023-01-23
CUST0005,Electronics,2350.00,2023-02-05
CUST0028,Books,16.99,2023-03-13
CUST0019,Clothing,139.99,2023-04-20
CUST0042,Electronics,899.00,2023-05-28
CUST0003,Food,32.40,2023-06-09
CUST0033,Electronics,1425.00,2023-07-16
CUST0009,Books,44.99,2023-08-23
CUST0026,Clothing,189.99,2023-09-05
CUST0017,Electronics,725.50,2023-10-12
CUST0044,Food,47.65,2023-11-19
CUST0021,Electronics,1550.00,2023-12-26
CUST0006,Books,21.99,2024-01-13
CUST0031,Clothing,99.99,2023-01-30
CUST0014,Electronics,875.00,2023-02-11
CUST0038,Food,54.20,2023-03-20
CUST0029,Electronics,1975.00,2023-04-27
CUST0002,Books,35.50,2023-06-04
CUST0040,Clothing,174.99,2023-07-12
CUST0013,Electronics,649.99,2023-08-19
CUST0035,Food,38.95,2023-09-26
CUST0025,Electronics,2175.00,2023-10-08
CUST0047,Books,28.99,2023-11-15
CUST0010,Clothing,129.99,2023-12-23
CUST0032,Electronics,1225.00,2024-01-05
CUST0018,Food,43.80,2023-01-17
CUST0004,Electronics,799.99,2023-02-24
CUST0036,Books,19.50,2023-04-02
CUST0020,Clothing,154.99,2023-05-10
CUST0041,Electronics,1850.00,2023-06-17
CUST0016,Food,51.35,2023-07-25
CUST0027,Electronics,925.00,2023-09-01
CUST0001,Books,40.99,2023-10-19
CUST0045,Clothing,194.99,2023-11-06
CUST0022,Electronics,1125.50,2023-12-13
CUST0037,Food,36.70,2024-01-21
CUST0008,Electronics,2425.00,2023-01-09
CUST0030,Books,24.50,2023-02-16
CUST0012,Clothing,109.99,2023-03-25
CUST0043,Electronics,749.99,2023-05-02
CUST0024,Food,46.90,2023-06-10
CUST0015,Electronics,1675.00,2023-07-18
CUST0034,Books,32.99,2023-08-26
CUST0007,Clothing,219.99,2023-10-03
CUST0046,Electronics,1025.00,2023-11-11
CUST0011,Food,55.45,2023-12-19
CUST0039,Electronics,875.50,2024-01-27
CUST0005,Books,17.99,2023-01-14
CUST0028,Clothing,144.99,2023-02-21
CUST0019,Electronics,2299.00,2023-03-31
CUST0042,Food,40.60,2023-05-08
CUST0003,Electronics,625.00,2023-06-15
CUST0033,Books,26.50,2023-07-23
CUST0009,Clothing,169.99,2023-08-30
CUST0026,Electronics,1775.00,2023-10-07
CUST0017,Food,49.85,2023-11-14
CUST0044,Electronics,950.00,2023-12-22
CUST0021,Books,37.99,2024-01-10
CUST0006,Clothing,184.99,2023-01-26
CUST0031,Electronics,1350.00,2023-03-06
CUST0014,Food,42.15,2023-04-13
CUST0038,Electronics,825.50,2023-05-21
CUST0029,Books,30.99,2023-06-28
CUST0002,Clothing,159.99,2023-08-05
CUST0040,Electronics,2050.00,2023-09-13
CUST0013,Food,38.25,2023-10-21
CUST0035,Electronics,1475.00,2023-11-28
CUST0025,Books,23.50,2024-01-06
CUST0047,Clothing,134.99,2023-01-18
CUST0010,Electronics,699.99,2023-02-25
CUST0032,Food,44.95,2023-04-04
CUST0018,Electronics,1925.00,2023-05-12
CUST0004,Books,41.99,2023-06-20
CUST0036,Clothing,204.99,2023-07-28
CUST0020,Electronics,775.50,2023-09-04
CUST0041,Food,52.80,2023-10-12
CUST0016,Electronics,2275.00,2023-11-20
CUST0027,Books,19.99,2023-12-28
CUST0001,Clothing,124.99,2024-01-16
CUST0045,Electronics,1525.00,2023-01-22
CUST0022,Food,35.40,2023-03-02
