Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.338320770,0.462387778,0.239598554,0.098697901,0.363786970,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.025790650,0.403992960,0.251412098,-0.018306778,0.277837576,-0.110473910,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
0,1.191857111,0.266150713,0.166480113,0.448154078,0.060017649,-0.082360809,-0.078802983,0.085101655,-0.255425128,-0.166974414,1.612726661,1.065235311,0.489095016,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.183361270,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69,0
1,-1.358354062,-1.340163373,1.773209326,0.379779593,-0.503198133,1.800499381,0.791460956,0.247675787,-1.514654323,0.207642865,0.624501459,0.066083685,0.717292731,-0.165945923,2.345864950,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280957,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
1,-0.966271712,-0.185226008,1.792993138,-0.863291275,-0.010308829,1.247203110,0.237608940,0.377435875,-1.387024390,-0.054951832,-0.226487264,0.178228225,0.507756869,-0.287924256,-0.631418118,-1.059647038,-0.684092786,1.965775013,-1.232622478,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575221,0.647376035,-0.221928844,0.062722849,0.061457629,123.50,0
2,-1.158233093,0.877736755,1.548717847,0.403033934,-0.407193377,0.095921214,0.592940745,-0.270532677,0.817739308,0.753074432,-0.822842878,0.538195833,1.345851906,-1.119669839,0.175121127,-0.451449319,-0.237033239,-0.038194634,0.803486925,0.408542360,-0.009430697,0.798278495,-0.137458079,0.141266984,-0.206009588,0.502292224,0.219422230,0.215153147,69.99,0
2,-0.425965884,0.960522798,1.141109259,-0.168251861,0.420987162,-0.029317548,0.476201024,0.260314337,-0.568671029,-0.371406812,-0.232794124,-0.699880624,0.096346419,-0.703643549,-0.110473954,-0.286254137,0.074454532,-0.328783854,-0.210077264,-0.499768196,0.118164718,-0.223625017,-0.559824558,0.296303193,0.128846793,-0.189114844,0.133558377,-0.021053053,3.67,0
4,1.229658336,-0.385707477,2.384072062,1.004746656,-0.176218405,0.410671098,-0.582729029,0.077918536,-1.013930902,0.550621503,0.238628284,0.398730056,-0.120098285,0.189846683,-0.451326676,-0.096741476,-0.227478604,-0.089746035,0.131333657,-0.091586070,-0.315579720,-0.176706643,-0.360423867,0.043846111,-0.236484881,0.096294809,0.219422230,0.215153147,4.99,0
7,-0.644269442,1.417964404,1.074380017,-2.552359974,0.869286242,0.033812907,-0.424925105,0.130518420,-1.139519543,0.785555653,-0.359887456,0.210924925,-0.478794329,1.106564083,0.567164924,-0.295448337,-0.421021562,0.341487387,-0.209733174,0.501496825,0.242794527,0.118859755,-0.078804820,0.083813878,0.253889444,-0.281504473,0.008088028,0.028433441,40.80,0
7,1.984148734,-1.070064903,0.525035248,-0.152296730,-0.180058564,0.079999089,0.247697850,-0.638224056,0.104288041,0.746629089,-0.154852064,0.047129803,-0.447326962,0.099927802,-0.194269617,0.124786949,0.011958071,-0.015649993,0.173524893,-0.021652609,0.270901043,0.570415771,0.129129748,-0.020687488,0.181311734,0.132576556,0.065511948,-0.018771128,93.20,0
9,-0.338262038,1.119593276,1.044366554,-0.222187276,-0.449458281,0.262152764,-0.107003726,0.284987730,-0.635447210,-0.417735164,-0.524739832,0.553488088,-0.147482835,0.644583916,0.315927734,0.456360365,-0.110474152,-0.046638668,0.042080684,-0.172736473,-0.030110634,0.071928942,-0.126889797,-0.004631612,0.354896165,0.132576556,0.065511948,-0.018771128,3.68,0
10,1.247614822,-0.133225484,0.481391759,1.071657877,-0.441979089,0.283806764,-0.337716995,0.091361916,-0.018604669,-0.125498092,0.536933598,0.298492601,0.028961935,-0.208660452,0.045699441,0.003502936,-0.064538442,-0.021050097,0.053916608,-0.031813956,-0.123166036,0.099839007,0.222823645,-0.036598468,0.144470387,-0.128761567,0.108904738,0.072860513,7.80,0
10,-0.683579017,1.423028877,1.194636739,-0.694750632,0.158464290,0.244945098,-0.208641424,0.165093686,-0.188626926,0.084693169,-0.116117970,-0.260281884,-0.039813923,0.071883154,0.107906067,0.065408621,-0.161235428,-0.238421119,0.154468863,0.127569849,-0.076946768,-0.081653627,-0.139652624,0.009979403,0.023454345,0.100547091,0.194764831,0.068589324,9.99,0
10,0.408541843,-1.917790377,1.355891793,-0.496898156,0.173566099,1.059085329,-0.094676954,0.309869342,-0.703897996,0.183384693,-0.055676846,0.043988495,-0.050074843,0.211042174,-0.026122039,-0.087241681,-0.060431457,-0.173558846,0.020049976,0.083619118,-0.011204638,0.128656414,0.027378896,-0.070326606,0.115500071,0.077172673,0.050929987,0.059723438,121.50,0
11,-0.613709213,1.028996197,1.039533089,-0.973440094,0.228198608,0.240933899,-0.357689148,0.079651608,-1.035297959,0.551638308,-0.196089764,-0.222883115,-0.266301738,0.831006923,-0.039862530,-0.119250129,-0.212667629,-0.152218931,-0.023291946,0.045695062,-0.109060814,0.177844453,-0.045755030,-0.018906098,0.025082199,0.100547091,0.194764831,0.068589324,27.50,0
12,-2.302619092,0.660346898,2.074045089,-0.144886050,1.008419534,0.374327302,-0.439299551,0.081083636,-0.965878664,0.634333845,-0.473793535,0.043087752,-0.392088329,0.633722085,-0.143770916,0.026430223,-0.267374638,-0.208037781,-0.499768196,0.210288759,0.190084399,-0.131044828,0.141782396,-0.115904259,0.086312013,0.119681723,0.173586304,0.079816932,19.99,0
12,-1.019766294,1.343363638,1.066867947,-0.692477889,0.291207598,0.296448348,-0.199089176,0.084893969,-0.743074967,0.319022862,-0.177854088,-0.166651329,-0.208458453,0.568706928,-0.101033551,-0.119250129,-0.212667629,-0.152218931,-0.023291946,0.151233638,0.026831303,0.088632929,-0.141524827,0.016458676,0.100730641,0.094502691,0.141377587,0.065098275,59.00,0
13,-2.305036479,1.169476876,1.724641036,0.068844427,0.692813082,-0.048095493,-0.299563913,0.171048478,-1.137969838,-0.134838942,-0.277330089,-0.479087734,-0.171365788,0.518196154,-0.135621431,-0.187148737,-0.230166287,-0.195950903,-0.143771767,0.010018924,-0.070324686,0.155027165,-0.059388447,-0.040130521,0.139498087,0.132576556,0.065511948,-0.018771128,65.00,0
14,-0.529409669,1.181621914,0.973460803,-0.496898156,0.173566099,1.059085329,-0.094676954,0.309869342,-0.703897996,0.183384693,-0.055676846,0.043988495,-0.050074843,0.211042174,-0.026122039,-0.087241681,-0.060431457,-0.173558846,0.020049976,0.083619118,-0.011204638,0.128656414,0.027378896,-0.070326606,0.115500071,0.077172673,0.050929987,0.059723438,20.00,0
