id,value,category
1,290,D
2,1450,A
3,510,B
4,6,C
5,825,E
6,342,A
7,5,B
8,678,C
9,1200,D
10,156,E
11,892,A
12,23,B
13,445,C
14,1350,D
15,567,E
16,234,A
17,789,B
18,3,C
19,901,D
20,412,E
21,678,A
22,1100,B
23,145,C
24,8,D
25,523,E
26,890,A
27,267,B
28,734,C
29,1450,D
30,456,E
31,123,A
32,2,B
33,845,C
34,312,D
35,678,E
36,901,A
37,1250,B
38,234,C
39,567,D
40,9,E
41,789,A
42,423,B
43,1380,C
44,156,D
45,690,E
46,345,A
47,7,B
48,812,C
49,467,D
50,1150,E
51,234,A
52,678,B
53,4,C
54,923,D
55,345,E
56,567,A
57,1290,B
58,189,C
59,734,D
60,456,E
61,890,A
62,6,B
63,612,C
64,1420,D
65,278,E
66,845,A
67,423,B
68,756,C
69,1,D
70,534,E
71,267,A
72,901,B
73,1180,C
74,345,D
75,678,E
76,8,A
77,456,B
78,1320,C
79,189,D
80,812,E
81,534,A
82,3,B
83,745,C
84,1260,D
85,367,E
86,689,A
87,912,B
88,245,C
89,7,D
90,578,E
91,1400,A
92,423,B
93,156,C
94,834,D
95,5,E
96,467,A
97,789,B
98,1110,C
99,312,D
100,645,E
101,234,A
102,9,B
103,890,C
104,1350,D
105,456,E
106,723,A
107,367,B
108,2,C
109,912,D
110,534,E
111,1240,A
112,189,B
113,678,C
114,845,D
115,4,E
116,401,A
117,756,B
118,1180,C
119,267,D
120,623,E
121,8,A
122,489,B
123,1420,C
124,345,D
125,712,E
126,567,A
127,6,B
128,890,C
129,1290,D
130,423,E
131,745,A
132,156,B
133,3,C
134,912,D
135,534,E
136,678,A
137,1380,B
138,289,C
139,834,D
140,7,E
141,456,A
142,723,B
143,1150,C
144,367,D
145,601,E
146,9,A
147,489,B
148,1260,C
149,234,D
150,812,E
151,567,A
152,4,B
153,745,C
154,1320,D
155,389,E
156,656,A
157,912,B
158,8,C
159,523,D
160,1410,E
161,278,A
162,834,B
163,445,C
164,1,D
165,689,E
166,401,A
167,6,B
168,756,C
169,1190,D
170,512,E
171,367,A
172,845,B
173,3,C
174,678,D
175,9,E
176,923,A
177,445,B
178,1270,C
179,289,D
180,734,E
181,512,A
182,5,B
183,867,C
184,1350,D
185,423,E
