f1,f2,f3,f4,f5,f6,f7,f8
2.341,0.123,-1.456,3.221,0.987,-0.234,1.567,2.109
2.298,0.156,-1.389,3.187,1.034,-0.198,1.523,2.145
2.412,0.089,-1.523,3.298,0.923,-0.267,1.612,2.087
2.267,0.134,-1.412,3.156,1.056,-0.221,1.489,2.178
2.389,0.112,-1.478,3.267,0.945,-0.245,1.578,2.123
-0.456,3.234,2.187,-0.923,1.456,2.987,-1.234,0.678
-0.423,3.198,2.234,-0.889,1.423,3.012,-1.267,0.712
-0.489,3.267,2.156,-0.956,1.489,2.956,-1.198,0.645
-0.412,3.212,2.198,-0.901,1.434,2.998,-1.245,0.689
2.356,0.145,-1.467,3.234,1.012,-0.212,1.534,2.134
-0.467,3.245,2.178,-0.934,1.467,2.978,-1.223,0.667
2.323,0.098,-1.501,3.198,0.978,-0.256,1.589,2.098
-0.478,3.223,2.167,-0.945,1.478,2.967,-1.212,0.656
2.278,0.167,-1.434,3.145,1.067,-0.189,1.478,2.167
-0.445,3.256,2.145,-0.912,1.445,3.023,-1.256,0.623
0.987,-1.234,0.456,-2.345,3.456,-1.876,2.987,1.234
1.023,-1.198,0.423,-2.312,3.423,-1.843,3.012,1.267
0.956,-1.267,0.489,-2.378,3.489,-1.909,2.956,1.198
0.998,-1.212,0.434,-2.334,3.434,-1.854,2.998,1.245
1.012,-1.245,0.467,-2.367,3.467,-1.887,2.978,1.223
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
0.978,-1.223,0.478,-2.356,3.478,-1.898,2.967,1.212
1.034,-1.189,0.445,-2.301,3.445,-1.832,3.023,1.256
2.367,0.121,-1.489,3.245,0.967,-0.234,1.601,2.101
-0.434,3.289,2.123,-0.878,1.412,3.034,-1.278,0.734
0.945,-1.256,0.456,-2.389,3.456,-1.921,2.945,1.189
2.289,0.178,-1.423,3.134,1.078,-0.178,1.467,2.189
-0.401,3.201,2.212,-0.867,1.401,3.001,-1.289,0.745
1.067,-1.178,0.412,-2.289,3.412,-1.821,3.034,1.278
2.401,0.087,-1.534,3.289,0.912,-0.278,1.623,2.076
-1.234,0.876,-3.456,1.987,-2.345,0.456,3.234,-1.567
-1.198,0.843,-3.423,2.012,-2.312,0.423,3.267,-1.534
-1.267,0.909,-3.489,1.956,-2.378,0.489,3.198,-1.601
-1.212,0.854,-3.434,1.998,-2.334,0.434,3.223,-1.578
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
-1.245,0.887,-3.467,1.978,-2.367,0.467,3.245,-1.589
0.989,-1.267,0.445,-2.323,3.445,-1.865,2.989,1.234
-1.223,0.898,-3.478,1.967,-2.356,0.478,3.256,-1.598
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
-1.256,0.921,-3.456,1.945,-2.389,0.456,3.289,-1.612
-0.389,3.278,2.134,-0.934,1.389,3.045,-1.289,0.701
1.056,-1.234,0.389,-2.278,3.389,-1.810,3.045,1.289
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
-1.289,0.832,-3.412,2.023,-2.301,0.412,3.278,-1.523
-0.467,3.234,2.189,-0.923,1.467,2.989,-1.245,0.689
1.001,-1.201,0.467,-2.334,3.467,-1.876,2.956,1.267
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
-1.234,0.865,-3.445,1.989,-2.323,0.445,3.234,-1.556
-0.423,3.267,2.156,-0.889,1.423,3.023,-1.212,0.656
0.934,-1.289,0.478,-2.401,3.478,-1.932,2.934,1.178
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-1.267,0.898,-3.478,1.956,-2.356,0.478,3.267,-1.589
-0.445,3.245,2.178,-0.912,1.445,3.001,-1.234,0.678
1.023,-1.212,0.434,-2.312,3.434,-1.843,3.012,1.245
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
-1.201,0.876,-3.434,2.001,-2.334,0.434,3.256,-1.567
-0.478,3.212,2.167,-0.945,1.478,2.978,-1.256,0.645
1.045,-1.178,0.423,-2.289,3.423,-1.821,3.023,1.256
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
-1.245,0.887,-3.467,1.978,-2.367,0.467,3.245,-1.578
3.456,-2.345,1.234,0.987,-1.456,2.345,-0.876,3.234
3.423,-2.312,1.267,1.023,-1.423,2.312,-0.843,3.267
3.489,-2.378,1.198,0.956,-1.489,2.378,-0.909,3.198
3.434,-2.334,1.245,0.998,-1.434,2.334,-0.854,3.223
3.467,-2.367,1.223,1.012,-1.467,2.367,-0.887,3.245
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.478,-2.356,1.212,0.978,-1.478,2.356,-0.898,3.256
3.445,-2.301,1.256,1.034,-1.445,2.301,-0.832,3.278
3.456,-2.389,1.189,0.945,-1.456,2.389,-0.921,3.289
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
3.412,-2.323,1.234,0.989,-1.412,2.323,-0.865,3.234
3.489,-2.401,1.178,0.934,-1.489,2.401,-0.932,3.267
3.423,-2.289,1.267,1.045,-1.423,2.289,-0.821,3.256
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
3.467,-2.345,1.223,1.001,-1.467,2.345,-0.876,3.245
-0.412,3.223,2.189,-0.901,1.412,3.012,-1.234,0.678
3.434,-2.367,1.245,0.967,-1.434,2.367,-0.887,3.234
0.998,-1.234,0.445,-2.345,3.445,-1.876,2.989,1.234
3.478,-2.334,1.212,0.989,-1.478,2.334,-0.854,3.267
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
3.445,-2.378,1.256,0.956,-1.445,2.378,-0.909,3.278
-1.223,0.876,-3.456,1.978,-2.345,0.456,3.245,-1.578
3.456,-2.312,1.198,1.023,-1.456,2.312,-0.843,3.256
0.967,-1.267,0.467,-2.367,3.467,-1.898,2.967,1.223
3.489,-2.345,1.189,1.001,-1.489,2.345,-0.876,3.289
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
-0.456,3.256,2.167,-0.923,1.456,3.001,-1.267,0.689
3.423,-2.389,1.267,0.945,-1.423,2.389,-0.921,3.245
1.034,-1.201,0.423,-2.301,3.423,-1.832,3.023,1.256
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
3.467,-2.323,1.223,0.989,-1.467,2.323,-0.865,3.267
-1.256,0.898,-3.478,1.956,-2.367,0.478,3.267,-1.589
3.434,-2.356,1.245,0.978,-1.434,2.356,-0.898,3.234
-0.489,3.234,2.145,-0.956,1.489,2.978,-1.289,0.634
1.012,-1.178,0.445,-2.323,3.445,-1.821,3.001,1.267
2.323,0.121,-1.489,3.212,0.967,-0.245,1.578,2.112
3.478,-2.301,1.212,1.034,-1.478,2.301,-0.832,3.278
-0.423,3.289,2.178,-0.889,1.423,3.034,-1.245,0.712
0.945,-1.245,0.478,-2.378,3.478,-1.887,2.945,1.189
2.367,0.089,-1.512,3.267,0.923,-0.267,1.612,2.087
3.445,-2.367,1.256,0.967,-1.445,2.367,-0.887,3.256
-1.234,0.865,-3.445,1.989,-2.334,0.445,3.234,-1.567
3.456,-2.334,1.198,0.998,-1.456,2.334,-0.854,3.289
-0.467,3.267,2.156,-0.934,1.467,3.012,-1.223,0.667
1.023,-1.223,0.434,-2.312,3.434,-1.854,3.012,1.245
2.334,0.134,-1.445,3.212,0.998,-0.223,1.556,2.112
3.489,-2.378,1.189,0.956,-1.489,2.378,-0.909,3.267
-1.201,0.887,-3.467,2.001,-2.356,0.467,3.256,-1.578
3.423,-2.345,1.267,1.001,-1.423,2.345,-0.876,3.245
-0.445,3.245,2.189,-0.912,1.445,2.989,-1.256,0.678
0.989,-1.256,0.456,-2.345,3.456,-1.898,2.978,1.212
2.378,0.098,-1.498,3.256,0.956,-0.245,1.589,2.089
3.467,-2.312,1.223,1.023,-1.467,2.312,-0.843,3.267
-1.267,0.876,-3.456,1.967,-2.378,0.456,3.278,-1.589
3.434,-2.389,1.245,0.945,-1.434,2.389,-0.921,3.234
-0.478,3.223,2.167,-0.945,1.478,3.001,-1.234,0.645
1.056,-1.189,0.412,-2.278,3.412,-1.810,3.034,1.278
2.312,0.156,-1.456,3.167,1.045,-0.201,1.512,2.156
3.478,-2.323,1.212,0.989,-1.478,2.323,-0.865,3.278
-1.245,0.898,-3.478,1.978,-2.367,0.478,3.245,-1.567
-0.412,3.256,2.178,-0.901,1.412,3.023,-1.267,0.689
0.934,-1.212,0.467,-2.334,3.467,-1.876,2.956,1.234
2.345,0.109,-1.512,3.223,0.934,-0.267,1.567,2.145
3.445,-2.356,1.256,0.978,-1.445,2.356,-0.898,3.256
-1.223,0.865,-3.434,1.989,-2.345,0.434,3.267,-1.578
3.456,-2.301,1.198,1.034,-1.456,2.301,-0.832,3.289
-0.456,3.289,2.156,-0.923,1.456,3.012,-1.245,0.678
1.001,-1.234,0.445,-2.312,3.445,-1.854,2.989,1.245
2.289,0.145,-1.467,3.145,1.012,-0.223,1.534,2.134
3.489,-2.367,1.189,0.967,-1.489,2.367,-0.887,3.267
-1.256,0.887,-3.467,1.956,-2.378,0.467,3.256,-1.589
-0.423,3.267,2.189,-0.889,1.423,3.001,-1.278,0.701
0.967,-1.267,0.478,-2.367,3.478,-1.898,2.967,1.223
2.356,0.167,-1.423,3.189,1.023,-0.189,1.478,2.178
3.423,-2.334,1.267,0.998,-1.423,2.334,-0.854,3.245
