reading_id,temperature,vibration,pressure
0,25.3,22.1,30.5
1,24.8,21.9,29.8
2,73.2,68.5,71.4
3,48.6,45.2,47.9
4,26.1,23.4,31.2
5,72.8,69.1,70.8
6,49.2,46.8,48.5
7,25.7,22.6,30.1
8,47.9,44.8,46.7
9,74.1,69.8,72.3
10,26.4,23.1,31.8
11,48.3,45.9,47.2
12,73.5,68.9,71.1
13,25.9,22.8,30.9
14,49.7,47.1,49.3
15,26.8,23.7,31.5
16,72.6,68.2,70.5
17,48.1,45.5,47.6
18,25.2,21.7,29.9
19,73.9,69.5,71.9
20,26.3,22.9,31.1
21,49.4,46.5,48.8
22,25.6,22.3,30.4
23,72.9,68.7,70.9
24,48.8,46.2,48.1
25,26.7,23.5,31.7
26,74.3,70.1,72.6
27,25.1,21.8,29.7
28,48.5,45.7,47.4
29,73.1,68.6,71.2
30,26.9,23.9,32.1
31,49.1,46.9,48.9
32,25.8,22.5,30.7
33,72.7,68.4,70.7
34,48.7,46.1,48.3
35,93.2,23.4,45.6
36,26.2,22.7,30.8
37,73.8,69.3,71.8
38,49.6,47.3,49.5
39,25.4,22.2,30.2
40,48.2,45.3,47.1
41,26.5,23.2,31.4
42,73.4,69.7,72.1
43,25.9,22.4,30.6
44,49.3,46.7,48.7
45,72.8,68.8,71.3
46,26.1,23.6,31.9
47,48.9,46.4,48.4
48,25.7,22.9,30.3
49,74.2,69.9,72.4
50,49.8,47.5,49.7
51,26.6,23.3,31.6
52,73.6,69.2,71.7
53,25.3,21.9,29.9
54,48.4,45.8,47.8
55,26.8,23.8,32.2
56,49.5,47.2,49.1
57,25.2,22.1,30.1
58,73.3,69.4,71.9
59,48.6,46.3,48.2
60,26.4,23.4,31.3
61,72.9,68.9,71.4
62,25.8,22.6,30.8
63,49.2,46.8,48.9
64,74.1,70.2,72.7
65,26.3,23.1,31.1
66,48.8,45.9,47.9
67,25.6,22.3,30.4
68,73.7,69.6,72.2
69,49.7,47.4,49.6
70,26.7,23.7,31.8
71,25.1,21.7,29.8
72,48.3,45.6,47.5
73,73.2,68.7,71.1
74,26.9,23.9,32.3
75,49.4,47.1,49.3
76,25.5,22.5,30.7
77,72.6,68.3,70.6
78,48.7,46.2,48.6
79,26.2,23.5,31.7
80,74.4,70.3,72.9
81,25.9,22.8,30.9
82,49.1,46.6,48.8
83,73.9,69.8,72.3
84,26.5,23.2,31.2
85,48.5,45.4,47.3
86,25.4,22.2,30.3
87,73.1,68.5,70.9
88,49.6,47.3,49.4
89,26.8,23.8,32.1
90,25.7,22.4,30.5
91,48.2,45.7,47.7
92,72.8,68.9,71.5
93,26.1,23.6,31.9
94,49.9,47.6,49.8
95,15.2,68.9,71.2
96,73.5,69.1,71.6
97,25.3,21.8,29.7
98,48.9,46.5,48.5
99,26.6,23.3,31.5
100,74.3,70.1,72.5
101,49.3,47.2,49.2
102,25.8,22.7,30.8
103,73.8,69.5,71.9
104,48.4,45.8,47.6
105,26.4,23.4,31.4
106,25.2,22.1,30.2
107,49.7,47.4,49.5
108,72.7,68.6,71.2
109,26.9,23.9,32.2
110,48.6,46.1,48.1
111,25.6,22.5,30.6
112,73.4,69.3,71.8
113,49.2,46.9,48.9
114,26.3,23.1,31.1
115,25.1,21.9,29.9
116,48.8,45.5,47.4
117,74.1,69.7,72.1
118,26.7,23.7,31.7
119,49.5,47.1,49.1
120,25.5,22.3,30.4
121,73.6,68.8,71.3
122,48.1,45.9,47.9
123,26.2,23.5,31.6
124,25.9,22.8,30.9
125,49.8,47.5,49.7
126,72.9,69.2,71.7
127,26.8,23.8,31.9
128,48.7,46.3,48.3
129,25.4,22.2,30.1
130,73.3,69.6,72.2
131,49.4,47.3,49.4
132,26.5,23.2,31.3
133,25.8,22.6,30.7
134,48.3,45.6,47.5
135,74.2,70.4,72.8
136,26.1,23.6,31.8
137,49.1,46.7,48.7
138,25.7,22.4,30.5
139,73.7,69.4,71.9
140,48.9,46.5,48.6
141,26.6,23.3,31.2
142,25.3,21.7,29.8
