point_id,utm_easting,utm_northing,utm_zone,hemisphere
SP001,500000,5500000,33,N
SP002,450000,5450000,32,N
SP003,550000,5550000,33,N
SP004,600000,5600000,34,N
SP005,400000,5400000,31,N
SP006,520000,5520000,33,N
SP007,480000,5480000,32,N
SP008,560000,5560000,33,N
SP009,620000,5620000,34,N
SP010,420000,5420000,31,N
SP011,505000,5505000,33,N
SP012,-100,5455000,32,N
SP013,555000,5555000,33,N
SP014,605000,5605000,34,N
SP015,425000,5425000,31,N
SP016,525000,5525000,33,N
SP017,485000,5485000,32,N
SP018,565000,5565000,33,N
SP019,625000,5625000,34,N
SP020,430000,5430000,31,N
SP021,510000,5510000,33,N
SP022,455000,5455000,32,N
SP023,560000,unknown,33,N
SP024,610000,5610000,34,N
SP025,435000,5435000,31,N
SP026,530000,5530000,33,N
SP027,490000,5490000,32,N
SP028,570000,5570000,33,N
SP029,630000,5630000,34,N
SP030,440000,5440000,31,N
SP031,515000,5515000,33,N
SP032,460000,5460000,32,N
SP033,575000,5575000,33,N
SP034,615000,5615000,34,N
SP035,445000,5445000,31,N
SP036,535000,5535000,33,N
SP037,495000,5495000,32,N
SP038,580000,5580000,33,N
SP039,635000,5635000,34,N
SP040,450000,5450000,31,N
SP041,520000,5520000,33,N
SP042,465000,5465000,32,N
SP043,585000,5585000,33,N
SP044,620000,5620000,99,N
SP045,455000,5455000,31,N
SP046,540000,5540000,33,N
SP047,500000,5500000,32,N
SP048,590000,5590000,33,N
SP049,640000,5640000,34,N
SP050,460000,5460000,31,N
SP051,545000,5545000,33,N
SP052,505000,5505000,32,N
SP053,595000,5595000,33,N
SP054,625000,5625000,34,N
SP055,465000,5465000,31,N
SP056,550000,5550000,33,N
SP057,510000,5510000,32,N
SP058,600000,5600000,33,N
SP059,630000,5630000,34,N
SP060,470000,5470000,31,N
SP061,555000,5555000,33,N
SP062,515000,5515000,32,N
SP063,605000,5605000,33,N
SP064,635000,5635000,34,N
SP065,475000,5475000,31,N
SP066,560000,5560000,33,N
SP067,520000,5520000,32,N
SP068,610000,5610000,33,N
SP069,640000,5640000,34,N
SP070,480000,5480000,31,N
SP071,565000,5565000,33,N
SP072,525000,5525000,32,N
SP073,615000,5615000,33,N
SP074,645000,5645000,34,N
SP075,485000,5485000,31,N
SP076,570000,5570000,33,N
SP077,530000,5530000,32,N
SP078,620000,5620000,33,N
SP079,650000,5650000,34,N
SP080,490000,5490000,31,N
SP081,575000,5575000,33,N
SP082,535000,5535000,32,N
SP083,625000,5625000,33,N
SP084,655000,5655000,34,N
SP085,495000,5495000,31,N
SP086,580000,5580000,33,N
SP087,540000,5540000,32,N
SP088,630000,5630000,33,N
SP089,660000,5660000,34,N
SP090,500000,5500000,31,N
SP091,585000,5585000,33,N
SP092,545000,5545000,32,N
SP093,635000,5635000,33,N
SP094,665000,5665000,34,N
SP095,505000,5505000,31,N
SP096,590000,5590000,33,N
SP097,550000,5550000,32,N
SP098,640000,5640000,33,N
SP099,670000,5670000,34,N
SP100,510000,5510000,31,N
SP101,595000,5595000,33,N
SP102,555000,5555000,32,N
SP103,645000,5645000,33,N
SP104,675000,5675000,34,N
SP105,515000,5515000,31,N
SP106,600000,5600000,33,N
SP107,560000,5560000,32,N
SP108,650000,5650000,33,N
SP109,680000,5680000,34,N
SP110,520000,5520000,31,N
SP111,605000,5605000,33,N
SP112,565000,5565000,32,N
SP113,655000,5655000,33,N
SP114,685000,5685000,34,N
SP115,525000,5525000,31,N
SP116,610000,5610000,33,N
SP117,570000,5570000,32,N
SP118,660000,5660000,33,N
SP119,690000,5690000,34,N
SP120,530000,5530000,31,N
SP121,615000,5615000,33,N
SP122,575000,5575000,32,N
SP123,665000,5665000,33,N
SP124,695000,5695000,34,N
SP125,535000,5535000,31,N
SP126,620000,5620000,33,N
SP127,580000,5580000,32,N
SP128,670000,5670000,33,N
SP129,700000,5700000,34,N
SP130,540000,5540000,31,N
SP131,625000,5625000,33,N
SP132,585000,5585000,32,N
SP133,675000,5675000,33,N
SP134,705000,5705000,34,N
SP135,545000,5545000,31,N
SP136,630000,5630000,33,N
SP137,590000,5590000,32,N
SP138,680000,5680000,33,N
SP139,710000,5710000,34,N
SP140,550000,5550000,31,N
SP141,N/A,5635000,33,N
SP142,595000,5595000,32,N
SP143,685000,5685000,33,N
SP144,715000,5715000,34,N
SP145,555000,5555000,31,N
SP146,640000,5640000,33,N
SP147,600000,5600000,32,N
SP148,690000,5690000,33,N
SP149,720000,5720000,34,N
SP150,560000,5560000,31,N
