gene_id,sample_id,expression_level,tissue_type,patient_group
GENE_1,SAMPLE_1,5.23,breast,control
GENE_2,SAMPLE_1,4.89,breast,control
GENE_3,SAMPLE_1,6.12,breast,control
GENE_4,SAMPLE_1,5.67,breast,control
GENE_5,SAMPLE_1,5.01,breast,control
GENE_6,SAMPLE_1,7.23,breast,control
GENE_7,SAMPLE_1,4.56,breast,control
GENE_8,SAMPLE_1,5.89,breast,control
GENE_9,SAMPLE_1,5.34,breast,control
GENE_10,SAMPLE_1,6.45,breast,control
GENE_11,SAMPLE_1,4.78,breast,control
GENE_12,SAMPLE_1,5.92,breast,control
GENE_13,SAMPLE_1,5.12,breast,control
GENE_14,SAMPLE_1,6.23,breast,control
GENE_15,SAMPLE_1,4.67,breast,control
GENE_16,SAMPLE_1,5.56,breast,control
GENE_17,SAMPLE_1,5.89,breast,control
GENE_18,SAMPLE_1,6.01,breast,control
GENE_19,SAMPLE_1,5.23,breast,control
GENE_20,SAMPLE_1,4.98,breast,control
GENE_1,SAMPLE_2,6.45,lung,early_stage
GENE_2,SAMPLE_2,6.78,lung,early_stage
GENE_3,SAMPLE_2,5.89,lung,early_stage
GENE_4,SAMPLE_2,6.23,lung,early_stage
GENE_5,SAMPLE_2,7.12,lung,early_stage
GENE_6,SAMPLE_2,5.67,lung,early_stage
GENE_7,SAMPLE_2,6.34,lung,early_stage
GENE_8,SAMPLE_2,6.89,lung,early_stage
GENE_9,SAMPLE_2,5.98,lung,early_stage
GENE_10,SAMPLE_2,6.56,lung,early_stage
GENE_11,SAMPLE_2,7.23,lung,early_stage
GENE_12,SAMPLE_2,6.12,lung,early_stage
GENE_13,SAMPLE_2,5.87,lung,early_stage
GENE_14,SAMPLE_2,6.45,lung,early_stage
GENE_15,SAMPLE_2,6.78,lung,early_stage
GENE_16,SAMPLE_2,5.92,lung,early_stage
GENE_17,SAMPLE_2,6.34,lung,early_stage
GENE_18,SAMPLE_2,6.67,lung,early_stage
GENE_19,SAMPLE_2,7.01,lung,early_stage
GENE_20,SAMPLE_2,6.23,lung,early_stage
GENE_1,SAMPLE_3,8.12,colon,advanced_stage
GENE_2,SAMPLE_3,7.89,colon,advanced_stage
GENE_3,SAMPLE_3,8.45,colon,advanced_stage
GENE_4,SAMPLE_3,7.23,colon,advanced_stage
GENE_5,SAMPLE_3,8.67,colon,advanced_stage
GENE_6,SAMPLE_3,7.56,colon,advanced_stage
GENE_7,SAMPLE_3,8.34,colon,advanced_stage
GENE_8,SAMPLE_3,7.78,colon,advanced_stage
GENE_9,SAMPLE_3,8.91,colon,advanced_stage
GENE_10,SAMPLE_3,7.45,colon,advanced_stage
GENE_11,SAMPLE_3,8.23,colon,advanced_stage
GENE_12,SAMPLE_3,7.67,colon,advanced_stage
GENE_13,SAMPLE_3,8.56,colon,advanced_stage
GENE_14,SAMPLE_3,7.89,colon,advanced_stage
GENE_15,SAMPLE_3,8.12,colon,advanced_stage
GENE_16,SAMPLE_3,7.34,colon,advanced_stage
GENE_17,SAMPLE_3,8.45,colon,advanced_stage
GENE_18,SAMPLE_3,7.78,colon,advanced_stage
GENE_19,SAMPLE_3,8.23,colon,advanced_stage
GENE_20,SAMPLE_3,7.91,colon,advanced_stage
GENE_1,SAMPLE_4,5.67,prostate,control
GENE_2,SAMPLE_4,5.12,prostate,control
GENE_3,SAMPLE_4,5.89,prostate,control
GENE_4,SAMPLE_4,5.34,prostate,control
GENE_5,SAMPLE_4,5.78,prostate,control
GENE_6,SAMPLE_4,5.23,prostate,control
GENE_7,SAMPLE_4,5.91,prostate,control
GENE_8,SAMPLE_4,5.45,prostate,control
GENE_9,SAMPLE_4,5.67,prostate,control
GENE_10,SAMPLE_4,5.12,prostate,control
GENE_11,SAMPLE_4,5.89,prostate,control
GENE_12,SAMPLE_4,5.34,prostate,control
GENE_13,SAMPLE_4,5.56,prostate,control
GENE_14,SAMPLE_4,5.78,prostate,control
GENE_15,SAMPLE_4,5.23,prostate,control
