timestamp_us,voltage_v
0,3.31
10,3.29
20,3.30
30,3.32
40,3.31
50,3.30
60,3.29
70,3.31
80,3.32
90,3.30
100,3.31
110,3.29
120,3.30
130,3.32
140,3.31
150,3.30
160,3.29
170,3.31
180,3.32
190,3.30
200,3.31
210,3.29
220,3.30
230,3.32
240,3.31
250,3.30
260,3.29
270,3.31
280,3.32
290,3.30
300,3.31
310,3.29
320,3.30
330,3.32
340,3.31
350,3.30
360,3.29
370,3.31
380,3.32
390,3.30
400,3.31
410,3.29
420,3.30
430,3.32
440,3.31
450,3.30
460,3.29
470,3.31
480,3.32
490,3.30
500,3.31
510,3.29
520,3.30
530,3.32
540,3.31
550,3.30
560,3.29
570,3.31
580,3.32
590,3.30
600,3.31
610,3.29
620,3.30
630,3.32
640,3.31
650,3.30
660,3.29
670,3.31
680,3.32
690,3.30
700,3.31
710,3.29
720,3.30
730,3.32
740,3.31
750,3.30
760,3.29
770,3.31
780,3.32
790,3.30
800,3.31
810,3.29
820,3.30
830,3.32
840,3.31
850,3.30
860,3.29
870,3.31
880,3.32
890,3.30
900,3.31
910,3.29
920,3.30
930,3.32
940,3.31
950,3.30
960,3.29
970,3.31
980,3.32
990,3.30
1000,3.31
1010,3.29
1020,3.30
1030,3.32
1040,3.31
1050,3.30
1060,3.29
1070,3.31
1080,3.32
1090,3.30
1100,3.31
1110,3.29
1120,3.30
1130,3.32
1140,3.31
1150,3.30
1160,3.29
1170,3.31
1180,3.32
1190,3.30
1200,3.31
1210,3.29
1220,3.30
1230,3.32
1240,3.31
1250,3.30
1260,3.29
1270,3.31
1280,3.32
1290,3.30
1300,3.31
1310,3.29
1320,3.30
1330,3.32
1340,3.31
1350,3.30
1360,3.29
1370,3.31
1380,3.32
1390,3.30
1400,3.31
1410,3.29
1420,3.30
1430,3.32
1440,3.31
1450,3.30
1460,3.29
1470,3.31
1480,3.32
1490,3.30
1500,3.31
1510,3.29
1520,3.30
1530,3.32
1540,3.31
1550,3.30
1560,3.29
1570,3.31
1580,3.32
1590,3.30
1600,3.31
1610,3.29
1620,3.30
1630,3.32
1640,3.31
1650,3.30
1660,3.29
1670,3.31
1680,3.32
1690,3.30
1700,3.31
1710,3.29
1720,3.30
1730,3.32
1740,3.31
1750,3.30
1760,3.29
1770,3.31
1780,3.32
1790,3.30
1800,3.31
1810,3.29
1820,3.30
1830,3.32
1840,3.31
1850,3.30
1860,3.29
1870,3.31
1880,3.32
1890,3.30
1900,3.31
1910,3.29
1920,3.30
1930,3.32
1940,3.31
1950,3.30
1960,3.29
1970,3.31
1980,3.32
1990,3.30
2000,3.31
2010,3.29
2020,3.30
2030,3.32
2040,3.31
2050,3.30
2060,3.29
2070,3.31
2080,3.32
2090,3.30
2100,3.31
2110,3.29
2120,3.30
2130,3.32
2140,3.31
2150,3.30
2160,3.29
2170,3.31
2180,3.32
2190,3.30
2200,3.31
2210,3.29
2220,3.30
2230,3.32
2240,3.31
2250,3.30
2260,3.29
2270,3.31
2280,3.32
2290,3.30
2300,3.31
2310,3.29
2320,3.30
2330,3.32
2340,3.31
2350,3.30
2360,3.29
2370,3.31
2380,3.32
2390,3.30
2400,3.31
2410,3.29
2420,3.30
2430,3.32
2440,3.31
2450,3.30
2460,3.29
2470,3.31
2480,3.32
2490,3.30
2500,3.31
2510,3.29
2520,3.30
2530,3.32
2540,3.31
2550,3.30
2560,3.29
2570,3.31
2580,3.32
2590,3.30
2600,3.31
2610,3.29
2620,3.30
2630,3.32
2640,3.31
2650,3.30
2660,3.29
2670,3.31
2680,3.32
2690,3.30
2700,3.31
2710,3.29
2720,3.30
2730,3.32
2740,3.31
2750,3.30
2760,3.29
2770,3.31
2780,3.32
2790,3.30
2800,3.31
2810,3.29
2820,3.30
2830,3.32
2840,3.31
2850,3.30
2860,3.29
2870,3.31
2880,3.32
2890,3.30
2900,3.31
2910,3.29
2920,3.30
2930,3.32
2940,3.31
2950,3.30
2960,3.29
2970,3.31
2980,3.32
2990,3.30
3000,3.31
3010,3.29
3020,3.30
3030,3.32
3040,3.31
3050,3.30
3060,3.29
3070,3.31
3080,3.32
3090,3.30
3100,3.31
3110,3.29
3120,3.30
3130,3.32
3140,3.31
3150,3.30
3160,3.29
3170,3.31
3180,3.32
3190,3.30
3200,3.31
3210,3.29
3220,3.30
3230,3.32
3240,3.31
3250,3.30
3260,3.29
3270,3.31
3280,3.32
3290,3.30
3300,3.31
3310,3.29
3320,3.30
3330,3.32
3340,3.31
3350,3.30
3360,3.29
3370,3.31
3380,3.32
3390,3.30
3400,3.31
3410,3.29
3420,3.30
3430,3.32
3440,3.31
3450,3.30
3460,3.29
3470,3.31
3480,3.32
3490,3.30
3500,3.31
3510,3.29
3520,3.30
3530,3.32
3540,3.31
3550,3.30
3560,3.29
3570,3.31
3580,3.32
3590,3.30
3600,3.31
3610,3.29
3620,3.30
3630,3.32
3640,3.31
3650,3.30
3660,3.29
3670,3.31
3680,3.32
3690,3.30
3700,3.31
3710,3.29
3720,3.30
3730,3.32
3740,3.31
3750,3.30
3760,3.29
3770,3.31
3780,3.32
3790,3.30
3800,3.31
3810,3.29
3820,3.30
3830,3.32
3840,3.31
3850,3.30
3860,3.29
3870,3.31
3880,3.32
3890,3.30
3900,3.31
3910,3.29
3920,3.30
3930,3.32
3940,3.31
3950,3.30
3960,3.29
3970,3.31
3980,3.32
3990,3.30
4000,3.31
4010,3.29
4020,3.30
4030,3.32
4040,3.31
4050,3.30
4060,3.29
4070,3.31
4080,3.32
4090,3.30
4100,3.31
4110,3.29
4120,3.30
4130,3.32
4140,3.31
4150,3.30
4160,3.29
4170,3.31
4180,3.32
4190,3.30
4200,3.31
4210,3.29
4220,3.30
4230,3.32
4240,3.31
4250,3.30
4260,3.29
4270,3.31
4280,3.32
4290,3.30
4300,3.31
4310,3.29
4320,3.30
4330,3.32
4340,3.31
4350,3.30
4360,3.29
4370,3.31
4380,3.32
4390,3.30
4400,3.31
4410,3.29
4420,3.30
4430,3.32
4440,3.31
4450,3.30
4460,3.29
4470,3.31
4480,3.32
4490,3.30
4500,3.31
4510,3.29
4520,3.30
4530,3.32
4540,3.31
4550,3.30
4560,3.29
4570,3.31
4580,3.32
4590,3.30
4600,3.31
4610,3.29
4620,3.30
4630,3.32
4640,3.31
4650,3.30
4660,3.29
4670,3.31
4680,3.32
4690,3.30
4700,3.31
4710,3.29
4720,3.30
4730,3.32
4740,3.31
4750,3.30
4760,3.29
4770,3.31
4780,3.32
4790,3.30
4800,3.31
4810,3.29
4820,3.30
4830,3.32
4840,3.31
4850,3.30
4860,3.29
4870,3.31
4880,3.32
4890,3.30
4900,3.31
4910,3.29
4920,3.30
4930,3.32
4940,3.31
4950,3.30
4960,3.29
4970,3.31
4980,3.32
4990,3.30
5000,3.31
5010,3.29
5020,3.30
5030,3.32
5040,3.31
5050,3.30
5060,3.29
5070,3.31
5080,3.32
5090,3.30
5100,3.31
5110,3.29
5120,3.30
5130,3.32
5140,3.31
5150,3.30
5160,3.29
5170,3.31
5180,3.32
5190,3.30
5200,3.31
5210,3.29
5220,3.30
5230,3.32
5240,3.31
5250,3.30
5260,3.29
5270,3.31
5280,3.32
5290,3.30
5300,3.31
5310,3.29
5320,3.30
5330,3.32
5340,3.31
5350,3.30
5360,3.29
5370,3.31
5380,3.32
5390,3.30
5400,3.31
5410,3.29
5420,3.30
5430,3.32
5440,3.31
5450,3.30
5460,3.29
5470,3.31
5480,3.32
5490,3.30
5500,3.31
5510,3.29
5520,3.30
5530,3.32
5540,3.31
5550,3.30
5560,3.29
5570,3.31
5580,3.32
5590,3.30
5600,3.31
5610,3.29
5620,3.30
5630,3.32
5640,3.31
5650,3.30
5660,3.29
5670,3.31
5680,3.32
5690,3.30
5700,3.31
5710,3.29
5720,3.30
5730,3.32
5740,3.31
5750,3.30
5760,3.29
5770,3.31
5780,3.32
5790,3.30
5800,3.31
5810,3.29
5820,3.30
5830,3.32
5840,3.31
5850,3.30
5860,3.29
5870,3.31
5880,3.32
5890,3.30
5900,3.31
5910,3.29
5920,3.30
5930,3.32
5940,3.31
5950,3.30
5960,3.29
5970,3.31
5980,3.32
5990,3.30
6000,3.31
6010,3.29
6020,3.30
6030,3.32
6040,3.31
6050,3.30
6060,3.29
6070,3.31
6080,3.32
6090,3.30
6100,3.31
6110,3.29
6120,3.30
6130,3.32
6140,3.31
6150,3.30
6160,3.29
6170,3.31
6180,3.32
6190,3.30
6200,3.31
6210,3.29
6220,3.30
6230,3.32
6240,3.31
6250,3.30
6260,3.29
6270,3.31
6280,3.32
6290,3.30
6300,3.31
6310,3.29
6320,3.30
6330,3.32
6340,3.31
6350,3.30
6360,3.29
6370,3.31
6380,3.32
6390,3.30
6400,3.31
6410,3.29
6420,3.30
6430,3.32
6440,3.31
6450,3.30
6460,3.29
6470,3.31
6480,3.32
6490,3.30
6500,3.31
6510,3.29
6520,3.30
6530,3.32
6540,3.31
6550,3.30
6560,3.29
6570,3.31
6580,3.32
6590,3.30
6600,3.31
6610,3.29
6620,3.30
6630,3.32
6640,3.31
6650,3.30
6660,3.29
6670,3.31
6680,3.32
6690,3.30
6700,3.31
6710,3.29
6720,3.30
6730,3.32
6740,3.31
6750,3.30
6760,3.29
6770,3.31
6780,3.32
6790,3.30
6800,3.31
6810,3.29
6820,3.30
6830,3.32
6840,3.31
6850,3.30
6860,3.29
6870,3.31
6880,3.32
6890,3.30
6900,3.31
6910,3.29
6920,3.30
6930,3.32
6940,3.31
6950,3.30
6960,3.29
6970,3.31
6980,3.32
6990,3.30
7000,3.31
7010,3.29
7020,3.30
7030,3.32
7040,3.31
7050,3.30
7060,3.29
7070,3.31
7080,3.32
7090,3.30
7100,3.31
7110,3.29
7120,3.30
7130,3.32
7140,3.31
7150,3.30
7160,3.29
7170,3.31
7180,3.32
7190,3.30
7200,3.31
7210,3.29
7220,3.30
7230,3.32
7240,3.31
7250,3.30
7260,3.29
7270,3.31
7280,3.32
7290,3.30
7300,3.31
7310,3.29
7320,3.30
7330,3.32
7340,3.31
7350,3.30
7360,3.29
7370,3.31
7380,3.32
7390,3.30
7400,3.31
7410,3.29
7420,3.30
7430,3.32
7440,3.31
7450,3.30
7460,3.29
7470,3.31
7480,3.32
7490,3.30
7500,3.31
7510,3.29
7520,3.30
7530,3.32
7540,3.31
7550,3.30
7560,3.29
7570,3.31
7580,3.32
7590,3.30
7600,3.31
7610,3.29
7620,3.30
7630,3.32
7640,3.31
7650,3.30
7660,3.29
7670,3.31
7680,3.32
7690,3.30
7700,3.31
7710,3.29
7720,3.30
7730,3.32
7740,3.31
7750,3.30
7760,3.29
7770,3.31
7780,3.32
7790,3.30
7800,3.31
7810,3.29
7820,3.30
7830,3.32
7840,3.31
7850,3.30
7860,3.29
7870,3.31
7880,3.32
7890,3.30
7900,3.31
7910,3.29
7920,3.30
7930,3.32
7940,3.31
7950,3.30
7960,3.29
7970,3.31
7980,3.32
7990,3.30
8000,3.31
8010,3.29
8020,3.30
8030,3.32
8040,3.31
8050,3.30
8060,3.29
