participant_id,site_id,trial_number,reaction_time,accuracy
1,1,1,450,1
1,1,2,523,1
1,1,3,1850,0
1,1,4,412,1
1,1,5,389,1
1,1,6,567,1
1,1,7,498,1
2,1,1,389,1
2,1,2,445,1
2,1,3,512,1
2,1,4,1920,0
2,1,5,423,1
2,1,6,501,1
2,1,7,478,1
3,1,1,534,1
3,1,2,467,1
3,1,3,590,1
3,1,4,1765,0
3,1,5,445,1
3,1,6,489,1
3,1,7,512,1
4,1,1,398,1
4,1,2,456,1
4,1,3,523,1
4,1,4,489,1
4,1,5,1834,0
4,1,6,512,1
4,1,7,434,1
5,2,1,467,1
5,2,2,534,1
5,2,3,489,1
5,2,4,445,1
5,2,5,1678,0
5,2,6,523,1
5,2,7,498,1
6,2,1,412,1
6,2,2,478,1
6,2,3,556,1
6,2,4,1890,0
6,2,5,434,1
6,2,6,501,1
6,2,7,467,1
7,2,1,489,1
7,2,2,523,1
7,2,3,445,1
7,2,4,512,1
7,2,5,1723,0
7,2,6,478,1
7,2,7,534,1
8,2,1,456,1
8,2,2,512,1
8,2,3,489,1
8,2,4,1845,0
8,2,5,423,1
8,2,6,467,1
8,2,7,501,1
9,3,1,523,1
9,3,2,467,1
9,3,3,534,1
9,3,4,489,1
9,3,5,1956,0
9,3,6,445,1
9,3,7,512,1
10,3,1,478,1
10,3,2,534,1
10,3,3,456,1
10,3,4,1812,0
10,3,5,489,1
10,3,6,523,1
10,3,7,467,1
11,3,1,445,1
11,3,2,501,1
11,3,3,578,1
11,3,4,489,1
11,3,5,1734,0
11,3,6,512,1
11,3,7,456,1
12,3,1,412,1
12,3,2,489,1
12,3,3,534,1
12,3,4,1867,0
12,3,5,467,1
12,3,6,501,1
12,3,7,478,1
13,4,1,523,1
13,4,2,456,1
13,4,3,512,1
13,4,4,1789,0
13,4,5,478,1
13,4,6,534,1
13,4,7,489,1
14,4,1,467,1
14,4,2,512,1
14,4,3,445,1
14,4,4,1823,0
14,4,5,501,1
14,4,6,467,1
14,4,7,523,1
15,4,1,489,1
15,4,2,534,1
15,4,3,478,1
15,4,4,1901,0
15,4,5,456,1
15,4,6,512,1
15,4,7,489,1
16,4,1,445,1
16,4,2,501,1
16,4,3,567,1
16,4,4,489,1
16,4,5,1756,0
16,4,6,523,1
16,4,7,467,1
17,1,1,412,1
17,1,2,478,1
17,1,3,534,1
17,1,4,1878,0
17,1,5,489,1
17,1,6,501,1
17,1,7,456,1
18,1,1,523,1
18,1,2,467,1
18,1,3,512,1
18,1,4,489,1
18,1,5,1712,0
18,1,6,534,1
18,1,7,478,1
19,2,1,456,1
19,2,2,501,1
19,2,3,534,1
19,2,4,1834,0
19,2,5,467,1
19,2,6,512,1
19,2,7,489,1
20,2,1,478,1
20,2,2,523,1
20,2,3,456,1
20,2,4,1945,0
20,2,5,489,1
20,2,6,534,1
20,2,7,501,1
21,3,1,445,1
21,3,2,512,1
21,3,3,478,1
21,3,4,1767,0
21,3,5,523,1
21,3,6,467,1
21,3,7,489,1
22,3,1,489,1
22,3,2,534,1
22,3,3,501,1
22,3,4,1889,0
22,3,5,456,1
22,3,6,512,1
22,3,7,478,1
23,4,1,467,1
23,4,2,523,1
23,4,3,489,1
23,4,4,1801,0
23,4,5,501,1
23,4,6,534,1
23,4,7,467,1
24,4,1,512,1
24,4,2,456,1
24,4,3,534,1
24,4,4,1923,0
24,4,5,478,1
24,4,6,489,1
24,4,7,523,1
25,1,1,434,1
25,1,2,501,1
25,1,3,567,1
25,1,4,1745,0
25,1,5,489,1
25,1,6,512,1
25,1,7,456,1
