customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,churn
CUST0001,12,45.50,546.00,Month-to-month,DSL,No,Yes
CUST0002,48,89.75,4308.00,One year,Fiber optic,Yes,No
CUST0003,3,35.20,,Month-to-month,DSL,No,Yes
CUST0004,65,52.30,3399.50,Two year,DSL,Yes,No
CUST0005,24,67.80,1627.20,One year,Fiber optic,No,No
CUST0006,1,29.50,,Month-to-month,No,No,Yes
CUST0007,56,78.90,4418.40,Two year,Fiber optic,Yes,No
CUST0008,8,42.10,336.80,Month-to-month,DSL,No,Yes
CUST0009,72,55.20,3974.40,Two year,DSL,Yes,No
CUST0010,15,91.30,1369.50,Month-to-month,Fiber optic,No,Yes
CUST0011,36,48.70,1753.20,One year,DSL,Yes,No
CUST0012,2,38.50,,Month-to-month,DSL,No,Yes
CUST0013,60,64.20,3852.00,Two year,Fiber optic,Yes,No
CUST0014,5,95.40,477.00,Month-to-month,Fiber optic,No,Yes
CUST0015,44,51.80,2279.20,One year,DSL,Yes,No
CUST0016,18,73.20,1317.60,Month-to-month,Fiber optic,No,Yes
CUST0017,68,46.30,3148.40,Two year,DSL,Yes,No
CUST0018,9,88.50,796.50,Month-to-month,Fiber optic,No,Yes
CUST0019,52,59.70,3104.40,Two year,DSL,Yes,No
CUST0020,4,33.90,,Month-to-month,No,No,Yes
CUST0021,28,71.40,1999.20,One year,Fiber optic,Yes,No
CUST0022,11,40.80,448.80,Month-to-month,DSL,No,Yes
CUST0023,63,57.20,3603.60,Two year,DSL,Yes,No
CUST0024,7,82.30,576.10,Month-to-month,Fiber optic,No,Yes
CUST0025,49,54.60,2675.40,One year,DSL,Yes,No
CUST0026,16,69.80,1116.80,Month-to-month,Fiber optic,No,Yes
CUST0027,71,50.40,3578.40,Two year,DSL,Yes,No
CUST0028,3,37.20,,Month-to-month,DSL,No,Yes
CUST0029,58,66.50,3857.00,Two year,Fiber optic,Yes,No
CUST0030,13,44.30,575.90,Month-to-month,DSL,No,Yes
CUST0031,39,76.90,2999.10,One year,Fiber optic,Yes,No
CUST0032,6,31.50,189.00,Month-to-month,No,No,Yes
CUST0033,54,62.80,3391.20,Two year,DSL,Yes,No
CUST0034,10,87.60,876.00,Month-to-month,Fiber optic,No,Yes
CUST0035,47,53.40,2509.80,One year,DSL,Yes,No
CUST0036,20,72.10,1442.00,Month-to-month,Fiber optic,No,Yes
CUST0037,67,49.20,3296.40,Two year,DSL,Yes,No
CUST0038,2,35.80,,Month-to-month,DSL,No,Yes
CUST0039,61,68.40,4172.40,Two year,Fiber optic,Yes,No
CUST0040,14,43.70,611.80,Month-to-month,DSL,No,Yes
CUST0041,42,79.30,3330.60,One year,Fiber optic,Yes,No
CUST0042,8,39.60,316.80,Month-to-month,DSL,No,Yes
CUST0043,70,56.90,3983.00,Two year,DSL,Yes,No
CUST0044,5,93.20,466.00,Month-to-month,Fiber optic,No,Yes
CUST0045,51,60.50,3085.50,Two year,DSL,Yes,No
CUST0046,17,74.80,1271.60,Month-to-month,Fiber optic,No,Yes
CUST0047,64,52.70,3372.80,Two year,DSL,Yes,No
CUST0048,4,36.40,,Month-to-month,No,No,Yes
CUST0049,55,65.30,3591.50,Two year,Fiber optic,Yes,No
CUST0050,12,41.90,502.80,Month-to-month,DSL,No,Yes
CUST0051,45,77.50,3487.50,One year,Fiber optic,Yes,No
CUST0052,9,34.20,307.80,Month-to-month,DSL,No,Yes
CUST0053,69,58.60,4043.40,Two year,DSL,Yes,No
